Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Long,Ann McAllister,Mel Norton,Don Paulin,Nicholas Pereira,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13009,"Saint John--Rothesay/Saint John--Rothesay"," 42","Saint John",38,4,26,22,7,1,98,311
13009,"Saint John--Rothesay/Saint John--Rothesay"," 43","Saint John",79,7,49,30,13,0,178,522
13009,"Saint John--Rothesay/Saint John--Rothesay"," 44","Saint John",35,4,27,26,13,1,106,289
13009,"Saint John--Rothesay/Saint John--Rothesay"," 45","Saint John",57,3,32,11,11,1,115,365
13009,"Saint John--Rothesay/Saint John--Rothesay"," 46","Saint John",69,1,44,22,7,0,143,401
13009,"Saint John--Rothesay/Saint John--Rothesay"," 47","Saint John",53,1,45,22,10,1,132,352
13009,"Saint John--Rothesay/Saint John--Rothesay"," 48","Saint John",45,4,53,24,10,2,138,367
13009,"Saint John--Rothesay/Saint John--Rothesay"," 49","Saint John",88,1,43,21,13,0,166,434
13009,"Saint John--Rothesay/Saint John--Rothesay"," 50","Saint John",47,2,20,23,10,0,102,335
13009,"Saint John--Rothesay/Saint John--Rothesay"," 51","Saint John",90,6,33,21,6,1,157,563
13009,"Saint John--Rothesay/Saint John--Rothesay"," 52","Saint John",33,4,26,27,9,1,100,414
13009,"Saint John--Rothesay/Saint John--Rothesay"," 53","Saint John",90,4,45,33,17,2,191,561
13009,"Saint John--Rothesay/Saint John--Rothesay"," 54","Saint John",34,5,23,18,4,3,87,340
13009,"Saint John--Rothesay/Saint John--Rothesay"," 55","Saint John",77,4,48,30,11,2,172,507
13009,"Saint John--Rothesay/Saint John--Rothesay"," 56","Saint John",34,3,19,9,6,0,71,295
13009,"Saint John--Rothesay/Saint John--Rothesay"," 57","Saint John",67,12,34,23,5,0,141,490
13009,"Saint John--Rothesay/Saint John--Rothesay"," 58","Saint John",54,6,15,18,13,1,107,419
13009,"Saint John--Rothesay/Saint John--Rothesay"," 59","Saint John",35,3,27,18,13,0,96,468
13009,"Saint John--Rothesay/Saint John--Rothesay"," 60","Saint John",58,4,22,21,9,0,114,413
13009,"Saint John--Rothesay/Saint John--Rothesay"," 61","Saint John",46,2,23,25,9,0,105,501
13009,"Saint John--Rothesay/Saint John--Rothesay"," 62","Saint John",58,6,48,22,3,0,137,446
13009,"Saint John--Rothesay/Saint John--Rothesay"," 63","Saint John",89,3,47,37,14,0,190,700
13009,"Saint John--Rothesay/Saint John--Rothesay"," 64","Saint John",53,4,21,28,6,1,113,388
13009,"Saint John--Rothesay/Saint John--Rothesay"," 65","Saint John",106,6,55,19,2,2,190,538
13009,"Saint John--Rothesay/Saint John--Rothesay"," 66","Saint John",77,3,24,11,5,0,120,397
13009,"Saint John--Rothesay/Saint John--Rothesay"," 67","Saint John",49,3,30,21,9,0,112,441
13009,"Saint John--Rothesay/Saint John--Rothesay"," 68","Saint John",52,1,29,11,5,0,98,469
13009,"Saint John--Rothesay/Saint John--Rothesay"," 69","Saint John",59,3,28,32,19,2,143,545
13009,"Saint John--Rothesay/Saint John--Rothesay"," 70","Saint John",27,5,21,16,6,0,75,375
13009,"Saint John--Rothesay/Saint John--Rothesay"," 71","Saint John",26,0,17,6,1,0,50,335
13009,"Saint John--Rothesay/Saint John--Rothesay"," 72","Saint John",35,1,42,22,11,1,112,429
13009,"Saint John--Rothesay/Saint John--Rothesay"," 73","Saint John",61,2,42,40,10,0,155,493
13009,"Saint John--Rothesay/Saint John--Rothesay"," 74","Saint John",54,7,41,30,9,0,141,478
13009,"Saint John--Rothesay/Saint John--Rothesay"," 75","Saint John",85,10,57,29,14,0,195,559
13009,"Saint John--Rothesay/Saint John--Rothesay"," 76","Saint John",69,7,46,35,18,0,175,467
13009,"Saint John--Rothesay/Saint John--Rothesay"," 77","Saint John",55,8,62,20,15,0,160,486
13009,"Saint John--Rothesay/Saint John--Rothesay"," 78","Saint John",44,6,38,26,10,0,124,323
13009,"Saint John--Rothesay/Saint John--Rothesay"," 79","Saint John",55,1,34,20,22,0,132,346
13009,"Saint John--Rothesay/Saint John--Rothesay"," 80","Saint John",51,8,41,20,7,1,128,325
13009,"Saint John--Rothesay/Saint John--Rothesay"," 81","Saint John",52,4,24,16,6,2,104,434
13009,"Saint John--Rothesay/Saint John--Rothesay"," 82","Saint John",30,6,16,26,10,0,88,349
13009,"Saint John--Rothesay/Saint John--Rothesay"," 83","Saint John",46,2,19,19,6,0,92,388
13009,"Saint John--Rothesay/Saint John--Rothesay"," 84","Saint John",48,7,16,26,4,1,102,359
13009,"Saint John--Rothesay/Saint John--Rothesay"," 85","Saint John",21,3,15,19,5,0,63,316
13009,"Saint John--Rothesay/Saint John--Rothesay"," 86","Saint John",19,0,11,6,12,1,49,322
13009,"Saint John--Rothesay/Saint John--Rothesay"," 87","Saint John",44,6,33,17,7,0,107,384
13009,"Saint John--Rothesay/Saint John--Rothesay"," 88","Saint John",66,3,24,21,6,2,122,442
13009,"Saint John--Rothesay/Saint John--Rothesay"," 89","Saint John",41,1,26,9,9,1,87,299
13009,"Saint John--Rothesay/Saint John--Rothesay"," 90","Saint John",61,2,31,38,13,1,146,527
13009,"Saint John--Rothesay/Saint John--Rothesay"," 91","Saint John",67,4,37,17,10,0,135,536
13009,"Saint John--Rothesay/Saint John--Rothesay"," 92","Saint John",46,2,19,20,8,0,95,310
13009,"Saint John--Rothesay/Saint John--Rothesay"," 93","Saint John",43,0,21,17,8,0,89,339
13009,"Saint John--Rothesay/Saint John--Rothesay"," 94","Saint John",36,0,21,10,0,1,68,373
13009,"Saint John--Rothesay/Saint John--Rothesay"," 95","Saint John",75,3,58,4,5,0,145,505
13009,"Saint John--Rothesay/Saint John--Rothesay"," 96","Saint John",71,1,46,14,9,8,149,425
13009,"Saint John--Rothesay/Saint John--Rothesay"," 97","Saint John",65,4,37,32,9,0,147,439
13009,"Saint John--Rothesay/Saint John--Rothesay"," 98","Saint John",58,4,16,32,5,1,116,476
13009,"Saint John--Rothesay/Saint John--Rothesay"," 99","Saint John",77,7,25,31,9,0,149,481
13009,"Saint John--Rothesay/Saint John--Rothesay"," 100","Saint John",51,2,25,25,3,0,106,339
13009,"Saint John--Rothesay/Saint John--Rothesay"," 101","Saint John",76,4,20,16,4,1,121,360
13009,"Saint John--Rothesay/Saint John--Rothesay"," 102","Saint John",117,2,50,30,9,3,211,612
13009,"Saint John--Rothesay/Saint John--Rothesay"," 103","Saint John",72,3,34,34,5,1,149,450
13009,"Saint John--Rothesay/Saint John--Rothesay"," 104","Saint John",81,4,24,36,8,1,154,438
13009,"Saint John--Rothesay/Saint John--Rothesay"," 105","Saint John",69,3,20,19,2,0,113,337
13009,"Saint John--Rothesay/Saint John--Rothesay"," 106","Saint John",46,3,41,23,9,0,122,389
13009,"Saint John--Rothesay/Saint John--Rothesay"," 107","Saint John",33,2,24,9,4,1,73,327
13009,"Saint John--Rothesay/Saint John--Rothesay"," 108","Saint John",34,2,23,13,10,1,83,365
13009,"Saint John--Rothesay/Saint John--Rothesay"," 109","Saint John",35,4,23,19,13,2,96,423
13009,"Saint John--Rothesay/Saint John--Rothesay"," 110","Saint John",39,1,16,11,20,1,88,419
13009,"Saint John--Rothesay/Saint John--Rothesay"," 111","Saint John",58,5,38,32,7,3,143,497
13009,"Saint John--Rothesay/Saint John--Rothesay"," 112","Saint John",54,5,33,23,6,1,122,364
13009,"Saint John--Rothesay/Saint John--Rothesay"," 113","Saint John",57,3,38,12,7,0,117,289
13009,"Saint John--Rothesay/Saint John--Rothesay"," 114","Saint John",64,1,62,19,15,2,163,350
13009,"Saint John--Rothesay/Saint John--Rothesay"," 115","Saint John",43,7,50,27,11,2,140,381
13009,"Saint John--Rothesay/Saint John--Rothesay"," 116","Saint John",37,2,31,20,9,0,99,327
13009,"Saint John--Rothesay/Saint John--Rothesay"," 117","Saint John",42,1,30,24,10,0,107,319
13009,"Saint John--Rothesay/Saint John--Rothesay"," 118","Saint John",38,5,28,20,12,0,103,426
13009,"Saint John--Rothesay/Saint John--Rothesay"," 119","Saint John",53,2,26,12,18,0,111,338
13009,"Saint John--Rothesay/Saint John--Rothesay"," 120","Saint John",44,6,18,26,9,1,104,371
13009,"Saint John--Rothesay/Saint John--Rothesay"," 121","Saint John",54,6,37,25,21,0,143,461
13009,"Saint John--Rothesay/Saint John--Rothesay"," 122","Saint John",55,9,27,17,8,1,117,397
13009,"Saint John--Rothesay/Saint John--Rothesay"," 123","Saint John",73,10,95,44,15,0,237,502
13009,"Saint John--Rothesay/Saint John--Rothesay"," 124","Saint John",39,4,54,26,6,0,129,372
13009,"Saint John--Rothesay/Saint John--Rothesay"," 125","Saint John",68,4,74,35,16,1,198,370
13009,"Saint John--Rothesay/Saint John--Rothesay"," 126","Saint John",67,6,67,31,19,0,190,453
13009,"Saint John--Rothesay/Saint John--Rothesay"," 127","Saint John",54,6,28,29,11,1,129,490
13009,"Saint John--Rothesay/Saint John--Rothesay"," 128","Saint John",52,3,25,21,10,0,111,329
13009,"Saint John--Rothesay/Saint John--Rothesay"," 129","Saint John",60,2,36,17,4,3,122,412
13009,"Saint John--Rothesay/Saint John--Rothesay"," 130","Saint John",46,4,31,17,5,0,103,342
13009,"Saint John--Rothesay/Saint John--Rothesay"," 131","Saint John",40,2,39,15,7,0,103,302
13009,"Saint John--Rothesay/Saint John--Rothesay"," 132","Saint John",88,5,51,43,7,2,196,522
13009,"Saint John--Rothesay/Saint John--Rothesay"," 133","Saint John",78,5,55,21,6,0,165,443
13009,"Saint John--Rothesay/Saint John--Rothesay"," 134","Saint John",89,7,45,25,5,1,172,537
13009,"Saint John--Rothesay/Saint John--Rothesay"," 135","Saint John",104,3,40,24,7,0,178,579
13009,"Saint John--Rothesay/Saint John--Rothesay"," 136","Saint John",84,3,48,22,11,1,169,487
13009,"Saint John--Rothesay/Saint John--Rothesay"," 137","Saint John",74,5,42,16,7,1,145,406
13009,"Saint John--Rothesay/Saint John--Rothesay"," 138","Saint John",54,3,33,12,6,0,108,336
13009,"Saint John--Rothesay/Saint John--Rothesay"," 139","Saint John",47,7,32,42,14,0,142,436
13009,"Saint John--Rothesay/Saint John--Rothesay"," 140","Saint John",98,5,44,26,20,0,193,498
13009,"Saint John--Rothesay/Saint John--Rothesay"," 141","Saint John",79,9,29,33,6,1,157,409
13009,"Saint John--Rothesay/Saint John--Rothesay"," 142","Saint John",74,7,25,31,8,0,145,435
13009,"Saint John--Rothesay/Saint John--Rothesay"," 143","Saint John",68,3,39,15,8,0,133,449
13009,"Saint John--Rothesay/Saint John--Rothesay"," 144","Saint John",74,1,40,21,5,1,142,494
13009,"Saint John--Rothesay/Saint John--Rothesay"," 145","Saint John",75,3,37,17,2,1,135,409
13009,"Saint John--Rothesay/Saint John--Rothesay"," 146","Saint John",66,4,20,16,6,0,112,358
13009,"Saint John--Rothesay/Saint John--Rothesay"," 147","Saint John",61,10,67,31,13,0,182,378
13009,"Saint John--Rothesay/Saint John--Rothesay"," 148","Saint John",86,5,107,51,25,1,275,530
13009,"Saint John--Rothesay/Saint John--Rothesay"," 400","Saint John",Merged with No./Fusionné avec le n°119,,,,,,,63
13009,"Saint John--Rothesay/Saint John--Rothesay"," 401","Saint John",Merged with No./Fusionné avec le n°131,,,,,,,130
13009,"Saint John--Rothesay/Saint John--Rothesay"," 402","Saint John",Merged with No./Fusionné avec le n°73,,,,,,,22
13009,"Saint John--Rothesay/Saint John--Rothesay"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°46,,,,,,,8
13009,"Saint John--Rothesay/Saint John--Rothesay"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°73,,,,,,,94
13009,"Saint John--Rothesay/Saint John--Rothesay"," 502","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
13009,"Saint John--Rothesay/Saint John--Rothesay"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°64,,,,,,,43
13009,"Saint John--Rothesay/Saint John--Rothesay"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°65,,,,,,,68
13009,"Saint John--Rothesay/Saint John--Rothesay"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°66,,,,,,,10
13009,"Saint John--Rothesay/Saint John--Rothesay"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°94,,,,,,,65
13009,"Saint John--Rothesay/Saint John--Rothesay"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°60,,,,,,,20
13009,"Saint John--Rothesay/Saint John--Rothesay"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°60,,,,,,,155
13009,"Saint John--Rothesay/Saint John--Rothesay"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°60,,,,,,,9
13009,"Saint John--Rothesay/Saint John--Rothesay"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°82,,,,,,,5
13009,"Saint John--Rothesay/Saint John--Rothesay"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°85,,,,,,,8
13009,"Saint John--Rothesay/Saint John--Rothesay"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°84,,,,,,,16
13009,"Saint John--Rothesay/Saint John--Rothesay"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°103,,,,,,,15
13009,"Saint John--Rothesay/Saint John--Rothesay"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°84,,,,,,,14
13009,"Saint John--Rothesay/Saint John--Rothesay"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°103,,,,,,,4
13009,"Saint John--Rothesay/Saint John--Rothesay"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°106,,,,,,,40
13009,"Saint John--Rothesay/Saint John--Rothesay"," 517","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
13009,"Saint John--Rothesay/Saint John--Rothesay"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°119,,,,,,,60
13009,"Saint John--Rothesay/Saint John--Rothesay"," 519","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°138,,,,,,,8
13009,"Saint John--Rothesay/Saint John--Rothesay"," 520","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°127,,,,,,,13
13009,"Saint John--Rothesay/Saint John--Rothesay"," 521","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°133,,,,,,,23
13009,"Saint John--Rothesay/Saint John--Rothesay"," 522","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°133,,,,,,,1
13009,"Saint John--Rothesay/Saint John--Rothesay"," 523","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°133,,,,,,,62
13009,"Saint John--Rothesay/Saint John--Rothesay"," 524","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°138,,,,,,,13
13009,"Saint John--Rothesay/Saint John--Rothesay"," 525","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°141,,,,,,,20
13009,"Saint John--Rothesay/Saint John--Rothesay"," 526","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°69,,,,,,,18
13009,"Saint John--Rothesay/Saint John--Rothesay"," 527","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°71,,,,,,,99
13009,"Saint John--Rothesay/Saint John--Rothesay"," 600","Rothesay",567,21,536,68,35,14,1241,
13009,"Saint John--Rothesay/Saint John--Rothesay"," 601","Rothesay",554,26,585,65,25,4,1259,
13009,"Saint John--Rothesay/Saint John--Rothesay"," 602","Saint John",350,19,374,70,45,1,859,
13009,"Saint John--Rothesay/Saint John--Rothesay"," 603","Saint John",468,18,451,80,54,6,1077,
13009,"Saint John--Rothesay/Saint John--Rothesay"," 604","Saint John",990,31,720,100,28,9,1878,
13009,"Saint John--Rothesay/Saint John--Rothesay"," 605","Saint John",278,16,164,67,21,1,547,
13009,"Saint John--Rothesay/Saint John--Rothesay"," 606","Saint John",315,11,223,92,54,1,696,
13009,"Saint John--Rothesay/Saint John--Rothesay"," 607","Saint John",753,36,720,189,77,4,1779,
13009,"Saint John--Rothesay/Saint John--Rothesay"," 608","Saint John",439,21,227,114,37,9,847,
13009,"Saint John--Rothesay/Saint John--Rothesay"," 609","Saint John",651,37,420,143,63,13,1327,
13009,"Saint John--Rothesay/Saint John--Rothesay"," 610","Saint John",676,35,460,144,70,7,1392,
13009,"Saint John--Rothesay/Saint John--Rothesay"," 611","Saint John",762,16,518,96,48,8,1448,
13009,"Saint John--Rothesay/Saint John--Rothesay"," 612","Saint John",449,18,407,75,34,1,984,
13009,"Saint John--Rothesay/Saint John--Rothesay",,Group 1/Groupe 1, 160,7,93,43,10,8,321,112
13009,"Saint John--Rothesay/Saint John--Rothesay",,Group 2/Groupe 2, 982,41,649,169,52,22,1915,
