Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nadia Bourque,Terry Roberts,Mark Sibthorpe,Maninderjit Kaur Tumbar,Sameer Zuberi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 45","Dollard-Des Ormeaux",7,21,9,21,113,1,172,401
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 46","Dollard-Des Ormeaux",8,24,10,14,91,3,150,412
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 47","Dollard-Des Ormeaux",3,15,10,31,112,1,172,406
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 48","Dollard-Des Ormeaux",2,21,15,33,97,2,170,405
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 49","Dollard-Des Ormeaux",4,16,9,18,92,2,141,344
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 50","Dollard-Des Ormeaux",8,19,5,16,71,1,120,328
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 51","Dollard-Des Ormeaux",5,23,5,9,75,1,118,410
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 52","Dollard-Des Ormeaux",5,32,5,21,80,2,145,403
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 53","Dollard-Des Ormeaux",4,33,3,11,91,0,142,440
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 54","Montréal",5,17,12,20,101,7,162,455
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 55","Dollard-Des Ormeaux",9,31,7,19,78,2,146,374
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 56","Montréal",9,11,7,36,94,6,163,449
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 57","Montréal",16,24,5,19,109,5,178,412
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 58","Montréal",8,23,9,33,102,1,176,384
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 59","Montréal",19,28,5,15,58,2,127,329
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 60","Montréal",9,22,7,20,60,1,119,404
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 61","Montréal",3,27,3,40,129,3,205,434
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 62","Montréal",11,20,11,24,78,1,145,445
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 63","Montréal",5,19,5,17,110,0,156,410
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 64","Dollard-Des Ormeaux",9,23,3,13,97,2,147,294
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 65","Dollard-Des Ormeaux",11,32,1,23,72,1,140,319
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 66","Dollard-Des Ormeaux",8,53,4,25,122,1,213,528
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 67","Dollard-Des Ormeaux",12,48,6,28,172,4,270,483
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 68","Dollard-Des Ormeaux",8,37,7,22,156,6,236,475
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 69","Dollard-Des Ormeaux",3,38,6,34,99,5,185,518
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 70","Dollard-Des Ormeaux",1,8,8,12,61,0,90,258
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 71","Dollard-Des Ormeaux",4,36,12,15,85,1,153,370
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 72","Dollard-Des Ormeaux",6,31,13,16,114,1,181,381
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 73","Dollard-Des Ormeaux",6,29,6,20,62,1,124,349
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 74","Dollard-Des Ormeaux",7,38,12,28,111,2,198,415
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 75","Dollard-Des Ormeaux",3,19,7,17,88,2,136,411
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 76","Dollard-Des Ormeaux",0,10,3,13,81,3,110,258
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 77","Dollard-Des Ormeaux",13,35,18,26,148,3,243,535
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 78","Dollard-Des Ormeaux",1,19,6,16,85,5,132,356
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 79","Montréal",34,36,10,17,64,0,161,399
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 80","Montréal",41,52,3,28,135,2,261,547
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 81","Montréal",28,53,1,20,73,1,176,386
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 82","Montréal",23,37,5,15,91,4,175,406
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 83","Montréal",19,20,1,21,68,0,129,322
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 84","Montréal",34,18,2,16,58,3,131,372
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 85","Montréal",10,25,6,17,45,0,103,331
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 86","Montréal",46,17,8,43,81,5,200,429
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 87","Montréal",28,27,2,18,76,1,152,384
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 88","Montréal",54,24,10,20,49,3,160,453
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 89","Dollard-Des Ormeaux",7,20,7,9,48,1,92,311
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 90","Dollard-Des Ormeaux",3,30,6,17,53,1,110,366
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 91","Dollard-Des Ormeaux",1,25,11,12,70,2,121,397
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 92","Dollard-Des Ormeaux",7,36,9,14,50,2,118,346
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 93","Dollard-Des Ormeaux",2,65,6,15,62,2,152,400
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 94","Dollard-Des Ormeaux",6,50,2,24,83,0,165,409
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 95","Dollard-Des Ormeaux",1,52,4,17,95,1,170,410
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 96","Dollard-Des Ormeaux",6,48,8,13,82,0,157,359
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 97","Dollard-Des Ormeaux",2,68,4,30,78,1,183,431
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 98","Dollard-Des Ormeaux",3,83,8,20,88,1,203,377
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 99","Montréal",13,27,7,28,90,1,166,428
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 100","Montréal",9,16,3,27,104,2,161,438
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 101","Montréal",16,15,4,18,79,0,132,412
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 102","Montréal",11,19,9,33,70,1,143,367
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 103","Montréal",10,16,10,12,91,1,140,392
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 104","Montréal",10,24,3,17,99,3,156,487
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 105","Montréal",8,17,6,23,83,0,137,404
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 106","Montréal",11,23,3,14,63,2,116,534
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 107","Montréal",7,28,4,18,69,1,127,378
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 108","Montréal",12,10,3,15,123,1,164,439
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 109","Dollard-Des Ormeaux",3,23,5,12,82,2,127,322
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 110","Dollard-Des Ormeaux",3,25,6,18,68,0,120,380
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 111","Dollard-Des Ormeaux",4,7,11,13,61,7,103,426
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 112","Dollard-Des Ormeaux",6,17,5,8,74,1,111,302
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 113","Montréal",8,24,7,24,122,5,190,438
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 114","Montréal",3,28,8,28,102,1,170,441
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 115","Dollard-Des Ormeaux",6,40,5,14,88,6,159,389
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 116","Dollard-Des Ormeaux",7,33,1,29,86,3,159,397
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 117","Montréal",5,29,8,20,108,2,172,453
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 118","Dollard-Des Ormeaux",10,44,9,18,83,1,165,438
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 119","Montréal",11,13,10,22,101,1,158,391
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 120","Dollard-Des Ormeaux",3,70,1,4,52,2,132,384
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 121","Montréal",3,24,5,21,76,0,129,366
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 122","Dollard-Des Ormeaux",2,76,6,18,57,0,159,401
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 123","Montréal",23,45,2,21,84,1,176,448
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 124","Montréal",35,76,3,33,139,3,289,562
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 125","Montréal",34,47,9,15,84,4,193,426
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 126","Montréal",35,37,6,21,100,2,201,424
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 127","Montréal",49,37,5,24,83,2,200,452
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 128","Montréal",17,30,9,19,72,2,149,327
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 129","Montréal",25,30,5,19,83,1,163,358
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 130","Montréal",31,15,9,20,74,2,151,344
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 131","Dollard-Des Ormeaux",5,42,4,18,127,1,197,505
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 132","Dollard-Des Ormeaux",1,61,6,24,110,2,204,531
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 133","Dollard-Des Ormeaux",4,51,5,24,66,2,152,363
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 134","Dollard-Des Ormeaux",5,26,1,21,102,4,159,445
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 135","Dollard-Des Ormeaux",8,36,4,21,81,2,152,368
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 136","Dollard-Des Ormeaux",0,78,2,17,55,2,154,410
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 137","Dollard-Des Ormeaux",0,68,6,16,61,1,152,404
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 138","Dollard-Des Ormeaux",2,39,3,9,70,1,124,336
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 139","Dollard-Des Ormeaux",2,65,1,11,53,0,132,396
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 140","Dollard-Des Ormeaux",3,42,3,16,89,1,154,365
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 141","Dollard-Des Ormeaux",9,46,5,21,86,2,169,406
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 142","Dollard-Des Ormeaux",2,76,5,13,64,1,161,443
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 143","Dollard-Des Ormeaux",2,49,2,14,75,2,144,354
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 144","Montréal",13,38,15,23,101,6,196,489
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 145","Dollard-Des Ormeaux",4,50,8,17,69,0,148,349
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 146","Montréal",6,23,10,13,56,1,109,363
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 147","Montréal",5,19,2,13,72,2,113,365
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 148","Montréal",1,18,7,13,48,2,89,295
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 149","Montréal",6,19,11,15,37,1,89,274
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 150","Montréal",11,14,3,22,68,1,119,375
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 151","Dollard-Des Ormeaux",11,26,9,16,82,3,147,410
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 152","Montréal",10,42,10,23,110,1,196,536
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 153","Montréal",18,27,6,16,78,0,145,434
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 154","Dollard-Des Ormeaux",5,51,9,15,86,3,169,354
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 155","Dollard-Des Ormeaux",1,91,11,13,46,2,164,356
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 156","Dollard-Des Ormeaux",5,35,5,13,69,2,129,363
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 157","Dollard-Des Ormeaux",1,40,1,6,65,0,113,252
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 158","Dollard-Des Ormeaux",5,43,20,22,136,3,229,470
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 159","Dollard-Des Ormeaux",4,44,3,15,86,0,152,356
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 160","Dollard-Des Ormeaux",3,35,4,36,111,1,190,384
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 161","Dollard-Des Ormeaux",3,26,6,21,73,0,129,322
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 162","Dollard-Des Ormeaux",3,70,1,14,67,1,156,431
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 163","Dollard-Des Ormeaux",0,60,2,21,83,0,166,443
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 164","Dollard-Des Ormeaux",1,40,7,29,121,0,198,486
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 165","Dollard-Des Ormeaux",11,17,3,36,96,0,163,409
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 166","Dollard-Des Ormeaux",8,20,4,21,76,0,129,349
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 167","Dollard-Des Ormeaux",7,21,15,24,97,1,165,460
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 168","Dollard-Des Ormeaux",8,46,11,26,117,0,208,607
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 169","Dollard-Des Ormeaux",8,35,3,37,97,1,181,440
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 170","Dollard-Des Ormeaux",6,19,12,24,75,1,137,385
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 171","Dollard-Des Ormeaux",2,13,7,20,79,1,122,391
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 172","Montréal",35,23,0,4,125,16,203,316
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 173","Montréal",6,50,2,13,73,1,145,332
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 174","Montréal",11,35,15,8,58,1,128,340
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 175","Montréal",33,24,6,4,43,0,110,375
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 176","Montréal",48,19,6,16,63,3,155,414
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 177","Montréal",32,63,2,18,139,2,256,599
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 178","Montréal",24,29,8,13,89,2,165,399
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 179","Montréal",39,28,9,18,61,3,158,432
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 180","Montréal",60,45,7,22,66,5,205,496
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 181","Montréal",39,21,5,9,53,0,127,325
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 182","Montréal",20,24,4,6,39,6,99,328
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 183","Dollard-Des Ormeaux",1,42,3,14,86,3,149,586
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 184","Dollard-Des Ormeaux",12,32,6,19,85,1,155,430
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 185","Montréal",6,34,7,34,110,0,191,359
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 186","Montréal",10,37,8,13,113,1,182,384
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 187","Dollard-Des Ormeaux",13,38,11,35,123,0,220,655
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 188","Montréal",5,33,13,18,100,0,169,330
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 189","Dollard-Des Ormeaux",9,35,5,26,88,2,165,386
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 190","Montréal",9,22,18,27,120,7,203,463
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 191","Montréal",6,27,4,24,101,1,163,370
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 192","Dollard-Des Ormeaux",7,51,4,21,91,0,174,371
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 193","Dollard-Des Ormeaux",1,8,2,14,48,0,73,213
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 194","Dollard-Des Ormeaux",14,26,3,31,133,0,207,356
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 195","Dollard-Des Ormeaux",6,36,8,25,91,2,168,355
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 196","Dollard-Des Ormeaux",9,38,10,24,129,2,212,407
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 197","Dollard-Des Ormeaux",16,27,4,23,108,0,178,428
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 198","Dollard-Des Ormeaux",13,21,10,29,91,1,165,373
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 199","Dollard-Des Ormeaux",9,26,1,19,102,0,157,318
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 200","Dollard-Des Ormeaux",6,35,17,21,109,2,190,350
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 201","Dollard-Des Ormeaux",1,25,1,20,134,4,185,341
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 202","Dollard-Des Ormeaux",8,24,9,23,111,3,178,371
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 500","Mobile poll/Bureau itinérant",5,4,0,0,16,1,26,81
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 501","Mobile poll/Bureau itinérant",2,0,2,0,19,1,24,92
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 502","Mobile poll/Bureau itinérant",1,1,0,1,16,0,19,46
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 503","Mobile poll/Bureau itinérant",4,4,0,1,13,2,24,35
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°150,,,,,,,42
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 505","Mobile poll/Bureau itinérant",0,2,0,1,11,0,14,51
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 506","Mobile poll/Bureau itinérant",3,15,1,1,39,1,60,89
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 507","Mobile poll/Bureau itinérant",9,17,1,3,74,1,105,129
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 508","Mobile poll/Bureau itinérant",1,11,0,2,45,3,62,95
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 509","Mobile poll/Bureau itinérant",0,4,1,0,28,3,36,78
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°140,,,,,,,58
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 600","Montréal",70,142,48,85,563,10,918,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 601","Montréal",97,152,25,91,452,13,830,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 602","Montréal",91,126,23,84,504,7,835,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 603","Dollard-Des Ormeaux",19,95,23,35,374,11,557,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 604","Dollard-Des Ormeaux",32,138,40,69,488,7,774,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 605","Montréal",113,126,21,107,404,8,779,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 606","Dollard-Des Ormeaux",71,206,22,110,557,10,976,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 607","Montréal",159,243,51,120,819,8,1400,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 608","Montréal",205,181,30,83,485,9,993,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 609","Montréal",221,180,19,80,444,6,950,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 610","Montréal",201,174,23,72,413,10,893,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 611","Montréal",73,133,16,60,400,3,685,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 612","Dollard-Des Ormeaux",63,309,42,105,714,13,1246,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 613","Dollard-Des Ormeaux",20,288,20,84,440,17,869,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 614","Dollard-Des Ormeaux",24,249,32,66,442,0,813,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 615","Dollard-Des Ormeaux",20,145,14,67,422,4,672,
