Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pam Damoff,Lenaee Dupuis,Gilbert Jubinville,Hanan Rizkalla,Bruno Sousa,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 138","Burlington",141,26,8,139,1,0,315,467
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 139","Burlington",129,32,8,131,2,1,303,488
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 140","Burlington",Merged with No./Fusionné avec le n°139,,,,,,,433
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 141","Burlington",121,19,10,154,5,0,309,483
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 142","Burlington",76,21,7,83,4,1,192,480
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 143","Burlington",75,17,14,57,4,2,169,488
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 144","Burlington",73,31,8,51,1,3,167,495
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 145","Burlington",98,23,14,58,4,1,198,504
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 146","Burlington",108,31,6,86,4,0,235,560
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 147","Burlington",88,23,8,74,2,1,196,549
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 148","Burlington",77,17,5,66,2,1,168,530
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 149","Burlington",89,26,11,75,0,2,203,524
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 150","Burlington",72,27,9,69,2,2,181,510
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 151","Burlington",72,23,5,59,8,0,167,518
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 152","Burlington",54,20,3,58,0,0,135,341
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 153","Burlington",77,23,4,75,1,0,180,481
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 154","Burlington",93,18,9,82,3,1,206,476
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 155","Burlington",128,38,7,124,2,2,301,431
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 156","Burlington",53,41,11,52,1,0,158,465
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 157","Burlington",87,36,8,55,1,3,190,472
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 158","Burlington",Merged with No./Fusionné avec le n°155,,,,,,,393
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 159","Burlington",161,36,7,132,4,0,340,470
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 160","Burlington",Merged with No./Fusionné avec le n°177,,,,,,,430
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 161","Burlington",Merged with No./Fusionné avec le n°163,,,,,,,406
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 162","Burlington",95,17,7,71,5,1,196,484
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 163","Burlington",130,26,4,149,4,0,313,482
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 164","Burlington",82,13,4,87,1,0,187,465
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 165","Burlington",Merged with No./Fusionné avec le n°166,,,,,,,482
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 166","Burlington",179,25,11,126,3,0,344,517
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 167","Burlington",Merged with No./Fusionné avec le n°187,,,,,,,356
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 168","Burlington",65,40,17,46,2,1,171,551
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 169","Burlington",70,20,6,65,2,2,165,457
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 170","Burlington",157,62,10,126,4,1,360,434
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 171","Burlington",57,36,10,68,3,0,174,443
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 172","Burlington",Merged with No./Fusionné avec le n°170,,,,,,,397
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 173","Burlington",60,32,15,72,1,0,180,419
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 174","Burlington",89,29,7,68,1,1,195,483
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 175","Burlington",85,39,5,66,1,0,196,465
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 176","Burlington",87,21,3,69,2,0,182,474
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 177","Burlington",149,34,6,118,6,1,314,436
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 178","Burlington",Merged with No./Fusionné avec le n°159,,,,,,,401
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 179","Burlington",102,30,10,58,2,1,203,477
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 180","Burlington",82,40,6,66,8,1,203,534
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 181","Burlington",Merged with No./Fusionné avec le n°189,,,,,,,330
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 182","Burlington",Merged with No./Fusionné avec le n°185,,,,,,,421
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 183","Burlington",64,39,10,53,3,0,169,474
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 184","Burlington",Merged with No./Fusionné avec le n°192,,,,,,,374
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 185","Burlington",166,38,12,123,9,1,349,415
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 186","Burlington",122,27,11,99,9,2,270,568
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 187","Burlington",121,35,6,119,9,2,292,405
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 188","Burlington",93,19,5,92,6,2,217,437
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 189","Burlington",153,47,11,109,10,2,332,450
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 190","Burlington",88,26,9,102,5,4,234,469
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 191","Burlington",90,22,5,90,3,1,211,443
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 192","Burlington",137,40,7,140,8,0,332,465
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 400A","Mobile poll/Bureau itinérant",15,4,0,5,1,0,25,23
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 400B","Mobile poll/Bureau itinérant",143,12,2,80,4,10,251,380
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 500","Mobile poll/Bureau itinérant",16,4,0,4,1,1,26,41
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 501","Mobile poll/Bureau itinérant",31,1,1,11,0,4,48,87
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 502","Mobile poll/Bureau itinérant",32,1,4,24,5,2,68,106
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 503","Mobile poll/Bureau itinérant",46,2,0,29,0,2,79,100
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 504","Mobile poll/Bureau itinérant",47,9,3,13,0,1,73,93
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 505","Mobile poll/Bureau itinérant",9,3,2,2,1,2,19,62
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 506","Mobile poll/Bureau itinérant",41,4,0,25,0,3,73,110
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 507","Mobile poll/Bureau itinérant",37,5,2,19,1,0,64,92
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 508","Mobile poll/Bureau itinérant",25,12,4,13,4,1,59,89
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 509","Mobile poll/Bureau itinérant",21,5,0,13,0,1,40,64
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 510","Mobile poll/Bureau itinérant",25,3,1,16,1,4,50,93
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 511","Mobile poll/Bureau itinérant",61,5,2,46,2,2,118,99
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°511,,,,,,,37
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 600","Oakville",839,108,58,643,11,6,1665,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 601","Oakville",627,72,47,470,16,6,1238,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 602","Oakville",631,140,55,492,21,6,1345,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 603","Oakville",619,134,41,528,18,4,1344,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 604","Oakville",573,94,35,479,18,4,1203,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 605","Oakville",673,90,36,717,21,10,1547,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 606","Oakville",539,77,48,463,12,0,1139,
