Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sarah Lochhead,Tanya Saari,Doug Shipley,Chris Webb,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 65","Barrie",48,52,67,14,0,181,537
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 66","Barrie",41,63,63,20,2,189,603
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 67","Barrie",40,47,82,14,1,184,557
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 68","Barrie",41,40,74,16,3,174,506
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 69","Barrie",21,44,49,5,2,121,478
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 70","Barrie",35,38,67,8,1,149,461
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 71","Barrie",36,60,80,7,0,183,503
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 72","Barrie",47,37,43,12,0,139,483
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 73","Barrie",39,40,52,11,0,142,452
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 74","Barrie",51,48,61,14,0,174,645
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 75","Barrie",40,45,65,15,2,167,531
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 76","Barrie",46,44,58,22,1,171,629
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 77","Barrie",30,45,69,7,0,151,484
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 78","Barrie",46,61,73,7,4,191,580
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 79","Barrie",36,40,55,11,2,144,473
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 80","Barrie",51,52,80,10,2,195,518
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 81","Barrie",35,40,62,11,1,149,455
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 82","Barrie",42,62,59,23,1,187,466
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 83","Barrie",24,56,47,8,0,135,424
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 84","Barrie",29,49,53,7,2,140,504
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 85","Barrie",23,25,29,4,0,81,362
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 86","Barrie",38,16,45,4,1,104,412
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 87","Barrie",31,47,64,5,2,149,518
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 88","Barrie",37,39,48,4,1,129,514
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 89","Barrie",47,58,59,18,2,184,578
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 90","Barrie",27,39,35,3,0,104,333
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 91","Barrie",44,56,86,9,0,195,482
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 92","Barrie",38,62,91,9,3,203,540
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 93","Barrie",46,66,68,8,0,188,508
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 94","Barrie",23,54,55,12,0,144,569
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 95","Barrie",50,91,87,18,0,246,624
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 96","Barrie",36,39,42,10,0,127,406
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 97","Barrie",43,27,37,11,1,119,390
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 98","Barrie",35,78,64,10,5,192,516
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 99","Barrie",33,61,62,15,1,172,580
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 100","Barrie",58,64,76,17,3,218,651
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 101","Barrie",29,40,64,9,5,147,525
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 102","Barrie",34,41,44,12,0,131,484
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 103","Barrie",39,33,47,8,2,129,440
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 104","Barrie",50,60,57,16,1,184,590
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 105","Barrie",41,37,59,12,0,149,473
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 106","Barrie",27,28,40,4,1,100,385
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 107","Barrie",31,65,77,14,0,187,403
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 108","Barrie",21,36,52,6,3,118,417
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 109","Barrie",35,44,60,11,0,150,439
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 110","Barrie",39,37,44,12,0,132,600
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 111","Barrie",52,46,75,11,1,185,626
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 112","Barrie",34,54,71,10,1,170,582
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 113","Barrie",32,59,62,16,0,169,574
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 114","Barrie",32,88,81,10,2,213,588
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 115","Barrie",60,63,75,23,0,221,594
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 116","Barrie",42,57,54,17,1,171,595
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 117","Barrie",31,60,51,6,0,148,460
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 118","Barrie",37,33,52,13,0,135,425
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 119","Barrie",41,32,38,11,0,122,468
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 120","Barrie",40,53,48,15,0,156,514
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 121","Barrie",36,34,36,13,1,120,520
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 122","Barrie",33,35,42,12,0,122,584
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 123","Barrie",62,36,63,15,5,181,526
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 124","Barrie",48,64,107,17,2,238,375
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 125","Barrie",38,22,36,12,0,108,472
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 126","Barrie",36,89,81,8,1,215,333
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 127","Barrie",50,44,32,8,0,134,443
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 128","Barrie",39,40,40,8,1,128,482
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 129","Barrie",26,67,46,5,1,145,497
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 130","Barrie",22,13,23,5,0,63,281
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 131","Barrie",32,38,54,10,1,135,437
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 132","Barrie",Merged with No./Fusionné avec le n°124,,,,,,371
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 133","Barrie",67,98,96,11,4,276,594
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 134","Barrie",47,81,100,7,4,239,528
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 135","Barrie",44,46,73,18,1,182,582
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 136","Barrie",39,53,82,7,0,181,497
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 137","Barrie",72,46,88,26,0,232,373
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 138","Barrie",Merged with No./Fusionné avec le n°137,,,,,,387
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 139","Barrie",27,42,76,14,0,159,466
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 140","Barrie",20,102,83,4,2,211,360
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 141","Barrie",52,51,57,17,0,177,448
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 142","Barrie",37,60,74,8,1,180,588
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 143","Barrie",30,19,46,12,0,107,441
