Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Dunham,Dane Lloyd,Murray MacKinnon,Kendra Mills,Irene Walker,Jeffrey Willerton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 100","Spruce Grove",4,143,17,37,15,3,1,220,502
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 101","Parkland County",3,110,6,11,13,0,1,144,389
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 102A","Parkland County",11,126,23,44,13,9,1,227,486
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 102B","Parkland County",12,97,20,51,15,2,0,197,409
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 102C","Parkland County",8,108,19,33,14,5,1,188,446
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 103","Parkland County",3,102,15,27,3,2,0,152,417
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 104","Spring Lake",7,132,24,44,26,1,0,234,485
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 105A","Spruce Grove",2,62,13,46,7,2,1,133,394
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 105B","Spruce Grove",1,68,10,35,12,4,1,131,331
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 106","Spruce Grove",4,138,29,61,14,0,1,247,649
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 107","Spruce Grove",3,108,10,29,8,0,0,158,432
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 108","Spruce Grove",4,147,24,53,19,2,2,251,641
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 109","Spruce Grove",4,152,16,47,13,0,0,232,588
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 110","Spruce Grove",0,95,15,39,5,2,1,157,411
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 111","Spruce Grove",1,110,12,55,13,1,0,192,553
