Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Dunham,Dane Lloyd,Murray MacKinnon,Kendra Mills,Irene Walker,Jeffrey Willerton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 204","Parkland County",3,106,25,30,9,0,0,173,360
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 205","Parkland County",0,68,14,17,13,2,1,115,292
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 206","Parkland County",0,92,10,29,12,0,0,143,359
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 207","Spruce Grove",2,131,26,42,16,1,1,219,403
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 208","Spruce Grove",7,133,23,27,19,0,2,211,428
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 209","Spruce Grove",3,144,28,41,16,1,0,233,525
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 500","Mobile poll/Bureau itinérant",5,12,0,4,2,1,1,25,44
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 501","Mobile poll/Bureau itinérant",0,23,2,4,4,1,1,35,59
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 502","Mobile poll/Bureau itinérant",0,17,0,3,8,0,6,34,46
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 503","Mobile poll/Bureau itinérant",1,5,0,2,6,0,0,14,24
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 504","Mobile poll/Bureau itinérant",1,14,2,4,3,0,3,27,42
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 505","Mobile poll/Bureau itinérant",0,26,1,1,6,1,2,37,89
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 506","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 507","Mobile poll/Bureau itinérant",1,47,2,4,13,2,3,72,115
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 508","Mobile poll/Bureau itinérant",0,3,0,0,2,0,0,5,22
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 509","Mobile poll/Bureau itinérant",0,17,1,0,1,0,1,20,27
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 510","Mobile poll/Bureau itinérant",2,19,0,2,6,0,0,29,74
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 511","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,11
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 512","Mobile poll/Bureau itinérant",1,34,2,3,9,0,2,51,70
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 513","Mobile poll/Bureau itinérant",0,18,0,7,3,1,2,31,45
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 514","Mobile poll/Bureau itinérant",0,8,2,2,3,0,0,15,21
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 515","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,12
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 600","Onoway",21,452,110,74,35,4,1,697,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 601","Onoway--Calahoo",16,450,91,89,38,6,4,694,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 602","Morinville",11,427,97,104,27,12,0,678,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 603","Morinville",27,893,113,249,95,22,7,1406,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 604","Gibbons",18,614,100,121,57,16,1,927,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 605","Gibbons",18,508,72,130,41,8,5,782,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 606","Gibbons",20,519,76,125,31,2,5,778,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 607","Namao",7,324,39,46,35,2,1,454,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 608","Namao",6,245,22,36,32,3,1,345,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 609","Morinville",15,674,106,174,58,6,3,1036,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 610","Spruce Grove",25,869,116,122,85,2,1,1220,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 611","Beach Corner",28,900,157,152,56,9,5,1307,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 612","Stony Plain",27,980,109,206,90,9,3,1424,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 613","Stony Plain",27,943,135,204,90,5,11,1415,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 614","Spruce Grove",19,873,183,262,121,12,6,1476,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 615","Spruce Grove",38,883,118,276,101,19,4,1439,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 616","Spruce Grove",15,898,103,229,115,8,4,1372,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 617","Spruce Grove",30,940,128,261,118,16,8,1501,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 618","Spruce Grove",18,690,146,268,97,12,9,1240,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 619","Acheson--Enoch Cree Nation 135",17,393,74,94,48,5,0,631,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 620","Parkland County",37,1011,127,189,63,3,4,1434,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 621","Golden Spike",16,520,75,96,48,2,3,760,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland",,Group 1/Groupe 1, 23,844,105,151,49,4,40,1216,129
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland",,Group 2/Groupe 2, 49,1222,157,440,248,14,43,2173,
