Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mackenzie Hird,Charles Reginald Hislop,Maria Rose Lewans,Alex McPhee,Jeremy Patzer,Mark Skagen,Carol Vandale,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 76","Tompkins",9,11,0,4,66,37,3,0,130,262
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 77","Swift Current",6,8,1,21,116,5,2,0,159,372
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 78","Swift Current",7,8,1,17,102,7,0,0,142,351
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 79","Swift Current",7,12,0,22,121,3,2,0,167,384
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 80","Swift Current",5,28,4,21,112,7,2,0,179,494
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 81","Burnham",4,12,0,14,126,4,3,0,163,357
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 82","Mortlach",6,18,1,27,121,2,0,0,175,318
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 83","Piapot",0,10,0,5,116,22,2,1,156,222
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 84","Hatton",1,12,0,3,92,20,2,0,130,547
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 85","Maple Creek",5,6,0,16,40,0,2,0,69,239
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 86","Maple Creek",17,14,0,28,94,5,5,0,163,466
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 87","Maple Creek",4,10,1,18,80,7,4,0,124,363
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 88","Maple Creek",5,11,1,20,95,16,2,1,151,448
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 89","Maple Creek",10,10,0,20,98,8,3,0,149,424
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 90","Gull Lake",7,11,0,20,81,7,2,1,129,385
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 91","Gull Lake",1,11,0,10,81,7,0,0,110,275
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 92","Gull Lake",4,5,0,5,84,4,0,0,102,319
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 93","Antelope",2,7,0,7,56,7,0,0,79,380
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 94","Caronport",0,30,0,21,64,0,2,0,117,332
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 95","Caronport",3,20,0,15,79,0,1,1,119,367
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 96","Caron",7,19,0,31,155,2,1,0,215,479
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 97","McMahon",2,27,0,4,101,4,3,0,141,344
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 98","Wymark",4,39,3,16,136,24,1,0,223,466
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 99","Hodgeville",10,24,1,13,145,13,1,0,207,382
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 100","Darlings Beach--Simmie",2,6,2,4,89,8,1,0,112,206
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 101","Shamrock",7,16,1,12,182,15,1,2,236,414
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 102","Neville",1,30,0,15,117,17,0,0,180,339
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 103","Vanguard",3,23,0,10,139,6,0,0,181,348
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 104","Shaunavon",1,5,4,16,124,7,4,0,161,406
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 105","Shaunavon",5,13,1,13,84,3,0,1,120,302
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 106","Shaunavon",1,14,2,4,111,11,0,1,144,363
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 107","Shaunavon",2,3,1,10,100,4,1,2,123,304
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 108","Shaunavon",7,6,1,8,70,2,2,0,96,284
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 109","Eastend",4,13,1,7,127,18,4,2,176,446
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 110","Eastend",18,18,2,31,158,17,4,0,248,397
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 111","Mossbank",7,32,1,23,204,10,1,2,280,431
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 112","Admiral",4,4,3,8,55,2,0,0,76,170
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 113","Ponteix",10,11,0,8,70,2,4,0,105,314
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 114","Ponteix",7,15,0,8,104,2,0,0,136,414
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 115","Gravelbourg",10,13,3,25,73,4,1,0,129,393
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 116","Gravelbourg",14,4,1,12,30,2,2,3,68,171
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 117","Gravelbourg",9,14,1,29,135,9,1,0,198,438
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 118","Consul",2,6,2,7,181,12,2,0,212,312
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 119","Kincaid",4,14,0,18,148,9,3,0,196,378
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 120","Lafleche",12,15,4,21,108,2,4,0,166,277
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 121","Lafleche",6,15,0,17,123,10,2,2,175,324
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 122","Limerick",5,5,0,22,120,4,2,0,158,262
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 123","Frontier",12,17,2,21,199,25,2,0,278,552
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 124","Assiniboia",10,32,0,14,120,2,2,0,180,509
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 125","Assiniboia",7,13,1,15,87,5,1,0,129,351
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 126","Assiniboia",9,12,0,13,105,2,0,0,141,374
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 127","Assiniboia",6,5,0,16,118,1,1,1,148,431
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 128","Assiniboia",2,16,0,12,111,1,1,0,143,367
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 129","Climax",13,13,3,9,135,20,0,1,194,287
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 130","Val Marie",7,15,0,23,122,4,1,2,174,366
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 131","Mankota",9,21,1,11,169,7,2,1,221,338
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 132","Fir Mountain",15,32,3,23,170,6,1,0,250,366
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 133","Wood Mountain",1,18,0,5,43,4,3,0,74,163
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 134","Willow Bunch",17,29,5,24,190,6,2,2,275,395
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 135","Rockglen",6,29,2,17,124,3,4,0,185,301
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 136","Rockglen--Lisieux",5,41,0,9,132,2,0,1,190,346
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 500","Mobile poll/Bureau itinérant",5,0,3,6,17,0,2,1,34,82
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 501","Mobile poll/Bureau itinérant",0,0,0,5,4,0,0,1,10,21
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°22,,,,,,,,,29
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°17,,,,,,,,,6
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 504","Mobile poll/Bureau itinérant",1,0,0,4,6,0,0,1,12,20
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 505","Mobile poll/Bureau itinérant",0,0,1,2,3,0,1,0,7,16
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 506","Mobile poll/Bureau itinérant",2,0,1,5,1,0,0,1,10,21
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°31,,,,,,,,,1
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 508","Mobile poll/Bureau itinérant",1,1,0,3,1,0,0,0,6,11
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 509","Mobile poll/Bureau itinérant",0,1,0,2,8,0,1,3,15,22
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°36,,,,,,,,,18
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 511","Mobile poll/Bureau itinérant",1,1,0,0,16,0,0,0,18,30
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°46,,,,,,,,,34
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 513","Mobile poll/Bureau itinérant",11,2,0,12,14,0,1,0,40,60
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 514","Mobile poll/Bureau itinérant",3,1,0,5,37,0,0,2,48,75
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 515","Mobile poll/Bureau itinérant",4,0,2,7,15,1,0,1,30,61
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 516","Mobile poll/Bureau itinérant",3,1,1,8,17,0,0,0,30,49
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 517","Mobile poll/Bureau itinérant",4,2,0,10,23,1,1,1,42,62
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 518","Mobile poll/Bureau itinérant",9,2,0,23,94,2,1,0,131,184
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 519","Mobile poll/Bureau itinérant",6,0,0,4,4,0,0,0,14,18
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 520","Mobile poll/Bureau itinérant",5,1,0,1,8,0,0,2,17,29
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 521","Mobile poll/Bureau itinérant",1,2,0,3,4,1,0,0,11,43
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 522","Maple Creek",Merged with No./Fusionné avec le n°87,,,,,,,,,36
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 523","Mobile poll/Bureau itinérant",2,0,1,2,6,0,1,0,12,25
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 524","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°105,,,,,,,,,43
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 525","Mobile poll/Bureau itinérant",9,0,0,2,2,0,0,0,13,31
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 526","Mobile poll/Bureau itinérant",6,0,4,3,6,0,0,3,22,51
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 527","Mobile poll/Bureau itinérant",0,0,0,1,2,0,1,0,4,15
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 528","Mobile poll/Bureau itinérant",9,4,2,6,16,0,1,0,38,50
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 529","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°125,,,,,,,,,22
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 530","Mobile poll/Bureau itinérant",1,0,1,2,4,1,1,0,10,37
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 531","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°131,,,,,,,,,15
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 532","Mobile poll/Bureau itinérant",3,0,0,1,1,0,0,0,5,14
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 533","Mobile poll/Bureau itinérant",2,5,0,4,13,0,2,1,27,40
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 534","Mobile poll/Bureau itinérant",13,0,3,13,34,1,4,3,71,221
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 535","Mobile poll/Bureau itinérant",3,2,1,1,9,0,0,1,17,48
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 600","Kindersley",37,96,4,85,916,65,5,3,1211,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 601","Eston",30,39,3,28,336,17,3,2,458,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 602","Lucky Lake",9,29,0,19,265,19,1,0,342,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 603","Leader",13,57,1,34,320,6,4,1,436,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 604","Cabri",22,58,1,70,673,39,1,3,867,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 605","Chaplin",11,23,1,27,169,8,4,0,243,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 606","Caronport",10,71,1,35,367,4,3,0,491,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 607","Swift Current",42,78,2,133,757,36,6,2,1056,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 608","Swift Current",48,58,7,136,724,32,3,1,1009,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 609","Swift Current",34,76,0,78,807,42,2,1,1040,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 610","Gull Lake",19,26,3,33,381,44,1,0,507,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 611","Maple Creek",31,45,1,77,549,40,4,4,751,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 612","Shaunavon",22,49,11,80,552,54,9,1,778,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 613","Ponteix",15,39,1,23,238,17,3,3,339,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 614","Gravelbourg",40,31,6,56,365,14,5,0,517,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 615","Assiniboia",38,75,11,95,631,20,6,10,886,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands",,Group 1/Groupe 1, 20,12,0,55,150,9,4,12,262,65
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands",,Group 2/Groupe 2, 90,28,6,214,626,44,11,23,1042,
