Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Norm Di Pasquale,Sukhi Jandu,Ian Roden,Amanda Rosenstock,Kevin Vuong,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35101,"Spadina--Fort York/Spadina--Fort York"," 462-1","Toronto",Merged with No./Fusionné avec le n°463-1,,,,,,,223
35101,"Spadina--Fort York/Spadina--Fort York"," 462-2","Toronto",Merged with No./Fusionné avec le n°463-1,,,,,,,145
35101,"Spadina--Fort York/Spadina--Fort York"," 463","Toronto",Merged with No./Fusionné avec le n°463-1,,,,,,,259
35101,"Spadina--Fort York/Spadina--Fort York"," 463-1","Toronto",106,65,15,9,98,0,293,262
35101,"Spadina--Fort York/Spadina--Fort York"," 464","Toronto",Merged with No./Fusionné avec le n°464-2,,,,,,,272
35101,"Spadina--Fort York/Spadina--Fort York"," 464-1","Toronto",Merged with No./Fusionné avec le n°464-2,,,,,,,388
35101,"Spadina--Fort York/Spadina--Fort York"," 464-2","Toronto",95,83,9,11,130,0,328,401
35101,"Spadina--Fort York/Spadina--Fort York"," 465","Toronto",Merged with No./Fusionné avec le n°465-1,,,,,,,231
35101,"Spadina--Fort York/Spadina--Fort York"," 465-1","Toronto",84,55,5,6,92,1,243,339
35101,"Spadina--Fort York/Spadina--Fort York"," 465-2","Toronto",Merged with No./Fusionné avec le n°465-1,,,,,,,220
35101,"Spadina--Fort York/Spadina--Fort York"," 465-3","Toronto",71,91,6,3,77,5,253,324
35101,"Spadina--Fort York/Spadina--Fort York"," 466","Toronto",Merged with No./Fusionné avec le n°465-3,,,,,,,267
35101,"Spadina--Fort York/Spadina--Fort York"," 466-1","Toronto",Merged with No./Fusionné avec le n°465-3,,,,,,,267
35101,"Spadina--Fort York/Spadina--Fort York"," 467","Toronto",Merged with No./Fusionné avec le n°56,,,,,,,356
35101,"Spadina--Fort York/Spadina--Fort York"," 468","Toronto",Merged with No./Fusionné avec le n°468-1,,,,,,,329
35101,"Spadina--Fort York/Spadina--Fort York"," 468-1","Toronto",67,64,6,14,85,0,236,362
35101,"Spadina--Fort York/Spadina--Fort York"," 469","Toronto",94,78,7,4,122,1,306,498
35101,"Spadina--Fort York/Spadina--Fort York"," 470","Toronto",Merged with No./Fusionné avec le n°469,,,,,,,331
35101,"Spadina--Fort York/Spadina--Fort York"," 470-1","Toronto",Merged with No./Fusionné avec le n°469,,,,,,,171
35101,"Spadina--Fort York/Spadina--Fort York"," 471","Toronto",77,93,9,9,120,1,309,637
35101,"Spadina--Fort York/Spadina--Fort York"," 472","Toronto",Merged with No./Fusionné avec le n°472-1,,,,,,,375
35101,"Spadina--Fort York/Spadina--Fort York"," 472-1","Toronto",40,63,3,11,78,1,196,431
35101,"Spadina--Fort York/Spadina--Fort York"," 473","Toronto",60,75,12,7,68,0,222,450
35101,"Spadina--Fort York/Spadina--Fort York"," 473-1","Toronto",Merged with No./Fusionné avec le n°473,,,,,,,431
35101,"Spadina--Fort York/Spadina--Fort York"," 474","Toronto",Merged with No./Fusionné avec le n°475,,,,,,,331
35101,"Spadina--Fort York/Spadina--Fort York"," 475","Toronto",69,73,9,7,97,3,258,474
