Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yves Destroismaisons,Stéphane Lauzon,Marie Louis-Seize,Paul Lynes,Marc Vachon,Michel Welt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 80","Lachute",48,43,4,1,11,9,5,121,412
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 81","Lachute",42,37,10,1,7,11,1,109,509
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 82","Lachute",51,38,12,2,9,6,2,120,396
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 83","Lachute",65,70,18,3,6,13,3,178,516
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 84","Lachute",39,34,13,0,9,11,5,111,405
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 85","Lachute",45,37,6,1,8,5,3,105,320
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 86","Lachute",86,47,25,2,10,7,5,182,576
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 87","Lachute",74,53,19,0,9,6,2,163,488
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 88","Lachute",56,40,12,0,10,10,5,133,332
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 89","Lachute",39,53,17,1,17,11,5,143,440
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 90","Lachute",36,34,14,0,16,7,2,109,352
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 91","Lachute",60,36,12,1,7,6,8,130,398
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 92","Lachute",38,42,14,1,12,8,3,118,401
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 93","Lachute",28,38,8,4,4,9,3,94,398
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 94","Lachute",77,48,22,4,11,10,4,176,478
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 95","Lachute",65,42,26,4,21,14,0,172,570
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 96","Lachute",89,66,23,4,15,16,7,220,718
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 97","Ripon",50,45,8,3,2,4,6,118,325
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 98","Ripon",76,37,8,3,9,12,1,146,390
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 99","Ripon",93,62,19,4,9,10,2,199,380
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 100","Ripon",109,69,17,4,10,23,8,240,480
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 101","Grenville-sur-la-Rouge",25,34,11,1,5,13,1,90,241
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 102","Grenville-sur-la-Rouge",26,30,11,3,8,8,4,90,240
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 103","Grenville-sur-la-Rouge--Pointe-au-Chêne",20,15,6,0,11,1,0,53,265
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 104","Grenville-sur-la-Rouge",21,33,17,1,17,8,1,98,351
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 105","Marelan",29,27,22,2,6,7,0,93,264
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 106","Grenville",36,47,19,2,16,13,3,136,377
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 107","Grenville",21,42,23,3,20,9,1,119,303
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 108","Grenville",22,33,19,2,23,7,2,108,340
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 109","Grenville",34,38,8,1,16,4,0,101,388
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 110","Grenville",23,19,27,1,12,7,0,89,320
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 111","Brownsburg-Chatham",52,35,13,3,8,5,1,117,357
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 112","Brownsburg-Chatham",82,71,67,4,19,12,4,259,512
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 113","Brownsburg-Chatham",65,62,22,1,18,14,8,190,490
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 114","Brownsburg-Chatham",66,55,24,1,14,18,3,181,400
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 115","Brownsburg-Chatham",40,48,36,3,9,9,6,151,391
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 116","Grenville-sur-la-Rouge",18,38,21,3,20,6,0,106,307
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 117","Grenville-sur-la-Rouge",27,30,9,2,12,6,0,86,195
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 118","Saint-André-Avellin",35,38,6,4,1,12,1,97,333
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 119","Saint-André-Avellin",59,33,3,7,4,6,1,113,241
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 120","Saint-André-Avellin",51,53,10,1,4,7,3,129,383
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 121","Saint-André-Avellin",52,41,11,0,2,3,1,110,328
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 122","Saint-André-Avellin",66,34,19,2,3,10,5,139,372
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 123","Saint-André-Avellin",37,28,8,0,3,8,1,85,284
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 124","Saint-André-Avellin",58,40,14,4,5,8,3,132,356
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 125","Saint-André-Avellin",33,19,11,2,2,3,1,71,210
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 126","Saint-André-Avellin",45,38,7,5,8,7,2,112,285
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 127","Saint-André-d'Argenteuil",27,34,14,2,11,9,2,99,286
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 128","Saint-André-d'Argenteuil",37,32,9,0,2,8,1,89,310
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 129","Saint-André-d'Argenteuil",34,31,23,2,12,7,5,114,316
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 130","Saint-André-d'Argenteuil",58,36,14,4,20,8,2,142,349
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 131","Saint-André-d'Argenteuil",55,28,23,4,9,4,2,125,314
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 132","Saint-André-d'Argenteuil",55,34,7,1,11,15,4,127,335
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 133","Saint-André-d'Argenteuil",58,39,20,2,9,4,1,133,331
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 134","Saint-André-d'Argenteuil",38,42,16,0,4,6,3,109,303
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 135","Mayo",8,60,15,0,12,10,0,105,303
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 136","Mayo",34,43,24,2,16,10,0,129,378
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 137","Mulgrave-et-Derry",33,48,31,2,7,8,3,132,231
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 138","Fassett",94,83,25,1,15,16,5,239,425
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 139","Notre-Dame-de-la-Salette",56,63,36,2,7,8,7,179,402
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 140","Notre-Dame-de-la-Salette",43,38,18,2,8,8,4,121,296
