Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Bergeron,Alexis Brunelle-Duceppe,Mathieu Chambers,Marjolaine Étienne,Annie Thibault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 23A","Alma",14,58,5,26,1,2,106,295
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 23B","Alma",Merged with No./Fusionné avec le n°400,,,,,,,108
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 24","Alma",51,69,3,29,3,5,160,354
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 25","Alma",73,105,8,27,8,5,226,464
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 26","Alma",47,115,9,29,5,8,213,433
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 27","Alma",57,109,9,31,3,3,212,445
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 28","Alma",51,140,6,28,4,7,236,539
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 29","Alma",25,88,5,14,1,2,135,360
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 30","Alma",32,74,8,17,2,2,135,358
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 31","Alma",13,57,8,25,2,5,110,290
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 32","Alma",32,119,9,24,5,5,194,432
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 33","Alma",27,76,6,18,1,7,135,330
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 34","Alma",20,71,8,24,4,1,128,346
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 35","Alma",27,80,4,25,2,5,143,313
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 36","Alma",36,92,4,19,7,8,166,326
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 37","Alma",21,46,5,18,2,1,93,400
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 38","Alma",25,56,14,18,3,2,118,356
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 39","Alma",12,78,15,23,9,7,144,429
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 40","Alma",14,42,5,9,5,0,75,336
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 41","Alma",26,57,7,27,3,4,124,322
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 42","Alma",26,62,10,15,4,4,121,362
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 43","Alma",28,86,7,26,1,1,149,440
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 44","Alma",35,62,8,23,4,3,135,390
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 45","Alma",35,85,15,26,4,4,169,434
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 46","Alma",33,80,7,21,1,3,145,357
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 47","Alma",35,97,6,20,5,2,165,360
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 48","Alma",33,106,10,14,7,1,171,409
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 49","Alma",54,185,8,33,2,0,282,542
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 50","Alma",25,92,8,21,4,3,153,381
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 51","Alma",52,139,22,37,1,7,258,515
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 52","Alma",70,94,3,23,2,6,198,437
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 53","Alma",44,89,6,19,3,3,164,414
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 54","Alma",36,105,1,25,1,5,173,393
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 55","Alma",51,92,9,35,6,2,195,397
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 56","Alma",36,96,10,33,2,5,182,477
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 57","Alma",45,96,7,29,3,4,184,401
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 58","Alma",26,73,7,16,5,2,129,306
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 59","Alma",29,78,2,23,6,3,141,350
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 60","Alma",38,74,6,30,2,4,154,396
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 61","Alma",36,114,5,31,1,0,187,400
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 62","Alma",38,86,5,26,1,5,161,350
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 63","Alma",37,105,7,30,4,4,187,415
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 64","Alma",31,129,14,36,9,8,227,532
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 65","Alma",31,127,3,43,4,5,213,452
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 66","Alma",54,103,11,23,1,4,196,417
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 67","Alma",29,103,8,24,2,4,170,353
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 68","Alma",45,132,7,32,5,5,226,439
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 69","Alma",32,96,5,22,5,5,165,328
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 70","Alma",36,94,3,32,2,4,171,405
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 71","Alma",57,99,8,28,6,6,204,407
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 72","Saint-Bruno",40,111,8,29,7,8,203,403
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 73","Saint-Bruno",51,68,5,19,3,4,150,377
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 74","Saint-Bruno",43,71,8,20,3,1,146,297
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 75","Saint-Bruno",45,76,11,15,1,9,157,402
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 76","Saint-Bruno",57,88,3,38,6,4,196,392
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 77","Saint-Bruno",36,52,12,24,1,9,134,313
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 78","Hébertville-Station",31,77,6,21,2,3,140,273
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 79","Hébertville-Station",54,102,10,26,6,6,204,429
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 80","Hébertville-Station",44,64,8,26,7,8,157,313
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 81","Hébertville",59,62,4,28,2,4,159,363
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 82","Hébertville",54,89,7,34,3,1,188,382
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 83","Hébertville",34,56,5,16,1,0,112,246
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 84","Hébertville",42,82,7,22,1,3,157,274
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 85","Hébertville",46,82,7,21,0,2,158,309
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 86","Hébertville",51,87,8,25,6,1,178,380
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 87","Saint-Gédéon",57,112,4,35,5,2,215,480
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 88","Saint-Gédéon",30,81,6,23,4,6,150,345
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 89","Saint-Gédéon",50,72,2,27,0,0,151,287
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 90","Saint-Gédéon",38,88,7,16,2,6,157,377
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 91","Saint-Gédéon",27,59,6,12,2,5,111,270
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 92","Métabetchouan--Lac-à-la-Croix",19,54,3,16,1,3,96,256
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 93","Métabetchouan--Lac-à-la-Croix",31,49,2,16,2,2,102,281
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 94","Métabetchouan--Lac-à-la-Croix",23,49,8,20,7,4,111,289
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 95","Métabetchouan--Lac-à-la-Croix",39,71,5,17,2,1,135,314
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 96","Métabetchouan--Lac-à-la-Croix",25,44,5,13,2,1,90,240
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 97","Métabetchouan--Lac-à-la-Croix",30,46,4,21,2,8,111,286
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 98","Métabetchouan--Lac-à-la-Croix",34,67,2,40,1,3,147,320
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 99","Métabetchouan--Lac-à-la-Croix",56,72,6,32,7,3,176,404
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 100","Métabetchouan--Lac-à-la-Croix",49,89,3,31,4,7,183,322
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 101","Métabetchouan--Lac-à-la-Croix",48,87,3,29,3,8,178,382
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 102","Desbiens",45,76,6,30,0,4,161,314
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 103","Desbiens",27,73,1,12,3,3,119,243
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 104","Desbiens",25,56,6,29,1,1,118,251
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 105","Saint-André-du-Lac-Saint-Jean",44,88,3,43,3,8,189,376
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 106","Chambord",48,56,7,25,3,2,141,341
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 107A","Chambord",39,60,2,20,3,3,127,311
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 107B","Mobile poll/Bureau itinérant",4,12,0,7,0,2,25,32
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 108","Chambord",43,81,6,21,3,0,154,392
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 109","Chambord",30,65,3,18,2,4,122,327
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 110","Saint-François-de-Sales",39,68,3,33,7,1,151,314
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 111","Saint-François-de-Sales",16,62,0,27,5,3,113,221
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 112","Lac-Bouchette",51,72,6,25,2,6,162,318
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 113","Lac-Bouchette",27,67,5,27,0,3,129,316
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 114","Lac-Bouchette",57,85,5,32,1,3,183,342
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 115","Roberval",35,78,6,23,3,5,150,417
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 116","Roberval",24,31,4,17,4,0,80,371
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 117","Roberval",24,25,4,10,0,2,65,337
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 118","Roberval",14,34,3,20,2,2,75,374
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 119","Roberval",15,38,4,18,3,4,82,348
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 120","Roberval",25,59,5,20,0,2,111,311
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 121","Roberval",44,49,3,22,4,8,130,424
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 122","Roberval",34,62,4,18,0,5,123,332
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 123","Roberval",21,43,6,30,1,0,101,354
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 124","Roberval",33,58,4,18,3,2,118,382
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 125","Roberval",35,81,5,22,1,2,146,406
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 126","Roberval",32,57,8,21,1,2,121,335
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 127","Roberval",27,51,6,14,4,0,102,357
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 128","Roberval",36,71,1,25,1,0,134,375
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 129","Roberval",49,62,8,26,4,4,153,442
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 130","Roberval",24,53,5,15,0,1,98,330
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 131","Roberval",42,53,9,20,4,2,130,383
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 132","Roberval",51,82,10,35,2,5,185,472
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 133","Roberval",57,48,10,15,3,4,137,372
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 134","Roberval",42,39,5,17,3,2,108,382
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 135","Roberval",34,69,11,20,4,2,140,395
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 136","Sainte-Hedwidge",73,90,1,27,5,11,207,378
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 137","Sainte-Hedwidge",62,74,4,15,5,0,160,321
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 138","Mashteuiatsh",18,15,3,38,3,0,77,391
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 139A","Mashteuiatsh",7,1,1,57,1,0,67,389
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 139B","Mobile poll/Bureau itinérant",1,1,0,8,0,0,10,12
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 140","Mashteuiatsh",7,9,1,47,1,0,65,397
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 141","Mashteuiatsh",12,19,4,41,1,1,78,541
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 142","Saint-Prime",55,51,6,13,4,1,130,296
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 143","Saint-Prime",47,93,8,24,0,6,178,429
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 144","Saint-Prime",42,80,11,20,4,2,159,369
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 145","Saint-Prime",37,69,6,21,4,7,144,358
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 146","Saint-Prime",47,65,7,15,5,7,146,354
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 147A","Saint-Prime",36,57,4,12,1,5,115,347
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 147B","Saint-Prime",Merged with No./Fusionné avec le n°136,,,,,,,9
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 148","Saint-Félicien",20,57,2,18,2,4,103,378
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 149","Saint-Félicien",26,69,7,46,3,0,151,453
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 150","Saint-Félicien",36,48,2,12,2,11,111,435
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 151","Saint-Félicien",47,98,8,46,2,11,212,542
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 152","Saint-Félicien",45,74,3,30,2,2,156,443
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 153","Saint-Félicien",36,50,1,19,7,2,115,325
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 154","Saint-Félicien",60,83,9,36,4,6,198,485
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 155","Saint-Félicien",38,61,13,16,10,4,142,394
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 156","Saint-Félicien",46,73,2,25,4,3,153,403
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 157","Saint-Félicien",43,64,4,34,2,4,151,413
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 158","Saint-Félicien",44,51,4,14,3,2,118,425
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 159","Saint-Félicien",35,93,7,28,4,9,176,457
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 160","La Doré",31,46,4,28,0,3,112,288
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 161","La Doré",21,54,2,18,2,1,98,244
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 162","La Doré",49,65,1,11,1,0,127,299
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 163","La Doré",27,73,4,14,2,4,124,272
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 164","Saint-Félicien",38,57,2,25,6,2,130,398
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 165","Saint-Félicien",34,80,2,28,2,3,149,363
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 166","Saint-Félicien",37,69,2,27,3,3,141,371
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 167","Saint-Félicien",55,50,6,26,3,8,148,395
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 168","Saint-Félicien",59,81,3,19,5,1,168,358
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 169","Saint-Félicien",42,75,4,32,5,3,161,388
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 170","Saint-Félicien",47,92,8,22,1,2,172,466
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 171","Saint-Thomas-Didyme",40,83,0,29,5,4,161,342
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 172","Saint-Thomas-Didyme",49,74,0,14,0,4,141,254
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 173","Normandin",69,89,4,31,4,7,204,400
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 174","Normandin",43,73,7,16,3,4,146,300
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 175","Normandin",26,50,7,19,4,4,110,269
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 176","Normandin",44,50,2,22,4,3,125,332
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 177","Normandin",37,38,4,17,1,2,99,287
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 178","Normandin",37,70,8,29,3,6,153,373
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 179","Normandin",36,63,5,29,0,6,139,325
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 180","Saint-Edmond",43,106,5,25,2,3,184,300
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 181","Albanel",38,49,0,19,4,1,111,316
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 182","Albanel",47,69,11,14,0,7,148,404
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 183","Albanel",39,54,4,25,3,4,129,362
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 184","Albanel",49,43,8,22,0,2,124,320
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 185","Albanel",46,73,4,27,2,4,156,351
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 186","Girardville",42,46,3,28,3,2,124,252
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 187","Girardville",43,47,6,31,3,2,132,265
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 188","Girardville",58,59,8,57,2,3,187,326
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 189","Dolbeau-Mistassini",67,68,1,25,1,2,164,429
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 190","Dolbeau-Mistassini",24,50,5,18,1,5,103,364
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 191","Dolbeau-Mistassini",34,53,2,12,0,5,106,334
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 192","Dolbeau-Mistassini",32,54,3,13,2,2,106,341
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 193","Dolbeau-Mistassini",38,54,9,14,0,8,123,379
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 194","Dolbeau-Mistassini",31,58,3,21,5,1,119,360
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 195","Dolbeau-Mistassini",22,31,8,18,3,3,85,319
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 196","Dolbeau-Mistassini",25,40,2,19,1,0,87,350
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 197","Dolbeau-Mistassini",25,36,11,19,2,4,97,383
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 198","Dolbeau-Mistassini",43,54,8,29,1,1,136,395
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 199","Dolbeau-Mistassini",27,72,7,23,2,4,135,359
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 200","Dolbeau-Mistassini",49,68,3,26,0,4,150,377
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 201","Dolbeau-Mistassini",25,54,4,27,1,2,113,418
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 202","Dolbeau-Mistassini",35,69,4,26,0,5,139,366
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 203","Dolbeau-Mistassini",36,60,7,21,2,2,128,373
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 204","Dolbeau-Mistassini",57,59,9,32,1,2,160,457
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 205","Saint-Eugène-d'Argentenay",48,103,5,32,2,4,194,413
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 206","Notre-Dame-de-Lorette",13,37,1,18,0,0,69,149
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 207","Saint-Stanislas",58,73,3,15,7,0,156,297
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 208","Sainte-Élisabeth-de-Proulx",8,27,0,16,1,5,57,149
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 209","Dolbeau-Mistassini",46,75,3,23,2,3,152,456
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 210","Dolbeau-Mistassini",17,43,4,32,5,3,104,372
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 211","Dolbeau-Mistassini",26,58,4,26,1,7,122,354
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 212","Dolbeau-Mistassini",60,62,5,29,1,4,161,421
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 213","Dolbeau-Mistassini",27,69,6,21,0,4,127,412
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 214","Dolbeau-Mistassini",33,67,2,18,1,3,124,415
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 215","Dolbeau-Mistassini",22,43,5,26,2,1,99,348
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 216","Dolbeau-Mistassini",37,39,4,16,0,4,100,331
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 217","Dolbeau-Mistassini",29,46,5,13,1,0,94,346
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 218","Dolbeau-Mistassini",38,57,1,25,2,2,125,377
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 219","Dolbeau-Mistassini",51,53,4,31,1,6,146,349
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 220","Dolbeau-Mistassini",36,62,9,17,2,5,131,296
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 221","Dolbeau-Mistassini",50,78,3,32,3,2,168,338
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 222","Sainte-Jeanne-d'Arc",25,73,3,28,4,2,135,339
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 223","Sainte-Jeanne-d'Arc",49,61,5,29,4,0,148,294
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 224","Sainte-Jeanne-d'Arc",56,48,2,24,2,2,134,280
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 225","Saint-Augustin",47,31,2,14,0,4,98,283
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 226","Péribonka",55,115,4,32,1,4,211,427
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 400","Alma",17,54,1,66,1,17,156,171
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 500","Mobile poll/Bureau itinérant",3,3,0,2,0,2,10,17
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°216,,,,,,,16
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 502","Mobile poll/Bureau itinérant",2,4,2,7,0,0,15,17
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 503","Mobile poll/Bureau itinérant",0,1,1,4,0,0,6,55
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 504","Mobile poll/Bureau itinérant",5,17,0,12,1,2,37,54
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 505","Mobile poll/Bureau itinérant",6,28,2,19,0,7,62,74
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°190,,,,,,,29
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 507","Mobile poll/Bureau itinérant",7,13,0,18,0,7,45,90
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 508","Mobile poll/Bureau itinérant",1,9,0,3,0,1,14,36
