Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Taylor Bachrach,Jody Craven,Lakhwinder Jhaj,Claire Rattee,Rod Taylor,Adeana Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 54","Gitwangak 1",44,7,23,35,2,10,0,121,250
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 55","Port Edward",89,11,15,54,2,6,0,177,393
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 56","Gitsegukla 1",108,2,6,5,0,9,0,130,341
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 57","Skidegate 1",119,4,16,4,1,22,2,168,589
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 58","Queen Charlotte City",52,0,5,8,1,10,1,77,253
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 59","Queen Charlotte",103,4,17,17,2,23,1,167,546
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 60","South Hazelton",26,11,8,22,0,6,0,73,312
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 61","New Hazelton",52,3,9,21,3,0,0,88,326
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 62","New Hazelton",58,4,6,17,2,9,0,96,383
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 63","Terrace",81,14,22,88,4,8,0,217,507
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 64","Terrace",78,7,5,82,7,7,0,186,450
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 65","Terrace",109,12,11,93,2,2,1,230,639
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 66","Terrace",72,4,16,64,3,5,0,164,528
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 67","Terrace",81,5,18,58,1,1,0,164,480
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 68","Terrace",66,13,9,58,3,5,0,154,434
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 69","Moricetown 1",147,4,11,16,9,13,0,200,480
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 70","Takla Landing",23,2,2,0,1,2,0,30,151
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 71","Kitsumkaylum 1",126,6,8,19,2,5,0,166,374
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 72","Sandspit",79,9,15,42,0,19,0,164,258
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 73","Terrace",104,14,13,104,3,6,1,245,540
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 74","Terrace",70,6,24,67,2,7,1,177,503
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 75","Terrace",68,9,14,51,3,6,0,151,465
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 76","Terrace",69,9,14,30,3,5,2,132,437
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 77","Terrace",69,7,21,36,1,12,1,147,490
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 78","Terrace",46,8,17,37,0,3,0,111,434
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 79","Terrace",57,9,15,36,7,5,0,129,431
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 80","Terrace",76,9,13,47,2,3,2,152,458
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 81","Kitkatla",43,0,4,2,0,2,3,54,228
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 82","Terrace",63,12,12,49,3,6,0,145,436
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 83","Kitimat-Stikine C (Part 1)",82,12,12,48,2,1,1,158,486
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 84","Terrace",67,2,11,21,0,1,0,102,356
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 85","Terrace",53,11,10,33,2,1,1,111,429
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 86","Terrace",47,8,8,37,0,1,1,102,345
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 87","Terrace",59,18,13,60,2,1,0,153,429
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 88","Bulkley-Nechako A",55,18,8,53,13,5,0,152,354
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 89","Thornhill",63,16,12,67,2,6,0,166,325
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 90","Thornhill",63,9,9,46,3,9,0,139,462
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 91","Thornhill",52,9,24,45,0,6,1,137,467
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 92","Thornhill",52,14,10,63,2,5,0,146,445
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 93","Thornhill",53,4,7,63,1,4,0,132,344
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 94","Kulspai 6",44,7,12,29,1,0,0,93,353
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 95","Thornhill",43,16,5,54,1,0,0,119,301
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 96","Thornhill",47,12,3,65,4,2,0,133,344
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 97","Terrace",47,15,12,74,1,9,0,158,471
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 98","Thornhill",63,13,10,72,2,8,1,169,449
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 99","Evelyn",42,23,4,70,13,8,0,160,538
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 100","Bulkley-Nechako A",50,7,3,89,11,5,0,165,505
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 101","Bulkley-Nechako A",51,12,8,55,1,3,1,131,475
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 102","Smithers",42,8,3,43,5,6,0,107,462
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 103","Bulkley-Nechako A",45,9,13,89,8,7,0,171,570
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 104","Smithers",54,8,5,56,4,7,0,134,510
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 105","Smithers",51,7,13,66,5,3,0,145,519
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 106","Smithers",78,5,10,44,2,8,0,147,489
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 107","Smithers",86,5,9,43,3,8,0,154,564
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 108","Bulkley-Nechako A",46,17,7,59,21,9,0,159,518
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 109","Smithers",57,6,7,38,6,3,1,118,500
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 110","Bulkley-Nechako A",52,7,6,52,9,6,0,132,506
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 111","Usk",95,14,16,41,3,5,0,174,438
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 112","Germansen Landing",11,3,1,18,1,1,1,36,46
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 113","Lakelse Lake",29,9,10,73,0,4,1,126,263
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 114","Kitimat",56,4,18,67,2,2,0,149,523
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 115","Kitimat",44,3,6,65,0,5,0,123,383
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 116","Kitimat",59,10,17,52,0,3,2,143,424
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 117","Kitimat",56,14,8,58,1,4,0,141,432
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 118","Kitimat",49,11,20,82,4,6,3,175,452
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 119","Kitimat",76,11,23,83,8,2,0,203,509
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 120","Kitimat",47,9,16,69,0,3,3,147,478
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 121","Kitimat",50,8,9,67,1,3,2,140,431
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 122","Bulkley-Nechako A",26,9,0,56,11,5,0,107,426
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 123","Telkwa",44,16,13,81,22,6,0,182,616
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 124","Telkwa",58,19,11,118,12,6,0,224,529
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 125","Telkwa",63,17,10,97,16,8,2,213,489
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 126","Telkwa",44,19,8,71,6,5,0,153,360
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 127","Round Lake",48,10,1,84,14,4,2,163,491
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 128","Kitimat",53,18,7,99,4,2,2,185,500
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 129","Kitimat",51,4,6,61,0,0,2,124,431
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 130","Kitimat",45,4,15,50,1,2,0,117,443
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 131","Kitimat",46,11,11,57,2,5,0,132,510
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 132","Kitimat",50,6,18,86,1,2,1,164,622
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 133","Kitamaat Village",135,3,13,5,0,6,1,163,426
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 134","Tlell",63,5,4,14,1,12,0,99,201
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 135","Granisle",63,18,31,83,2,8,1,206,401
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 136","Houston",17,10,6,69,0,4,0,106,360
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 137","Houston",27,9,8,88,5,7,1,145,330
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 138","Houston",24,8,5,46,0,1,1,85,328
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 139","Houston",18,8,7,85,13,1,0,132,157
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 140","Houston",Merged with No./Fusionné avec le n°139,,,,,,,,296
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 141","Houston",15,7,13,61,2,0,0,98,364
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 142","Houston",19,9,10,53,1,1,0,93,321
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 143","Houston",Merged with No./Fusionné avec le n°139,,,,,,,,85
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 144","Houston",17,8,14,49,5,3,0,96,450
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 145","Burns Lake",41,10,4,41,1,1,1,99,355
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 146","Burns Lake",55,8,6,48,2,4,0,123,464
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 147","Burns Lake",105,4,21,31,1,4,0,166,455
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 148","Burns Lake",39,5,7,35,2,3,1,92,347
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 149","Burns Lake",35,3,10,43,1,2,0,94,292
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 150","Burns Lake",42,8,3,39,0,2,0,94,318
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 151","Burns Lake",25,9,5,58,1,4,0,102,379
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 152","Topley",37,10,13,82,3,7,8,160,371
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 153","Hartley Bay",36,1,0,0,0,0,0,37,82
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 154","Decker Lake",53,19,12,83,3,2,0,172,413
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 155","Tachie",47,7,8,1,3,2,0,68,147
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 156","Yekooche",1,0,1,1,0,2,0,5,10
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 157","Noralee",13,4,6,35,0,3,0,61,115
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 158","Wistaria",3,0,0,14,5,2,0,24,31
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 159","François Lake",49,13,16,97,5,7,1,188,445
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 160","Fort St. James",32,15,10,37,4,4,0,102,424
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 161","Fort St. James",45,17,17,55,3,4,2,143,414
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 162","Fort St. James",48,9,11,36,0,4,1,109,310
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 163","Fort St. James",29,14,7,21,0,6,1,78,311
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 164","Fort St. James",24,4,9,13,2,3,1,56,256
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 165","Fort St. James",22,6,11,18,0,0,0,57,384
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 166","Fort St. James",52,9,14,22,0,5,0,102,510
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 167","Fort St. James",18,9,6,15,0,3,0,51,243
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 168","Endako",13,11,1,34,4,1,0,64,206
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 169","Southbank",21,13,7,39,2,3,0,85,242
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 170","Fraser Lake",26,7,11,34,0,2,0,80,271
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 171","Fraser Lake",30,14,7,30,0,2,1,84,336
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 172","Fraser Lake",21,3,6,20,4,2,1,57,255
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 173","Fraser Lake",46,10,7,43,2,7,0,115,368
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 174","Glenannan",14,6,4,18,1,3,0,46,133
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 175","Grassy Plains",35,20,15,88,0,4,1,163,307
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 176","Klemtu",37,1,1,9,0,3,0,51,181
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 177","Fort Fraser",17,21,12,53,1,2,1,107,221
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 178","Fort Fraser",50,54,18,81,4,8,0,215,514
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 179","Ocean Falls",1,3,2,5,0,0,0,11,33
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 180","Bella Bella 1",68,0,11,11,0,6,0,96,477
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 181","Bella Bella 1",74,0,5,2,1,5,0,87,337
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 182A","Bella Coola 1",77,8,3,5,0,1,0,94,373
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 182B","Bella Coola 1",Merged with No./Fusionné avec le n°183,,,,,,,,306
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 183","Bella Coola",76,16,3,8,0,7,1,111,90
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 184","Bella Coola",52,24,7,22,1,11,0,117,233
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 185","Shearwater",12,0,9,9,0,3,0,33,73
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 186","Hagensborg",53,27,7,28,3,10,0,128,283
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 187","Hagensborg",59,24,8,16,1,13,1,122,258
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°46,,,,,,,,1
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 501","Mobile poll/Bureau itinérant",5,1,2,2,1,1,2,14,21
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 502","Mobile poll/Bureau itinérant",4,0,1,1,1,2,0,9,11
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 503","Mobile poll/Bureau itinérant",Results combined with no. 509/Résultats combinés au n° 509,,,,,,,,3
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 504","Mobile poll/Bureau itinérant",7,0,7,2,0,0,0,16,48
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 505","Mobile poll/Bureau itinérant",4,2,5,0,3,0,1,15,20
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 506","Terrace",Merged with No./Fusionné avec le n°87,,,,,,,,35
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 507","Terrace",Merged with No./Fusionné avec le n°87,,,,,,,,20
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 508","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,0
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 509","Mobile poll/Bureau itinérant",10,0,9,8,3,2,3,35,1
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 510","Mobile poll/Bureau itinérant",Results combined with no. 509/Résultats combinés au n° 509,,,,,,,,22
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 511","Mobile poll/Bureau itinérant",Results combined with no. 509/Résultats combinés au n° 509,,,,,,,,17
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 512","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,10
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 513","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,10
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 514","Mobile poll/Bureau itinérant",4,3,3,3,2,1,0,16,23
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 515","Mobile poll/Bureau itinérant",1,0,0,2,0,0,0,3,2
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 516","Mobile poll/Bureau itinérant",3,1,3,1,0,0,0,8,12
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 600","Atlin",27,10,7,58,0,3,0,105,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 601","Dease Lake",5,0,5,7,1,2,0,20,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 602","Stewart",11,14,10,80,5,1,1,122,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 603","Aiyansh",47,0,2,4,1,4,1,59,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 604","Hazelton",76,6,6,44,4,17,0,153,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 605","Hazelton",156,34,15,100,16,20,1,342,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 606","Bulkley-Nechako A",279,76,26,428,32,22,5,868,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 607","Smithers",369,74,40,443,41,28,7,1002,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 608","Fort St. James",219,124,79,223,8,19,1,673,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 609","Fraser Lake",168,94,49,292,11,13,2,629,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 610","Burns Lake",237,96,65,604,22,18,7,1049,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 611","Houston",137,86,64,528,30,17,10,872,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 612","Telkwa",290,88,32,481,46,19,0,956,
