Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alan Aubut,Tracey MacKinnon,Adelina Pecchia,Marcus Powlowski,Yuk-Sem Won,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 18","Atikokan",8,2,18,24,30,1,83,282
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 19","Dance",17,2,69,25,35,0,148,269
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 20","Pinewood",35,2,147,39,46,3,272,445
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 21A","Bear Pass",0,2,20,26,12,0,60,147
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 21B","Bear Pass",0,0,1,8,41,1,51,71
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 22","Mine Centre",7,0,16,5,10,0,38,85
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 23","Rainy Lake 18C",1,0,0,13,33,0,47,63
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 24","Emo",52,3,175,24,39,0,293,455
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 25","Emo",17,4,85,43,29,0,178,282
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 26","Emo",18,2,103,21,36,3,183,351
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 27","Barwick",24,3,66,16,14,0,123,244
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 28","Shabaqua",18,3,46,25,24,2,118,319
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 29","Mokomon",11,3,62,38,37,1,152,323
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 30","Thunder Bay, Unorganized",18,2,49,34,42,0,145,307
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 31","Atikokan",7,3,27,24,22,0,83,270
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 32","Atikokan",9,3,29,18,23,0,82,266
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 33","Atikokan",11,3,38,34,23,0,109,351
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 34","Atikokan",10,4,24,15,33,1,87,275
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 35","Manitou Rapids 11",2,0,4,13,57,0,76,184
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 36","Alberton",12,1,84,30,58,1,186,298
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 37","Alberton",32,2,120,47,36,1,238,477
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 38","Seine River 23A",1,2,0,12,36,0,51,143
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 39","Fort Frances",12,1,49,36,55,0,153,422
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 40","Fort Frances",8,0,38,22,37,0,105,280
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 41","Fort Frances",18,1,79,49,93,1,241,549
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 42","Fort Frances",18,4,95,85,66,1,269,484
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 43","Fort Frances",6,2,52,23,51,1,135,324
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 44","Fort Frances",7,0,52,42,56,2,159,405
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 45","Fort Frances",8,0,33,24,54,0,119,419
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 46","Fort Frances",9,2,47,27,46,0,131,373
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 47","Fort Frances",9,5,51,55,56,0,176,408
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 48","Fort Frances",3,6,41,30,53,1,134,380
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 49","Fort Frances",3,1,26,49,34,0,113,293
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 50","Fort Frances",3,4,44,51,46,2,150,363
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 51","Fort Frances",13,6,36,34,57,1,147,393
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 52","Fort Frances",6,0,51,36,47,0,140,420
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 53","Fort Frances",6,2,42,35,47,0,132,370
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 54","Devlin",36,3,138,74,74,0,325,568
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 55","Sapawe",11,0,37,21,19,0,88,178
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 56","Shebandowan",1,2,36,30,5,0,74,126
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 57","Oliver Paipoonge",11,3,62,69,48,1,194,450
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 58","Millar",23,2,67,44,52,0,188,408
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 59","Oliver Paipoonge",21,4,74,57,45,0,201,338
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 60","Murillo",5,2,57,69,38,1,172,373
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 61","Oliver Paipoonge",13,3,74,35,34,0,159,279
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 62","Thunder Bay",12,0,39,58,75,0,184,518
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 63","Thunder Bay",7,3,41,60,48,2,161,514
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 64","Kakabeka Falls",9,1,43,16,18,1,88,270
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 65","Thunder Bay",3,2,24,36,42,0,107,300
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 66","Thunder Bay",6,1,23,68,43,1,142,350
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 67","Thunder Bay",12,4,22,48,55,1,142,365
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 68","Thunder Bay",6,0,42,57,58,1,164,376
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 69","Thunder Bay",3,5,33,94,58,2,195,490
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 70","Thunder Bay",14,6,42,80,54,1,197,544
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 71","Thunder Bay",3,0,25,77,58,0,163,378
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 72","Thunder Bay",18,1,53,73,74,2,221,570
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 73","Thunder Bay",5,2,31,34,68,1,141,450
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 74","Thunder Bay",7,2,18,36,26,0,89,290
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 75","Thunder Bay",6,0,17,24,10,1,58,259
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 76","Thunder Bay",18,3,43,66,72,0,202,467
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 77","Thunder Bay",6,1,41,94,36,0,178,514
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 78","Thunder Bay",3,2,23,47,18,0,93,264
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 79","Thunder Bay",10,5,18,44,75,0,152,455
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 80","Thunder Bay",12,8,23,61,76,4,184,524
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 81","Neguaguon Lake 25D",0,0,0,5,24,0,29,142
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 82","Thunder Bay",12,4,38,61,65,0,180,430
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 83","Thunder Bay",7,0,30,59,29,1,126,251
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 84","Thunder Bay",4,4,31,65,45,2,151,317
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 85","Thunder Bay",5,3,35,103,59,1,206,466
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 86","Thunder Bay",13,2,30,30,63,0,138,446
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 87","Thunder Bay",7,0,24,41,65,1,138,419
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 88","Thunder Bay",11,1,21,52,62,0,147,407
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 89","Thunder Bay",8,7,29,41,70,0,155,424
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 90","Thunder Bay",11,4,20,32,42,0,109,375
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 91","Thunder Bay",6,3,29,47,43,3,131,311
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 92","Thunder Bay",15,1,29,38,37,1,121,282
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 93","Thunder Bay",7,3,32,58,41,1,142,309
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 94","Thunder Bay",12,2,23,40,44,0,121,359
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 95","Thunder Bay",13,4,27,51,55,0,150,325
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 96","Thunder Bay",4,3,27,44,42,3,123,348
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 97","Thunder Bay",10,0,93,90,50,0,243,494
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 98","Thunder Bay",4,1,100,125,66,2,298,712
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 99","Thunder Bay",6,2,60,106,45,6,225,522
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 100","Thunder Bay",7,3,84,99,51,1,245,483
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 101","Thunder Bay",11,1,72,71,36,0,191,423
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 102","Thunder Bay",2,8,14,36,35,0,95,281
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 103","Thunder Bay",5,4,37,75,74,0,195,512
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 104","Thunder Bay",4,4,15,62,34,2,121,265
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 105","Thunder Bay",10,2,44,76,48,0,180,353
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 106","Thunder Bay",9,1,28,28,41,0,107,272
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 107","Thunder Bay",16,3,9,51,37,0,116,379
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 108","Thunder Bay",19,4,40,52,50,3,168,379
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 109","Thunder Bay",9,0,17,41,75,3,145,377
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 110","Thunder Bay",14,3,32,54,69,1,173,383
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 111","Thunder Bay",4,4,36,81,22,1,148,349
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 112","Thunder Bay",10,3,58,76,48,5,200,379
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 113","Thunder Bay",4,1,62,64,30,3,164,379
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 114","Thunder Bay",6,4,44,76,60,3,193,443
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 115","Thunder Bay",5,1,24,58,31,0,119,371
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 116","Thunder Bay",7,3,44,66,55,1,176,411
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 117","Thunder Bay",11,26,2,71,46,0,156,408
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 118","Thunder Bay",9,1,25,57,54,1,147,409
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 119","Thunder Bay",4,1,37,50,58,0,150,433
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 120","Thunder Bay",6,4,26,33,51,1,121,380
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 121","Thunder Bay",10,4,43,77,92,0,226,482
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 122","Thunder Bay",9,2,28,36,49,2,126,578
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 123","Thunder Bay",13,5,52,81,60,0,211,432
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 124","Thunder Bay",6,1,36,58,51,0,152,329
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 125","Thunder Bay",10,1,50,80,71,2,214,421
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 126","Thunder Bay",13,2,28,57,61,1,162,383
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 127","Thunder Bay",8,3,36,52,47,0,146,327
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 128","Thunder Bay",6,0,35,67,82,1,191,421
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 129","Thunder Bay",12,3,36,69,68,0,188,414
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 130","Thunder Bay",1,0,15,29,40,1,86,250
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 131","Thunder Bay",5,1,21,49,46,2,124,428
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 132","Thunder Bay",6,1,26,41,49,0,123,364
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 133","Thunder Bay",13,1,32,56,49,0,151,404
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 134","Thunder Bay",12,5,48,64,81,1,211,529
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 135","Thunder Bay",9,6,36,47,66,3,167,532
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 136","Rosslyn Village",11,3,72,48,38,1,173,315
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 137","Jelly",9,1,94,56,38,0,198,395
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 138","Rosslyn Village",8,0,80,83,44,2,217,387
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 139","Oliver Paipoonge",9,0,95,91,36,0,231,435
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 140","Thunder Bay",8,5,29,55,76,1,174,430
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 141","Thunder Bay",15,3,29,87,68,3,205,458
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 142","Thunder Bay",13,2,51,85,61,4,216,497
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 143","Thunder Bay",8,7,31,45,72,3,166,468
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 144","Thunder Bay",5,2,68,56,44,1,176,379
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 145","Thunder Bay",1,2,51,67,30,0,151,319
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 146","Thunder Bay",7,1,46,63,50,0,167,368
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 147","Thunder Bay",10,0,43,53,48,2,156,321
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 148","Thunder Bay",15,5,40,31,62,3,156,384
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 149","Thunder Bay",9,1,39,21,61,1,132,392
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 150","Thunder Bay",1,0,27,39,50,2,119,349
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 151","Thunder Bay",12,5,35,72,92,0,216,455
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 152","Thunder Bay",8,2,26,34,45,0,115,337
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 153","Stanley",23,1,74,64,61,0,223,479
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 154","Thunder Bay",18,0,56,77,42,0,193,397
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 155","Thunder Bay",8,2,36,63,58,0,167,371
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 156","Thunder Bay",12,3,43,47,44,0,149,381
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 157","Thunder Bay",9,3,63,77,51,0,203,378
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 158","Thunder Bay",16,4,67,84,34,1,206,406
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 159","Thunder Bay",9,2,51,86,35,0,183,332
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 160","O'Connor",14,3,62,48,44,0,171,352
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 161","O'Connor",22,5,47,36,59,3,172,371
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 162","Thunder Bay",10,2,64,85,64,3,228,511
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 163","Thunder Bay",7,0,79,105,48,2,241,485
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 164","Thunder Bay",5,3,85,91,43,2,229,475
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 165","Thunder Bay",9,5,78,118,55,1,266,546
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 166","Thunder Bay",6,2,89,98,47,3,245,471
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 167","Paipoonge",17,2,80,52,39,3,193,278
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 168","McCluskeys Corners",18,6,134,71,44,0,273,443
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 169","Fort William 52",7,0,6,52,39,1,105,464
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 170","Fort William 52",3,0,3,46,26,0,78,360
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 171","Hymers",13,1,39,24,32,1,110,195
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 172","Scoble",23,5,91,57,61,2,239,542
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 173","South Gillies",24,4,40,35,47,3,153,244
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 174","Nolalu",59,7,60,64,48,0,238,502
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 175","Moose Hill",28,4,96,64,54,1,247,400
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 176","Cloud Bay",23,7,86,75,55,3,249,465
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 177","Pardee",10,5,26,21,23,0,85,188
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 400","Thunder Bay",2,0,15,55,5,9,86,132
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 401","Mobile poll/Bureau itinérant",2,1,10,15,6,4,38,81
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 500","Mobile poll/Bureau itinérant",4,9,18,53,16,4,104,476
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 501","Mobile poll/Bureau itinérant",3,2,13,28,7,4,57,87
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 502","Mobile poll/Bureau itinérant",1,1,7,22,8,2,41,51
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 503","Mobile poll/Bureau itinérant",0,0,5,12,4,1,22,130
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 600","Rainy River",28,1,170,75,51,1,326,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 601","Fort Frances",50,5,198,84,78,1,416,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 602","Fort Frances",49,7,330,242,227,7,862,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 603","Atikokan",41,7,182,181,156,1,568,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 604","Kakabeka Falls",116,8,432,338,208,5,1107,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 605","Thunder Bay",58,15,415,521,230,7,1246,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 606","Thunder Bay",37,9,307,676,282,6,1317,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 607","Thunder Bay",60,5,132,296,305,1,799,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 608","Thunder Bay",59,14,202,424,269,2,970,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 609","Thunder Bay",47,9,353,659,393,7,1468,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 610","Thunder Bay",51,6,291,386,223,2,959,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 611","Neebing--Oliver Paipoonge",36,7,110,75,86,1,315,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River",,Group 1/Groupe 1, 25,8,88,117,104,31,373,137
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River",,Group 2/Groupe 2, 83,18,401,616,459,50,1627,
