Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Olumide Adewumi,Earl Dreeshen,Marie Grabowski,Kelly Lorencz,Jared Pilon,Mark Wilcox,Clayten Willington,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 514","Mobile poll/Bureau itinérant",2,13,0,2,0,0,0,2,19,60
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 515","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,5
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 516","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,15
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 517","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,23
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 518","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,28
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 519","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,67
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 520","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,63
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 521","Mobile poll/Bureau itinérant",9,46,6,2,1,1,1,0,66,54
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 600","Red Deer County",26,655,61,141,1,24,9,1,918,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 601","Red Deer",86,541,123,79,5,17,3,1,855,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 602","Red Deer",61,359,163,83,2,11,7,4,690,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 603","Red Deer",60,526,140,139,1,20,3,2,891,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 604","Red Deer",93,641,137,94,2,18,9,2,996,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 605","Red Deer",62,578,132,92,0,9,1,0,874,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 606","Red Deer",70,704,102,74,2,18,3,3,976,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 607","Red Deer",83,852,156,134,2,25,7,2,1261,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 608","Penhold",47,575,115,143,7,23,4,3,917,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 609","Red Deer",78,898,152,127,7,22,6,6,1296,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 610","Red Deer County",14,349,39,47,3,21,4,0,477,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 611","Delburne",27,579,66,81,2,24,5,2,786,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 612","Bowden",38,979,133,194,2,49,5,4,1404,
