Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vincent Aubé,Ramez Ayoub,Marc Bissonnette,Louise Chabot,Simon Paré-Poupart,Julienne Soumaoro,Peggy Tassignon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 153","Blainville",9,50,17,38,1,18,1,0,134,385
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 154","Sainte-Thérèse",7,50,25,90,4,12,0,2,190,429
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 155","Sainte-Thérèse",1,53,14,68,8,12,0,2,158,389
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 156","Sainte-Thérèse",4,51,7,67,2,24,0,1,156,413
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 157","Sainte-Thérèse",7,84,14,62,1,14,0,2,184,406
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 158","Sainte-Thérèse",10,27,11,49,2,9,3,4,115,319
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 159","Sainte-Thérèse",2,72,19,63,6,7,2,3,174,449
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 160","Sainte-Thérèse",5,67,15,60,4,22,1,2,176,416
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 161","Sainte-Thérèse",3,52,16,61,4,11,0,0,147,376
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 162","Sainte-Thérèse",9,39,14,37,5,19,2,3,128,363
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 163","Sainte-Thérèse",9,58,31,98,4,19,3,8,230,624
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 164","Sainte-Thérèse",8,58,17,65,4,24,0,1,177,484
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 165","Sainte-Thérèse",6,33,12,68,9,26,2,7,163,456
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 166","Sainte-Thérèse",8,54,20,66,3,13,4,5,173,443
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 167","Sainte-Thérèse",6,34,12,57,7,20,0,2,138,427
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 168","Sainte-Thérèse",4,31,10,46,2,21,3,3,120,371
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 169","Sainte-Thérèse",8,31,7,46,4,17,1,4,118,395
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 170","Sainte-Thérèse",2,36,7,64,4,11,1,3,128,372
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 171","Sainte-Thérèse",2,165,24,100,3,4,2,19,319,449
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 172","Sainte-Thérèse",5,31,11,70,6,21,0,3,147,384
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 173","Sainte-Thérèse",6,34,11,46,8,25,4,1,135,340
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 174","Sainte-Thérèse",2,37,6,56,7,26,1,0,135,361
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 175","Sainte-Thérèse",6,39,10,59,4,13,4,6,141,376
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 176","Sainte-Thérèse",5,30,3,74,5,17,1,6,141,388
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 177","Sainte-Thérèse",8,36,11,52,6,9,1,2,125,413
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 178","Sainte-Thérèse",3,42,11,41,7,30,0,0,134,395
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 179","Sainte-Thérèse",5,23,6,44,4,18,0,1,101,374
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 180","Sainte-Thérèse",7,42,8,54,6,17,1,5,140,406
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 181","Sainte-Thérèse",5,37,21,33,3,8,1,1,109,329
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 182","Sainte-Thérèse",10,23,13,49,8,26,2,4,135,475
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 183","Sainte-Thérèse",7,43,15,63,7,18,2,4,159,455
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 184","Sainte-Thérèse",11,47,16,51,1,15,1,5,147,490
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 185","Sainte-Thérèse",6,54,15,69,5,18,2,3,172,545
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 186","Sainte-Thérèse",7,44,10,59,4,28,2,4,158,502
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 187","Sainte-Thérèse",6,37,19,46,8,24,1,5,146,399
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 400","Blainville",2,147,27,119,0,2,0,9,306,419
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 401","Blainville",0,64,5,37,0,0,2,0,108,135
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 402","Sainte-Thérèse",4,110,8,60,2,3,3,5,195,279
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 403","Sainte-Thérèse",6,91,19,42,2,3,2,12,177,247
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 404","Lorraine",1,52,24,43,2,0,2,0,124,167
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 500","Bois-des-Filion",Merged with No./Fusionné avec le n°26,,,,,,,,,27
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 501","Mobile poll/Bureau itinérant",3,23,2,12,1,1,2,4,48,72
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 502","Mobile poll/Bureau itinérant",0,23,2,17,0,0,1,2,45,78
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 503","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 504","Blainville",Merged with No./Fusionné avec le n°128,,,,,,,,,6
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 505","Mobile poll/Bureau itinérant",1,21,3,10,0,0,1,3,39,51
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 506","Sainte-Thérèse",Merged with No./Fusionné avec le n°158,,,,,,,,,51
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 507","Sainte-Thérèse",Merged with No./Fusionné avec le n°158,,,,,,,,,33
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 508","Sainte-Thérèse",Merged with No./Fusionné avec le n°158,,,,,,,,,46
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 509","Sainte-Thérèse",Merged with No./Fusionné avec le n°158,,,,,,,,,33
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 510","Mobile poll/Bureau itinérant",2,47,2,30,0,1,2,2,86,127
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°512,,,,,,,,,9
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 512","Mobile poll/Bureau itinérant",1,1,1,1,0,0,0,2,6,7
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 513","Sainte-Thérèse",Merged with No./Fusionné avec le n°185,,,,,,,,,57
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 514","Mobile poll/Bureau itinérant",1,16,2,15,0,0,3,2,39,40
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°514,,,,,,,,,18
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 516","Mobile poll/Bureau itinérant",1,15,1,15,0,0,2,3,37,54
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 517","Mobile poll/Bureau itinérant",1,0,3,5,0,0,1,4,14,14
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 518","Blainville",Merged with No./Fusionné avec le n°66,,,,,,,,,58
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 519","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°517,,,,,,,,,23
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 520","Sainte-Thérèse",Merged with No./Fusionné avec le n°168,,,,,,,,,33
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 521","Blainville",Merged with No./Fusionné avec le n°82,,,,,,,,,20
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 522","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°517,,,,,,,,,12
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 523","Mobile poll/Bureau itinérant",1,3,3,2,0,1,0,3,13,13
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 524","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°523,,,,,,,,,11
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 525","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°523,,,,,,,,,12
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 600","Blainville",24,525,200,637,23,49,6,15,1479,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 601","Bois-des-Filion",18,322,82,451,16,27,4,15,935,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 602","Bois-des-Filion",15,319,104,427,13,55,11,17,961,
