Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gurmit Bhachu,Jonathan Hagel,Stephanie Kusie,Matt Magolan,Shaun T. Pulsifer,Zarnab Zafar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48008,"Calgary Midnapore/Calgary Midnapore"," 144","Calgary",31,10,62,1,2,17,1,124,360
48008,"Calgary Midnapore/Calgary Midnapore"," 145","Calgary",48,18,101,1,5,35,2,210,535
48008,"Calgary Midnapore/Calgary Midnapore"," 146","Calgary",25,7,56,0,3,25,4,120,452
48008,"Calgary Midnapore/Calgary Midnapore"," 147","Calgary",26,11,93,0,4,26,1,161,387
48008,"Calgary Midnapore/Calgary Midnapore"," 148","Calgary",40,12,98,1,4,24,0,179,401
48008,"Calgary Midnapore/Calgary Midnapore"," 149","Calgary",19,5,103,3,0,9,0,139,341
48008,"Calgary Midnapore/Calgary Midnapore"," 150","Calgary",42,7,108,1,1,20,0,179,384
48008,"Calgary Midnapore/Calgary Midnapore"," 151","Calgary",46,10,107,0,0,21,2,186,404
48008,"Calgary Midnapore/Calgary Midnapore"," 152","Calgary",29,7,94,0,9,9,1,149,375
48008,"Calgary Midnapore/Calgary Midnapore"," 153","Calgary",28,11,136,3,3,31,0,212,448
48008,"Calgary Midnapore/Calgary Midnapore"," 154","Calgary",30,14,58,0,0,20,0,122,346
48008,"Calgary Midnapore/Calgary Midnapore"," 155","Calgary",25,5,89,0,1,20,0,140,368
48008,"Calgary Midnapore/Calgary Midnapore"," 156","Calgary",36,5,95,4,1,19,0,160,395
48008,"Calgary Midnapore/Calgary Midnapore"," 157","Calgary",26,14,123,1,1,30,1,196,504
48008,"Calgary Midnapore/Calgary Midnapore"," 158","Calgary",51,23,158,2,2,54,0,290,697
48008,"Calgary Midnapore/Calgary Midnapore"," 159","Calgary",38,14,122,9,2,55,1,241,551
48008,"Calgary Midnapore/Calgary Midnapore"," 160","Calgary",38,12,176,3,2,54,2,287,709
48008,"Calgary Midnapore/Calgary Midnapore"," 161","Calgary",50,11,129,1,3,48,1,243,604
48008,"Calgary Midnapore/Calgary Midnapore"," 162","Calgary",26,13,118,2,0,20,0,179,434
48008,"Calgary Midnapore/Calgary Midnapore"," 163","Calgary",18,15,84,1,1,16,0,135,337
48008,"Calgary Midnapore/Calgary Midnapore"," 164","Calgary",42,6,118,5,1,17,0,189,471
48008,"Calgary Midnapore/Calgary Midnapore"," 165","Calgary",29,15,123,2,1,20,0,190,482
48008,"Calgary Midnapore/Calgary Midnapore"," 166","Calgary",26,7,68,0,3,19,0,123,309
48008,"Calgary Midnapore/Calgary Midnapore"," 167","Calgary",43,14,117,4,2,23,0,203,453
48008,"Calgary Midnapore/Calgary Midnapore"," 168","Calgary",48,18,110,4,2,26,2,210,442
48008,"Calgary Midnapore/Calgary Midnapore"," 169","Calgary",39,12,107,2,4,22,2,188,414
48008,"Calgary Midnapore/Calgary Midnapore"," 170","Calgary",21,4,109,0,2,25,0,161,385
48008,"Calgary Midnapore/Calgary Midnapore"," 171","Calgary",51,10,174,2,3,27,0,267,551
48008,"Calgary Midnapore/Calgary Midnapore"," 172","Calgary",33,8,172,1,1,16,0,231,569
48008,"Calgary Midnapore/Calgary Midnapore"," 173","Calgary",41,15,158,0,3,33,1,251,551
48008,"Calgary Midnapore/Calgary Midnapore"," 174","Calgary",38,26,128,1,0,28,0,221,543
48008,"Calgary Midnapore/Calgary Midnapore"," 175","Calgary",32,13,127,1,1,24,0,198,484
48008,"Calgary Midnapore/Calgary Midnapore"," 176","Calgary",35,19,127,2,6,18,0,207,391
48008,"Calgary Midnapore/Calgary Midnapore"," 177","Calgary",24,18,101,5,3,24,1,176,406
48008,"Calgary Midnapore/Calgary Midnapore"," 178","Calgary",44,9,149,2,1,23,1,229,553
48008,"Calgary Midnapore/Calgary Midnapore"," 179","Calgary",22,11,69,3,4,17,0,126,342
48008,"Calgary Midnapore/Calgary Midnapore"," 180","Calgary",50,16,162,1,0,26,3,258,549
48008,"Calgary Midnapore/Calgary Midnapore"," 181","Calgary",22,18,140,1,2,23,0,206,567
48008,"Calgary Midnapore/Calgary Midnapore"," 182","Calgary",33,6,104,3,2,16,1,165,408
48008,"Calgary Midnapore/Calgary Midnapore"," 183","Calgary",58,18,116,2,1,38,1,234,466
48008,"Calgary Midnapore/Calgary Midnapore"," 184","Calgary",36,23,107,2,2,28,2,200,484
48008,"Calgary Midnapore/Calgary Midnapore"," 185","Calgary",17,18,132,0,2,21,0,190,484
48008,"Calgary Midnapore/Calgary Midnapore"," 186","Calgary",33,12,93,1,2,29,2,172,389
48008,"Calgary Midnapore/Calgary Midnapore"," 187","Calgary",34,11,96,4,2,32,2,181,484
48008,"Calgary Midnapore/Calgary Midnapore"," 188","Calgary",45,14,84,0,0,20,0,163,402
48008,"Calgary Midnapore/Calgary Midnapore"," 189","Calgary",60,9,107,0,4,23,1,204,484
48008,"Calgary Midnapore/Calgary Midnapore"," 190","Calgary",31,14,138,4,0,40,1,228,510
48008,"Calgary Midnapore/Calgary Midnapore"," 191","Calgary",74,12,146,2,0,46,1,281,644
48008,"Calgary Midnapore/Calgary Midnapore"," 192","Calgary",38,31,129,2,6,42,0,248,594
48008,"Calgary Midnapore/Calgary Midnapore"," 193","Calgary",17,12,51,0,2,28,0,110,343
48008,"Calgary Midnapore/Calgary Midnapore"," 194","Calgary",51,8,120,3,2,43,1,228,528
48008,"Calgary Midnapore/Calgary Midnapore"," 195A","Calgary",45,14,135,1,3,44,0,242,627
48008,"Calgary Midnapore/Calgary Midnapore"," 195B","Calgary",34,19,113,1,1,32,1,201,518
48008,"Calgary Midnapore/Calgary Midnapore"," 195C","Calgary",42,16,124,1,0,51,1,235,588
48008,"Calgary Midnapore/Calgary Midnapore"," 196A","Calgary",54,7,153,1,2,56,1,274,622
48008,"Calgary Midnapore/Calgary Midnapore"," 196B","Calgary",62,20,150,4,3,40,0,279,697
48008,"Calgary Midnapore/Calgary Midnapore"," 196C","Calgary",66,16,187,1,5,42,1,318,755
48008,"Calgary Midnapore/Calgary Midnapore"," 197A","Calgary",37,18,92,2,2,27,1,179,484
48008,"Calgary Midnapore/Calgary Midnapore"," 197B","Calgary",43,9,93,1,3,34,1,184,452
48008,"Calgary Midnapore/Calgary Midnapore"," 198","Calgary",36,18,113,2,3,26,0,198,472
48008,"Calgary Midnapore/Calgary Midnapore"," 199","Calgary",58,17,118,0,1,33,0,227,656
48008,"Calgary Midnapore/Calgary Midnapore"," 200","Calgary",61,10,231,2,4,34,0,342,776
48008,"Calgary Midnapore/Calgary Midnapore"," 201A","Calgary",52,13,117,7,2,39,0,230,528
48008,"Calgary Midnapore/Calgary Midnapore"," 201B","Calgary",40,7,126,3,3,35,1,215,499
48008,"Calgary Midnapore/Calgary Midnapore"," 202A","Calgary",68,16,169,3,2,45,1,304,684
48008,"Calgary Midnapore/Calgary Midnapore"," 202B","Calgary",44,12,182,2,3,39,0,282,646
48008,"Calgary Midnapore/Calgary Midnapore"," 400","Calgary",19,4,21,2,1,14,1,62,320
48008,"Calgary Midnapore/Calgary Midnapore"," 401","Calgary",45,8,70,1,7,25,0,156,532
48008,"Calgary Midnapore/Calgary Midnapore"," 500","Mobile poll/Bureau itinérant",13,2,28,0,1,12,5,61,48
48008,"Calgary Midnapore/Calgary Midnapore"," 501","Mobile poll/Bureau itinérant",2,1,17,1,0,4,1,26,30
48008,"Calgary Midnapore/Calgary Midnapore"," 502","Mobile poll/Bureau itinérant",9,6,34,2,0,13,3,67,108
48008,"Calgary Midnapore/Calgary Midnapore"," 503","Mobile poll/Bureau itinérant",6,1,90,1,1,15,1,115,134
48008,"Calgary Midnapore/Calgary Midnapore"," 504","Mobile poll/Bureau itinérant",6,2,60,2,1,7,1,79,92
48008,"Calgary Midnapore/Calgary Midnapore"," 505","Mobile poll/Bureau itinérant",0,1,11,1,0,6,0,19,51
48008,"Calgary Midnapore/Calgary Midnapore"," 506","Mobile poll/Bureau itinérant",2,3,35,0,0,12,0,52,102
48008,"Calgary Midnapore/Calgary Midnapore"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°89B,,,,,,,,79
48008,"Calgary Midnapore/Calgary Midnapore"," 508","Mobile poll/Bureau itinérant",7,6,61,0,3,11,0,88,118
48008,"Calgary Midnapore/Calgary Midnapore"," 509","Mobile poll/Bureau itinérant",1,1,13,1,1,4,0,21,51
48008,"Calgary Midnapore/Calgary Midnapore"," 510","Mobile poll/Bureau itinérant",3,2,46,0,1,11,0,63,73
48008,"Calgary Midnapore/Calgary Midnapore"," 511","Mobile poll/Bureau itinérant",8,4,52,1,3,16,4,88,178
48008,"Calgary Midnapore/Calgary Midnapore"," 512","Mobile poll/Bureau itinérant",12,4,46,0,0,15,0,77,102
48008,"Calgary Midnapore/Calgary Midnapore"," 513","Mobile poll/Bureau itinérant",8,8,66,0,2,17,0,101,159
48008,"Calgary Midnapore/Calgary Midnapore"," 514","Mobile poll/Bureau itinérant",10,4,69,3,0,13,2,101,153
48008,"Calgary Midnapore/Calgary Midnapore"," 600","Calgary",199,66,537,7,19,123,4,955,
48008,"Calgary Midnapore/Calgary Midnapore"," 601","Calgary",216,66,719,20,23,135,11,1190,
48008,"Calgary Midnapore/Calgary Midnapore"," 602","Calgary",121,51,820,12,14,105,1,1124,
48008,"Calgary Midnapore/Calgary Midnapore"," 603","Calgary",219,59,1388,44,8,171,4,1893,
48008,"Calgary Midnapore/Calgary Midnapore"," 604","Calgary",170,44,772,12,9,112,5,1124,
48008,"Calgary Midnapore/Calgary Midnapore"," 605","Calgary",162,59,632,14,11,86,2,966,
48008,"Calgary Midnapore/Calgary Midnapore"," 606","Calgary",179,59,620,18,17,85,2,980,
48008,"Calgary Midnapore/Calgary Midnapore"," 607","Calgary",151,56,783,17,16,110,3,1136,
48008,"Calgary Midnapore/Calgary Midnapore"," 608","Calgary",161,86,735,24,16,105,0,1127,
48008,"Calgary Midnapore/Calgary Midnapore"," 609","Calgary",157,45,650,14,9,120,0,995,
48008,"Calgary Midnapore/Calgary Midnapore"," 610","Calgary",169,53,705,11,13,99,0,1050,
48008,"Calgary Midnapore/Calgary Midnapore"," 611","Calgary",142,62,636,10,14,115,2,981,
48008,"Calgary Midnapore/Calgary Midnapore"," 612","Calgary",173,84,806,26,12,121,4,1226,
48008,"Calgary Midnapore/Calgary Midnapore"," 613","Calgary",196,74,1068,25,19,106,2,1490,
48008,"Calgary Midnapore/Calgary Midnapore"," 614","Calgary",138,61,1067,22,6,74,2,1370,
48008,"Calgary Midnapore/Calgary Midnapore"," 615","Calgary",153,90,747,9,5,147,2,1153,
48008,"Calgary Midnapore/Calgary Midnapore"," 616","Calgary",183,81,746,10,17,123,3,1163,
48008,"Calgary Midnapore/Calgary Midnapore"," 617","Calgary",139,65,564,4,6,102,0,880,
48008,"Calgary Midnapore/Calgary Midnapore",,Group 1/Groupe 1, 159,40,487,11,12,114,46,869,230
48008,"Calgary Midnapore/Calgary Midnapore",,Group 2/Groupe 2, 580,104,1583,36,37,395,105,2840,
