Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kelly Green,Wes Janke,Heather McPherson,Hibo Mohamed,Tunde Obasan,Malcolm Stinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48019,"Edmonton Strathcona/Edmonton Strathcona"," 83","Edmonton",3,21,179,20,82,5,0,310,404
48019,"Edmonton Strathcona/Edmonton Strathcona"," 84","Edmonton",Merged with No./Fusionné avec le n°83,,,,,,,,403
48019,"Edmonton Strathcona/Edmonton Strathcona"," 85","Edmonton",5,7,105,17,42,2,0,178,456
48019,"Edmonton Strathcona/Edmonton Strathcona"," 86","Edmonton",3,8,78,24,49,2,1,165,437
48019,"Edmonton Strathcona/Edmonton Strathcona"," 87","Edmonton",4,10,79,8,40,0,1,142,353
48019,"Edmonton Strathcona/Edmonton Strathcona"," 88","Edmonton",1,1,137,17,37,0,1,194,382
48019,"Edmonton Strathcona/Edmonton Strathcona"," 89","Edmonton",2,7,131,15,47,0,2,204,416
48019,"Edmonton Strathcona/Edmonton Strathcona"," 90","Edmonton",2,7,161,23,33,1,0,227,458
48019,"Edmonton Strathcona/Edmonton Strathcona"," 91","Edmonton",1,7,106,9,39,0,0,162,396
48019,"Edmonton Strathcona/Edmonton Strathcona"," 92","Edmonton",Merged with No./Fusionné avec le n°135,,,,,,,,380
48019,"Edmonton Strathcona/Edmonton Strathcona"," 93A","Edmonton",2,12,96,24,29,0,1,164,400
48019,"Edmonton Strathcona/Edmonton Strathcona"," 93B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°510,,,,,,,,47
48019,"Edmonton Strathcona/Edmonton Strathcona"," 94","Edmonton",4,15,100,17,62,1,0,199,537
48019,"Edmonton Strathcona/Edmonton Strathcona"," 95","Edmonton",5,12,103,13,17,0,1,151,438
48019,"Edmonton Strathcona/Edmonton Strathcona"," 96","Edmonton",3,10,77,9,40,0,0,139,344
48019,"Edmonton Strathcona/Edmonton Strathcona"," 97","Edmonton",2,9,81,16,27,2,0,137,341
48019,"Edmonton Strathcona/Edmonton Strathcona"," 98","Edmonton",1,11,141,8,30,1,0,192,486
48019,"Edmonton Strathcona/Edmonton Strathcona"," 99","Edmonton",3,11,101,6,30,0,0,151,342
48019,"Edmonton Strathcona/Edmonton Strathcona"," 100","Edmonton",12,14,143,15,37,0,0,221,409
48019,"Edmonton Strathcona/Edmonton Strathcona"," 101","Edmonton",2,13,176,30,46,0,0,267,641
48019,"Edmonton Strathcona/Edmonton Strathcona"," 102","Edmonton",4,10,145,14,43,1,0,217,435
48019,"Edmonton Strathcona/Edmonton Strathcona"," 103","Edmonton",4,9,145,9,37,1,1,206,433
48019,"Edmonton Strathcona/Edmonton Strathcona"," 104","Edmonton",4,10,117,10,36,0,0,177,493
48019,"Edmonton Strathcona/Edmonton Strathcona"," 105","Edmonton",3,5,117,28,68,1,1,223,411
48019,"Edmonton Strathcona/Edmonton Strathcona"," 106","Edmonton",1,3,91,19,58,1,0,173,375
48019,"Edmonton Strathcona/Edmonton Strathcona"," 107","Edmonton",3,7,138,15,47,0,0,210,409
48019,"Edmonton Strathcona/Edmonton Strathcona"," 108","Edmonton",3,8,151,13,55,0,1,231,454
48019,"Edmonton Strathcona/Edmonton Strathcona"," 109","Edmonton",4,10,130,13,48,1,0,206,413
48019,"Edmonton Strathcona/Edmonton Strathcona"," 110","Edmonton",2,7,174,9,27,1,0,220,406
48019,"Edmonton Strathcona/Edmonton Strathcona"," 111","Edmonton",0,11,96,13,59,1,1,181,422
48019,"Edmonton Strathcona/Edmonton Strathcona"," 112","Edmonton",0,17,73,18,62,0,0,170,353
48019,"Edmonton Strathcona/Edmonton Strathcona"," 113","Edmonton",2,14,94,16,1,61,2,190,451
48019,"Edmonton Strathcona/Edmonton Strathcona"," 114","Edmonton",2,19,92,11,62,0,0,186,410
48019,"Edmonton Strathcona/Edmonton Strathcona"," 115","Edmonton",2,20,101,5,57,1,0,186,385
48019,"Edmonton Strathcona/Edmonton Strathcona"," 116","Edmonton",5,20,174,22,34,1,0,256,518
48019,"Edmonton Strathcona/Edmonton Strathcona"," 117","Edmonton",4,17,153,11,48,1,3,237,501
48019,"Edmonton Strathcona/Edmonton Strathcona"," 118","Edmonton",6,8,124,14,35,0,2,189,425
48019,"Edmonton Strathcona/Edmonton Strathcona"," 119","Edmonton",6,10,111,12,35,3,2,179,419
48019,"Edmonton Strathcona/Edmonton Strathcona"," 120","Edmonton",1,7,129,14,37,1,3,192,407
48019,"Edmonton Strathcona/Edmonton Strathcona"," 121","Edmonton",10,15,150,16,52,0,2,245,464
48019,"Edmonton Strathcona/Edmonton Strathcona"," 122","Edmonton",2,9,98,10,25,1,1,146,407
48019,"Edmonton Strathcona/Edmonton Strathcona"," 123","Edmonton",0,15,116,20,48,3,0,202,412
48019,"Edmonton Strathcona/Edmonton Strathcona"," 124","Edmonton",5,12,108,11,45,0,0,181,366
