Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Florian Bors,Michelle Foxton,Steve Garrison,Blake Hamilton,Calvin Neufeld,Scott Reid,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 110","Drummond/North Elmsley",14,32,24,0,5,75,0,150,384
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 111","Smiths Falls",12,42,41,0,3,43,2,143,408
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 112","Smiths Falls",5,24,33,0,2,57,0,121,454
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 113","Smiths Falls",8,37,25,0,6,46,5,127,459
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 114","Smiths Falls",16,56,25,0,4,81,1,183,553
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 115","Smiths Falls",16,27,19,0,6,65,0,133,348
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 116","Smiths Falls",11,33,29,0,6,65,2,146,413
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 117","Smiths Falls",14,23,29,0,12,45,0,123,366
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 118","Smiths Falls",11,43,21,1,2,65,1,144,470
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 119","Perth",14,39,41,0,11,72,0,177,506
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 120","Perth",19,40,37,1,11,52,6,166,461
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 121","Perth",10,49,25,0,9,57,1,151,518
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 122","Perth",15,39,32,1,10,80,3,180,549
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 123","Perth",14,58,36,0,2,76,1,187,492
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 124","Perth",6,41,33,3,11,62,1,157,500
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 125","Perth",18,26,36,1,4,61,0,146,424
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 126","Harper",7,29,11,1,2,65,1,116,341
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 127","Glen Tay",9,19,26,0,8,85,0,147,428
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 128","Glen Tay",6,26,10,0,8,62,0,112,431
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 129","Dalhousie Lake",6,35,12,1,10,47,0,111,299
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 130","Perth",8,33,20,1,3,71,0,136,316
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 131","Elmgrove",6,48,8,0,4,76,1,143,427
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 132","Elmgrove",8,28,27,0,6,54,0,123,325
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 133","Perth",16,36,37,0,2,73,3,167,483
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 134","Perth",9,43,21,1,7,54,0,135,482
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 135A","Perth",8,39,24,2,8,75,2,158,395
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 135B","Mobile poll/Bureau itinérant",2,16,1,1,0,25,1,46,61
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 136","Perth",9,44,25,0,9,41,2,130,355
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 137","Tay Valley",7,24,11,0,5,45,0,92,252
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 138","Fallbrook",4,21,14,0,7,52,1,99,302
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 139","Brooke",14,19,14,1,8,53,0,109,305
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 140","Christie Lake",10,31,20,1,12,90,5,169,450
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 141","North Frontenac",7,31,23,0,8,113,4,186,260
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 142","North Frontenac",11,35,9,0,1,77,0,133,265
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 143","Fallbrook",8,26,13,0,3,51,0,101,295
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 144","Maberly",20,41,28,1,5,91,3,189,380
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 145","Althorpe",12,59,47,0,11,108,0,237,462
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 146","Tay Valley",1,34,9,0,3,72,0,119,229
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 147","Scotch Line",16,34,22,0,8,85,1,166,343
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 148","Stanleyville",8,36,22,1,4,97,0,168,341
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 149","Elmgrove",4,35,7,0,5,65,3,119,233
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 150","Oso",5,25,25,1,3,49,1,109,326
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 151","Clarendon Station",18,19,11,0,2,38,2,90,298
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 152","Crow Lake",14,50,18,1,4,60,0,147,441
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 153","North Frontenac",22,56,33,1,6,112,1,231,369
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 154","North Frontenac",22,61,25,0,0,156,2,266,379
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 155","Sharbot Lake",9,30,32,1,4,46,1,123,432
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 156","Frontenac",6,20,17,0,3,51,0,97,300
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 157","Kennebec",8,45,18,1,2,88,4,166,338
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 158","Bedford",21,55,29,3,5,115,1,229,467
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 159","Mountain Grove",12,39,21,0,4,58,1,135,334
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 160","Arden",14,64,32,3,6,122,2,243,488
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 161","Bradshaw",6,17,15,1,3,21,0,63,234
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 162","Parham",12,32,19,0,2,106,3,174,388
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 163","Wagarville",9,28,20,2,4,67,4,134,289
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 164","Glendower",13,57,20,3,1,84,0,178,463
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 165","Desert Lake",2,18,13,0,0,31,0,64,280
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 166","Godfrey",11,29,17,3,2,79,0,141,360
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 167","Hinchinbrooke",6,24,21,0,2,54,0,107,245
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 168","Piccadilly",1,26,12,1,0,37,1,78,241
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 169","Lake Opinicon",14,78,55,1,5,75,2,230,462
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 170","Perth Road",22,74,52,0,6,104,4,262,494
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 171","Loughborough",15,71,54,0,5,101,0,246,494
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 172","Missouri",4,59,35,2,1,43,1,145,357
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 173","Keelerville",3,46,26,1,5,71,0,152,324
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 174","Burnt Hills",3,65,26,1,5,52,0,152,381
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 175","Battersea",9,45,31,2,9,45,1,142,349
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 176","South Frontenac",7,36,28,0,5,49,1,126,303
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 177","Verona",14,29,36,1,3,65,1,149,458
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 178","Bellrock",15,37,44,0,5,67,0,168,413
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 179","South Frontenac",4,26,21,1,4,46,0,102,268
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 180","South Frontenac",10,26,31,0,4,55,2,128,362
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 181","Kingston",7,81,50,0,1,108,1,248,395
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 182","Kingston",10,64,45,1,4,68,0,192,375
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 183","South Frontenac",12,35,19,0,3,41,4,114,345
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 184","Hartington",6,48,24,0,0,67,0,145,319
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 185","South Frontenac",0,44,20,0,1,18,0,83,257
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 186","South Frontenac",4,48,30,1,3,42,1,129,346
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 187","Sunbury",2,24,30,1,2,33,0,92,287
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 188","South Frontenac",8,39,34,0,4,63,1,149,423
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 189","Sydenham",10,53,53,0,1,60,0,177,355
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 190","South Frontenac",7,44,34,0,2,57,1,145,373
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 191","South Frontenac",6,34,32,1,3,20,2,98,260
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 192","Railton",8,32,31,0,0,44,0,115,283
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 193","Sydenham",20,49,38,4,4,43,2,160,349
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 194","Ida Hill",2,35,31,0,2,39,3,112,321
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 195","Sunbury",3,14,19,1,0,49,0,86,293
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 196","Inverary",7,53,37,0,1,88,0,186,389
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 197","Inverary",7,70,48,1,6,86,0,218,412
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 198","Latimer",5,84,65,0,4,88,0,246,510
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 199","Davidsons Beach",4,71,22,0,5,81,3,186,374
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 200","Petworth",8,26,30,0,0,55,0,119,261
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 201","Harrowsmith",9,52,41,1,4,70,2,179,369
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 202","Petworth",4,26,26,1,5,46,1,109,293
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 203","Star Corners",10,33,30,1,2,52,1,129,298
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 204","Kingston",9,40,17,0,7,81,0,154,348
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 205","Kingston",20,66,30,1,3,89,3,212,413
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 206","Kingston",7,68,39,0,5,77,2,198,407
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 207","Kingston",7,74,49,0,3,56,1,190,415
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 208","Raiton",5,41,54,0,3,80,0,183,369
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 209","Raiton",10,48,20,0,0,67,1,146,324
