Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anna Keenan,Christopher Landry,Heath MacDonald,Michelle Neill,Jody Sanderson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11004,"Malpeque/Malpeque"," 42","Cornwall",20,5,53,20,49,0,147,400
11004,"Malpeque/Malpeque"," 43","Cornwall",29,5,74,15,37,1,161,366
11004,"Malpeque/Malpeque"," 44","Cornwall",9,3,51,11,40,1,115,364
11004,"Malpeque/Malpeque"," 45","Cornwall",24,8,112,22,54,0,220,526
11004,"Malpeque/Malpeque"," 46","Cornwall",39,5,147,33,82,2,308,741
11004,"Malpeque/Malpeque"," 47","Cornwall",6,2,71,12,66,0,157,349
11004,"Malpeque/Malpeque"," 48","Cornwall",32,14,75,13,25,0,159,480
11004,"Malpeque/Malpeque"," 49","Cornwall",22,3,63,21,44,2,155,450
11004,"Malpeque/Malpeque"," 50","Cornwall",37,5,145,24,92,0,303,743
11004,"Malpeque/Malpeque"," 51","Cornwall",21,4,71,9,29,1,135,330
11004,"Malpeque/Malpeque"," 52","Freetown",25,5,48,11,37,0,126,290
11004,"Malpeque/Malpeque"," 53","South Freetown",22,6,50,9,39,2,128,301
11004,"Malpeque/Malpeque"," 54","Emyvale",62,7,115,28,80,2,294,528
11004,"Malpeque/Malpeque"," 55","Elmwood--Riverdale",18,7,40,12,38,1,116,234
11004,"Malpeque/Malpeque"," 56","Green Bay",44,5,69,16,51,2,187,322
11004,"Malpeque/Malpeque"," 57","Mill Valley",18,7,51,14,48,1,139,285
11004,"Malpeque/Malpeque"," 58","North Bedeque",40,17,97,16,77,3,250,453
11004,"Malpeque/Malpeque"," 59","Kingston",26,6,63,24,75,4,198,447
11004,"Malpeque/Malpeque"," 60","Strathgartney",11,5,106,14,83,1,220,444
11004,"Malpeque/Malpeque"," 61","Hyde Point",27,3,80,15,62,0,187,415
11004,"Malpeque/Malpeque"," 62","Maplewood",46,8,111,20,59,1,245,430
11004,"Malpeque/Malpeque"," 63","Victoria",70,4,116,14,78,3,285,435
11004,"Malpeque/Malpeque"," 64","Kinkora ",11,1,45,22,45,0,124,268
11004,"Malpeque/Malpeque"," 65","Maple Plains",26,7,70,15,45,0,163,439
11004,"Malpeque/Malpeque"," 66","South Melville",71,10,73,18,75,4,251,469
11004,"Malpeque/Malpeque"," 67","Central Bedeque",14,5,55,26,61,3,164,352
11004,"Malpeque/Malpeque"," 68","Lower Bedeque",50,16,95,30,55,6,252,520
11004,"Malpeque/Malpeque"," 69","Rocky Point",13,4,68,14,45,1,145,313
11004,"Malpeque/Malpeque"," 70","Cumberland",16,5,58,10,44,1,134,295
11004,"Malpeque/Malpeque"," 71","New Dominion",45,10,102,30,98,0,285,576
11004,"Malpeque/Malpeque"," 72","Rice Point",41,6,143,14,67,0,271,574
11004,"Malpeque/Malpeque"," 73","Cape Traverse",36,7,83,26,75,1,228,399
11004,"Malpeque/Malpeque"," 74","North Carleton",25,7,102,31,74,1,240,427
11004,"Malpeque/Malpeque"," 75","Borden-Carleton",21,5,69,22,66,1,184,320
11004,"Malpeque/Malpeque"," 76","Argyle Shore",49,5,96,27,92,3,272,538
11004,"Malpeque/Malpeque"," 77","Tryon",40,10,100,17,94,2,263,430
11004,"Malpeque/Malpeque"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°23,,,,,,,50
11004,"Malpeque/Malpeque"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°29,,,,,,,15
11004,"Malpeque/Malpeque"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°32,,,,,,,23
11004,"Malpeque/Malpeque"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°77,,,,,,,59
11004,"Malpeque/Malpeque"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°60,,,,,,,52
11004,"Malpeque/Malpeque"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°38,,,,,,,24
11004,"Malpeque/Malpeque"," 600","Kensington",130,16,346,51,299,8,850,
11004,"Malpeque/Malpeque"," 601","Kensington--New London",120,23,332,45,354,5,879,
11004,"Malpeque/Malpeque"," 602","North Rustico",134,14,409,48,327,9,941,
11004,"Malpeque/Malpeque"," 603","Brackley Beach",51,20,269,44,218,5,607,
11004,"Malpeque/Malpeque"," 604","Brackley",91,19,336,52,282,2,782,
11004,"Malpeque/Malpeque"," 605","Cornwall--Miltonvale Park",79,25,455,49,329,8,945,
11004,"Malpeque/Malpeque"," 606","Hunter River",62,12,187,20,136,1,418,
11004,"Malpeque/Malpeque"," 607","Cornwall--Clyde River",102,24,608,56,298,1,1089,
11004,"Malpeque/Malpeque"," 608","New Haven",130,32,420,31,285,2,900,
11004,"Malpeque/Malpeque"," 609","Kinkora ",81,18,313,47,209,7,675,
11004,"Malpeque/Malpeque",,Group 1/Groupe 1, 40,8,91,25,63,10,237,65
11004,"Malpeque/Malpeque",,Group 2/Groupe 2, 98,21,314,42,204,12,691,
