Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chandra Arya,Sean Devine,Gordon Kubanek,Jay Nera,Matt Triemstra,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35064,"Nepean/Nepean"," 71","Ottawa",92,47,2,3,37,1,182,478
35064,"Nepean/Nepean"," 72","Ottawa",86,30,1,6,53,0,176,435
35064,"Nepean/Nepean"," 73","Ottawa",66,35,2,3,44,0,150,381
35064,"Nepean/Nepean"," 74","Ottawa",87,35,9,3,43,1,178,483
35064,"Nepean/Nepean"," 75","Ottawa",72,29,0,7,37,1,146,391
35064,"Nepean/Nepean"," 76","Ottawa",68,50,7,2,48,1,176,568
35064,"Nepean/Nepean"," 77","Ottawa",230,41,4,11,59,4,349,816
35064,"Nepean/Nepean"," 78","Ottawa",64,27,4,3,39,0,137,370
35064,"Nepean/Nepean"," 79","Ottawa",117,32,7,4,61,1,222,522
35064,"Nepean/Nepean"," 80","Ottawa",97,50,2,2,57,1,209,606
35064,"Nepean/Nepean"," 81","Ottawa",73,40,3,3,56,1,176,520
35064,"Nepean/Nepean"," 82","Ottawa",70,31,4,1,37,0,143,414
35064,"Nepean/Nepean"," 83","Ottawa",53,16,2,2,73,0,146,315
35064,"Nepean/Nepean"," 84","Ottawa",44,9,3,5,79,1,141,305
35064,"Nepean/Nepean"," 85","Ottawa",51,22,4,3,54,0,134,361
35064,"Nepean/Nepean"," 86","Ottawa",51,21,1,6,35,0,114,332
35064,"Nepean/Nepean"," 87","Ottawa",151,51,6,13,80,1,302,646
35064,"Nepean/Nepean"," 88","Ottawa",72,27,6,9,78,1,193,475
35064,"Nepean/Nepean"," 89","Ottawa",124,46,2,4,58,4,238,538
35064,"Nepean/Nepean"," 90","Ottawa",101,41,4,13,69,1,229,517
35064,"Nepean/Nepean"," 91","Ottawa",74,26,3,2,57,0,162,471
35064,"Nepean/Nepean"," 92","Ottawa",65,29,1,5,65,1,166,426
35064,"Nepean/Nepean"," 93","Ottawa",56,28,1,8,35,0,128,373
35064,"Nepean/Nepean"," 94","Ottawa",48,35,3,8,51,3,148,444
35064,"Nepean/Nepean"," 95","Ottawa",40,24,2,2,42,0,110,341
35064,"Nepean/Nepean"," 96","Ottawa",73,34,4,3,63,3,180,436
35064,"Nepean/Nepean"," 97","Ottawa",76,51,3,5,62,2,199,499
35064,"Nepean/Nepean"," 98","Ottawa",67,22,2,2,43,0,136,376
35064,"Nepean/Nepean"," 99","Ottawa",81,36,3,4,48,1,173,416
35064,"Nepean/Nepean"," 100","Ottawa",112,19,1,4,53,0,189,570
35064,"Nepean/Nepean"," 101","Ottawa",80,45,2,9,51,2,189,485
35064,"Nepean/Nepean"," 102","Ottawa",80,38,4,4,73,1,200,447
35064,"Nepean/Nepean"," 103","Ottawa",97,31,3,9,52,0,192,359
35064,"Nepean/Nepean"," 104","Ottawa",137,68,8,11,82,2,308,796
35064,"Nepean/Nepean"," 105","Ottawa",141,53,4,5,53,0,256,631
35064,"Nepean/Nepean"," 106","Ottawa",108,37,7,2,50,1,205,420
35064,"Nepean/Nepean"," 107","Ottawa",74,22,2,0,54,0,152,508
35064,"Nepean/Nepean"," 108","Ottawa",101,47,3,4,61,2,218,547
35064,"Nepean/Nepean"," 109","Ottawa",85,21,4,6,53,1,170,479
35064,"Nepean/Nepean"," 110","Ottawa",59,27,3,1,47,3,140,378
35064,"Nepean/Nepean"," 111","Ottawa",69,26,2,14,43,2,156,405
35064,"Nepean/Nepean"," 112","Ottawa",68,43,4,7,40,0,162,438
35064,"Nepean/Nepean"," 113","Ottawa",73,31,5,2,32,0,143,394
35064,"Nepean/Nepean"," 114","Ottawa",81,38,5,4,36,0,164,446
35064,"Nepean/Nepean"," 115","Ottawa",90,36,3,3,65,3,200,475
35064,"Nepean/Nepean"," 116","Ottawa",77,22,2,3,46,1,151,383
35064,"Nepean/Nepean"," 117","Ottawa",94,28,3,6,77,0,208,475
35064,"Nepean/Nepean"," 118","Ottawa",75,47,3,4,48,1,178,386
35064,"Nepean/Nepean"," 119","Ottawa",69,33,6,0,51,1,160,423
35064,"Nepean/Nepean"," 120","Ottawa",83,27,8,5,57,0,180,446
35064,"Nepean/Nepean"," 121","Ottawa",106,38,3,9,35,0,191,545
35064,"Nepean/Nepean"," 122","Ottawa",92,32,3,2,71,0,200,522
35064,"Nepean/Nepean"," 123","Ottawa",95,23,3,6,48,2,177,435
35064,"Nepean/Nepean"," 124","Ottawa",87,46,9,1,56,1,200,437
35064,"Nepean/Nepean"," 125","Ottawa",100,23,1,5,44,1,174,427
35064,"Nepean/Nepean"," 126","Ottawa",55,46,3,10,60,2,176,523
35064,"Nepean/Nepean"," 127","Ottawa",36,34,2,6,65,0,143,436
35064,"Nepean/Nepean"," 128","Ottawa",50,22,0,3,45,1,121,363
35064,"Nepean/Nepean"," 129","Ottawa",56,37,4,6,37,2,142,420
35064,"Nepean/Nepean"," 130","Ottawa",40,20,2,1,39,0,102,378
35064,"Nepean/Nepean"," 131","Ottawa",52,57,4,6,65,1,185,496
35064,"Nepean/Nepean"," 132","Ottawa",55,21,6,2,52,0,136,425
35064,"Nepean/Nepean"," 133","Ottawa",65,33,5,3,52,0,158,454
35064,"Nepean/Nepean"," 134","Ottawa",54,18,4,4,45,1,126,371
35064,"Nepean/Nepean"," 135","Ottawa",84,29,5,10,59,4,191,520
35064,"Nepean/Nepean"," 136","Ottawa",81,58,8,5,56,0,208,528
35064,"Nepean/Nepean"," 137","Ottawa",52,20,2,4,33,3,114,437
35064,"Nepean/Nepean"," 138","Ottawa",60,23,0,5,30,1,119,485
35064,"Nepean/Nepean"," 139","Ottawa",50,24,3,4,21,1,103,411
35064,"Nepean/Nepean"," 140","Ottawa",77,19,5,1,18,1,121,423
35064,"Nepean/Nepean"," 141","Ottawa",64,21,3,6,37,0,131,419
35064,"Nepean/Nepean"," 142","Ottawa",61,19,3,7,45,3,138,390
35064,"Nepean/Nepean"," 143","Ottawa",40,38,6,5,49,0,138,366
35064,"Nepean/Nepean"," 144","Ottawa",48,34,3,11,49,2,147,399
35064,"Nepean/Nepean"," 145","Ottawa",54,42,6,7,51,0,160,491
35064,"Nepean/Nepean"," 146","Ottawa",67,42,4,5,54,2,174,471
35064,"Nepean/Nepean"," 147","Ottawa",60,35,2,6,68,0,171,384
35064,"Nepean/Nepean"," 148","Ottawa",72,50,9,6,54,3,194,456
35064,"Nepean/Nepean"," 149","Ottawa",75,52,4,10,55,2,198,514
35064,"Nepean/Nepean"," 150","Ottawa",114,25,2,4,46,1,192,475
35064,"Nepean/Nepean"," 151","Ottawa",184,61,11,7,66,3,332,730
35064,"Nepean/Nepean"," 152","Ottawa",108,32,3,5,60,1,209,472
35064,"Nepean/Nepean"," 153","Ottawa",126,28,1,5,53,1,214,452
35064,"Nepean/Nepean"," 154","Ottawa",123,39,1,6,46,2,217,536
35064,"Nepean/Nepean"," 155","Ottawa",97,26,6,3,105,2,239,767
35064,"Nepean/Nepean"," 156","Ottawa",46,16,4,11,37,0,114,310
35064,"Nepean/Nepean"," 157","Ottawa",57,38,4,1,48,0,148,354
35064,"Nepean/Nepean"," 158","Ottawa",66,32,2,7,45,1,153,415
35064,"Nepean/Nepean"," 159","Ottawa",98,32,4,5,52,0,191,455
35064,"Nepean/Nepean"," 160","Ottawa",65,19,2,8,49,1,144,429
35064,"Nepean/Nepean"," 161","Ottawa",47,33,7,8,65,1,161,434
35064,"Nepean/Nepean"," 162","Ottawa",93,32,3,1,68,0,197,534
35064,"Nepean/Nepean"," 163","Ottawa",80,17,0,4,59,0,160,459
35064,"Nepean/Nepean"," 164","Ottawa",72,16,2,3,49,0,142,516
35064,"Nepean/Nepean"," 165A","Ottawa",133,39,4,4,44,1,225,607
35064,"Nepean/Nepean"," 165B","Ottawa",103,52,6,9,52,1,223,630
35064,"Nepean/Nepean"," 166","Ottawa",67,18,2,2,82,0,171,500
35064,"Nepean/Nepean"," 167","Ottawa",135,20,2,8,81,1,247,709
35064,"Nepean/Nepean"," 168","Ottawa",91,32,2,6,46,1,178,507
35064,"Nepean/Nepean"," 169","Ottawa",72,23,2,5,63,2,167,497
35064,"Nepean/Nepean"," 170","Ottawa",84,25,3,6,48,2,168,465
35064,"Nepean/Nepean"," 171","Ottawa",97,28,4,7,84,1,221,681
35064,"Nepean/Nepean"," 172","Ottawa",74,21,2,2,53,3,155,541
35064,"Nepean/Nepean"," 173","Ottawa",87,19,3,1,51,2,163,527
35064,"Nepean/Nepean"," 174","Ottawa",123,31,2,9,39,4,208,539
35064,"Nepean/Nepean"," 175","Ottawa",60,27,5,4,76,1,173,432
35064,"Nepean/Nepean"," 176","Ottawa",85,32,7,7,65,0,196,484
35064,"Nepean/Nepean"," 177","Ottawa",84,42,3,19,93,0,241,499
35064,"Nepean/Nepean"," 178","Ottawa",64,38,1,3,69,0,175,358
35064,"Nepean/Nepean"," 179","Ottawa",112,31,1,3,48,1,196,435
35064,"Nepean/Nepean"," 180","Ottawa",161,44,2,8,87,2,304,637
35064,"Nepean/Nepean"," 181","Ottawa",99,45,7,12,68,1,232,522
35064,"Nepean/Nepean"," 182","Ottawa",55,27,3,5,39,0,129,394
35064,"Nepean/Nepean"," 183","Ottawa",76,37,3,4,39,0,159,459
35064,"Nepean/Nepean"," 184A","Ottawa",134,45,7,10,69,2,267,654
35064,"Nepean/Nepean"," 184B","Ottawa",114,59,4,5,54,2,238,585
35064,"Nepean/Nepean"," 184C","Ottawa",136,33,2,10,80,2,263,615
35064,"Nepean/Nepean"," 185","Ottawa",71,30,2,4,60,0,167,580
35064,"Nepean/Nepean"," 186","Ottawa",86,21,0,9,52,0,168,547
35064,"Nepean/Nepean"," 187","Ottawa",82,17,2,1,68,0,170,567
35064,"Nepean/Nepean"," 188","Ottawa",129,55,3,1,92,1,281,684
35064,"Nepean/Nepean"," 189","Ottawa",66,28,1,5,36,1,137,340
35064,"Nepean/Nepean"," 190A","Ottawa",159,51,7,5,68,1,291,703
35064,"Nepean/Nepean"," 190B","Ottawa",149,47,5,7,82,3,293,724
35064,"Nepean/Nepean"," 191","Ottawa",74,19,6,3,42,0,144,427
35064,"Nepean/Nepean"," 192","Ottawa",57,14,1,5,61,2,140,418
35064,"Nepean/Nepean"," 193A","Ottawa",84,20,3,2,53,2,164,432
35064,"Nepean/Nepean"," 193B","Ottawa",95,29,3,6,48,0,181,480
35064,"Nepean/Nepean"," 194","Ottawa",36,13,3,1,69,0,122,330
35064,"Nepean/Nepean"," 195","Ottawa",51,12,5,4,75,0,147,358
35064,"Nepean/Nepean"," 196","Ottawa",34,15,2,4,91,0,146,339
35064,"Nepean/Nepean"," 400","Ottawa",33,28,6,4,35,0,106,267
35064,"Nepean/Nepean"," 500","Mobile poll/Bureau itinérant",18,7,1,0,12,0,38,48
35064,"Nepean/Nepean"," 501","Mobile poll/Bureau itinérant",22,0,0,0,22,2,46,55
35064,"Nepean/Nepean"," 502","Mobile poll/Bureau itinérant",43,5,2,0,38,2,90,120
35064,"Nepean/Nepean"," 503","Mobile poll/Bureau itinérant",18,6,1,0,19,9,53,98
35064,"Nepean/Nepean"," 504","Mobile poll/Bureau itinérant",31,6,2,2,21,1,63,80
35064,"Nepean/Nepean"," 505","Mobile poll/Bureau itinérant",20,2,1,2,8,0,33,47
35064,"Nepean/Nepean"," 506","Mobile poll/Bureau itinérant",23,5,1,0,18,0,47,75
35064,"Nepean/Nepean"," 507","Mobile poll/Bureau itinérant",36,3,1,4,28,4,76,99
35064,"Nepean/Nepean"," 508","Mobile poll/Bureau itinérant",12,3,1,0,37,2,55,66
35064,"Nepean/Nepean"," 509","Mobile poll/Bureau itinérant",18,5,2,2,11,0,38,143
35064,"Nepean/Nepean"," 510","Mobile poll/Bureau itinérant",36,7,5,0,56,5,109,136
35064,"Nepean/Nepean"," 600","Ottawa",430,174,19,52,453,0,1128,
35064,"Nepean/Nepean"," 601","Ottawa",399,159,33,33,470,5,1099,
35064,"Nepean/Nepean"," 602","Ottawa",337,115,15,5,257,1,730,
35064,"Nepean/Nepean"," 603","Ottawa",357,98,22,36,381,4,898,
35064,"Nepean/Nepean"," 604","Ottawa",704,213,22,35,614,6,1594,
35064,"Nepean/Nepean"," 605","Ottawa",800,265,33,33,744,14,1889,
35064,"Nepean/Nepean"," 606","Ottawa",653,183,24,44,421,2,1327,
35064,"Nepean/Nepean"," 607","Ottawa",624,193,26,27,460,5,1335,
35064,"Nepean/Nepean"," 608","Ottawa",537,209,35,35,625,1,1442,
35064,"Nepean/Nepean"," 609","Ottawa",497,177,25,45,526,5,1275,
35064,"Nepean/Nepean"," 610","Ottawa",786,186,30,32,540,12,1586,
35064,"Nepean/Nepean"," 611","Ottawa",709,179,24,39,485,7,1443,
35064,"Nepean/Nepean"," 612","Ottawa",651,143,29,29,447,2,1301,
35064,"Nepean/Nepean"," 613","Ottawa",785,183,19,30,633,8,1658,
35064,"Nepean/Nepean"," 614","Ottawa",733,234,22,55,617,9,1670,
35064,"Nepean/Nepean"," 615","Ottawa",677,174,22,35,532,8,1448,
35064,"Nepean/Nepean"," 616","Ottawa",779,161,21,46,507,7,1521,
35064,"Nepean/Nepean"," 617","Ottawa",719,128,14,35,627,4,1527,
35064,"Nepean/Nepean"," 618","Ottawa",246,87,16,26,256,4,635,
35064,"Nepean/Nepean"," 619","Ottawa",275,117,11,20,224,3,650,
35064,"Nepean/Nepean",,Group 1/Groupe 1, 440,213,26,26,367,38,1110,384
35064,"Nepean/Nepean",,Group 2/Groupe 2, 1859,522,68,39,1116,45,3649,
