Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Albas,Sarah Eves,Kathryn Mcdonald,Joan Phillip,Brennan Wauters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 79B","Tsinstikeptum 9",79,35,9,27,1,0,151,623
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 80A","Tsinstikeptum 9",Merged with No./Fusionné avec le n°84B,,,,,,,247
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 80B","Tsinstikeptum 9",109,54,16,81,5,0,265,591
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 81","Tsinstikeptum 9",37,16,0,9,0,1,63,383
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 82A","West Kelowna",66,27,16,54,4,0,167,649
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 82B","Mobile poll/Bureau itinérant",41,29,3,9,0,1,83,122
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 83","Tsinstikeptum 9",103,39,8,27,3,1,181,684
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 84A","Tsinstikeptum 9",80,29,6,28,1,1,145,482
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 84B","Tsinstikeptum 9",69,22,11,46,0,2,150,480
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 85A","Kelowna",46,45,8,37,8,0,144,384
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 85B","Mobile poll/Bureau itinérant",2,4,0,0,1,0,7,23
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 86A","Kelowna",43,45,10,49,7,0,154,492
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 86B","Kelowna",45,25,5,50,11,1,137,495
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 87","Kelowna",51,38,8,50,4,0,151,419
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 88","Kelowna",44,39,7,48,7,1,146,540
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 89","Kelowna",22,21,15,41,3,0,102,387
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 90","Kelowna",34,27,15,41,8,0,125,456
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 91","Kelowna",50,38,8,40,7,2,145,359
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 92","Kelowna",56,35,11,74,12,0,188,421
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 93","Kelowna",63,53,18,55,15,0,204,441
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 94","Kelowna",58,28,6,34,2,2,130,553
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 95","Kelowna",53,52,14,65,9,0,193,521
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 96","Kelowna",41,42,13,48,7,0,151,463
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 97","Kelowna",65,45,10,84,8,0,212,483
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 98","Kelowna",50,33,7,36,2,0,128,444
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 99","Kelowna",74,44,7,37,8,2,172,596
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 100","Kelowna",66,33,6,34,7,0,146,451
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 101","Kelowna",49,21,1,10,1,2,84,463
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 102","Kelowna",40,18,6,16,3,1,84,419
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 103","Kelowna",90,58,20,31,6,0,205,619
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 104","Kelowna",49,41,17,46,2,0,155,468
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 105","Kelowna",27,39,6,20,4,0,96,370
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 106","Tsinstikeptum 10",53,32,10,35,3,0,133,493
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 107","West Kelowna",79,29,17,40,7,2,174,413
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 108","West Kelowna",89,45,15,36,2,0,187,523
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 109","West Kelowna",69,29,24,54,9,0,185,533
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 110","West Kelowna",100,40,9,29,6,0,184,534
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 111","West Kelowna",87,30,9,41,8,0,175,459
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 112","West Kelowna",126,56,10,21,4,0,217,629
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 113","West Kelowna",79,35,20,43,4,0,181,532
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 114","West Kelowna",70,31,11,38,5,0,155,439
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 115","West Kelowna",121,52,11,24,11,0,219,608
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 116","Kelowna",28,28,8,38,8,0,110,305
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 117","Kelowna",42,42,11,26,2,0,123,383
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 118","Kelowna",53,34,5,47,5,2,146,585
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 119","Kelowna",30,28,12,50,7,1,128,435
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 120","Kelowna",64,44,19,75,10,0,212,578
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 121","Kelowna",53,36,10,32,5,0,136,458
