Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alicia Di Tullio,Louis Ialenti,Patricia Lattanzio,Laurence Massey,Daniele Ritacca,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 20","Montréal",17,23,95,10,3,3,151,342
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 21","Montréal",10,8,119,8,6,7,158,404
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 22","Montréal",5,20,105,12,6,5,153,371
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 23","Montréal",10,18,106,4,8,5,151,400
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 24","Montréal",18,15,114,13,7,1,168,367
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 25","Montréal",23,33,89,10,10,3,168,430
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 26","Montréal",22,26,96,12,18,0,174,450
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 27","Montréal",18,34,112,7,11,2,184,490
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 28","Montréal",8,29,101,13,8,1,160,345
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 29","Montréal",11,16,82,15,4,3,131,356
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 30","Montréal",4,9,83,11,6,1,114,332
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 31","Montréal",16,12,134,9,11,2,184,438
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 32","Montréal",11,20,89,12,6,3,141,317
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 33","Montréal",20,15,123,4,2,0,164,336
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 34","Montréal",18,11,113,7,6,5,160,416
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 35","Montréal",15,24,150,4,8,3,204,456
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 36","Montréal",11,11,137,13,7,2,181,498
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 37","Montréal",9,23,93,20,2,6,153,408
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 38","Montréal",16,8,70,15,7,4,120,346
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 39","Montréal",14,20,98,18,4,1,155,389
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 40","Montréal",6,17,89,3,5,5,125,325
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 41","Montréal",9,9,74,8,4,0,104,346
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 42","Montréal",11,13,125,11,6,2,168,362
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 43","Montréal",11,14,100,9,3,0,137,368
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 44","Montréal",17,10,125,13,13,0,178,374
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 45","Montréal",16,4,139,7,7,4,177,409
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 46","Montréal",18,10,102,4,5,2,141,414
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 47","Montréal",25,44,106,12,16,4,207,465
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 48","Montréal",22,55,131,11,8,1,228,422
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 49","Montréal",19,27,111,11,8,5,181,422
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 50","Montréal",10,36,119,10,10,1,186,354
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 51","Montréal",10,13,106,11,3,7,150,324
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 52","Montréal",11,21,139,17,8,4,200,403
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 53","Montréal",10,27,111,9,6,4,167,435
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 54","Montréal",12,17,127,6,8,3,173,413
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 55","Montréal",19,14,137,6,2,2,180,436
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 56","Montréal",8,16,76,4,5,0,109,328
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 57A","Montréal",13,7,56,5,5,2,88,256
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 57B","Montréal",4,9,107,3,2,5,130,178
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 58","Montréal",20,31,181,26,12,9,279,875
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 59","Montréal",16,19,176,12,11,4,238,556
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 60","Montréal",27,28,153,23,9,3,243,450
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 61","Montréal",16,26,138,13,11,7,211,423
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 62","Montréal",13,22,158,9,1,1,204,463
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 63","Montréal",16,35,149,2,7,2,211,440
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 64","Montréal",21,31,175,22,6,5,260,562
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 65","Montréal",18,11,128,5,3,8,173,392
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 66","Montréal",14,22,123,5,6,1,171,352
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 67","Montréal",7,4,94,7,3,4,119,402
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 68","Montréal",11,22,102,5,6,0,146,334
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 69","Montréal",19,25,138,11,9,3,205,555
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 70","Montréal",28,30,119,18,10,1,206,433
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 71","Montréal",8,18,104,4,8,2,144,353
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 72","Montréal",12,14,116,9,8,3,162,403
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 73","Montréal",20,27,112,15,7,2,183,374
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 74","Montréal",9,6,121,4,8,4,152,311
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 75","Montréal",11,6,131,7,7,6,168,402
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 76","Montréal",8,11,87,3,3,6,118,319
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 77","Montréal",19,15,110,9,0,6,159,352
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 78","Montréal",17,9,89,15,9,2,141,338
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 79","Montréal",13,27,96,21,8,4,169,358
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 80","Montréal",18,23,155,12,10,5,223,458
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 81","Montréal",13,22,114,11,4,6,170,409
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 82","Montréal",13,35,137,12,9,3,209,436
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 83","Montréal",29,12,86,32,4,6,169,464
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 84","Montréal",13,8,112,5,8,3,149,354
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 85","Montréal",12,12,85,6,12,1,128,417
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 86","Montréal",11,19,109,4,4,1,148,346
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 87","Montréal",5,21,107,8,9,6,156,380
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 88","Montréal",11,15,99,5,14,5,149,472
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 89","Montréal",20,20,129,14,13,4,200,534
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 90","Montréal",13,26,116,13,12,2,182,519
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 91","Montréal",17,25,124,8,12,1,187,439
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 92","Montréal",16,25,133,15,9,1,199,567
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 93","Montréal",11,13,153,7,3,5,192,396
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 94","Montréal",18,33,136,9,7,2,205,422
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 95","Montréal",18,25,186,9,12,3,253,451
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 96","Montréal",6,17,161,4,9,3,200,404
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 97","Montréal",20,8,168,6,6,6,214,447
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 98","Montréal",6,26,139,1,1,4,177,430
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 99","Montréal",7,23,125,5,7,2,169,352
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 100","Montréal",20,18,111,7,8,2,166,418
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 101","Montréal",10,11,142,1,7,7,178,412
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 102","Montréal",14,17,138,12,5,2,188,405
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 103","Montréal",8,18,121,2,12,2,163,410
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 104","Montréal",16,23,122,12,9,1,183,496
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 105","Montréal",17,16,80,8,7,4,132,355
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 106","Montréal",16,9,114,21,5,0,165,478
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 107","Montréal",12,12,128,13,5,4,174,489
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 108","Montréal",5,14,75,17,4,2,117,339
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 109","Montréal",12,16,119,16,5,4,172,453
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 110","Montréal",20,14,156,13,6,6,215,542
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 111","Montréal",17,6,101,14,8,0,146,454
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 112","Montréal",24,25,130,14,8,5,206,482
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 113","Montréal",17,24,170,10,10,3,234,507
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 114","Montréal",12,20,94,5,7,3,141,359
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 115","Montréal",18,23,163,6,4,6,220,464
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 116","Montréal",18,16,158,11,1,1,205,523
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 117","Montréal",13,24,135,5,10,4,191,472
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 118","Montréal",20,12,141,6,10,3,192,489
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 119A","Montréal",28,14,199,11,7,8,267,549
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 119B","Montréal",Merged with No./Fusionné avec le n°401,,,,,,,89
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 120","Montréal",8,29,104,13,2,4,160,452
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 121","Montréal",15,12,118,13,5,4,167,467
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 122","Montréal",10,14,114,4,3,7,152,437
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 123","Montréal",13,16,110,14,6,8,167,475
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 124","Montréal",14,14,134,9,0,2,173,403
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 125","Montréal",12,5,111,20,5,5,158,441
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 126","Montréal",6,6,107,10,4,0,133,393
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 127","Montréal",20,18,148,12,4,6,208,483
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 128","Montréal",23,6,97,16,3,0,145,529
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 129","Montréal",13,17,102,8,6,4,150,388
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 130","Montréal",25,14,118,17,6,5,185,526
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 131","Montréal",12,23,127,11,10,4,187,391
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 132","Montréal",12,8,92,20,7,1,140,314
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 133","Montréal",15,10,67,18,4,3,117,323
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 134","Montréal",18,24,63,13,4,4,126,307
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 135","Montréal",9,3,119,7,4,4,146,351
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 136","Montréal",21,30,103,25,3,4,186,429
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 137","Montréal",11,9,140,14,1,6,181,453
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 138","Montréal",13,13,118,10,4,2,160,393
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 139","Montréal",20,14,136,12,6,6,194,503
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 140","Montréal",16,7,93,14,1,4,135,349
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 141","Montréal",28,4,124,6,11,3,176,442
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 142","Montréal",10,9,134,15,8,3,179,480
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 143","Montréal",26,13,95,13,3,6,156,418
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 144","Montréal",17,8,118,8,3,3,157,511
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 145","Montréal",19,14,99,4,3,4,143,388
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 146","Montréal",20,19,98,10,9,5,161,439
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 147","Montréal",19,13,99,10,2,4,147,436
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 148","Montréal",16,12,99,9,8,3,147,371
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 149","Montréal",24,14,141,8,5,4,196,405
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 150","Montréal",16,12,115,12,4,6,165,393
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 151","Montréal",26,8,139,10,6,7,196,446
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 152","Montréal",8,11,100,6,5,0,130,355
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 153","Montréal",23,7,109,4,3,2,148,321
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 154","Montréal",14,19,96,13,2,2,146,343
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 155","Montréal",15,18,165,8,3,5,214,503
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 156","Montréal",10,5,119,2,3,5,144,354
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 157","Montréal",21,14,107,12,6,0,160,367
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 158","Montréal",29,11,119,13,5,8,185,533
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 159","Montréal",21,8,107,8,3,2,149,359
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 160","Montréal",15,13,85,7,1,0,121,320
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 161","Montréal",14,8,91,11,1,6,131,374
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 162","Montréal",9,10,77,14,3,6,119,304
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 163","Montréal",10,6,120,3,4,6,149,373
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 164","Montréal",10,6,85,25,8,0,134,371
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 165","Montréal",16,14,96,13,8,3,150,400
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 166","Montréal",12,12,76,11,5,1,117,324
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 167","Montréal",11,9,90,14,3,4,131,344
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 168","Montréal",17,8,80,13,2,4,124,312
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 169","Montréal",20,20,148,14,8,3,213,443
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 170","Montréal",14,18,94,5,3,0,134,289
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 171","Montréal",17,15,92,7,6,2,139,309
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 172","Montréal",8,16,70,18,4,0,116,304
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 173","Montréal",12,11,112,6,5,6,152,356
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 174","Montréal",11,13,96,6,4,7,137,324
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 175","Montréal",18,4,67,9,9,0,107,333
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 176","Montréal",23,10,92,4,5,0,134,389
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 177","Montréal",19,5,103,14,8,0,149,372
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 400","Montréal",7,14,135,35,1,14,206,330
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 401","Montréal",2,11,109,27,0,19,168,119
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 402","Mobile poll/Bureau itinérant",8,26,170,81,2,20,307,456
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 500","Mobile poll/Bureau itinérant",7,14,112,20,5,6,164,171
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 501","Mobile poll/Bureau itinérant",Results combined with no. 500/Résultats combinés au n° 500,,,,,,,94
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 502","Mobile poll/Bureau itinérant",Results combined with no. 500/Résultats combinés au n° 500,,,,,,,92
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 600","Montréal",41,68,452,65,38,5,669,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 601","Montréal",21,72,335,44,27,5,504,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 602","Montréal",45,127,581,101,37,14,905,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 603","Montréal",47,131,661,95,26,27,987,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 604","Montréal",57,89,648,120,35,11,960,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 605","Montréal",40,87,512,83,27,7,756,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 606","Montréal",77,109,549,154,29,23,941,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 607","Montréal",50,111,475,151,21,19,827,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 608","Montréal",56,104,575,102,30,14,881,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 609","Montréal",59,85,482,69,27,13,735,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 610","Montréal",43,58,368,56,35,6,566,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 611","Montréal",40,39,453,90,12,15,649,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 612","Montréal",47,68,527,88,17,14,761,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 613","Montréal",35,24,312,40,16,3,430,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 614","Montréal",46,42,408,50,24,12,582,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel",,Group 1/Groupe 1, 20,20,133,13,14,13,213,107
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel",,Group 2/Groupe 2, 61,61,346,46,15,21,550,
