Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Keira Gunn,Jasraj Singh Hallan,Dwayne Holub,Carey Rutherford,Jordan Stein,Jonathan Trautman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 20","Calgary",26,31,12,0,60,2,3,134,467
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 21","Calgary",32,46,8,3,55,1,0,145,444
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 22","Calgary",18,51,6,4,47,0,3,129,423
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 23","Calgary",29,55,2,2,72,0,0,160,476
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 24","Calgary",30,48,8,2,43,0,3,134,447
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 25","Calgary",25,62,16,1,53,1,0,158,461
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 26","Calgary",19,38,3,0,43,2,6,111,341
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 27","Calgary",14,39,3,1,51,3,1,112,315
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 28","Calgary",17,18,0,1,32,0,0,68,247
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 29","Calgary",34,17,6,1,47,1,0,106,375
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 30","Calgary",7,30,8,0,45,0,1,91,321
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 31","Calgary",27,48,9,2,61,0,4,151,486
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 32","Calgary",18,63,6,1,34,0,1,123,350
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 33","Calgary",42,69,5,1,48,0,2,167,384
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 34","Calgary",21,61,4,1,38,0,3,128,390
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 35","Calgary",30,76,12,1,37,2,0,158,362
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 36","Calgary",22,44,6,3,33,0,4,112,332
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 37A","Calgary",16,38,4,0,32,0,0,90,342
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 37B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,61
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 38","Calgary",11,41,5,0,39,0,1,97,332
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 39","Calgary",24,30,2,1,20,0,1,78,300
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 40","Calgary",21,48,8,1,38,3,3,122,331
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 41","Calgary",34,36,5,4,51,1,1,132,394
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 42","Calgary",29,48,9,2,48,0,5,141,374
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 43","Calgary",30,25,7,3,70,0,1,136,488
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 44","Calgary",22,36,11,1,36,1,1,108,370
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 45","Calgary",30,63,11,1,21,0,0,126,439
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 46","Calgary",21,55,4,3,40,1,2,126,474
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 47","Calgary",15,42,7,2,34,1,0,101,323
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 48","Calgary",27,41,4,8,45,0,1,126,394
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 49","Calgary",27,51,6,3,40,0,1,128,411
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 50","Calgary",32,47,4,0,52,1,2,138,372
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 51","Calgary",14,31,3,1,46,0,1,96,420
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 52","Calgary",15,24,9,2,35,0,5,90,356
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 53","Calgary",21,53,10,6,44,0,2,136,372
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 54","Calgary",29,71,17,7,29,0,2,155,324
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 55","Calgary",25,57,9,4,32,0,2,129,359
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 56","Calgary",35,83,15,6,26,1,0,166,364
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 57","Calgary",39,102,11,5,25,1,1,184,411
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 58","Calgary",42,115,17,4,30,1,1,210,434
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 59","Calgary",39,54,11,3,17,0,0,124,368
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 60","Calgary",28,117,16,5,32,0,1,199,401
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 61","Calgary",22,82,20,4,36,0,4,168,413
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 62","Calgary",38,75,7,5,43,0,0,168,423
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 63","Calgary",52,92,8,4,58,0,2,216,524
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 64","Calgary",18,24,8,3,39,1,3,96,425
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 65","Calgary",30,56,10,1,33,1,2,133,444
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 66","Calgary",10,67,6,0,24,0,0,107,337
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 67","Calgary",17,47,7,0,30,1,3,105,394
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 68","Calgary",26,48,10,5,17,0,0,106,352
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 69","Calgary",15,50,10,5,25,0,1,106,337
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 70","Calgary",32,67,5,2,73,0,3,182,457
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 71","Calgary",19,87,6,2,33,2,1,150,417
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 72","Calgary",23,90,9,3,93,0,1,219,444
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 73","Calgary",31,51,8,1,65,3,1,160,442
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 74","Calgary",28,41,6,1,71,2,2,151,416
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 75","Calgary",20,85,9,2,36,1,0,153,445
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 76","Calgary",35,62,8,2,76,1,0,184,432
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 77","Calgary",19,39,7,6,76,0,2,149,439
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 78","Calgary",22,45,6,4,32,2,1,112,376
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 79","Calgary",18,71,5,0,32,2,2,130,346
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 80","Calgary",29,80,8,5,79,1,0,202,584
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 81","Calgary",16,43,11,4,48,1,0,123,383
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 82","Calgary",25,96,10,2,39,2,0,174,474
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 83","Calgary",27,88,8,0,34,2,2,161,458
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 84","Calgary",35,77,11,6,36,2,1,168,450
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 85","Calgary",16,32,4,1,48,0,8,109,332
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 86","Calgary",35,67,13,6,32,1,2,156,422
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 87","Calgary",23,43,6,4,31,1,2,110,340
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 88","Calgary",22,71,7,2,28,1,1,132,364
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 89","Calgary",19,66,3,2,25,0,1,116,357
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 90","Calgary",16,66,6,2,16,1,1,108,319
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 91","Calgary",29,57,9,4,41,0,2,142,409
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 92","Calgary",18,63,6,2,25,0,2,116,427
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 93","Calgary",43,53,16,3,39,1,0,155,379
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 94","Calgary",22,55,17,4,54,3,3,158,421
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 95","Calgary",26,78,14,2,34,5,6,165,440
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 96","Calgary",23,62,14,4,40,1,1,145,355
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 97","Calgary",21,64,9,5,23,0,3,125,321
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 98","Calgary",27,76,17,1,43,0,3,167,400
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 99","Calgary",32,78,6,0,35,0,1,152,417
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 100","Calgary",36,83,18,1,41,2,1,182,433
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 101","Calgary",39,81,12,7,49,1,1,190,446
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 102","Calgary",41,59,15,4,41,0,1,161,432
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 103","Calgary",33,55,5,0,45,3,6,147,406
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 104","Calgary",38,56,7,1,40,0,0,142,317
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 105","Calgary",26,56,19,4,29,0,2,136,443
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 106","Calgary",39,134,40,8,26,0,4,251,530
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 107","Calgary",21,28,2,7,31,1,0,90,366
