Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kody Blois,Steven Ford,Mark Parent,Sheila G. Richardson,Stephen Schneider,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Kings--Hants/Kings--Hants"," 171","Upper Falmouth",44,10,36,3,14,0,107,250
12007,"Kings--Hants/Kings--Hants"," 172","Mount Uniacke",74,11,61,4,23,0,173,405
12007,"Kings--Hants/Kings--Hants"," 173","Etter Settlement",27,3,39,3,15,0,87,296
12007,"Kings--Hants/Kings--Hants"," 174","Mount Uniacke",67,6,36,1,23,2,135,347
12007,"Kings--Hants/Kings--Hants"," 175","Kinsmans Corner",87,9,89,3,35,1,224,438
12007,"Kings--Hants/Kings--Hants"," 176","Coldbrook",74,12,65,1,25,1,178,358
12007,"Kings--Hants/Kings--Hants"," 177","Coldbrook",56,10,40,2,31,1,140,386
12007,"Kings--Hants/Kings--Hants"," 178","Coldbrook",82,14,44,4,31,3,178,358
12007,"Kings--Hants/Kings--Hants"," 179","Coldbrook",46,3,33,1,24,0,107,360
12007,"Kings--Hants/Kings--Hants"," 180","Coldbrook",69,5,32,1,24,2,133,265
12007,"Kings--Hants/Kings--Hants"," 181","Coldbrook",78,8,41,4,27,1,159,390
12007,"Kings--Hants/Kings--Hants"," 182","Sunken Lake",49,5,59,2,34,1,150,308
12007,"Kings--Hants/Kings--Hants"," 183","Black River Lake",52,8,46,5,31,0,142,265
12007,"Kings--Hants/Kings--Hants"," 184","Cambridge",53,5,50,4,21,0,133,447
12007,"Kings--Hants/Kings--Hants"," 185","Cambridge",50,13,43,1,48,1,156,468
12007,"Kings--Hants/Kings--Hants"," 186","Cambridge",56,7,52,0,18,1,134,405
12007,"Kings--Hants/Kings--Hants"," 187","Cambridge",36,3,40,1,12,0,92,288
12007,"Kings--Hants/Kings--Hants"," 188","Upper Vaughan",91,8,101,9,27,0,236,484
12007,"Kings--Hants/Kings--Hants"," 189","Vaughan",71,13,89,6,39,0,218,459
12007,"Kings--Hants/Kings--Hants"," 190","North Alton",73,10,53,2,27,0,165,359
12007,"Kings--Hants/Kings--Hants"," 191","North Alton",78,22,66,9,25,0,200,497
12007,"Kings--Hants/Kings--Hants"," 192","North Alton",50,7,54,4,31,3,149,289
12007,"Kings--Hants/Kings--Hants"," 193","Canaan",94,9,87,5,35,0,230,487
12007,"Kings--Hants/Kings--Hants"," 194","South Alton",68,8,63,6,28,2,175,394
12007,"Kings--Hants/Kings--Hants"," 500","Mobile poll/Bureau itinérant",17,1,11,3,3,0,35,94
12007,"Kings--Hants/Kings--Hants"," 501","Mobile poll/Bureau itinérant",15,3,12,0,1,0,31,64
12007,"Kings--Hants/Kings--Hants"," 502","Mobile poll/Bureau itinérant",20,0,22,0,3,2,47,57
12007,"Kings--Hants/Kings--Hants"," 503","Mobile poll/Bureau itinérant",1,0,4,0,3,0,8,12
12007,"Kings--Hants/Kings--Hants"," 504","Mobile poll/Bureau itinérant",5,1,5,0,1,0,12,55
12007,"Kings--Hants/Kings--Hants"," 505","Mobile poll/Bureau itinérant",4,0,2,1,1,0,8,11
12007,"Kings--Hants/Kings--Hants"," 506","Mobile poll/Bureau itinérant",4,2,8,0,1,0,15,39
12007,"Kings--Hants/Kings--Hants"," 507","Mobile poll/Bureau itinérant",11,0,9,0,1,0,21,107
12007,"Kings--Hants/Kings--Hants"," 508","Mobile poll/Bureau itinérant",6,1,3,0,0,0,10,18
12007,"Kings--Hants/Kings--Hants"," 509","Mobile poll/Bureau itinérant",23,1,11,1,2,3,41,112
12007,"Kings--Hants/Kings--Hants"," 510","Mobile poll/Bureau itinérant",20,0,8,1,5,2,36,66
12007,"Kings--Hants/Kings--Hants"," 600","Canada Creek",216,8,154,4,62,2,446,
12007,"Kings--Hants/Kings--Hants"," 601","Canning",229,10,143,12,65,1,460,
12007,"Kings--Hants/Kings--Hants"," 602","Wolfville",489,12,197,15,119,5,837,
12007,"Kings--Hants/Kings--Hants"," 603","Wolfville",426,9,147,15,208,4,809,
12007,"Kings--Hants/Kings--Hants"," 604","Summerville",306,33,240,12,97,5,693,
12007,"Kings--Hants/Kings--Hants"," 605","Kennetcook",251,27,174,6,51,1,510,
12007,"Kings--Hants/Kings--Hants"," 606","Shubenacadie",93,7,89,5,33,0,227,
12007,"Kings--Hants/Kings--Hants"," 607","Lantz",244,13,150,12,56,2,477,
12007,"Kings--Hants/Kings--Hants"," 608","Elmsdale",349,21,180,8,113,2,673,
12007,"Kings--Hants/Kings--Hants"," 609","Enfield",371,24,231,16,140,0,782,
12007,"Kings--Hants/Kings--Hants"," 610","Mount Uniacke",417,35,286,21,127,1,887,
12007,"Kings--Hants/Kings--Hants"," 611","Upper Vaughan",288,31,229,14,85,4,651,
12007,"Kings--Hants/Kings--Hants"," 612","Windsor",352,16,149,17,66,2,602,
12007,"Kings--Hants/Kings--Hants"," 613","Hantsport",253,11,151,7,78,5,505,
12007,"Kings--Hants/Kings--Hants"," 614","Falmouth",332,12,218,4,67,4,637,
12007,"Kings--Hants/Kings--Hants"," 615","New Minas",333,21,228,14,68,1,665,
12007,"Kings--Hants/Kings--Hants"," 616","New Minas",383,16,202,10,92,4,707,
12007,"Kings--Hants/Kings--Hants"," 617","Kentville",454,36,251,15,149,4,909,
12007,"Kings--Hants/Kings--Hants"," 618","Kentville",437,17,240,13,126,6,839,
12007,"Kings--Hants/Kings--Hants"," 619","Centreville--Kentville",178,12,157,3,53,2,405,
12007,"Kings--Hants/Kings--Hants"," 620","Cambridge Station--Coldbrook",395,45,302,15,109,2,868,
12007,"Kings--Hants/Kings--Hants",,Group 1/Groupe 1, 137,16,132,9,89,16,399,109
12007,"Kings--Hants/Kings--Hants",,Group 2/Groupe 2, 1112,46,561,27,287,31,2064,
