Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harry Cockell,Hedy Fry,Breen Ouellette,Alaric Paivarinta,Taylor Singleton-Fookes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59034,"Vancouver Centre/Vancouver-Centre"," 72","Vancouver",13,44,50,4,7,0,118,475
59034,"Vancouver Centre/Vancouver-Centre"," 73","Vancouver",10,39,64,8,6,1,128,472
59034,"Vancouver Centre/Vancouver-Centre"," 74","Vancouver",25,44,47,7,8,1,132,495
59034,"Vancouver Centre/Vancouver-Centre"," 75","Vancouver",65,44,11,1,3,1,125,639
59034,"Vancouver Centre/Vancouver-Centre"," 76","Vancouver",43,44,16,4,9,2,118,701
59034,"Vancouver Centre/Vancouver-Centre"," 77","Vancouver",39,61,14,4,1,4,123,459
59034,"Vancouver Centre/Vancouver-Centre"," 78","Vancouver",18,31,65,1,6,1,122,425
59034,"Vancouver Centre/Vancouver-Centre"," 79","Vancouver",Merged with No./Fusionné avec le n°33,,,,,,,278
59034,"Vancouver Centre/Vancouver-Centre"," 80","Vancouver",21,37,43,7,1,1,110,314
59034,"Vancouver Centre/Vancouver-Centre"," 81","Vancouver",26,39,17,2,7,0,91,348
59034,"Vancouver Centre/Vancouver-Centre"," 82","Vancouver",29,40,35,4,5,1,114,469
59034,"Vancouver Centre/Vancouver-Centre"," 83","Vancouver",27,34,39,1,0,1,102,597
59034,"Vancouver Centre/Vancouver-Centre"," 84","Vancouver",Void/Supprimé,,,,,,,
59034,"Vancouver Centre/Vancouver-Centre"," 85","Vancouver",67,79,69,12,14,0,241,397
59034,"Vancouver Centre/Vancouver-Centre"," 86","Vancouver",Merged with No./Fusionné avec le n°85,,,,,,,356
59034,"Vancouver Centre/Vancouver-Centre"," 87","Vancouver",33,49,40,11,2,0,135,409
59034,"Vancouver Centre/Vancouver-Centre"," 88","Vancouver",Merged with No./Fusionné avec le n°91,,,,,,,395
59034,"Vancouver Centre/Vancouver-Centre"," 89","Vancouver",Results combined with no. 94/Résultats combinés au n° 94,,,,,,,387
59034,"Vancouver Centre/Vancouver-Centre"," 90","Vancouver",31,69,58,12,2,1,173,453
59034,"Vancouver Centre/Vancouver-Centre"," 91","Vancouver",65,106,114,23,12,2,322,413
59034,"Vancouver Centre/Vancouver-Centre"," 92","Vancouver",19,54,90,17,5,1,186,436
59034,"Vancouver Centre/Vancouver-Centre"," 93","Vancouver",32,64,39,8,7,0,150,431
59034,"Vancouver Centre/Vancouver-Centre"," 94","Vancouver",49,96,94,12,12,1,264,340
59034,"Vancouver Centre/Vancouver-Centre"," 95","Vancouver",22,32,54,11,8,0,127,443
59034,"Vancouver Centre/Vancouver-Centre"," 96","Vancouver",13,22,34,6,11,0,86,409
59034,"Vancouver Centre/Vancouver-Centre"," 97","Vancouver",24,45,79,5,11,0,164,577
59034,"Vancouver Centre/Vancouver-Centre"," 98","Vancouver",9,19,41,4,7,0,80,277
59034,"Vancouver Centre/Vancouver-Centre"," 99","Vancouver",14,37,46,0,6,0,103,302
59034,"Vancouver Centre/Vancouver-Centre"," 100","Vancouver",11,42,40,3,5,0,101,317
59034,"Vancouver Centre/Vancouver-Centre"," 101","Vancouver",12,39,43,5,6,3,108,351
59034,"Vancouver Centre/Vancouver-Centre"," 102","Vancouver",10,39,31,5,0,0,85,293
59034,"Vancouver Centre/Vancouver-Centre"," 103","Vancouver",8,39,27,5,4,3,86,392
59034,"Vancouver Centre/Vancouver-Centre"," 104","Vancouver",23,62,38,12,10,2,147,550
59034,"Vancouver Centre/Vancouver-Centre"," 105","Vancouver",8,17,21,3,3,0,52,164
59034,"Vancouver Centre/Vancouver-Centre"," 106","Vancouver",17,25,47,2,5,0,96,270
59034,"Vancouver Centre/Vancouver-Centre"," 107","Vancouver",20,54,64,7,14,1,160,535
59034,"Vancouver Centre/Vancouver-Centre"," 108","Vancouver",19,54,73,7,9,0,162,432
59034,"Vancouver Centre/Vancouver-Centre"," 109","Vancouver",37,80,53,9,10,3,192,434
59034,"Vancouver Centre/Vancouver-Centre"," 110","Vancouver",15,37,53,5,4,0,114,357
59034,"Vancouver Centre/Vancouver-Centre"," 111","Vancouver",Merged with No./Fusionné avec le n°113,,,,,,,283
59034,"Vancouver Centre/Vancouver-Centre"," 112","Vancouver",22,35,72,8,8,2,147,514
59034,"Vancouver Centre/Vancouver-Centre"," 113","Vancouver",25,64,50,10,5,0,154,285
59034,"Vancouver Centre/Vancouver-Centre"," 114","Vancouver",38,62,53,4,8,0,165,608
59034,"Vancouver Centre/Vancouver-Centre"," 115","Vancouver",29,44,34,1,4,1,113,349
59034,"Vancouver Centre/Vancouver-Centre"," 116","Vancouver",54,46,33,5,2,0,140,336
59034,"Vancouver Centre/Vancouver-Centre"," 117","Vancouver",37,46,29,7,1,3,123,445
59034,"Vancouver Centre/Vancouver-Centre"," 118","Vancouver",18,21,7,0,3,0,49,405
59034,"Vancouver Centre/Vancouver-Centre"," 119","Vancouver",35,55,45,9,5,0,149,627
59034,"Vancouver Centre/Vancouver-Centre"," 120","Vancouver",29,51,27,5,1,0,113,393
59034,"Vancouver Centre/Vancouver-Centre"," 121","Vancouver",Merged with No./Fusionné avec le n°116,,,,,,,285
59034,"Vancouver Centre/Vancouver-Centre"," 122","Vancouver",45,64,45,4,1,0,159,379
59034,"Vancouver Centre/Vancouver-Centre"," 123","Vancouver",8,12,22,7,2,0,51,280
59034,"Vancouver Centre/Vancouver-Centre"," 124","Vancouver",42,76,65,14,5,0,202,384
59034,"Vancouver Centre/Vancouver-Centre"," 125","Vancouver",33,43,36,5,3,0,120,425
59034,"Vancouver Centre/Vancouver-Centre"," 126","Vancouver",44,68,53,6,5,0,176,579
59034,"Vancouver Centre/Vancouver-Centre"," 127","Vancouver",Merged with No./Fusionné avec le n°128,,,,,,,262
59034,"Vancouver Centre/Vancouver-Centre"," 128","Vancouver",40,69,47,4,9,1,170,471
59034,"Vancouver Centre/Vancouver-Centre"," 129","Vancouver",27,48,34,5,4,0,118,390
59034,"Vancouver Centre/Vancouver-Centre"," 130","Vancouver",27,55,50,5,5,0,142,447
59034,"Vancouver Centre/Vancouver-Centre"," 131","Vancouver",23,49,25,6,0,1,104,297
59034,"Vancouver Centre/Vancouver-Centre"," 132","Vancouver",39,51,52,3,9,0,154,505
59034,"Vancouver Centre/Vancouver-Centre"," 133","Vancouver",81,110,57,5,16,0,269,847
59034,"Vancouver Centre/Vancouver-Centre"," 134","Vancouver",26,36,38,2,1,0,103,286
59034,"Vancouver Centre/Vancouver-Centre"," 135","Vancouver",66,81,29,5,5,2,188,594
59034,"Vancouver Centre/Vancouver-Centre"," 136","Vancouver",38,60,44,6,4,1,153,609
59034,"Vancouver Centre/Vancouver-Centre"," 137","Vancouver",18,30,54,6,5,0,113,395
59034,"Vancouver Centre/Vancouver-Centre"," 138","Vancouver",15,32,34,3,3,1,88,434
59034,"Vancouver Centre/Vancouver-Centre"," 139","Vancouver",29,44,29,6,5,1,114,323
59034,"Vancouver Centre/Vancouver-Centre"," 140","Vancouver",12,29,19,4,3,3,70,292
59034,"Vancouver Centre/Vancouver-Centre"," 141","Vancouver",27,30,42,4,5,0,108,444
59034,"Vancouver Centre/Vancouver-Centre"," 142","Vancouver",9,23,25,5,2,1,65,486
59034,"Vancouver Centre/Vancouver-Centre"," 143","Vancouver",24,33,31,3,1,1,93,295
59034,"Vancouver Centre/Vancouver-Centre"," 144","Vancouver",23,39,22,6,2,1,93,311
59034,"Vancouver Centre/Vancouver-Centre"," 145","Vancouver",28,80,71,10,7,1,197,571
59034,"Vancouver Centre/Vancouver-Centre"," 146","Vancouver",33,51,39,4,5,0,132,407
59034,"Vancouver Centre/Vancouver-Centre"," 147","Vancouver",27,49,32,3,2,0,113,319
59034,"Vancouver Centre/Vancouver-Centre"," 148","Vancouver",32,61,35,6,3,0,137,477
59034,"Vancouver Centre/Vancouver-Centre"," 149","Vancouver",15,46,29,1,5,2,98,352
59034,"Vancouver Centre/Vancouver-Centre"," 150","Vancouver",17,41,24,8,2,1,93,327
59034,"Vancouver Centre/Vancouver-Centre"," 151","Vancouver",25,44,30,3,2,0,104,411
59034,"Vancouver Centre/Vancouver-Centre"," 152","Vancouver",36,59,19,6,5,4,129,484
59034,"Vancouver Centre/Vancouver-Centre"," 153","Vancouver",41,67,45,4,4,1,162,576
59034,"Vancouver Centre/Vancouver-Centre"," 154","Vancouver",38,42,13,4,2,0,99,457
59034,"Vancouver Centre/Vancouver-Centre"," 155","Vancouver",77,90,21,5,5,1,199,381
59034,"Vancouver Centre/Vancouver-Centre"," 156","Vancouver",16,23,28,2,4,0,73,293
59034,"Vancouver Centre/Vancouver-Centre"," 157","Vancouver",59,69,42,6,2,0,178,675
59034,"Vancouver Centre/Vancouver-Centre"," 158","Vancouver",77,82,46,10,19,0,234,767
59034,"Vancouver Centre/Vancouver-Centre"," 159","Vancouver",80,93,51,6,4,4,238,733
59034,"Vancouver Centre/Vancouver-Centre"," 160","Vancouver",Void/Supprimé,,,,,,,
59034,"Vancouver Centre/Vancouver-Centre"," 161","Vancouver",25,42,25,5,0,0,97,475
59034,"Vancouver Centre/Vancouver-Centre"," 162","Vancouver",49,51,16,4,0,0,120,584
59034,"Vancouver Centre/Vancouver-Centre"," 163","Vancouver",40,31,23,1,4,0,99,389
59034,"Vancouver Centre/Vancouver-Centre"," 164","Vancouver",32,58,26,2,1,2,121,497
59034,"Vancouver Centre/Vancouver-Centre"," 165","Vancouver",35,30,8,4,2,0,79,407
59034,"Vancouver Centre/Vancouver-Centre"," 166","Vancouver",31,37,17,2,0,1,88,430
59034,"Vancouver Centre/Vancouver-Centre"," 167","Vancouver",17,60,38,6,4,1,126,421
59034,"Vancouver Centre/Vancouver-Centre"," 168","Vancouver",22,48,47,4,5,0,126,373
59034,"Vancouver Centre/Vancouver-Centre"," 169","Vancouver",25,54,48,12,4,2,145,413
59034,"Vancouver Centre/Vancouver-Centre"," 170","Vancouver",Merged with No./Fusionné avec le n°197,,,,,,,387
59034,"Vancouver Centre/Vancouver-Centre"," 171","Vancouver",22,45,78,10,10,0,165,452
59034,"Vancouver Centre/Vancouver-Centre"," 172","Vancouver",17,51,58,7,2,2,137,306
59034,"Vancouver Centre/Vancouver-Centre"," 173","Vancouver",18,46,49,7,1,0,121,438
59034,"Vancouver Centre/Vancouver-Centre"," 174","Vancouver",Merged with No./Fusionné avec le n°180,,,,,,,346
59034,"Vancouver Centre/Vancouver-Centre"," 175","Vancouver",12,37,32,3,3,1,88,334
59034,"Vancouver Centre/Vancouver-Centre"," 176","Vancouver",34,44,34,3,3,0,118,401
59034,"Vancouver Centre/Vancouver-Centre"," 177","Vancouver",Merged with No./Fusionné avec le n°124,,,,,,,354
59034,"Vancouver Centre/Vancouver-Centre"," 178","Vancouver",16,32,24,1,1,0,74,281
59034,"Vancouver Centre/Vancouver-Centre"," 179","Vancouver",31,61,34,2,3,0,131,512
59034,"Vancouver Centre/Vancouver-Centre"," 180","Vancouver",45,87,37,2,3,2,176,350
59034,"Vancouver Centre/Vancouver-Centre"," 181","Vancouver",27,36,19,3,3,0,88,330
59034,"Vancouver Centre/Vancouver-Centre"," 182","Vancouver",64,65,38,6,7,2,182,586
59034,"Vancouver Centre/Vancouver-Centre"," 183","Vancouver",27,43,25,2,3,0,100,494
59034,"Vancouver Centre/Vancouver-Centre"," 184","Vancouver",17,14,22,0,5,0,58,414
59034,"Vancouver Centre/Vancouver-Centre"," 185","Vancouver",20,21,18,2,1,1,63,323
59034,"Vancouver Centre/Vancouver-Centre"," 186","Vancouver",13,34,10,2,0,0,59,356
59034,"Vancouver Centre/Vancouver-Centre"," 187","Vancouver",35,26,10,2,2,0,75,481
59034,"Vancouver Centre/Vancouver-Centre"," 188","Vancouver",24,33,14,2,6,0,79,360
59034,"Vancouver Centre/Vancouver-Centre"," 189","Vancouver",21,23,12,4,0,0,60,396
59034,"Vancouver Centre/Vancouver-Centre"," 190","Vancouver",34,41,33,8,12,1,129,488
59034,"Vancouver Centre/Vancouver-Centre"," 191","Vancouver",22,46,16,2,2,0,88,506
59034,"Vancouver Centre/Vancouver-Centre"," 192","Vancouver",39,65,39,1,3,3,150,529
59034,"Vancouver Centre/Vancouver-Centre"," 193","Vancouver",29,37,9,3,2,0,80,340
59034,"Vancouver Centre/Vancouver-Centre"," 194","Vancouver",11,34,16,4,1,0,66,319
59034,"Vancouver Centre/Vancouver-Centre"," 195","Vancouver",20,33,35,6,10,1,105,426
59034,"Vancouver Centre/Vancouver-Centre"," 196","Vancouver",27,54,38,0,6,0,125,468
59034,"Vancouver Centre/Vancouver-Centre"," 197","Vancouver",27,94,94,18,4,2,239,389
59034,"Vancouver Centre/Vancouver-Centre"," 198","Vancouver",23,30,20,4,1,0,78,346
59034,"Vancouver Centre/Vancouver-Centre"," 199","Vancouver",26,54,40,10,3,0,133,498
59034,"Vancouver Centre/Vancouver-Centre"," 200","Vancouver",42,69,26,4,1,0,142,437
59034,"Vancouver Centre/Vancouver-Centre"," 201","Vancouver",13,31,29,1,0,0,74,329
59034,"Vancouver Centre/Vancouver-Centre"," 202","Vancouver",37,84,66,6,3,1,197,646
59034,"Vancouver Centre/Vancouver-Centre"," 203","Vancouver",10,36,35,5,1,2,89,373
59034,"Vancouver Centre/Vancouver-Centre"," 204","Vancouver",40,99,88,16,3,0,246,766
59034,"Vancouver Centre/Vancouver-Centre"," 205","Vancouver",42,77,61,4,1,1,186,417
59034,"Vancouver Centre/Vancouver-Centre"," 206","Vancouver",33,28,28,6,4,0,99,407
59034,"Vancouver Centre/Vancouver-Centre"," 207","Vancouver",37,59,38,8,3,0,145,456
59034,"Vancouver Centre/Vancouver-Centre"," 208","Vancouver",29,58,43,6,2,0,138,292
59034,"Vancouver Centre/Vancouver-Centre"," 209","Vancouver",70,82,96,11,6,0,265,692
59034,"Vancouver Centre/Vancouver-Centre"," 210","Vancouver",41,48,66,7,2,2,166,532
59034,"Vancouver Centre/Vancouver-Centre"," 211","Vancouver",42,79,45,7,2,0,175,456
59034,"Vancouver Centre/Vancouver-Centre"," 212","Vancouver",23,42,28,2,2,0,97,270
59034,"Vancouver Centre/Vancouver-Centre"," 213","Vancouver",56,71,72,6,2,0,207,683
59034,"Vancouver Centre/Vancouver-Centre"," 214","Vancouver",37,96,86,12,3,0,234,413
59034,"Vancouver Centre/Vancouver-Centre"," 215","Vancouver",Merged with No./Fusionné avec le n°214,,,,,,,291
59034,"Vancouver Centre/Vancouver-Centre"," 400","Vancouver",Merged with No./Fusionné avec le n°114,,,,,,,115
59034,"Vancouver Centre/Vancouver-Centre"," 401","Vancouver",Void/Supprimé,,,,,,,
59034,"Vancouver Centre/Vancouver-Centre"," 402","Vancouver",Void/Supprimé,,,,,,,
59034,"Vancouver Centre/Vancouver-Centre"," 403","Vancouver",Merged with No./Fusionné avec le n°155,,,,,,,245
59034,"Vancouver Centre/Vancouver-Centre"," 500","Mobile poll/Bureau itinérant",8,21,5,7,3,1,45,91
59034,"Vancouver Centre/Vancouver-Centre"," 501","Vancouver",Merged with No./Fusionné avec le n°62,,,,,,,54
59034,"Vancouver Centre/Vancouver-Centre"," 502","Vancouver",Merged with No./Fusionné avec le n°62,,,,,,,54
59034,"Vancouver Centre/Vancouver-Centre"," 503","Vancouver",Merged with No./Fusionné avec le n°68,,,,,,,27
59034,"Vancouver Centre/Vancouver-Centre"," 504","Vancouver",Merged with No./Fusionné avec le n°123,,,,,,,69
59034,"Vancouver Centre/Vancouver-Centre"," 505","Vancouver",Merged with No./Fusionné avec le n°184,,,,,,,48
59034,"Vancouver Centre/Vancouver-Centre"," 506","Mobile poll/Bureau itinérant",9,20,10,4,2,6,51,72
59034,"Vancouver Centre/Vancouver-Centre"," 507","Vancouver",Merged with No./Fusionné avec le n°169,,,,,,,14
59034,"Vancouver Centre/Vancouver-Centre"," 600","Vancouver",122,322,291,32,19,3,789,
59034,"Vancouver Centre/Vancouver-Centre"," 601","Vancouver",132,171,141,21,18,0,483,
59034,"Vancouver Centre/Vancouver-Centre"," 602","Vancouver",159,361,262,34,25,4,845,
59034,"Vancouver Centre/Vancouver-Centre"," 603","Vancouver",349,384,142,24,21,0,920,
59034,"Vancouver Centre/Vancouver-Centre"," 604","Vancouver",120,230,158,26,31,1,566,
59034,"Vancouver Centre/Vancouver-Centre"," 605","Vancouver",92,194,159,14,29,2,490,
59034,"Vancouver Centre/Vancouver-Centre"," 606","Vancouver",176,374,297,35,40,0,922,
59034,"Vancouver Centre/Vancouver-Centre"," 607","Vancouver",108,325,289,36,32,2,792,
59034,"Vancouver Centre/Vancouver-Centre"," 608","Vancouver",88,267,284,41,21,0,701,
59034,"Vancouver Centre/Vancouver-Centre"," 609","Vancouver",126,360,296,28,35,4,849,
59034,"Vancouver Centre/Vancouver-Centre"," 610","Vancouver",184,325,120,13,19,2,663,
59034,"Vancouver Centre/Vancouver-Centre"," 611","Vancouver",290,322,119,18,19,2,770,
59034,"Vancouver Centre/Vancouver-Centre"," 612","Vancouver",145,187,77,9,10,1,429,
59034,"Vancouver Centre/Vancouver-Centre"," 613","Vancouver",76,223,166,14,18,1,498,
59034,"Vancouver Centre/Vancouver-Centre"," 614","Vancouver",127,263,236,29,24,1,680,
59034,"Vancouver Centre/Vancouver-Centre"," 615","Vancouver",140,322,373,38,37,5,915,
59034,"Vancouver Centre/Vancouver-Centre"," 616","Vancouver",148,306,272,32,23,1,782,
59034,"Vancouver Centre/Vancouver-Centre"," 617","Vancouver",125,239,117,14,27,2,524,
59034,"Vancouver Centre/Vancouver-Centre"," 618","Vancouver",129,256,159,15,21,1,581,
59034,"Vancouver Centre/Vancouver-Centre"," 619","Vancouver",192,276,154,16,27,1,666,
59034,"Vancouver Centre/Vancouver-Centre"," 620","Vancouver",213,352,183,15,24,7,794,
59034,"Vancouver Centre/Vancouver-Centre"," 621","Vancouver",308,420,169,29,45,1,972,
59034,"Vancouver Centre/Vancouver-Centre"," 622","Vancouver",220,290,100,20,14,1,645,
59034,"Vancouver Centre/Vancouver-Centre"," 623","Vancouver",115,259,265,29,27,1,696,
59034,"Vancouver Centre/Vancouver-Centre"," 624","Vancouver",165,258,206,27,14,1,671,
59034,"Vancouver Centre/Vancouver-Centre"," 625","Vancouver",252,442,301,24,17,3,1039,
59034,"Vancouver Centre/Vancouver-Centre"," 626","Vancouver",136,170,101,23,10,1,441,
59034,"Vancouver Centre/Vancouver-Centre"," 627","Vancouver",132,265,144,11,4,1,557,
59034,"Vancouver Centre/Vancouver-Centre",,Group 1/Groupe 1, 257,481,300,52,38,68,1196,879
59034,"Vancouver Centre/Vancouver-Centre",,Group 2/Groupe 2, 1021,2610,1893,180,72,173,5949,
