Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Bittle,Rebecca Hahn,Trecia McLennon,Catharine Rhodes,Krystina Waler,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35089,"St. Catharines/St. Catharines"," 63","St. Catharines",67,6,21,4,46,0,144,423
35089,"St. Catharines/St. Catharines"," 64","St. Catharines",82,7,61,0,65,1,216,450
35089,"St. Catharines/St. Catharines"," 65","St. Catharines",51,11,49,3,50,3,167,440
35089,"St. Catharines/St. Catharines"," 66","St. Catharines",59,8,44,5,43,1,160,495
35089,"St. Catharines/St. Catharines"," 67","St. Catharines",53,9,34,2,59,1,158,438
35089,"St. Catharines/St. Catharines"," 68","St. Catharines",68,12,41,2,73,1,197,439
35089,"St. Catharines/St. Catharines"," 69","St. Catharines",89,7,44,4,78,0,222,476
35089,"St. Catharines/St. Catharines"," 70","St. Catharines",87,16,44,2,63,1,213,474
35089,"St. Catharines/St. Catharines"," 71","St. Catharines",35,5,44,4,27,3,118,426
35089,"St. Catharines/St. Catharines"," 72","St. Catharines",41,15,33,4,84,2,179,468
35089,"St. Catharines/St. Catharines"," 73","St. Catharines",51,14,52,4,49,1,171,516
35089,"St. Catharines/St. Catharines"," 74","St. Catharines",63,12,76,3,35,3,192,658
35089,"St. Catharines/St. Catharines"," 75","St. Catharines",56,13,50,3,32,4,158,460
35089,"St. Catharines/St. Catharines"," 76","St. Catharines",79,15,29,5,62,1,191,583
35089,"St. Catharines/St. Catharines"," 77A","St. Catharines",55,7,18,5,54,0,139,427
35089,"St. Catharines/St. Catharines"," 77B","Mobile poll/Bureau itinérant",24,3,9,1,26,4,67,134
35089,"St. Catharines/St. Catharines"," 78","St. Catharines",85,9,31,2,53,2,182,524
35089,"St. Catharines/St. Catharines"," 79","St. Catharines",74,16,38,5,68,2,203,507
35089,"St. Catharines/St. Catharines"," 80","St. Catharines",77,18,57,9,83,1,245,475
35089,"St. Catharines/St. Catharines"," 81","St. Catharines",61,17,52,2,70,2,204,456
35089,"St. Catharines/St. Catharines"," 82","St. Catharines",45,14,26,7,48,1,141,480
35089,"St. Catharines/St. Catharines"," 83","St. Catharines",83,9,48,0,58,1,199,457
35089,"St. Catharines/St. Catharines"," 84","St. Catharines",57,17,44,3,25,1,147,419
35089,"St. Catharines/St. Catharines"," 85","St. Catharines",52,7,36,5,61,1,162,376
35089,"St. Catharines/St. Catharines"," 86","St. Catharines",90,10,57,5,71,0,233,563
35089,"St. Catharines/St. Catharines"," 87","St. Catharines",45,7,25,2,47,2,128,369
35089,"St. Catharines/St. Catharines"," 88","St. Catharines",78,18,46,5,70,2,219,568
35089,"St. Catharines/St. Catharines"," 89","St. Catharines",46,11,26,3,46,0,132,401
35089,"St. Catharines/St. Catharines"," 90","St. Catharines",64,18,46,4,37,2,171,548
35089,"St. Catharines/St. Catharines"," 91","St. Catharines",35,14,43,4,49,2,147,450
35089,"St. Catharines/St. Catharines"," 92","St. Catharines",91,18,68,9,59,3,248,584
35089,"St. Catharines/St. Catharines"," 93","St. Catharines",43,15,43,3,39,4,147,460
35089,"St. Catharines/St. Catharines"," 94","St. Catharines",64,18,55,8,64,2,211,476
35089,"St. Catharines/St. Catharines"," 95","St. Catharines",34,20,43,9,54,0,160,524
35089,"St. Catharines/St. Catharines"," 96","St. Catharines",43,19,45,4,30,0,141,402
35089,"St. Catharines/St. Catharines"," 97","St. Catharines",50,16,43,2,48,1,160,502
35089,"St. Catharines/St. Catharines"," 98","St. Catharines",51,19,61,6,48,1,186,514
35089,"St. Catharines/St. Catharines"," 99","St. Catharines",86,6,19,2,116,0,229,533
35089,"St. Catharines/St. Catharines"," 100A","St. Catharines",50,8,29,4,56,0,147,344
