Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Frédéric Amyot,Alexandra Bernier,Caroline Desbiens,Frédéric Du Verle,Chantal Laplante,Véronique Laprise,Jenniefer Lefrançois,Vicky Lépine,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 69","Baie-Saint-Paul",Merged with No./Fusionné avec le n°67,,,,,,,,,,413
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 70","Baie-Saint-Paul",Merged with No./Fusionné avec le n°68,,,,,,,,,,342
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 71","Baie-Saint-Paul",3,30,72,5,2,21,3,1,1,138,449
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 72","Sainte-Anne-de-Beaupré",0,25,30,9,2,32,4,0,4,106,332
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 73","Sainte-Anne-de-Beaupré",5,25,39,9,2,42,4,2,0,128,383
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 74","Sainte-Anne-de-Beaupré",3,25,34,4,1,28,5,1,4,105,286
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 75","Sainte-Anne-de-Beaupré",0,29,37,4,1,25,3,0,5,104,284
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 76","Sainte-Anne-de-Beaupré",4,35,35,6,1,38,1,3,1,124,371
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 77","Sainte-Anne-de-Beaupré",1,18,30,3,0,41,1,3,3,100,297
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 78","Sainte-Anne-de-Beaupré",4,26,43,7,3,64,5,0,7,159,447
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 79","Petite-Rivière-Saint-François",1,66,78,3,3,39,6,1,6,203,376
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 80","Petite-Rivière-Saint-François",2,55,65,5,3,32,4,2,2,170,366
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 81","Saint-Tite-des-Caps",0,31,65,7,1,47,4,0,4,159,360
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 82","Saint-Tite-des-Caps",1,28,76,4,1,40,6,0,3,159,289
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 83","Saint-Tite-des-Caps",0,24,58,3,1,52,2,0,2,142,276
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 84","Saint-Tite-des-Caps",1,34,45,4,0,82,6,0,2,174,315
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 85","Saint-Ferréol-les-Neiges",1,18,15,1,3,28,3,0,0,69,381
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 86","Saint-Ferréol-les-Neiges",2,12,17,6,0,18,2,0,0,57,338
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 87","Saint-Ferréol-les-Neiges",10,16,44,10,0,34,0,0,0,114,433
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 88","Saint-Ferréol-les-Neiges",4,19,35,6,0,26,0,0,1,91,381
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 89","Saint-Ferréol-les-Neiges",10,78,51,22,3,70,6,1,3,244,585
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 90","Saint-Ferréol-les-Neiges",1,33,57,13,0,41,7,2,0,154,403
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 91","Saint-Ferréol-les-Neiges",10,70,58,12,1,63,6,2,4,226,561
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 92","Saint-Joachim",1,15,57,5,7,48,7,0,2,142,334
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 93","Saint-Joachim",4,29,30,10,1,49,0,0,6,129,277
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 94","Saint-Joachim",1,20,43,4,0,53,2,1,4,128,294
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 95","Saint-Joachim",2,25,47,7,1,22,0,0,0,104,286
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 96","Beaupré",6,59,71,8,2,60,3,1,0,210,571
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 97","Beaupré",4,14,43,10,1,44,1,2,0,119,310
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 98","Beaupré",4,29,53,8,1,58,6,2,2,163,406
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 99","Beaupré",4,30,68,16,2,59,3,0,1,183,424
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 100","Beaupré",0,24,27,4,0,33,5,2,1,96,354
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 101","Beaupré",0,26,46,8,0,44,4,1,1,130,359
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 102","Beaupré",2,17,34,6,1,20,2,0,2,84,233
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 103","Beaupré",1,27,44,7,2,39,6,0,3,129,409
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 104","Saint-François-de-l'Île-d'Orléans",3,18,55,5,2,47,1,0,6,137,221
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 105","Saint-François",1,20,43,1,2,56,1,0,2,126,216
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 106","Château-Richer",5,28,42,8,4,71,6,0,3,167,441
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 107","Château-Richer",1,16,46,7,3,80,3,0,3,159,404
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 108","Château-Richer",5,26,33,6,3,62,2,0,4,141,352
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 109","Château-Richer",2,21,31,6,1,29,3,0,1,94,331
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 110","Château-Richer",5,23,51,13,1,69,1,1,3,167,401
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 111","Château-Richer",3,18,38,11,0,67,7,0,1,145,366
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 112","Château-Richer",3,33,58,12,1,60,8,0,8,183,465
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 113","Château-Richer",3,23,35,9,2,39,4,4,3,122,374
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 114","Château-Richer",3,7,30,3,1,42,2,0,1,89,290
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 115","Sainte-Famille",1,41,72,5,3,71,2,0,2,197,332
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 116","Sainte-Famille",2,43,55,10,0,75,6,2,6,199,359
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 117","Saint-Jean-de-l'Île-d'Orléans",1,43,97,6,0,81,2,0,4,234,424
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 118","Saint-Jean-de-l'Île-d'Orléans",3,45,65,10,1,70,2,0,6,202,400
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 119","L'Ange-Gardien",4,16,35,9,1,70,2,1,6,144,314
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 120","L'Ange-Gardien",3,34,58,7,2,55,4,0,4,167,383
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 121","L'Ange-Gardien",4,33,49,7,1,89,3,1,1,188,458
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 122","L'Ange-Gardien",3,26,37,9,0,57,1,1,2,136,354
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 123","L'Ange-Gardien",0,18,33,8,2,60,1,1,3,126,335
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 124","L'Ange-Gardien",1,29,37,12,2,43,5,0,2,131,327
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 125","L'Ange-Gardien",5,38,60,10,0,69,2,1,5,190,398
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 126","L'Ange-Gardien",2,21,51,16,3,66,6,1,2,168,434
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 127","Saint-Pierre-de-l'Île-d'Orléans",1,17,28,6,0,29,3,0,2,86,222
