Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paulina Ayala,Guy Croteau,Bianca Deltorto-Russell,Yves Le Seigle,Charlotte Lévesque-Marin,Lucilia Miranda,Pablo Rodriguez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24029,"Honoré-Mercier/Honoré-Mercier"," 60","Montréal",18,24,5,0,2,8,96,2,155,320
24029,"Honoré-Mercier/Honoré-Mercier"," 61","Montréal",12,28,6,1,2,10,150,5,214,369
24029,"Honoré-Mercier/Honoré-Mercier"," 62","Montréal",13,27,0,0,5,18,161,3,227,522
24029,"Honoré-Mercier/Honoré-Mercier"," 63","Montréal",15,26,4,0,10,10,139,1,205,446
24029,"Honoré-Mercier/Honoré-Mercier"," 64","Montréal",18,36,6,0,5,11,104,4,184,382
24029,"Honoré-Mercier/Honoré-Mercier"," 65","Montréal",14,18,2,0,11,11,100,0,156,419
24029,"Honoré-Mercier/Honoré-Mercier"," 66","Montréal",12,22,0,0,6,7,94,2,143,394
24029,"Honoré-Mercier/Honoré-Mercier"," 67","Montréal",10,9,3,1,6,4,90,1,124,373
24029,"Honoré-Mercier/Honoré-Mercier"," 68","Montréal",17,33,7,1,13,13,136,5,225,430
24029,"Honoré-Mercier/Honoré-Mercier"," 69","Montréal",13,18,5,2,16,5,140,1,200,449
24029,"Honoré-Mercier/Honoré-Mercier"," 70","Montréal",15,9,0,0,10,10,144,3,191,437
24029,"Honoré-Mercier/Honoré-Mercier"," 71","Montréal",9,33,2,1,14,14,151,1,225,454
24029,"Honoré-Mercier/Honoré-Mercier"," 72","Montréal",18,20,3,0,20,11,114,4,190,390
24029,"Honoré-Mercier/Honoré-Mercier"," 73","Montréal",5,25,0,0,11,11,101,6,159,438
24029,"Honoré-Mercier/Honoré-Mercier"," 74","Montréal",15,5,1,0,16,4,89,8,138,363
24029,"Honoré-Mercier/Honoré-Mercier"," 75","Montréal",10,7,0,1,4,5,102,3,132,370
24029,"Honoré-Mercier/Honoré-Mercier"," 76","Montréal",8,8,2,1,27,9,78,4,137,366
24029,"Honoré-Mercier/Honoré-Mercier"," 77","Montréal",19,17,0,0,7,6,119,4,172,383
24029,"Honoré-Mercier/Honoré-Mercier"," 78","Montréal",10,10,3,0,8,9,82,3,125,394
24029,"Honoré-Mercier/Honoré-Mercier"," 79","Montréal",16,16,3,0,19,6,104,1,165,539
24029,"Honoré-Mercier/Honoré-Mercier"," 80","Montréal",3,21,6,0,2,8,106,1,147,388
24029,"Honoré-Mercier/Honoré-Mercier"," 81","Montréal",8,13,2,1,11,12,57,0,104,338
24029,"Honoré-Mercier/Honoré-Mercier"," 82","Montréal",15,16,1,0,9,4,63,0,108,349
24029,"Honoré-Mercier/Honoré-Mercier"," 83","Montréal",11,24,2,0,9,11,104,1,162,520
24029,"Honoré-Mercier/Honoré-Mercier"," 84","Montréal",13,12,4,1,18,9,80,1,138,461
24029,"Honoré-Mercier/Honoré-Mercier"," 85","Montréal",16,24,0,0,12,4,68,3,127,508
24029,"Honoré-Mercier/Honoré-Mercier"," 86","Montréal",20,22,2,0,22,9,100,6,181,467
24029,"Honoré-Mercier/Honoré-Mercier"," 87","Montréal",8,6,4,0,29,1,84,5,137,442
24029,"Honoré-Mercier/Honoré-Mercier"," 88","Montréal",24,20,10,0,42,5,92,7,200,481
24029,"Honoré-Mercier/Honoré-Mercier"," 89","Montréal",18,8,2,1,24,6,84,9,152,428
24029,"Honoré-Mercier/Honoré-Mercier"," 90","Montréal",16,5,3,0,36,7,63,1,131,361
24029,"Honoré-Mercier/Honoré-Mercier"," 91","Montréal",11,12,5,0,37,10,80,0,155,441
24029,"Honoré-Mercier/Honoré-Mercier"," 92","Montréal",17,10,6,1,26,7,101,9,177,371
24029,"Honoré-Mercier/Honoré-Mercier"," 93","Montréal",17,14,6,0,64,5,85,3,194,487
24029,"Honoré-Mercier/Honoré-Mercier"," 94","Montréal",22,9,5,0,41,5,113,2,197,459
24029,"Honoré-Mercier/Honoré-Mercier"," 95","Montréal",20,10,1,0,42,8,103,4,188,403
24029,"Honoré-Mercier/Honoré-Mercier"," 96","Montréal",10,13,4,0,23,3,100,5,158,439
24029,"Honoré-Mercier/Honoré-Mercier"," 97","Montréal",11,6,3,0,16,6,59,6,107,300
24029,"Honoré-Mercier/Honoré-Mercier"," 98","Montréal",11,15,0,2,20,6,77,3,134,364
24029,"Honoré-Mercier/Honoré-Mercier"," 99","Montréal",23,5,3,0,12,2,81,2,128,365
24029,"Honoré-Mercier/Honoré-Mercier"," 100","Montréal",11,19,1,0,9,6,69,2,117,338
24029,"Honoré-Mercier/Honoré-Mercier"," 101","Montréal",14,6,1,0,11,8,90,0,130,402
24029,"Honoré-Mercier/Honoré-Mercier"," 102","Montréal",11,12,2,1,4,6,90,3,129,413
24029,"Honoré-Mercier/Honoré-Mercier"," 103","Montréal",18,7,4,0,25,5,106,0,165,527
24029,"Honoré-Mercier/Honoré-Mercier"," 104","Montréal",20,8,4,1,9,7,101,1,151,423
24029,"Honoré-Mercier/Honoré-Mercier"," 105","Montréal",15,20,1,0,45,10,60,1,152,500
24029,"Honoré-Mercier/Honoré-Mercier"," 106","Montréal",16,14,3,0,8,2,92,1,136,358
24029,"Honoré-Mercier/Honoré-Mercier"," 107","Montréal",5,6,2,0,4,2,55,1,75,371
24029,"Honoré-Mercier/Honoré-Mercier"," 108","Montréal",9,15,1,0,8,3,65,6,107,402
24029,"Honoré-Mercier/Honoré-Mercier"," 109","Montréal",10,12,2,0,3,4,72,2,105,384
24029,"Honoré-Mercier/Honoré-Mercier"," 110","Montréal",6,19,0,0,8,8,81,0,122,456
24029,"Honoré-Mercier/Honoré-Mercier"," 111","Montréal",4,11,1,0,10,7,68,2,103,383
24029,"Honoré-Mercier/Honoré-Mercier"," 112","Montréal",19,23,0,0,3,14,105,2,166,513
24029,"Honoré-Mercier/Honoré-Mercier"," 113","Montréal",12,17,5,0,10,9,109,3,165,459
24029,"Honoré-Mercier/Honoré-Mercier"," 114","Montréal",26,18,3,0,30,9,123,2,211,422
24029,"Honoré-Mercier/Honoré-Mercier"," 115","Montréal",20,14,2,1,30,5,124,4,200,499
24029,"Honoré-Mercier/Honoré-Mercier"," 116","Montréal",15,21,3,0,31,8,167,4,249,565
24029,"Honoré-Mercier/Honoré-Mercier"," 117","Montréal",14,15,3,0,34,9,67,3,145,352
24029,"Honoré-Mercier/Honoré-Mercier"," 118","Montréal",19,18,3,0,27,11,105,3,186,405
24029,"Honoré-Mercier/Honoré-Mercier"," 119","Montréal",5,24,2,0,17,6,119,2,175,395
24029,"Honoré-Mercier/Honoré-Mercier"," 120","Montréal",10,18,4,0,27,8,111,3,181,492
24029,"Honoré-Mercier/Honoré-Mercier"," 121","Montréal",16,21,3,0,21,13,115,3,192,412
24029,"Honoré-Mercier/Honoré-Mercier"," 122","Montréal",20,9,8,0,21,8,116,3,185,447
24029,"Honoré-Mercier/Honoré-Mercier"," 123","Montréal",17,19,6,0,30,1,66,4,143,362
24029,"Honoré-Mercier/Honoré-Mercier"," 124","Montréal",11,9,3,1,16,2,94,2,138,394
24029,"Honoré-Mercier/Honoré-Mercier"," 125","Montréal",15,22,3,1,22,0,93,4,160,427
24029,"Honoré-Mercier/Honoré-Mercier"," 126","Montréal",11,9,1,0,30,11,81,3,146,389
24029,"Honoré-Mercier/Honoré-Mercier"," 127","Montréal",18,28,3,0,18,11,96,8,182,490
24029,"Honoré-Mercier/Honoré-Mercier"," 128","Montréal",18,14,6,0,39,5,116,4,202,436
24029,"Honoré-Mercier/Honoré-Mercier"," 129","Montréal",17,17,1,2,32,6,89,4,168,455
24029,"Honoré-Mercier/Honoré-Mercier"," 130","Montréal",16,10,4,3,50,7,99,4,193,378
24029,"Honoré-Mercier/Honoré-Mercier"," 131","Montréal",15,11,3,0,37,1,70,1,138,330
24029,"Honoré-Mercier/Honoré-Mercier"," 132","Montréal",25,9,0,0,36,4,67,2,143,312
24029,"Honoré-Mercier/Honoré-Mercier"," 133","Montréal",16,10,0,1,27,3,98,2,157,372
24029,"Honoré-Mercier/Honoré-Mercier"," 134","Montréal",7,16,2,1,20,6,80,1,133,371
24029,"Honoré-Mercier/Honoré-Mercier"," 135","Montréal",13,11,3,1,29,8,85,2,152,386
24029,"Honoré-Mercier/Honoré-Mercier"," 136","Montréal",18,13,3,0,52,0,71,0,157,404
24029,"Honoré-Mercier/Honoré-Mercier"," 137","Montréal",22,19,6,0,66,6,135,4,258,453
24029,"Honoré-Mercier/Honoré-Mercier"," 138","Montréal",10,3,2,0,30,8,110,2,165,395
24029,"Honoré-Mercier/Honoré-Mercier"," 139","Montréal",26,20,2,0,44,10,98,1,201,446
24029,"Honoré-Mercier/Honoré-Mercier"," 140","Montréal",28,18,3,0,43,1,176,4,273,523
24029,"Honoré-Mercier/Honoré-Mercier"," 141","Montréal",14,13,3,0,33,7,83,2,155,358
24029,"Honoré-Mercier/Honoré-Mercier"," 142","Montréal",7,10,0,1,12,1,68,8,107,409
24029,"Honoré-Mercier/Honoré-Mercier"," 143","Montréal",15,20,4,0,26,4,103,1,173,327
24029,"Honoré-Mercier/Honoré-Mercier"," 144","Montréal",12,21,0,0,21,6,106,6,172,419
24029,"Honoré-Mercier/Honoré-Mercier"," 145","Montréal",13,9,2,0,25,3,60,1,113,304
24029,"Honoré-Mercier/Honoré-Mercier"," 146","Montréal",21,21,1,0,44,8,87,0,182,437
24029,"Honoré-Mercier/Honoré-Mercier"," 147","Montréal",25,7,3,0,33,4,81,1,154,408
24029,"Honoré-Mercier/Honoré-Mercier"," 148","Montréal",23,26,4,0,54,5,83,2,197,407
24029,"Honoré-Mercier/Honoré-Mercier"," 149","Montréal",14,20,3,1,21,13,69,1,142,367
24029,"Honoré-Mercier/Honoré-Mercier"," 150","Montréal",25,19,5,0,41,3,72,2,167,402
24029,"Honoré-Mercier/Honoré-Mercier"," 151","Montréal",16,25,2,0,32,5,82,4,166,359
24029,"Honoré-Mercier/Honoré-Mercier"," 152","Montréal",13,20,4,1,26,9,92,2,167,359
24029,"Honoré-Mercier/Honoré-Mercier"," 153","Montréal",19,29,4,0,36,2,90,6,186,455
24029,"Honoré-Mercier/Honoré-Mercier"," 154","Montréal",4,8,3,0,45,3,87,3,153,459
24029,"Honoré-Mercier/Honoré-Mercier"," 155","Montréal",0,3,0,0,9,1,8,0,21,364
24029,"Honoré-Mercier/Honoré-Mercier"," 156","Montréal",12,17,1,0,13,5,42,3,93,340
24029,"Honoré-Mercier/Honoré-Mercier"," 157","Montréal",2,10,2,0,29,4,50,2,99,500
24029,"Honoré-Mercier/Honoré-Mercier"," 158","Montréal",3,7,0,0,16,0,42,3,71,387
24029,"Honoré-Mercier/Honoré-Mercier"," 159","Montréal",11,13,2,0,32,6,70,3,137,456
24029,"Honoré-Mercier/Honoré-Mercier"," 160","Montréal",20,20,7,0,35,8,120,2,212,432
24029,"Honoré-Mercier/Honoré-Mercier"," 161","Montréal",10,13,3,0,33,3,81,3,146,329
24029,"Honoré-Mercier/Honoré-Mercier"," 162","Montréal",28,19,4,0,32,5,148,3,239,481
24029,"Honoré-Mercier/Honoré-Mercier"," 163","Montréal",6,23,1,0,35,8,92,3,168,551
24029,"Honoré-Mercier/Honoré-Mercier"," 164","Montréal",11,13,6,0,8,7,98,2,145,336
24029,"Honoré-Mercier/Honoré-Mercier"," 165","Montréal",35,27,4,1,35,6,169,3,280,592
24029,"Honoré-Mercier/Honoré-Mercier"," 166","Montréal",12,17,2,0,20,4,70,0,125,400
24029,"Honoré-Mercier/Honoré-Mercier"," 167","Montréal",30,18,9,1,53,2,156,2,271,524
24029,"Honoré-Mercier/Honoré-Mercier"," 168","Montréal",19,15,2,1,52,5,107,0,201,434
24029,"Honoré-Mercier/Honoré-Mercier"," 169","Montréal",3,15,2,0,28,3,63,1,115,477
24029,"Honoré-Mercier/Honoré-Mercier"," 170","Montréal",11,15,1,0,15,2,65,0,109,499
24029,"Honoré-Mercier/Honoré-Mercier"," 171","Montréal",13,8,3,2,21,6,54,3,110,429
24029,"Honoré-Mercier/Honoré-Mercier"," 172","Montréal",5,26,1,1,10,3,53,1,100,378
24029,"Honoré-Mercier/Honoré-Mercier"," 173","Montréal",7,17,1,0,19,7,80,4,135,393
24029,"Honoré-Mercier/Honoré-Mercier"," 174","Montréal",13,21,3,2,20,6,73,0,138,442
24029,"Honoré-Mercier/Honoré-Mercier"," 175","Montréal",13,36,2,0,25,8,112,8,204,514
24029,"Honoré-Mercier/Honoré-Mercier"," 400","Montréal",11,12,5,4,14,2,63,9,120,193
24029,"Honoré-Mercier/Honoré-Mercier"," 401A","Montréal",1,14,1,0,49,2,69,7,143,197
24029,"Honoré-Mercier/Honoré-Mercier"," 401B","Montréal",1,11,3,0,50,0,114,3,182,233
24029,"Honoré-Mercier/Honoré-Mercier"," 401C","Montréal",3,9,0,0,64,0,85,6,167,228
24029,"Honoré-Mercier/Honoré-Mercier"," 401D","Montréal",3,24,0,0,45,0,89,9,170,216
24029,"Honoré-Mercier/Honoré-Mercier"," 402A","Montréal",2,8,1,0,51,1,110,6,179,240
24029,"Honoré-Mercier/Honoré-Mercier"," 402B","Montréal",3,18,1,0,48,1,128,5,204,254
24029,"Honoré-Mercier/Honoré-Mercier"," 402C","Montréal",5,6,2,0,69,2,109,2,195,240
24029,"Honoré-Mercier/Honoré-Mercier"," 403","Montréal",6,5,0,0,25,2,64,9,111,155
24029,"Honoré-Mercier/Honoré-Mercier"," 404","Montréal",0,14,2,1,43,1,146,12,219,278
24029,"Honoré-Mercier/Honoré-Mercier"," 405","Montréal",1,12,1,1,29,2,86,7,139,184
24029,"Honoré-Mercier/Honoré-Mercier"," 500","Mobile poll/Bureau itinérant",1,11,1,1,16,0,47,3,80,104
24029,"Honoré-Mercier/Honoré-Mercier"," 501","Mobile poll/Bureau itinérant",0,1,1,1,0,1,9,1,14,46
24029,"Honoré-Mercier/Honoré-Mercier"," 502","Mobile poll/Bureau itinérant",5,5,2,1,9,4,41,6,73,145
24029,"Honoré-Mercier/Honoré-Mercier"," 503","Mobile poll/Bureau itinérant",0,3,0,0,24,0,28,1,56,71
24029,"Honoré-Mercier/Honoré-Mercier"," 504","Mobile poll/Bureau itinérant",3,4,1,0,17,0,44,3,72,107
24029,"Honoré-Mercier/Honoré-Mercier"," 505","Mobile poll/Bureau itinérant",0,1,1,0,7,0,14,0,23,71
24029,"Honoré-Mercier/Honoré-Mercier"," 506","Mobile poll/Bureau itinérant",2,2,0,0,8,1,37,1,51,73
24029,"Honoré-Mercier/Honoré-Mercier"," 507","Mobile poll/Bureau itinérant",1,1,0,0,9,0,7,4,22,94
24029,"Honoré-Mercier/Honoré-Mercier"," 508","Mobile poll/Bureau itinérant",3,5,0,0,17,0,32,3,60,87
24029,"Honoré-Mercier/Honoré-Mercier"," 509","Mobile poll/Bureau itinérant",2,0,1,2,4,1,11,3,24,59
24029,"Honoré-Mercier/Honoré-Mercier"," 600","Montréal",54,104,20,0,164,32,396,9,779,
24029,"Honoré-Mercier/Honoré-Mercier"," 601","Montréal",51,110,11,0,130,60,511,13,886,
24029,"Honoré-Mercier/Honoré-Mercier"," 602","Montréal",41,77,10,0,117,27,506,15,793,
24029,"Honoré-Mercier/Honoré-Mercier"," 603","Montréal",61,106,16,2,108,69,683,21,1066,
24029,"Honoré-Mercier/Honoré-Mercier"," 604","Montréal",47,95,12,5,104,51,529,10,853,
24029,"Honoré-Mercier/Honoré-Mercier"," 605","Montréal",44,88,10,1,44,50,588,5,830,
24029,"Honoré-Mercier/Honoré-Mercier"," 606","Montréal",55,102,14,3,122,55,574,8,933,
24029,"Honoré-Mercier/Honoré-Mercier"," 607","Montréal",66,111,8,3,117,32,714,22,1073,
24029,"Honoré-Mercier/Honoré-Mercier"," 608","Montréal",72,115,17,0,129,73,896,25,1327,
24029,"Honoré-Mercier/Honoré-Mercier"," 609","Montréal",49,83,10,1,294,23,468,12,940,
24029,"Honoré-Mercier/Honoré-Mercier"," 610","Montréal",22,60,6,0,186,12,302,8,596,
24029,"Honoré-Mercier/Honoré-Mercier"," 611","Montréal",22,79,7,3,190,11,345,8,665,
24029,"Honoré-Mercier/Honoré-Mercier"," 612","Montréal",33,95,7,0,147,19,379,11,691,
24029,"Honoré-Mercier/Honoré-Mercier"," 613","Montréal",51,64,9,1,282,11,363,14,795,
24029,"Honoré-Mercier/Honoré-Mercier"," 614","Montréal",50,86,14,2,245,33,452,7,889,
24029,"Honoré-Mercier/Honoré-Mercier"," 615","Montréal",53,72,10,2,287,24,502,20,970,
24029,"Honoré-Mercier/Honoré-Mercier"," 616","Montréal",30,46,10,0,101,8,239,4,438,
24029,"Honoré-Mercier/Honoré-Mercier"," 617","Montréal",14,72,3,0,178,9,291,21,588,
24029,"Honoré-Mercier/Honoré-Mercier"," 618","Montréal",27,96,2,2,256,7,353,27,770,
24029,"Honoré-Mercier/Honoré-Mercier",,Group 1/Groupe 1, 17,15,5,0,46,4,135,15,237,93
24029,"Honoré-Mercier/Honoré-Mercier",,Group 2/Groupe 2, 77,128,12,0,258,48,832,84,1439,
