Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raatib Anderson,Matias de Dovitiis,Christine Nugent,Judy Sgro,Rinku Shah,Unblind Tibbin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35121,"Humber River--Black Creek/Humber River--Black Creek"," 32","Toronto",7,30,4,135,33,3,3,215,491
35121,"Humber River--Black Creek/Humber River--Black Creek"," 33","Toronto",7,44,1,102,28,4,2,188,447
35121,"Humber River--Black Creek/Humber River--Black Creek"," 34","Toronto",5,42,0,129,30,3,0,209,553
35121,"Humber River--Black Creek/Humber River--Black Creek"," 35","Toronto",2,34,0,102,17,0,1,156,361
35121,"Humber River--Black Creek/Humber River--Black Creek"," 36","Toronto",5,31,0,91,21,4,5,157,547
35121,"Humber River--Black Creek/Humber River--Black Creek"," 37","Toronto",15,45,1,113,35,2,5,216,489
35121,"Humber River--Black Creek/Humber River--Black Creek"," 38","Toronto",7,25,0,88,37,2,5,164,455
35121,"Humber River--Black Creek/Humber River--Black Creek"," 39","Toronto",2,32,0,79,17,2,1,133,440
35121,"Humber River--Black Creek/Humber River--Black Creek"," 40","Toronto",7,33,0,93,36,2,10,181,527
35121,"Humber River--Black Creek/Humber River--Black Creek"," 41","Toronto",4,33,2,132,37,2,3,213,590
35121,"Humber River--Black Creek/Humber River--Black Creek"," 42","Toronto",2,31,0,78,16,1,1,129,313
35121,"Humber River--Black Creek/Humber River--Black Creek"," 43","Toronto",9,44,0,80,25,3,2,163,468
35121,"Humber River--Black Creek/Humber River--Black Creek"," 44","Toronto",5,46,1,111,26,3,6,198,549
35121,"Humber River--Black Creek/Humber River--Black Creek"," 45","Toronto",4,26,0,77,19,4,3,133,429
35121,"Humber River--Black Creek/Humber River--Black Creek"," 46","Toronto",13,30,0,88,37,3,2,173,535
35121,"Humber River--Black Creek/Humber River--Black Creek"," 47","Toronto",10,27,1,147,28,1,0,214,575
35121,"Humber River--Black Creek/Humber River--Black Creek"," 48","Toronto",2,22,0,102,28,3,1,158,513
35121,"Humber River--Black Creek/Humber River--Black Creek"," 49","Toronto",8,36,2,140,33,1,0,220,578
35121,"Humber River--Black Creek/Humber River--Black Creek"," 50","Toronto",7,16,0,111,38,1,3,176,624
35121,"Humber River--Black Creek/Humber River--Black Creek"," 51","Toronto",3,23,0,98,31,0,0,155,402
35121,"Humber River--Black Creek/Humber River--Black Creek"," 52","Toronto",12,25,1,113,47,0,4,202,466
35121,"Humber River--Black Creek/Humber River--Black Creek"," 53","Toronto",6,14,0,83,25,0,0,128,390
35121,"Humber River--Black Creek/Humber River--Black Creek"," 54","Toronto",1,20,0,92,22,0,0,135,370
35121,"Humber River--Black Creek/Humber River--Black Creek"," 55","Toronto",7,21,0,104,13,0,1,146,495
35121,"Humber River--Black Creek/Humber River--Black Creek"," 56","Toronto",2,29,1,87,13,0,7,139,425
35121,"Humber River--Black Creek/Humber River--Black Creek"," 57","Toronto",10,32,0,96,19,3,3,163,512
35121,"Humber River--Black Creek/Humber River--Black Creek"," 58","Toronto",3,8,0,100,23,0,0,134,502
35121,"Humber River--Black Creek/Humber River--Black Creek"," 59","Toronto",5,12,1,89,14,1,1,123,478
35121,"Humber River--Black Creek/Humber River--Black Creek"," 60","Toronto",4,25,3,79,8,2,3,124,330
35121,"Humber River--Black Creek/Humber River--Black Creek"," 61","Toronto",8,27,1,118,30,2,1,187,441
35121,"Humber River--Black Creek/Humber River--Black Creek"," 62","Toronto",4,18,2,105,26,3,0,158,452
35121,"Humber River--Black Creek/Humber River--Black Creek"," 63","Toronto",2,17,0,74,0,2,0,95,276
35121,"Humber River--Black Creek/Humber River--Black Creek"," 64","Toronto",3,22,1,99,21,0,7,153,431
35121,"Humber River--Black Creek/Humber River--Black Creek"," 65","Toronto",6,28,0,184,18,1,6,243,664
35121,"Humber River--Black Creek/Humber River--Black Creek"," 66","Toronto",3,12,0,83,12,1,0,111,336
35121,"Humber River--Black Creek/Humber River--Black Creek"," 67","Toronto",5,28,0,96,33,2,3,167,574
35121,"Humber River--Black Creek/Humber River--Black Creek"," 68","Toronto",7,22,0,75,20,2,0,126,408
35121,"Humber River--Black Creek/Humber River--Black Creek"," 69","Toronto",6,17,0,80,15,1,1,120,494
35121,"Humber River--Black Creek/Humber River--Black Creek"," 70","Toronto",8,30,2,145,26,1,4,216,530
35121,"Humber River--Black Creek/Humber River--Black Creek"," 71","Toronto",8,31,4,161,42,0,9,255,576
35121,"Humber River--Black Creek/Humber River--Black Creek"," 72","Toronto",8,36,1,112,42,3,5,207,561
35121,"Humber River--Black Creek/Humber River--Black Creek"," 73","Toronto",3,13,0,74,17,1,10,118,341
35121,"Humber River--Black Creek/Humber River--Black Creek"," 74","Toronto",4,20,0,65,21,1,5,116,366
35121,"Humber River--Black Creek/Humber River--Black Creek"," 75","Toronto",9,11,1,58,31,1,3,114,386
35121,"Humber River--Black Creek/Humber River--Black Creek"," 76","Toronto",2,15,0,63,34,2,3,119,362
35121,"Humber River--Black Creek/Humber River--Black Creek"," 77","Toronto",19,13,0,91,49,4,1,177,459
35121,"Humber River--Black Creek/Humber River--Black Creek"," 78","Toronto",5,15,0,68,38,1,4,131,431
35121,"Humber River--Black Creek/Humber River--Black Creek"," 79","Toronto",2,17,0,72,31,2,5,129,393
35121,"Humber River--Black Creek/Humber River--Black Creek"," 80","Toronto",3,35,1,85,37,0,2,163,442
35121,"Humber River--Black Creek/Humber River--Black Creek"," 81","Toronto",4,18,1,93,47,1,7,171,485
35121,"Humber River--Black Creek/Humber River--Black Creek"," 82A","Toronto",4,22,0,73,24,0,1,124,364
35121,"Humber River--Black Creek/Humber River--Black Creek"," 82B","Toronto",4,20,1,81,19,4,2,131,371
35121,"Humber River--Black Creek/Humber River--Black Creek"," 83","Toronto",7,3,1,45,15,1,2,74,278
35121,"Humber River--Black Creek/Humber River--Black Creek"," 84","Toronto",4,22,0,68,11,3,2,110,371
35121,"Humber River--Black Creek/Humber River--Black Creek"," 85","Toronto",7,18,4,31,34,3,2,99,378
35121,"Humber River--Black Creek/Humber River--Black Creek"," 86","Toronto",4,28,0,72,17,1,3,125,434
35121,"Humber River--Black Creek/Humber River--Black Creek"," 87","Toronto",5,20,0,54,18,0,0,97,391
35121,"Humber River--Black Creek/Humber River--Black Creek"," 88","Toronto",3,21,0,71,20,2,2,119,468
35121,"Humber River--Black Creek/Humber River--Black Creek"," 89","Toronto",4,22,0,63,20,2,3,114,415
35121,"Humber River--Black Creek/Humber River--Black Creek"," 90","Toronto",5,13,0,84,21,3,3,129,447
35121,"Humber River--Black Creek/Humber River--Black Creek"," 91","Toronto",5,35,3,82,27,1,0,153,453
35121,"Humber River--Black Creek/Humber River--Black Creek"," 92","Toronto",4,15,0,65,20,1,3,108,393
35121,"Humber River--Black Creek/Humber River--Black Creek"," 93","Toronto",4,19,1,80,28,0,2,134,432
35121,"Humber River--Black Creek/Humber River--Black Creek"," 94","Toronto",3,9,0,51,28,0,8,99,348
35121,"Humber River--Black Creek/Humber River--Black Creek"," 95","Toronto",4,25,0,82,23,3,7,144,439
35121,"Humber River--Black Creek/Humber River--Black Creek"," 96","Toronto",9,22,1,96,14,5,0,147,482
35121,"Humber River--Black Creek/Humber River--Black Creek"," 97","Toronto",1,24,0,134,20,1,10,190,635
35121,"Humber River--Black Creek/Humber River--Black Creek"," 98","Toronto",5,18,1,87,24,1,2,138,405
35121,"Humber River--Black Creek/Humber River--Black Creek"," 99","Toronto",1,26,1,103,30,1,0,162,418
35121,"Humber River--Black Creek/Humber River--Black Creek"," 100","Toronto",5,49,1,197,76,5,0,333,691
35121,"Humber River--Black Creek/Humber River--Black Creek"," 101","Toronto",4,35,0,79,40,3,0,161,422
35121,"Humber River--Black Creek/Humber River--Black Creek"," 102A","Toronto",5,22,0,84,11,2,5,129,515
35121,"Humber River--Black Creek/Humber River--Black Creek"," 102B","Toronto",2,18,0,71,21,2,6,120,477
35121,"Humber River--Black Creek/Humber River--Black Creek"," 103","Toronto",6,19,0,81,17,1,2,126,451
35121,"Humber River--Black Creek/Humber River--Black Creek"," 104","Toronto",4,9,2,50,20,1,2,88,306
35121,"Humber River--Black Creek/Humber River--Black Creek"," 105","Toronto",2,19,0,51,10,1,0,83,344
35121,"Humber River--Black Creek/Humber River--Black Creek"," 106","Toronto",4,14,0,80,18,1,1,118,361
35121,"Humber River--Black Creek/Humber River--Black Creek"," 107","Toronto",15,23,0,82,35,1,0,156,480
35121,"Humber River--Black Creek/Humber River--Black Creek"," 108","Toronto",2,26,2,102,27,1,0,160,446
35121,"Humber River--Black Creek/Humber River--Black Creek"," 109","Toronto",7,8,0,60,17,0,0,92,266
35121,"Humber River--Black Creek/Humber River--Black Creek"," 110","Toronto",2,9,0,30,7,0,0,48,220
35121,"Humber River--Black Creek/Humber River--Black Creek"," 111","Toronto",8,48,0,122,66,6,0,250,618
35121,"Humber River--Black Creek/Humber River--Black Creek"," 112","Toronto",7,46,0,122,29,4,0,208,488
35121,"Humber River--Black Creek/Humber River--Black Creek"," 113","Toronto",6,31,1,56,49,2,1,146,492
35121,"Humber River--Black Creek/Humber River--Black Creek"," 114","Toronto",1,10,1,59,18,0,1,90,267
35121,"Humber River--Black Creek/Humber River--Black Creek"," 115","Toronto",4,30,0,130,33,3,0,200,577
35121,"Humber River--Black Creek/Humber River--Black Creek"," 116","Toronto",8,18,0,115,44,1,0,186,426
35121,"Humber River--Black Creek/Humber River--Black Creek"," 117","Toronto",6,27,0,126,37,4,0,200,605
35121,"Humber River--Black Creek/Humber River--Black Creek"," 118A","Toronto",4,22,0,84,21,1,0,132,370
35121,"Humber River--Black Creek/Humber River--Black Creek"," 118B","Toronto",4,23,0,48,19,3,1,98,342
35121,"Humber River--Black Creek/Humber River--Black Creek"," 119","Toronto",2,22,0,68,36,1,0,129,429
35121,"Humber River--Black Creek/Humber River--Black Creek"," 120","Toronto",8,29,3,110,35,2,0,187,667
35121,"Humber River--Black Creek/Humber River--Black Creek"," 121","Toronto",11,37,0,104,59,2,3,216,657
35121,"Humber River--Black Creek/Humber River--Black Creek"," 122","Toronto",1,13,0,80,35,1,0,130,465
35121,"Humber River--Black Creek/Humber River--Black Creek"," 123","Toronto",14,40,0,119,38,2,1,214,683
35121,"Humber River--Black Creek/Humber River--Black Creek"," 124","Toronto",2,20,3,66,48,2,0,141,562
35121,"Humber River--Black Creek/Humber River--Black Creek"," 125","Toronto",11,29,2,75,47,7,0,171,507
35121,"Humber River--Black Creek/Humber River--Black Creek"," 126","Toronto",5,19,0,53,25,1,1,104,312
35121,"Humber River--Black Creek/Humber River--Black Creek"," 127","Toronto",18,15,2,64,50,1,2,152,505
35121,"Humber River--Black Creek/Humber River--Black Creek"," 128","Toronto",7,26,0,65,40,2,2,142,424
35121,"Humber River--Black Creek/Humber River--Black Creek"," 400","Toronto",9,21,0,102,13,4,0,149,297
35121,"Humber River--Black Creek/Humber River--Black Creek"," 401","Toronto",12,34,1,118,15,5,2,187,400
35121,"Humber River--Black Creek/Humber River--Black Creek"," 402","Toronto",5,24,0,97,15,2,3,146,300
35121,"Humber River--Black Creek/Humber River--Black Creek"," 403","Toronto",7,17,0,85,21,2,1,133,302
35121,"Humber River--Black Creek/Humber River--Black Creek"," 404","Toronto",8,26,1,94,15,2,5,151,328
35121,"Humber River--Black Creek/Humber River--Black Creek"," 405","Toronto",3,38,1,182,5,1,11,241,534
35121,"Humber River--Black Creek/Humber River--Black Creek"," 406","Toronto",2,33,0,87,17,1,3,143,316
35121,"Humber River--Black Creek/Humber River--Black Creek"," 407","Toronto",8,26,0,147,18,1,3,203,470
35121,"Humber River--Black Creek/Humber River--Black Creek"," 408","Toronto",3,33,1,175,15,0,6,233,423
35121,"Humber River--Black Creek/Humber River--Black Creek"," 409","Toronto",10,14,1,88,18,1,1,133,290
35121,"Humber River--Black Creek/Humber River--Black Creek"," 410","Toronto",0,12,0,25,6,1,0,44,172
35121,"Humber River--Black Creek/Humber River--Black Creek"," 411","Toronto",1,30,1,110,47,1,2,192,383
35121,"Humber River--Black Creek/Humber River--Black Creek"," 412","Toronto",1,9,0,174,3,0,7,194,333
35121,"Humber River--Black Creek/Humber River--Black Creek"," 413","Toronto",3,33,0,114,33,4,2,189,302
35121,"Humber River--Black Creek/Humber River--Black Creek"," 414","Toronto",6,11,0,122,20,3,9,171,297
35121,"Humber River--Black Creek/Humber River--Black Creek"," 415","Toronto",11,25,1,113,16,0,0,166,372
35121,"Humber River--Black Creek/Humber River--Black Creek"," 416","Toronto",6,17,0,70,19,0,0,112,247
35121,"Humber River--Black Creek/Humber River--Black Creek"," 417","Toronto",1,14,2,106,5,1,0,129,273
35121,"Humber River--Black Creek/Humber River--Black Creek"," 418","Toronto",6,29,1,88,30,1,1,156,334
35121,"Humber River--Black Creek/Humber River--Black Creek"," 419","Toronto",1,7,1,60,7,0,0,76,197
35121,"Humber River--Black Creek/Humber River--Black Creek"," 420","Toronto",0,17,1,65,1,0,0,84,291
35121,"Humber River--Black Creek/Humber River--Black Creek"," 421","Toronto",1,11,0,69,8,0,3,92,293
35121,"Humber River--Black Creek/Humber River--Black Creek"," 422","Toronto",2,9,0,52,10,0,1,74,261
35121,"Humber River--Black Creek/Humber River--Black Creek"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°34,,,,,,,,39
35121,"Humber River--Black Creek/Humber River--Black Creek"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°61,,,,,,,,140
35121,"Humber River--Black Creek/Humber River--Black Creek"," 600","Toronto",52,72,2,400,135,6,9,676,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 601","Toronto",36,129,5,535,173,10,7,895,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 602","Toronto",25,58,3,242,77,2,8,415,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 603","Toronto",25,101,5,581,94,7,13,826,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 604","Toronto",16,119,2,377,80,8,2,604,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 605","Toronto",28,149,0,334,110,13,11,645,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 606","Toronto",35,47,3,402,108,7,16,618,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 607","Toronto",16,76,3,307,54,3,13,472,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 608","Toronto",27,124,1,517,142,14,22,847,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 609","Toronto",62,185,4,565,226,12,14,1068,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 610","Toronto",51,114,3,424,195,11,7,805,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 611","Toronto",12,52,1,219,76,5,1,366,
35121,"Humber River--Black Creek/Humber River--Black Creek",,Group 1/Groupe 1, 4,36,1,100,33,3,18,195,95
35121,"Humber River--Black Creek/Humber River--Black Creek",,Group 2/Groupe 2, 23,213,6,700,197,20,57,1216,
