Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ramandeep Brar,Nicholas Craniotis,Sonia Sidhu,Tejinder Singh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35011,"Brampton South/Brampton-Sud"," 80","Brampton",33,4,56,11,1,105,468
35011,"Brampton South/Brampton-Sud"," 81","Brampton",34,6,57,18,0,115,353
35011,"Brampton South/Brampton-Sud"," 82","Brampton",42,1,82,22,1,148,433
35011,"Brampton South/Brampton-Sud"," 83","Brampton",30,8,45,13,0,96,360
35011,"Brampton South/Brampton-Sud"," 84","Brampton",25,3,65,17,1,111,353
35011,"Brampton South/Brampton-Sud"," 85","Brampton",42,4,54,6,0,106,395
35011,"Brampton South/Brampton-Sud"," 86","Brampton",38,0,59,22,2,121,378
35011,"Brampton South/Brampton-Sud"," 87","Brampton",31,1,64,20,0,116,400
35011,"Brampton South/Brampton-Sud"," 88","Brampton",43,5,61,24,0,133,405
35011,"Brampton South/Brampton-Sud"," 89","Brampton",34,3,63,13,0,113,334
35011,"Brampton South/Brampton-Sud"," 90","Brampton",43,6,72,25,2,148,482
35011,"Brampton South/Brampton-Sud"," 91","Brampton",35,7,72,29,1,144,480
35011,"Brampton South/Brampton-Sud"," 92","Brampton",59,5,84,26,0,174,525
35011,"Brampton South/Brampton-Sud"," 93","Brampton",36,10,96,31,0,173,448
35011,"Brampton South/Brampton-Sud"," 94","Brampton",67,5,101,66,0,239,525
35011,"Brampton South/Brampton-Sud"," 95A","Brampton",35,2,72,20,0,129,354
35011,"Brampton South/Brampton-Sud"," 95B","Brampton",41,5,84,13,0,143,359
35011,"Brampton South/Brampton-Sud"," 96","Brampton",85,4,134,21,3,247,612
35011,"Brampton South/Brampton-Sud"," 97A","Brampton",73,6,60,14,3,156,243
35011,"Brampton South/Brampton-Sud"," 97B","Brampton",77,7,46,17,1,148,250
35011,"Brampton South/Brampton-Sud"," 98","Brampton",45,2,91,31,0,169,425
35011,"Brampton South/Brampton-Sud"," 99","Brampton",46,10,114,41,2,213,518
35011,"Brampton South/Brampton-Sud"," 100","Brampton",54,2,91,39,0,186,459
35011,"Brampton South/Brampton-Sud"," 101","Brampton",31,2,66,29,0,128,445
35011,"Brampton South/Brampton-Sud"," 102","Brampton",58,7,103,19,0,187,553
35011,"Brampton South/Brampton-Sud"," 103","Brampton",110,2,48,10,6,176,263
35011,"Brampton South/Brampton-Sud"," 104","Brampton",44,9,78,14,1,146,433
35011,"Brampton South/Brampton-Sud"," 105","Brampton",16,1,85,8,2,112,368
35011,"Brampton South/Brampton-Sud"," 106","Brampton",34,2,59,19,5,119,350
35011,"Brampton South/Brampton-Sud"," 107","Brampton",43,2,61,23,0,129,389
35011,"Brampton South/Brampton-Sud"," 108","Brampton",19,4,81,17,3,124,369
35011,"Brampton South/Brampton-Sud"," 109","Brampton",39,7,97,30,0,173,467
35011,"Brampton South/Brampton-Sud"," 110","Brampton",24,4,74,28,3,133,416
35011,"Brampton South/Brampton-Sud"," 111","Brampton",71,3,61,14,3,152,519
35011,"Brampton South/Brampton-Sud"," 112","Brampton",65,11,98,31,3,208,535
35011,"Brampton South/Brampton-Sud"," 113A","Brampton",41,5,64,22,0,132,384
35011,"Brampton South/Brampton-Sud"," 113B","Brampton",42,8,67,18,0,135,396
35011,"Brampton South/Brampton-Sud"," 114","Brampton",55,2,112,37,3,209,556
35011,"Brampton South/Brampton-Sud"," 115","Brampton",86,3,91,24,1,205,578
35011,"Brampton South/Brampton-Sud"," 116","Brampton",47,4,105,32,3,191,577
35011,"Brampton South/Brampton-Sud"," 117","Brampton",79,5,110,26,7,227,536
35011,"Brampton South/Brampton-Sud"," 118","Brampton",67,4,94,35,4,204,599
35011,"Brampton South/Brampton-Sud"," 119","Brampton",30,6,45,13,3,97,309
35011,"Brampton South/Brampton-Sud"," 120","Brampton",11,3,42,3,3,62,308
35011,"Brampton South/Brampton-Sud"," 121","Brampton",26,1,75,23,0,125,352
35011,"Brampton South/Brampton-Sud"," 122","Brampton",25,0,50,20,0,95,363
35011,"Brampton South/Brampton-Sud"," 123","Brampton",48,4,72,16,1,141,369
35011,"Brampton South/Brampton-Sud"," 124","Brampton",31,3,77,24,3,138,458
35011,"Brampton South/Brampton-Sud"," 125","Brampton",36,6,77,42,1,162,431
35011,"Brampton South/Brampton-Sud"," 126","Brampton",39,0,95,24,0,158,340
35011,"Brampton South/Brampton-Sud"," 127","Brampton",40,3,105,25,0,173,409
35011,"Brampton South/Brampton-Sud"," 128","Brampton",24,5,70,25,1,125,279
35011,"Brampton South/Brampton-Sud"," 129","Brampton",43,5,76,36,2,162,407
35011,"Brampton South/Brampton-Sud"," 130","Brampton",26,0,61,32,1,120,302
35011,"Brampton South/Brampton-Sud"," 131","Brampton",24,0,43,12,3,82,323
35011,"Brampton South/Brampton-Sud"," 132","Brampton",18,2,74,29,2,125,389
35011,"Brampton South/Brampton-Sud"," 133","Brampton",21,6,72,23,1,123,396
35011,"Brampton South/Brampton-Sud"," 134","Brampton",25,4,49,11,0,89,280
35011,"Brampton South/Brampton-Sud"," 135","Brampton",31,3,81,24,3,142,424
35011,"Brampton South/Brampton-Sud"," 136","Brampton",41,16,73,33,0,163,495
35011,"Brampton South/Brampton-Sud"," 137A","Brampton",48,4,65,10,1,128,323
35011,"Brampton South/Brampton-Sud"," 137B","Brampton",40,3,81,15,0,139,325
35011,"Brampton South/Brampton-Sud"," 138","Brampton",64,8,80,10,1,163,496
35011,"Brampton South/Brampton-Sud"," 139","Brampton",61,4,104,16,1,186,489
35011,"Brampton South/Brampton-Sud"," 140","Brampton",94,9,94,32,3,232,565
35011,"Brampton South/Brampton-Sud"," 141","Brampton",79,32,37,8,1,157,306
35011,"Brampton South/Brampton-Sud"," 142","Brampton",52,6,65,22,1,146,508
35011,"Brampton South/Brampton-Sud"," 143","Brampton",46,2,109,26,2,185,325
35011,"Brampton South/Brampton-Sud"," 144","Brampton",68,5,125,28,1,227,405
35011,"Brampton South/Brampton-Sud"," 145","Brampton",85,5,137,54,3,284,642
35011,"Brampton South/Brampton-Sud"," 146","Brampton",68,0,105,21,1,195,567
35011,"Brampton South/Brampton-Sud"," 147","Brampton",40,6,104,20,1,171,535
35011,"Brampton South/Brampton-Sud"," 148","Brampton",72,3,132,29,5,241,512
35011,"Brampton South/Brampton-Sud"," 149","Brampton",64,1,104,22,1,192,476
35011,"Brampton South/Brampton-Sud"," 150","Brampton",35,11,105,22,2,175,455
35011,"Brampton South/Brampton-Sud"," 151","Brampton",48,4,104,30,1,187,484
35011,"Brampton South/Brampton-Sud"," 152","Brampton",57,10,68,20,1,156,393
35011,"Brampton South/Brampton-Sud"," 153","Brampton",67,11,70,33,0,181,414
35011,"Brampton South/Brampton-Sud"," 154","Brampton",57,5,84,19,0,165,442
35011,"Brampton South/Brampton-Sud"," 155A","Brampton",22,2,71,19,0,114,324
35011,"Brampton South/Brampton-Sud"," 155B","Brampton",41,0,80,16,2,139,356
35011,"Brampton South/Brampton-Sud"," 156","Brampton",31,2,53,14,0,100,290
35011,"Brampton South/Brampton-Sud"," 157A","Brampton",34,4,82,17,0,137,358
35011,"Brampton South/Brampton-Sud"," 157B","Brampton",37,3,99,15,3,157,397
35011,"Brampton South/Brampton-Sud"," 158","Brampton",57,6,84,14,0,161,500
35011,"Brampton South/Brampton-Sud"," 159A","Brampton",33,0,67,36,1,137,335
35011,"Brampton South/Brampton-Sud"," 159B","Brampton",53,1,61,14,0,129,403
35011,"Brampton South/Brampton-Sud"," 160","Brampton",74,15,123,15,1,228,581
35011,"Brampton South/Brampton-Sud"," 161","Brampton",79,3,110,38,2,232,618
35011,"Brampton South/Brampton-Sud"," 162","Brampton",72,1,132,22,0,227,582
35011,"Brampton South/Brampton-Sud"," 163","Brampton",82,3,88,22,7,202,515
35011,"Brampton South/Brampton-Sud"," 400","Brampton",30,7,53,22,0,112,234
35011,"Brampton South/Brampton-Sud"," 401","Brampton",26,7,76,8,3,120,228
35011,"Brampton South/Brampton-Sud"," 402","Brampton",45,13,112,34,2,206,346
35011,"Brampton South/Brampton-Sud"," 403","Brampton",11,3,30,5,3,52,76
35011,"Brampton South/Brampton-Sud"," 404","Brampton",22,9,42,19,3,95,301
35011,"Brampton South/Brampton-Sud"," 405","Brampton",21,7,51,13,1,93,301
35011,"Brampton South/Brampton-Sud"," 406","Brampton",21,9,64,23,1,118,309
35011,"Brampton South/Brampton-Sud"," 407","Brampton",17,7,32,3,0,59,268
35011,"Brampton South/Brampton-Sud"," 408","Brampton",33,9,45,19,0,106,265
35011,"Brampton South/Brampton-Sud"," 409","Brampton",19,3,25,12,0,59,271
35011,"Brampton South/Brampton-Sud"," 410","Brampton",14,4,48,12,3,81,387
35011,"Brampton South/Brampton-Sud"," 411","Brampton",27,8,79,18,2,134,259
35011,"Brampton South/Brampton-Sud"," 500","Mobile poll/Bureau itinérant",3,2,5,2,0,12,94
35011,"Brampton South/Brampton-Sud"," 501","Mobile poll/Bureau itinérant",4,8,22,6,7,47,89
35011,"Brampton South/Brampton-Sud"," 502","Mobile poll/Bureau itinérant",11,0,6,0,2,19,27
35011,"Brampton South/Brampton-Sud"," 503","Mobile poll/Bureau itinérant",9,4,10,5,3,31,73
35011,"Brampton South/Brampton-Sud"," 504","Mobile poll/Bureau itinérant",11,3,19,7,2,42,132
35011,"Brampton South/Brampton-Sud"," 505","Mobile poll/Bureau itinérant",8,0,22,7,0,37,82
35011,"Brampton South/Brampton-Sud"," 600","Brampton",281,70,403,120,5,879,
35011,"Brampton South/Brampton-Sud"," 601","Brampton",216,39,301,83,4,643,
35011,"Brampton South/Brampton-Sud"," 602","Brampton",328,42,394,90,14,868,
35011,"Brampton South/Brampton-Sud"," 603","Brampton",413,69,397,105,7,991,
35011,"Brampton South/Brampton-Sud"," 604","Brampton",237,33,352,90,8,720,
35011,"Brampton South/Brampton-Sud"," 605","Brampton",179,25,291,91,5,591,
35011,"Brampton South/Brampton-Sud"," 606","Brampton",150,17,430,93,8,698,
35011,"Brampton South/Brampton-Sud"," 607","Brampton",165,7,473,113,11,769,
35011,"Brampton South/Brampton-Sud"," 608","Brampton",217,27,469,97,22,832,
35011,"Brampton South/Brampton-Sud"," 609","Brampton",200,13,503,86,19,821,
35011,"Brampton South/Brampton-Sud"," 610","Brampton",269,35,495,85,11,895,
35011,"Brampton South/Brampton-Sud"," 611","Brampton",415,25,605,92,2,1139,
35011,"Brampton South/Brampton-Sud"," 612","Brampton",199,26,332,56,11,624,
35011,"Brampton South/Brampton-Sud"," 613","Brampton",155,15,223,37,3,433,
35011,"Brampton South/Brampton-Sud"," 614","Brampton",226,31,443,70,3,773,
35011,"Brampton South/Brampton-Sud",,Group 1/Groupe 1, 76,16,118,62,16,288,137
35011,"Brampton South/Brampton-Sud",,Group 2/Groupe 2, 743,73,1542,332,76,2766,
