Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Blanchette,Yanick Caisse,Catherine Gauvin,Eric Pettersen,Louis Plamondon,Nathalie Rochefort,David Turcotte,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 100","Sainte-Anne-de-Sorel",1,19,5,0,73,21,2,0,121,328
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 101","Sainte-Anne-de-Sorel",1,10,4,6,72,27,1,2,123,342
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 102","Sainte-Anne-de-Sorel",1,14,5,2,47,18,3,1,91,250
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 103","Saint-Gérard-Majella",2,26,9,3,41,12,2,1,96,182
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 104","Yamaska",2,25,11,3,73,31,1,4,150,361
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 105","Yamaska",6,19,12,0,81,17,4,3,142,392
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 106","Yamaska-Est",1,20,11,5,73,15,4,2,131,355
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 107","Saint-Michel-d'Yamaska",1,17,5,0,48,20,3,0,94,313
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 108","Sorel-Tracy",6,11,6,1,62,22,2,1,111,383
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 109","Sorel-Tracy",4,9,7,7,42,24,3,4,100,407
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 110","Sorel-Tracy",1,1,3,2,41,14,2,1,65,358
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 111","Sorel-Tracy",5,9,4,3,79,35,1,1,137,455
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 112","Sorel-Tracy",1,27,3,1,54,22,1,0,109,426
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 113","Sorel-Tracy",1,15,3,3,55,17,1,1,96,357
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 114","Sorel-Tracy",1,10,7,2,81,21,2,7,131,407
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 115","Sorel-Tracy",0,6,3,4,54,14,0,3,84,347
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 116","Sorel-Tracy",2,6,5,0,76,12,3,1,105,327
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 117","Sorel-Tracy",3,14,4,4,73,21,0,2,121,349
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 118","Sorel-Tracy",6,8,5,4,51,15,0,1,90,362
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 119","Sorel-Tracy",7,7,2,1,70,26,0,2,115,413
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 120","Sorel-Tracy",4,18,2,2,62,15,3,3,109,372
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 121","Sorel-Tracy",1,11,6,5,74,20,3,1,121,426
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 122","Sorel-Tracy",0,7,7,3,55,27,3,3,105,388
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 123","Sorel-Tracy",3,17,9,3,67,20,3,0,122,389
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 124","Saint-Joseph-de-Sorel",0,6,1,6,55,7,2,0,77,339
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 125","Saint-Joseph-de-Sorel",1,8,8,2,49,7,3,1,79,322
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 126","Saint-Joseph-de-Sorel",1,8,12,6,41,7,3,4,82,338
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 127","Saint-Joseph-de-Sorel",4,7,5,7,37,13,0,1,74,315
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 128","Sorel-Tracy",2,16,12,9,87,23,1,2,152,463
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 129","Sorel-Tracy",3,22,4,7,63,41,2,2,144,395
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 130","Sorel-Tracy",3,3,1,4,47,15,1,0,74,366
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 131","Sorel-Tracy",2,6,6,4,48,15,3,2,86,375
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 132","Sorel-Tracy",1,11,2,3,60,12,0,5,94,352
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 133","Sorel-Tracy",1,10,5,5,66,25,2,4,118,412
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 134","Sorel-Tracy",0,14,11,2,66,23,0,2,118,313
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 135","Sorel-Tracy",1,32,6,3,71,26,1,1,141,459
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 136","Sorel-Tracy",4,14,4,3,97,26,1,1,150,433
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 137","Sorel-Tracy",2,22,5,4,83,30,1,7,154,471
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 138","Sorel-Tracy",4,9,3,5,61,15,6,3,106,386
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 139","Sorel-Tracy",1,6,13,1,71,24,2,2,120,313
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 140","Sorel-Tracy",2,17,7,4,87,21,5,3,146,407
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 141","Sorel-Tracy",0,27,6,1,98,19,0,1,152,390
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 142","Sorel-Tracy",0,14,1,1,61,12,1,1,91,391
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 143","Sorel-Tracy",3,24,8,3,66,27,1,3,135,405
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 144A","Sorel-Tracy",0,10,4,0,53,20,2,2,91,333
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 144B","Sorel-Tracy",1,24,7,1,59,18,3,1,114,343
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 145","Sorel-Tracy",4,18,6,5,101,19,3,6,162,444
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 146","Sorel-Tracy",3,11,12,4,61,21,4,3,119,416
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 147","Sorel-Tracy",3,11,9,2,103,30,2,2,162,496
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 148","Sorel-Tracy",5,11,9,3,106,38,3,3,178,411
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 149","Sorel-Tracy",4,15,6,2,115,31,5,1,179,438
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 150","Sorel-Tracy",3,8,20,2,83,34,2,3,155,449
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 151","Sorel-Tracy",4,9,9,9,101,27,3,4,166,425
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 152","Sorel-Tracy",3,19,10,4,98,20,3,5,162,458
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 153","Sorel-Tracy",7,17,5,2,83,14,0,1,129,427
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 154","Sorel-Tracy",4,15,10,1,84,20,5,1,140,404
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 155","Sorel-Tracy",2,7,8,4,86,28,2,5,142,413
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 156","Sorel-Tracy",3,18,10,1,74,37,2,1,146,493
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 157","Sorel-Tracy",3,15,5,8,64,27,2,2,126,399
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 158","Sorel-Tracy",3,13,16,2,87,14,0,5,140,331
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 159","Sorel-Tracy",1,18,11,7,74,16,2,1,130,426
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 160","Sorel-Tracy",2,12,15,4,99,17,3,0,152,443
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 161","Sorel-Tracy",2,3,2,1,28,19,2,2,59,373
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 162","Sorel-Tracy",1,7,0,1,37,9,3,1,59,402
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 163","Sorel-Tracy",2,8,4,6,59,7,2,0,88,434
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 164","Sorel-Tracy",1,9,2,2,29,10,0,3,56,402
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 165","Sorel-Tracy",2,5,2,2,55,12,0,1,79,371
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 166","Sorel-Tracy",4,11,5,5,51,18,0,2,96,330
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 167","Sorel-Tracy",7,11,15,3,103,16,1,0,156,386
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 168","Sorel-Tracy",3,32,15,1,92,24,5,2,174,412
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 169","Sorel-Tracy",2,18,19,1,71,31,5,7,154,416
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 170","Sorel-Tracy",2,19,6,3,86,29,1,4,150,410
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 171","Sorel-Tracy",2,23,4,0,108,23,2,2,164,396
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 172","Sorel-Tracy",1,19,5,2,96,22,4,0,149,449
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 173","Sorel-Tracy",3,10,8,1,62,19,0,1,104,322
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 174","Sorel-Tracy",5,17,14,3,104,31,3,5,182,500
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 175","Saint-Robert",2,21,5,5,83,20,2,2,140,406
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 176","Saint-Robert",2,18,11,1,66,18,3,2,121,340
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 177","Saint-Robert",2,13,2,2,80,12,1,6,118,383
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 178","Saint-Robert",1,26,6,3,72,12,4,2,126,363
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 179","Saint-David",10,21,6,7,85,26,3,5,163,335
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 180","Saint-David",5,25,9,13,68,26,6,6,158,326
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 181","Sorel-Tracy",2,11,20,5,80,13,2,2,135,465
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 182","Sorel-Tracy",3,8,15,9,49,16,4,3,107,419
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 183","Sorel-Tracy",3,27,15,1,88,32,5,1,172,418
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 184","Sorel-Tracy",8,28,1,1,68,54,2,1,163,497
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 185","Sorel-Tracy",4,38,20,6,103,43,1,3,218,547
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 186","Sorel-Tracy",5,18,2,3,83,22,6,1,140,463
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 187","Sorel-Tracy",1,29,8,4,88,40,2,4,176,458
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 188","Sorel-Tracy",0,25,12,1,113,31,4,1,187,446
