Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert M. Bowers,Michelle Ferreri,Joy Lachica,Paul Lawton,Maryam Monsef,Chanté White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 132","Peterborough",0,32,58,0,58,5,0,153,431
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 133","Peterborough",1,40,50,4,61,6,0,162,377
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 134","Peterborough",2,43,59,9,43,1,0,157,457
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 135","Peterborough",1,36,59,3,59,6,0,164,413
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 136","Peterborough",1,31,54,15,50,5,0,156,424
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 137","Peterborough",1,50,85,11,54,6,2,209,481
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 138","Peterborough",0,66,41,3,74,5,0,189,476
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 139","Peterborough",1,52,134,14,52,3,2,258,634
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 140","Peterborough",2,36,112,11,54,9,1,225,506
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 141","Peterborough",0,25,127,4,64,7,0,227,656
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 142A","Peterborough",0,23,50,4,37,8,0,122,286
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 142B","Peterborough",1,9,35,3,32,3,0,83,298
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 143","Peterborough",1,19,57,2,65,2,0,146,458
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 144","Peterborough",1,37,40,10,72,5,2,167,474
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 145","Peterborough",0,77,45,19,62,4,0,207,501
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 146","Peterborough",0,101,57,6,95,3,2,264,507
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 147","Peterborough",3,56,39,10,51,7,0,166,530
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 148","Peterborough",1,67,35,11,78,3,3,198,463
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 149","Peterborough",1,19,54,7,42,4,1,128,427
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 150","Peterborough",1,26,93,12,44,6,0,182,521
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 151","Peterborough",2,30,67,11,36,7,1,154,435
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 152","Peterborough",0,48,56,8,55,7,2,176,481
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 153","Peterborough",0,44,24,7,96,2,0,173,396
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 154","Peterborough",1,68,32,1,96,5,1,204,378
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 155","Peterborough",0,51,20,1,63,4,1,140,399
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 156","Peterborough",4,51,35,7,114,5,1,217,457
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 157","Peterborough",1,60,32,9,103,4,1,210,466
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 158","Peterborough",1,31,39,5,99,5,0,180,471
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 159A","Peterborough",0,64,26,4,62,2,2,160,387
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 159B","Peterborough",0,57,31,4,62,6,1,161,414
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 160","Peterborough",1,51,39,2,84,5,0,182,448
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 161","Peterborough",0,34,39,4,35,10,1,123,388
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 162","Peterborough",1,42,69,9,40,6,0,167,398
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 163","Peterborough",0,23,63,5,71,9,0,171,415
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 164","Peterborough",1,28,91,12,47,10,0,189,389
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 165","Peterborough",2,43,53,5,43,1,1,148,460
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 166","Peterborough",1,38,50,5,47,4,3,148,414
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 167","Peterborough",0,38,19,1,32,1,1,92,279
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 168","Peterborough",0,54,21,7,62,1,0,145,414
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 169","Peterborough",0,41,17,2,68,2,1,131,464
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 170","Peterborough",0,44,37,6,60,3,2,152,392
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 171","Peterborough",2,48,38,17,37,8,1,151,358
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 172","Peterborough",2,51,32,7,49,3,0,144,401
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 173","Peterborough",0,45,50,13,64,7,0,179,499
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 174","Peterborough",2,62,29,10,57,3,2,165,460
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 175","Peterborough",1,100,46,7,64,8,2,228,557
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 176","Peterborough",1,44,60,10,58,9,0,182,385
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 177","Peterborough",1,42,43,20,48,8,0,162,361
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 178","Peterborough",1,53,64,13,50,9,0,190,402
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 179","Peterborough",0,47,68,9,45,2,0,171,423
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 180","Peterborough",1,65,44,6,54,8,0,178,379
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 181","Peterborough",3,68,39,20,38,6,0,174,454
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 182","Peterborough",0,67,42,4,58,9,1,181,391
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 183","Peterborough",0,58,53,12,79,8,0,210,511
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 184","Peterborough",0,54,48,6,50,2,0,160,379
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 185","Peterborough",0,67,34,4,52,4,0,161,362
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 186","Peterborough",1,68,32,1,65,3,2,172,379
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 187","Peterborough",1,70,34,7,47,6,1,166,397
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 188","Peterborough",0,62,25,5,70,1,0,163,411
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 189","Peterborough",1,45,15,4,66,3,1,135,411
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 190","Peterborough",0,54,20,5,54,3,0,136,390
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 191","Peterborough",0,55,24,6,67,3,1,156,393
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 192","Peterborough",0,45,8,5,41,4,0,103,393
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 193","Peterborough",0,50,29,5,50,3,0,137,382
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 194","Peterborough",1,70,59,15,59,5,3,212,431
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 195","Peterborough",3,49,33,5,43,4,0,137,363
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 196","Peterborough",0,39,31,4,53,6,0,133,290
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 197","Peterborough",1,70,26,7,78,5,2,189,447
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 198","Peterborough",2,55,32,7,46,5,3,150,354
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 199","Peterborough",2,45,27,9,52,0,2,137,373
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 200","Peterborough",0,60,29,5,63,5,0,162,459
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 201","Peterborough",0,45,15,1,75,3,1,140,400
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 202","Peterborough",0,77,26,5,39,1,0,148,329
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 203","Peterborough",1,39,38,11,58,5,0,152,441
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 204","Peterborough",0,52,49,14,32,6,2,155,433
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 205","Peterborough",2,37,61,12,65,4,2,183,437
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 206","Peterborough",2,52,25,7,51,3,1,141,420
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 207","Peterborough",0,55,32,8,51,0,1,147,396
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 208","Peterborough",0,55,52,20,60,8,1,196,405
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 209","Peterborough",0,53,43,9,56,9,1,171,405
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 210","Peterborough",1,77,43,7,48,5,2,183,375
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 211","Peterborough",1,39,22,3,42,0,0,107,346
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 212","Peterborough",1,28,28,2,39,6,1,105,322
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 213","Peterborough",0,52,26,8,37,3,2,128,356
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 214","Peterborough",0,92,50,13,58,5,0,218,456
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 215","Peterborough",1,81,44,5,69,4,0,204,432
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 216","Peterborough",1,73,40,9,59,5,0,187,448
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 217","Peterborough",3,83,50,10,60,7,4,217,511
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 218","Peterborough",0,39,19,1,50,2,1,112,334
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 219","Peterborough",1,39,27,5,40,0,1,113,379
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 220","Peterborough",0,49,20,6,50,3,0,128,386
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 221","Peterborough",1,59,37,4,36,4,1,142,375
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 222","Peterborough",1,58,45,2,45,1,0,152,411
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 223","Peterborough",0,45,23,7,68,2,1,146,480
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 224","Peterborough",0,64,31,2,37,0,0,134,373
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 225","Peterborough",0,39,30,5,48,0,1,123,391
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 226","Peterborough",0,47,30,5,29,0,0,111,288
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 227","Peterborough",0,43,17,0,29,2,3,94,302
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 228","Peterborough",0,78,18,3,47,3,5,154,381
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 229","Peterborough",1,56,36,4,57,4,1,159,388
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 230","Peterborough",0,69,36,12,35,5,1,158,473
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 231","Peterborough",0,101,42,16,54,14,3,230,532
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 232","Peterborough",1,76,58,7,42,4,0,188,426
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 233","Peterborough",1,74,46,10,67,9,1,208,567
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 234","Peterborough",0,59,25,9,76,7,0,176,468
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 235","Peterborough",0,58,34,6,64,4,1,167,461
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 236","Peterborough",1,60,22,8,59,2,0,152,316
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 237","Peterborough",1,98,41,3,97,6,0,246,489
