Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rayna Boychuk,Michael Chang,Kaija Farstad,Kim Richter,Tako Van Popta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59016,"Langley--Aldergrove/Langley--Aldergrove"," 84","Langley",22,49,12,43,133,3,262,635
59016,"Langley--Aldergrove/Langley--Aldergrove"," 85","Langley",12,41,8,36,93,0,190,588
59016,"Langley--Aldergrove/Langley--Aldergrove"," 86","Langley",11,25,1,30,89,0,156,559
59016,"Langley--Aldergrove/Langley--Aldergrove"," 87","Langley",5,27,2,53,98,0,185,556
59016,"Langley--Aldergrove/Langley--Aldergrove"," 88","Langley",6,33,4,35,91,1,170,452
59016,"Langley--Aldergrove/Langley--Aldergrove"," 89","Langley",8,50,7,40,88,0,193,491
59016,"Langley--Aldergrove/Langley--Aldergrove"," 90","Langley",2,41,4,29,101,1,178,398
59016,"Langley--Aldergrove/Langley--Aldergrove"," 91","Langley",19,31,11,47,94,0,202,488
59016,"Langley--Aldergrove/Langley--Aldergrove"," 92","Langley",6,34,4,43,88,0,175,424
59016,"Langley--Aldergrove/Langley--Aldergrove"," 93","Langley",7,23,5,37,53,0,125,367
59016,"Langley--Aldergrove/Langley--Aldergrove"," 94","Langley",13,29,6,35,79,0,162,390
59016,"Langley--Aldergrove/Langley--Aldergrove"," 95","Langley",10,31,2,42,79,1,165,444
59016,"Langley--Aldergrove/Langley--Aldergrove"," 96","Langley",8,50,3,50,85,0,196,492
59016,"Langley--Aldergrove/Langley--Aldergrove"," 97","Langley",13,40,3,70,121,0,247,611
59016,"Langley--Aldergrove/Langley--Aldergrove"," 98","Langley",11,52,3,62,113,0,241,580
59016,"Langley--Aldergrove/Langley--Aldergrove"," 99","Langley",15,54,12,66,116,0,263,607
59016,"Langley--Aldergrove/Langley--Aldergrove"," 100","Langley",8,30,10,46,92,0,186,513
59016,"Langley--Aldergrove/Langley--Aldergrove"," 101","Langley",7,45,3,58,52,3,168,532
59016,"Langley--Aldergrove/Langley--Aldergrove"," 102","Langley",5,20,6,62,115,0,208,623
59016,"Langley--Aldergrove/Langley--Aldergrove"," 103","Langley",8,26,7,41,79,0,161,449
59016,"Langley--Aldergrove/Langley--Aldergrove"," 104","Langley",2,25,11,49,86,0,173,454
59016,"Langley--Aldergrove/Langley--Aldergrove"," 105","Langley",18,31,7,37,70,0,163,455
59016,"Langley--Aldergrove/Langley--Aldergrove"," 106","Langley",4,21,7,23,44,1,100,334
59016,"Langley--Aldergrove/Langley--Aldergrove"," 107","Langley",11,45,5,47,64,0,172,462
59016,"Langley--Aldergrove/Langley--Aldergrove"," 108","Langley",7,32,7,31,41,0,118,359
59016,"Langley--Aldergrove/Langley--Aldergrove"," 109","Langley",4,34,7,38,128,0,211,498
59016,"Langley--Aldergrove/Langley--Aldergrove"," 110","Langley",11,14,9,62,75,0,171,487
59016,"Langley--Aldergrove/Langley--Aldergrove"," 111","Langley",11,40,7,56,111,2,227,471
59016,"Langley--Aldergrove/Langley--Aldergrove"," 112","Langley",12,31,4,58,124,0,229,438
59016,"Langley--Aldergrove/Langley--Aldergrove"," 113","Langley",17,36,4,55,108,0,220,451
59016,"Langley--Aldergrove/Langley--Aldergrove"," 114","Langley",12,34,7,52,131,1,237,511
59016,"Langley--Aldergrove/Langley--Aldergrove"," 115","Langley",9,44,5,60,77,1,196,502
59016,"Langley--Aldergrove/Langley--Aldergrove"," 116","Langley",3,22,5,30,48,0,108,359
59016,"Langley--Aldergrove/Langley--Aldergrove"," 117","Langley",8,25,8,26,81,0,148,391
59016,"Langley--Aldergrove/Langley--Aldergrove"," 118","Langley",7,27,7,37,83,0,161,427
59016,"Langley--Aldergrove/Langley--Aldergrove"," 119","Langley",8,40,8,45,66,0,167,427
59016,"Langley--Aldergrove/Langley--Aldergrove"," 120","Langley",4,40,6,45,85,0,180,500
59016,"Langley--Aldergrove/Langley--Aldergrove"," 121","Langley",5,41,10,36,79,0,171,443
59016,"Langley--Aldergrove/Langley--Aldergrove"," 122","Langley",9,30,6,43,59,0,147,419
59016,"Langley--Aldergrove/Langley--Aldergrove"," 123","Langley",9,36,8,40,92,0,185,541
59016,"Langley--Aldergrove/Langley--Aldergrove"," 124","Langley",10,16,9,41,78,2,156,471
59016,"Langley--Aldergrove/Langley--Aldergrove"," 125","Langley",12,45,5,80,90,2,234,508
59016,"Langley--Aldergrove/Langley--Aldergrove"," 126","Langley",5,44,5,41,78,0,173,519
59016,"Langley--Aldergrove/Langley--Aldergrove"," 127","Langley",7,34,4,30,118,2,195,525
59016,"Langley--Aldergrove/Langley--Aldergrove"," 128","Langley",8,53,9,68,130,0,268,397
59016,"Langley--Aldergrove/Langley--Aldergrove"," 129","Langley",11,26,13,62,129,3,244,532
59016,"Langley--Aldergrove/Langley--Aldergrove"," 130","Langley",13,20,2,58,119,1,213,560
59016,"Langley--Aldergrove/Langley--Aldergrove"," 131","Langley",6,44,3,45,131,0,229,556
59016,"Langley--Aldergrove/Langley--Aldergrove"," 132","Langley",12,34,6,60,117,1,230,440
59016,"Langley--Aldergrove/Langley--Aldergrove"," 133","Langley",11,31,5,38,133,0,218,409
59016,"Langley--Aldergrove/Langley--Aldergrove"," 134","Langley",12,44,6,52,150,0,264,464
