Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Benoit Bourassa,Ariane Croteau,Jean-Denis Garon,Mario Guay,Catherine Lefebvre,François Loza,Christian Montpetit,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24048,"Mirabel/Mirabel"," 514","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,11
24048,"Mirabel/Mirabel"," 515","Sainte-Anne-des-Plaines",Merged with No./Fusionné avec le n°8,,,,,,,,,23
24048,"Mirabel/Mirabel"," 516","Mobile poll/Bureau itinérant",2,3,55,0,13,26,1,2,102,143
24048,"Mirabel/Mirabel"," 517","Mobile poll/Bureau itinérant",1,5,70,2,30,53,6,4,171,207
24048,"Mirabel/Mirabel"," 518","Mobile poll/Bureau itinérant",2,2,23,0,4,41,1,0,73,107
24048,"Mirabel/Mirabel"," 519","Oka",Merged with No./Fusionné avec le n°208,,,,,,,,,5
24048,"Mirabel/Mirabel"," 520","Mobile poll/Bureau itinérant",1,3,40,1,17,18,3,10,93,136
24048,"Mirabel/Mirabel"," 521","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,7
24048,"Mirabel/Mirabel"," 522","Oka",Merged with No./Fusionné avec le n°205,,,,,,,,,6
24048,"Mirabel/Mirabel"," 600","Saint-Colomban",37,16,497,12,133,181,44,12,932,
24048,"Mirabel/Mirabel"," 601","Saint-Colomban",46,23,529,30,194,224,20,15,1081,
24048,"Mirabel/Mirabel"," 602","Saint-Colomban",56,19,578,15,154,200,33,11,1066,
24048,"Mirabel/Mirabel"," 603","Mirabel",63,22,543,17,146,233,34,0,1058,
24048,"Mirabel/Mirabel"," 604","Mirabel",29,12,348,11,112,147,18,15,692,
24048,"Mirabel/Mirabel"," 605","Sainte-Anne-des-Plaines",26,10,436,11,84,159,31,17,774,
24048,"Mirabel/Mirabel"," 606","Sainte-Anne-des-Plaines",2,5,65,2,30,28,12,2,146,
24048,"Mirabel/Mirabel"," 607","Mirabel",63,29,591,23,159,253,31,31,1180,
24048,"Mirabel/Mirabel"," 608","Mirabel",84,32,654,21,213,458,42,16,1520,
