Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Viviane LaPointe,Colette Andréa Methé,J. David Popescu,David Robert Robinson,Ian Symington,Nadia Verrelli,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35103,"Sudbury/Sudbury"," 20","Greater Sudbury / Grand Sudbury",33,1,0,1,37,25,0,97,297
35103,"Sudbury/Sudbury"," 21","Greater Sudbury / Grand Sudbury",46,12,0,0,34,44,0,136,365
35103,"Sudbury/Sudbury"," 22","Greater Sudbury / Grand Sudbury",34,5,1,1,28,34,1,104,358
35103,"Sudbury/Sudbury"," 23","Greater Sudbury / Grand Sudbury",26,4,0,5,30,25,1,91,370
35103,"Sudbury/Sudbury"," 24","Greater Sudbury / Grand Sudbury",38,8,0,0,25,36,0,107,357
35103,"Sudbury/Sudbury"," 25","Greater Sudbury / Grand Sudbury",37,16,1,2,26,40,1,123,392
35103,"Sudbury/Sudbury"," 26","Greater Sudbury / Grand Sudbury",52,6,0,1,39,31,1,130,439
35103,"Sudbury/Sudbury"," 27","Greater Sudbury / Grand Sudbury",34,9,0,2,30,44,1,120,361
35103,"Sudbury/Sudbury"," 28","Greater Sudbury / Grand Sudbury",61,7,0,3,33,33,2,139,399
35103,"Sudbury/Sudbury"," 29","Greater Sudbury / Grand Sudbury",29,7,0,0,23,40,0,99,286
35103,"Sudbury/Sudbury"," 30","Greater Sudbury / Grand Sudbury",69,12,0,2,37,46,3,169,396
35103,"Sudbury/Sudbury"," 31","Greater Sudbury / Grand Sudbury",24,17,0,3,33,48,2,127,366
35103,"Sudbury/Sudbury"," 32","Greater Sudbury / Grand Sudbury",62,10,1,3,39,42,0,157,383
35103,"Sudbury/Sudbury"," 33","Greater Sudbury / Grand Sudbury",36,6,0,1,36,41,0,120,351
35103,"Sudbury/Sudbury"," 34","Greater Sudbury / Grand Sudbury",33,12,1,0,28,54,0,128,529
35103,"Sudbury/Sudbury"," 35","Greater Sudbury / Grand Sudbury",18,12,0,2,8,20,0,60,354
35103,"Sudbury/Sudbury"," 36","Greater Sudbury / Grand Sudbury",21,2,0,2,9,15,0,49,323
35103,"Sudbury/Sudbury"," 37","Greater Sudbury / Grand Sudbury",41,14,0,2,28,41,0,126,356
35103,"Sudbury/Sudbury"," 38","Greater Sudbury / Grand Sudbury",41,7,1,3,37,56,1,146,393
35103,"Sudbury/Sudbury"," 39","Greater Sudbury / Grand Sudbury",26,5,1,0,24,37,0,93,341
35103,"Sudbury/Sudbury"," 40","Greater Sudbury / Grand Sudbury",70,11,0,4,60,47,0,192,441
35103,"Sudbury/Sudbury"," 41","Greater Sudbury / Grand Sudbury",71,5,2,2,66,58,4,208,475
35103,"Sudbury/Sudbury"," 42","Greater Sudbury / Grand Sudbury",86,16,0,0,70,63,0,235,455
35103,"Sudbury/Sudbury"," 43","Greater Sudbury / Grand Sudbury",42,5,0,4,35,38,1,125,293
35103,"Sudbury/Sudbury"," 44","Greater Sudbury / Grand Sudbury",34,5,0,3,20,30,0,92,232
35103,"Sudbury/Sudbury"," 45","Greater Sudbury / Grand Sudbury",37,4,2,0,15,14,1,73,291
35103,"Sudbury/Sudbury"," 46","Greater Sudbury / Grand Sudbury",56,23,3,5,31,69,0,187,479
35103,"Sudbury/Sudbury"," 47","Greater Sudbury / Grand Sudbury",63,23,1,5,53,62,1,208,436
35103,"Sudbury/Sudbury"," 48","Greater Sudbury / Grand Sudbury",36,16,0,2,32,68,0,154,441
35103,"Sudbury/Sudbury"," 49","Greater Sudbury / Grand Sudbury",37,4,0,1,32,31,0,105,315
35103,"Sudbury/Sudbury"," 50","Greater Sudbury / Grand Sudbury",30,7,2,0,32,17,1,89,303
35103,"Sudbury/Sudbury"," 51","Greater Sudbury / Grand Sudbury",39,8,0,4,17,43,0,111,403
35103,"Sudbury/Sudbury"," 52","Greater Sudbury / Grand Sudbury",26,8,0,1,22,37,1,95,362
35103,"Sudbury/Sudbury"," 53","Greater Sudbury / Grand Sudbury",27,16,0,7,25,44,0,119,413
35103,"Sudbury/Sudbury"," 54A","Greater Sudbury / Grand Sudbury",25,7,0,4,19,30,0,85,304
35103,"Sudbury/Sudbury"," 54B","Greater Sudbury / Grand Sudbury",30,11,0,3,23,38,0,105,315
35103,"Sudbury/Sudbury"," 55","Greater Sudbury / Grand Sudbury",35,3,0,2,22,60,0,122,482
35103,"Sudbury/Sudbury"," 56","Greater Sudbury / Grand Sudbury",38,16,0,3,24,52,1,134,506
35103,"Sudbury/Sudbury"," 57","Greater Sudbury / Grand Sudbury",35,16,1,1,15,41,0,109,421
35103,"Sudbury/Sudbury"," 58","Greater Sudbury / Grand Sudbury",36,16,0,4,19,41,0,116,500
35103,"Sudbury/Sudbury"," 59","Greater Sudbury / Grand Sudbury",33,6,0,4,13,26,0,82,378
35103,"Sudbury/Sudbury"," 60","Greater Sudbury / Grand Sudbury",18,7,1,2,18,27,0,73,327
35103,"Sudbury/Sudbury"," 61","Greater Sudbury / Grand Sudbury",22,3,0,1,12,21,0,59,293
35103,"Sudbury/Sudbury"," 62","Greater Sudbury / Grand Sudbury",41,8,0,3,41,32,0,125,452
35103,"Sudbury/Sudbury"," 63","Greater Sudbury / Grand Sudbury",45,13,1,3,61,42,1,166,514
35103,"Sudbury/Sudbury"," 64","Greater Sudbury / Grand Sudbury",19,11,1,1,19,52,0,103,485
35103,"Sudbury/Sudbury"," 65","Greater Sudbury / Grand Sudbury",58,14,1,1,42,65,3,184,448
35103,"Sudbury/Sudbury"," 66","Greater Sudbury / Grand Sudbury",79,21,1,5,31,69,2,208,549
35103,"Sudbury/Sudbury"," 67","Greater Sudbury / Grand Sudbury",20,8,0,2,29,53,0,112,345
35103,"Sudbury/Sudbury"," 68","Greater Sudbury / Grand Sudbury",34,7,0,2,45,66,0,154,369
35103,"Sudbury/Sudbury"," 69","Greater Sudbury / Grand Sudbury",33,5,0,5,24,55,1,123,338
35103,"Sudbury/Sudbury"," 70","Greater Sudbury / Grand Sudbury",41,6,0,1,27,56,0,131,389
35103,"Sudbury/Sudbury"," 71","Greater Sudbury / Grand Sudbury",24,17,0,4,20,43,0,108,395
35103,"Sudbury/Sudbury"," 72","Greater Sudbury / Grand Sudbury",29,14,1,3,20,61,0,128,372
35103,"Sudbury/Sudbury"," 73","Greater Sudbury / Grand Sudbury",60,9,0,9,24,66,0,168,367
35103,"Sudbury/Sudbury"," 74","Greater Sudbury / Grand Sudbury",33,13,1,4,26,65,0,142,459
35103,"Sudbury/Sudbury"," 75","Greater Sudbury / Grand Sudbury",33,3,0,2,12,42,0,92,336
35103,"Sudbury/Sudbury"," 76","Greater Sudbury / Grand Sudbury",23,6,0,3,22,39,0,93,329
35103,"Sudbury/Sudbury"," 77","Greater Sudbury / Grand Sudbury",28,6,0,3,30,44,0,111,382
35103,"Sudbury/Sudbury"," 78A","Greater Sudbury / Grand Sudbury",24,6,0,5,13,22,0,70,321
35103,"Sudbury/Sudbury"," 78B","Mobile poll/Bureau itinérant",16,0,0,1,9,4,2,32,42
35103,"Sudbury/Sudbury"," 79","Greater Sudbury / Grand Sudbury",25,6,0,6,23,45,0,105,435
35103,"Sudbury/Sudbury"," 80A","Greater Sudbury / Grand Sudbury",13,9,0,3,29,36,1,91,298
35103,"Sudbury/Sudbury"," 80B","Greater Sudbury / Grand Sudbury",34,4,0,3,10,36,0,87,148
35103,"Sudbury/Sudbury"," 81","Greater Sudbury / Grand Sudbury",36,12,0,3,27,53,0,131,380
35103,"Sudbury/Sudbury"," 82","Greater Sudbury / Grand Sudbury",30,8,0,3,32,37,0,110,347
35103,"Sudbury/Sudbury"," 83","Greater Sudbury / Grand Sudbury",33,7,0,1,19,56,0,116,427
35103,"Sudbury/Sudbury"," 84","Greater Sudbury / Grand Sudbury",40,7,0,2,20,55,0,124,436
35103,"Sudbury/Sudbury"," 85","Greater Sudbury / Grand Sudbury",47,29,0,2,40,79,1,198,548
35103,"Sudbury/Sudbury"," 86","Greater Sudbury / Grand Sudbury",63,14,0,4,59,33,0,173,443
35103,"Sudbury/Sudbury"," 87","Greater Sudbury / Grand Sudbury",48,7,1,4,47,64,1,172,453
35103,"Sudbury/Sudbury"," 88","Greater Sudbury / Grand Sudbury",63,6,0,1,43,48,0,161,456
35103,"Sudbury/Sudbury"," 89","Greater Sudbury / Grand Sudbury",41,11,0,5,43,42,0,142,422
35103,"Sudbury/Sudbury"," 90","Greater Sudbury / Grand Sudbury",62,2,0,2,68,19,0,153,396
35103,"Sudbury/Sudbury"," 91","Greater Sudbury / Grand Sudbury",34,22,1,1,32,71,1,162,421
35103,"Sudbury/Sudbury"," 92","Greater Sudbury / Grand Sudbury",59,11,0,3,30,61,0,164,399
35103,"Sudbury/Sudbury"," 93","Greater Sudbury / Grand Sudbury",45,13,0,6,21,65,0,150,412
35103,"Sudbury/Sudbury"," 94","Greater Sudbury / Grand Sudbury",31,15,0,5,35,68,3,157,487
35103,"Sudbury/Sudbury"," 95","Greater Sudbury / Grand Sudbury",47,7,0,2,33,57,1,147,414
35103,"Sudbury/Sudbury"," 96","Greater Sudbury / Grand Sudbury",38,8,1,3,29,55,0,134,401
35103,"Sudbury/Sudbury"," 97","Greater Sudbury / Grand Sudbury",41,11,0,5,43,61,0,161,414
35103,"Sudbury/Sudbury"," 98","Greater Sudbury / Grand Sudbury",57,6,0,2,41,78,0,184,441
35103,"Sudbury/Sudbury"," 99","Greater Sudbury / Grand Sudbury",64,8,0,1,27,70,2,172,459
35103,"Sudbury/Sudbury"," 100","Greater Sudbury / Grand Sudbury",33,5,2,2,28,53,1,124,317
35103,"Sudbury/Sudbury"," 101","Greater Sudbury / Grand Sudbury",53,14,1,6,29,60,0,163,365
35103,"Sudbury/Sudbury"," 102","Greater Sudbury / Grand Sudbury",47,2,0,3,28,47,0,127,343
35103,"Sudbury/Sudbury"," 103","Greater Sudbury / Grand Sudbury",51,4,0,4,28,64,2,153,402
35103,"Sudbury/Sudbury"," 104","Greater Sudbury / Grand Sudbury",46,10,0,5,51,34,0,146,372
35103,"Sudbury/Sudbury"," 105","Greater Sudbury / Grand Sudbury",29,17,0,5,23,46,0,120,433
35103,"Sudbury/Sudbury"," 106","Greater Sudbury / Grand Sudbury",42,7,0,2,33,50,0,134,411
35103,"Sudbury/Sudbury"," 107","Greater Sudbury / Grand Sudbury",70,25,1,3,64,69,2,234,393
35103,"Sudbury/Sudbury"," 108","Greater Sudbury / Grand Sudbury",101,17,0,3,61,72,0,254,482
35103,"Sudbury/Sudbury"," 109","Greater Sudbury / Grand Sudbury",87,8,0,6,65,80,0,246,473
35103,"Sudbury/Sudbury"," 110","Greater Sudbury / Grand Sudbury",30,8,0,3,23,44,1,109,301
35103,"Sudbury/Sudbury"," 111","Greater Sudbury / Grand Sudbury",22,9,1,2,26,42,0,102,338
35103,"Sudbury/Sudbury"," 112","Greater Sudbury / Grand Sudbury",33,14,0,7,34,70,2,160,518
35103,"Sudbury/Sudbury"," 113","Greater Sudbury / Grand Sudbury",38,10,1,8,34,79,1,171,514
35103,"Sudbury/Sudbury"," 114","Greater Sudbury / Grand Sudbury",24,9,0,4,18,47,0,102,305
35103,"Sudbury/Sudbury"," 115","Greater Sudbury / Grand Sudbury",38,8,0,2,25,50,0,123,328
35103,"Sudbury/Sudbury"," 116","Greater Sudbury / Grand Sudbury",46,13,0,3,40,58,0,160,412
35103,"Sudbury/Sudbury"," 117","Greater Sudbury / Grand Sudbury",43,9,0,1,32,58,0,143,383
35103,"Sudbury/Sudbury"," 118","Greater Sudbury / Grand Sudbury",35,7,0,6,35,31,1,115,303
35103,"Sudbury/Sudbury"," 119","Greater Sudbury / Grand Sudbury",62,7,0,4,117,23,0,213,469
35103,"Sudbury/Sudbury"," 120","Greater Sudbury / Grand Sudbury",69,3,0,4,82,20,1,179,424
35103,"Sudbury/Sudbury"," 121","Greater Sudbury / Grand Sudbury",39,16,1,2,30,49,1,138,404
35103,"Sudbury/Sudbury"," 122","Greater Sudbury / Grand Sudbury",36,12,1,3,52,63,1,168,401
35103,"Sudbury/Sudbury"," 123","Greater Sudbury / Grand Sudbury",36,7,0,3,39,50,0,135,320
35103,"Sudbury/Sudbury"," 124","Greater Sudbury / Grand Sudbury",22,4,0,4,31,62,1,124,371
35103,"Sudbury/Sudbury"," 125","Greater Sudbury / Grand Sudbury",63,15,2,2,39,53,0,174,376
35103,"Sudbury/Sudbury"," 126","Greater Sudbury / Grand Sudbury",65,7,0,6,29,50,5,162,390
35103,"Sudbury/Sudbury"," 127","Greater Sudbury / Grand Sudbury",93,10,3,4,108,41,1,260,520
35103,"Sudbury/Sudbury"," 128","Greater Sudbury / Grand Sudbury",86,8,0,3,66,42,0,205,417
35103,"Sudbury/Sudbury"," 129","Greater Sudbury / Grand Sudbury",51,6,0,3,54,42,4,160,432
35103,"Sudbury/Sudbury"," 130A","Greater Sudbury / Grand Sudbury",51,10,0,0,36,36,0,133,363
35103,"Sudbury/Sudbury"," 130B","Greater Sudbury / Grand Sudbury",64,6,0,0,40,47,2,159,436
35103,"Sudbury/Sudbury"," 131","Greater Sudbury / Grand Sudbury",117,15,0,2,64,51,0,249,487
35103,"Sudbury/Sudbury"," 132","Greater Sudbury / Grand Sudbury",60,8,3,3,63,31,1,169,475
35103,"Sudbury/Sudbury"," 133","Greater Sudbury / Grand Sudbury",55,7,0,2,29,50,0,143,431
35103,"Sudbury/Sudbury"," 134","Greater Sudbury / Grand Sudbury",55,12,2,4,37,99,4,213,432
35103,"Sudbury/Sudbury"," 135","Greater Sudbury / Grand Sudbury",40,5,0,4,16,32,0,97,331
35103,"Sudbury/Sudbury"," 136","Greater Sudbury / Grand Sudbury",54,8,1,8,74,50,0,195,545
35103,"Sudbury/Sudbury"," 137A","Greater Sudbury / Grand Sudbury",36,8,0,2,29,28,0,103,258
35103,"Sudbury/Sudbury"," 137B","Greater Sudbury / Grand Sudbury",25,14,0,1,45,36,1,122,303
35103,"Sudbury/Sudbury"," 138","Greater Sudbury / Grand Sudbury",79,13,1,8,47,53,2,203,485
35103,"Sudbury/Sudbury"," 139","Greater Sudbury / Grand Sudbury",62,1,0,1,53,22,0,139,381
35103,"Sudbury/Sudbury"," 140","Greater Sudbury / Grand Sudbury",84,7,0,10,65,28,0,194,415
35103,"Sudbury/Sudbury"," 141","Greater Sudbury / Grand Sudbury",70,5,0,1,94,25,0,195,465
35103,"Sudbury/Sudbury"," 142","Greater Sudbury / Grand Sudbury",49,3,0,9,54,21,0,136,323
35103,"Sudbury/Sudbury"," 143","Greater Sudbury / Grand Sudbury",80,10,0,3,77,46,0,216,457
35103,"Sudbury/Sudbury"," 144","Greater Sudbury / Grand Sudbury",62,3,0,3,45,39,2,154,322
35103,"Sudbury/Sudbury"," 145","Greater Sudbury / Grand Sudbury",95,7,0,14,74,49,0,239,478
35103,"Sudbury/Sudbury"," 146","Greater Sudbury / Grand Sudbury",57,9,0,7,65,51,0,189,410
35103,"Sudbury/Sudbury"," 147","Greater Sudbury / Grand Sudbury",65,8,0,3,63,42,0,181,443
35103,"Sudbury/Sudbury"," 148","Greater Sudbury / Grand Sudbury",45,4,0,5,69,41,1,165,389
35103,"Sudbury/Sudbury"," 149","Greater Sudbury / Grand Sudbury",58,13,0,2,99,35,0,207,488
35103,"Sudbury/Sudbury"," 150A","Greater Sudbury / Grand Sudbury",23,3,0,3,34,24,0,87,265
35103,"Sudbury/Sudbury"," 150B","Greater Sudbury / Grand Sudbury",31,3,0,4,23,44,0,105,276
35103,"Sudbury/Sudbury"," 151","Greater Sudbury / Grand Sudbury",44,7,0,2,58,36,0,147,420
35103,"Sudbury/Sudbury"," 152","Greater Sudbury / Grand Sudbury",65,7,1,3,89,61,1,227,477
35103,"Sudbury/Sudbury"," 153","Greater Sudbury / Grand Sudbury",53,5,2,5,112,58,0,235,469
35103,"Sudbury/Sudbury"," 154","Greater Sudbury / Grand Sudbury",65,5,0,2,70,59,0,201,403
35103,"Sudbury/Sudbury"," 155","Greater Sudbury / Grand Sudbury",49,5,0,7,73,52,1,187,433
35103,"Sudbury/Sudbury"," 156","Greater Sudbury / Grand Sudbury",43,5,0,5,95,30,0,178,433
35103,"Sudbury/Sudbury"," 157","Greater Sudbury / Grand Sudbury",40,15,0,3,53,75,2,188,462
35103,"Sudbury/Sudbury"," 158","Greater Sudbury / Grand Sudbury",43,14,0,7,90,73,1,228,482
35103,"Sudbury/Sudbury"," 159","Greater Sudbury / Grand Sudbury",26,12,0,2,27,48,0,115,275
35103,"Sudbury/Sudbury"," 160A","Greater Sudbury / Grand Sudbury",46,6,0,4,50,48,0,154,371
35103,"Sudbury/Sudbury"," 160B","Greater Sudbury / Grand Sudbury",52,0,0,2,33,49,1,137,343
35103,"Sudbury/Sudbury"," 161","Greater Sudbury / Grand Sudbury",52,8,0,3,54,62,0,179,458
35103,"Sudbury/Sudbury"," 162","Greater Sudbury / Grand Sudbury",34,10,0,7,83,54,0,188,454
35103,"Sudbury/Sudbury"," 163","Greater Sudbury / Grand Sudbury",39,6,0,1,53,52,1,152,398
35103,"Sudbury/Sudbury"," 164","Greater Sudbury / Grand Sudbury",31,14,1,2,50,51,0,149,392
35103,"Sudbury/Sudbury"," 165","Greater Sudbury / Grand Sudbury",35,16,0,7,49,40,1,148,324
35103,"Sudbury/Sudbury"," 166","Greater Sudbury / Grand Sudbury",17,12,0,5,71,51,1,157,346
35103,"Sudbury/Sudbury"," 167","Greater Sudbury / Grand Sudbury",48,13,0,6,60,50,0,177,395
35103,"Sudbury/Sudbury"," 168","Greater Sudbury / Grand Sudbury",48,23,0,7,101,75,2,256,468
35103,"Sudbury/Sudbury"," 400","Greater Sudbury / Grand Sudbury",27,1,2,1,16,18,0,65,177
35103,"Sudbury/Sudbury"," 401","Greater Sudbury / Grand Sudbury",4,1,2,4,7,27,0,45,188
35103,"Sudbury/Sudbury"," 402","Greater Sudbury / Grand Sudbury",74,2,0,3,22,28,8,137,413
35103,"Sudbury/Sudbury"," 403","Greater Sudbury / Grand Sudbury",25,3,1,0,4,4,0,37,125
35103,"Sudbury/Sudbury"," 404","Greater Sudbury / Grand Sudbury",8,1,0,3,3,8,0,23,233
35103,"Sudbury/Sudbury"," 405","Greater Sudbury / Grand Sudbury",34,10,1,4,20,66,3,138,459
35103,"Sudbury/Sudbury"," 406","Greater Sudbury / Grand Sudbury",42,4,0,1,19,28,2,96,165
35103,"Sudbury/Sudbury"," 407","Greater Sudbury / Grand Sudbury",49,0,1,1,9,22,0,82,158
35103,"Sudbury/Sudbury"," 408","Greater Sudbury / Grand Sudbury",44,2,0,3,9,28,3,89,152
35103,"Sudbury/Sudbury"," 409","Greater Sudbury / Grand Sudbury",35,2,4,4,8,14,3,70,178
35103,"Sudbury/Sudbury"," 410","Greater Sudbury / Grand Sudbury",47,10,1,11,68,141,1,279,349
35103,"Sudbury/Sudbury"," 411","Greater Sudbury / Grand Sudbury",21,2,0,2,11,19,0,55,126
35103,"Sudbury/Sudbury"," 412","Greater Sudbury / Grand Sudbury",46,4,1,1,25,34,0,111,152
35103,"Sudbury/Sudbury"," 413","Greater Sudbury / Grand Sudbury",22,6,0,2,12,23,0,65,168
35103,"Sudbury/Sudbury"," 414","Greater Sudbury / Grand Sudbury",20,6,0,3,9,23,2,63,145
35103,"Sudbury/Sudbury"," 415","Greater Sudbury / Grand Sudbury",62,2,1,3,30,26,1,125,176
35103,"Sudbury/Sudbury"," 416","Greater Sudbury / Grand Sudbury",24,12,1,1,6,34,0,78,258
35103,"Sudbury/Sudbury"," 417","Greater Sudbury / Grand Sudbury",61,1,1,1,33,19,0,116,158
35103,"Sudbury/Sudbury"," 418","Greater Sudbury / Grand Sudbury",54,4,0,4,25,26,8,121,170
35103,"Sudbury/Sudbury"," 500","Mobile poll/Bureau itinérant",29,2,1,2,3,5,0,42,56
35103,"Sudbury/Sudbury"," 501","Mobile poll/Bureau itinérant",30,4,0,0,10,10,2,56,76
35103,"Sudbury/Sudbury"," 502","Mobile poll/Bureau itinérant",71,2,1,4,36,31,1,146,369
35103,"Sudbury/Sudbury"," 503","Mobile poll/Bureau itinérant",58,3,0,2,5,3,4,75,92
35103,"Sudbury/Sudbury"," 504","Mobile poll/Bureau itinérant",29,1,1,1,6,8,0,46,150
35103,"Sudbury/Sudbury"," 505","Mobile poll/Bureau itinérant",24,1,1,0,4,8,0,38,64
35103,"Sudbury/Sudbury"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°120,,,,,,,,7
35103,"Sudbury/Sudbury"," 507","Mobile poll/Bureau itinérant",11,1,1,0,7,4,0,24,120
35103,"Sudbury/Sudbury"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°120,,,,,,,,16
35103,"Sudbury/Sudbury"," 509","Mobile poll/Bureau itinérant",22,0,0,1,8,9,0,40,75
35103,"Sudbury/Sudbury"," 510","Mobile poll/Bureau itinérant",9,1,0,0,2,3,0,15,20
35103,"Sudbury/Sudbury"," 511","Mobile poll/Bureau itinérant",31,1,1,1,11,6,3,54,77
35103,"Sudbury/Sudbury"," 512","Mobile poll/Bureau itinérant",21,2,0,1,12,8,2,46,86
35103,"Sudbury/Sudbury"," 513","Mobile poll/Bureau itinérant",6,0,0,0,8,4,1,19,44
35103,"Sudbury/Sudbury"," 600","Greater Sudbury / Grand Sudbury",273,80,4,18,144,329,7,855,
35103,"Sudbury/Sudbury"," 601","Greater Sudbury / Grand Sudbury",770,83,0,36,404,347,6,1646,
35103,"Sudbury/Sudbury"," 602","Greater Sudbury / Grand Sudbury",620,88,3,30,446,333,8,1528,
35103,"Sudbury/Sudbury"," 603","Greater Sudbury / Grand Sudbury",705,67,6,22,446,355,6,1607,
35103,"Sudbury/Sudbury"," 604","Greater Sudbury / Grand Sudbury",593,108,4,24,456,421,14,1620,
35103,"Sudbury/Sudbury"," 605","Greater Sudbury / Grand Sudbury",420,60,2,23,439,213,5,1162,
35103,"Sudbury/Sudbury"," 606","Greater Sudbury / Grand Sudbury",398,88,1,13,179,294,3,976,
35103,"Sudbury/Sudbury"," 607","Greater Sudbury / Grand Sudbury",512,57,0,41,310,334,7,1261,
35103,"Sudbury/Sudbury"," 608","Greater Sudbury / Grand Sudbury",489,50,3,15,425,284,9,1275,
35103,"Sudbury/Sudbury"," 609","Greater Sudbury / Grand Sudbury",347,97,3,26,219,370,7,1069,
35103,"Sudbury/Sudbury"," 610","Greater Sudbury / Grand Sudbury",487,68,3,14,542,380,5,1499,
35103,"Sudbury/Sudbury"," 611","Greater Sudbury / Grand Sudbury",413,103,1,15,588,447,7,1574,
35103,"Sudbury/Sudbury",,Group 1/Groupe 1, 138,8,1,8,98,126,15,394,148
35103,"Sudbury/Sudbury",,Group 2/Groupe 2, 640,49,3,24,377,407,45,1545,
