Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Baker,Brendan Knight,Kevin Kruchkywich,John Nater,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35083,"Perth--Wellington/Perth--Wellington"," 51","North Perth",17,37,35,111,0,200,520
35083,"Perth--Wellington/Perth--Wellington"," 52","North Perth",25,54,30,102,3,214,498
35083,"Perth--Wellington/Perth--Wellington"," 53","North Perth",22,24,11,65,1,123,432
35083,"Perth--Wellington/Perth--Wellington"," 54","North Perth",26,39,47,92,2,206,544
35083,"Perth--Wellington/Perth--Wellington"," 55","North Perth",18,37,33,111,1,200,509
35083,"Perth--Wellington/Perth--Wellington"," 56","North Perth",30,59,28,147,1,265,693
35083,"Perth--Wellington/Perth--Wellington"," 57","North Perth",19,22,35,106,3,185,512
35083,"Perth--Wellington/Perth--Wellington"," 58","North Perth",14,50,30,135,0,229,503
35083,"Perth--Wellington/Perth--Wellington"," 59","North Perth",19,51,40,86,3,199,531
35083,"Perth--Wellington/Perth--Wellington"," 60","North Perth",23,44,60,100,0,227,678
35083,"Perth--Wellington/Perth--Wellington"," 61","North Perth",26,75,51,154,3,309,869
35083,"Perth--Wellington/Perth--Wellington"," 62","North Perth",17,88,58,199,0,362,1045
35083,"Perth--Wellington/Perth--Wellington"," 63","North Perth",21,34,30,125,2,212,432
35083,"Perth--Wellington/Perth--Wellington"," 64","North Perth",40,43,34,167,1,285,521
35083,"Perth--Wellington/Perth--Wellington"," 65","North Perth",34,31,30,160,1,256,462
35083,"Perth--Wellington/Perth--Wellington"," 66","Perth East",12,17,15,30,3,77,417
35083,"Perth--Wellington/Perth--Wellington"," 67","Perth East",23,12,10,61,0,106,393
35083,"Perth--Wellington/Perth--Wellington"," 68","Millbank",17,12,9,41,0,79,312
35083,"Perth--Wellington/Perth--Wellington"," 69","Perth East",10,6,5,26,0,47,301
35083,"Perth--Wellington/Perth--Wellington"," 70","Milverton",5,16,18,53,1,93,322
35083,"Perth--Wellington/Perth--Wellington"," 71","Milverton",16,28,18,51,2,115,278
35083,"Perth--Wellington/Perth--Wellington"," 72","Milverton",20,20,21,60,0,121,344
35083,"Perth--Wellington/Perth--Wellington"," 73","Milverton",15,45,29,116,2,207,531
35083,"Perth--Wellington/Perth--Wellington"," 74","Perth East",26,22,8,83,3,142,417
35083,"Perth--Wellington/Perth--Wellington"," 75","North Perth",41,26,35,233,3,338,591
35083,"Perth--Wellington/Perth--Wellington"," 76","West Perth",16,18,10,123,0,167,363
35083,"Perth--Wellington/Perth--Wellington"," 77","West Perth",16,9,10,102,2,139,319
35083,"Perth--Wellington/Perth--Wellington"," 78","Perth East",30,30,20,109,0,189,386
35083,"Perth--Wellington/Perth--Wellington"," 79","Perth East",20,33,24,114,0,191,336
35083,"Perth--Wellington/Perth--Wellington"," 80","Perth East",21,27,21,77,0,146,448
35083,"Perth--Wellington/Perth--Wellington"," 81","Stratford",16,65,62,74,1,218,616
35083,"Perth--Wellington/Perth--Wellington"," 82","Stratford",16,72,60,112,0,260,705
35083,"Perth--Wellington/Perth--Wellington"," 83","Stratford",5,46,39,52,0,142,473
35083,"Perth--Wellington/Perth--Wellington"," 84","Stratford",8,93,42,76,0,219,705
35083,"Perth--Wellington/Perth--Wellington"," 85","Stratford",18,66,42,51,1,178,560
35083,"Perth--Wellington/Perth--Wellington"," 86","Stratford",29,111,81,128,1,350,859
35083,"Perth--Wellington/Perth--Wellington"," 87","Stratford",3,102,40,65,1,211,502
