Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stéphane Bergeron,Natasha Hynes,Marie-Ève Pelchat,Julie Sauvageau,Djaouida Sellah,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24049,"Montarville/Montarville"," 54","Sainte-Julie",78,0,48,10,11,3,150,415
24049,"Montarville/Montarville"," 55","Saint-Basile-le-Grand",82,6,72,12,17,2,191,385
24049,"Montarville/Montarville"," 56","Saint-Basile-le-Grand",82,3,41,25,17,3,171,425
24049,"Montarville/Montarville"," 57","Saint-Basile-le-Grand",86,10,39,10,15,3,163,391
24049,"Montarville/Montarville"," 58","Saint-Basile-le-Grand",88,4,61,15,26,1,195,352
24049,"Montarville/Montarville"," 59","Saint-Basile-le-Grand",101,6,86,11,29,2,235,469
24049,"Montarville/Montarville"," 60","Saint-Basile-le-Grand",55,1,48,11,11,2,128,308
24049,"Montarville/Montarville"," 61","Saint-Basile-le-Grand",87,2,100,21,30,3,243,432
24049,"Montarville/Montarville"," 62","Saint-Basile-le-Grand",104,7,61,21,28,4,225,454
24049,"Montarville/Montarville"," 63","Saint-Basile-le-Grand",95,11,51,23,18,8,206,423
24049,"Montarville/Montarville"," 64","Saint-Basile-le-Grand",100,6,55,17,25,4,207,460
24049,"Montarville/Montarville"," 65","Saint-Bruno-de-Montarville",66,6,94,13,16,2,197,458
24049,"Montarville/Montarville"," 66","Saint-Bruno-de-Montarville",72,3,82,17,11,1,186,537
24049,"Montarville/Montarville"," 67","Saint-Bruno-de-Montarville",72,5,82,13,40,2,214,400
24049,"Montarville/Montarville"," 68","Saint-Bruno-de-Montarville",62,2,95,15,24,0,198,436
24049,"Montarville/Montarville"," 69","Saint-Bruno-de-Montarville",52,6,46,11,14,6,135,426
24049,"Montarville/Montarville"," 70","Saint-Bruno-de-Montarville",84,2,65,12,18,0,181,383
24049,"Montarville/Montarville"," 71","Saint-Bruno-de-Montarville",76,1,73,22,34,0,206,436
24049,"Montarville/Montarville"," 72","Saint-Bruno-de-Montarville",45,6,70,8,28,3,160,348
24049,"Montarville/Montarville"," 73","Saint-Bruno-de-Montarville",59,2,76,9,16,5,167,317
24049,"Montarville/Montarville"," 74","Saint-Bruno-de-Montarville",64,0,60,24,23,2,173,341
24049,"Montarville/Montarville"," 75","Saint-Bruno-de-Montarville",53,1,55,6,13,1,129,312
24049,"Montarville/Montarville"," 76","Saint-Bruno-de-Montarville",59,3,52,10,12,7,143,329
24049,"Montarville/Montarville"," 77","Saint-Bruno-de-Montarville",55,1,51,15,27,1,150,399
24049,"Montarville/Montarville"," 78","Saint-Bruno-de-Montarville",63,0,59,8,21,2,153,338
24049,"Montarville/Montarville"," 79","Saint-Bruno-de-Montarville",79,1,67,11,23,0,181,384
24049,"Montarville/Montarville"," 80","Saint-Bruno-de-Montarville",60,1,62,5,16,3,147,336
24049,"Montarville/Montarville"," 81","Saint-Bruno-de-Montarville",45,0,57,13,9,2,126,283
24049,"Montarville/Montarville"," 82","Saint-Bruno-de-Montarville",71,7,40,16,22,5,161,347
24049,"Montarville/Montarville"," 83","Saint-Bruno-de-Montarville",52,2,58,16,14,2,144,316
24049,"Montarville/Montarville"," 84","Saint-Bruno-de-Montarville",70,6,88,22,29,1,216,449
24049,"Montarville/Montarville"," 85","Saint-Bruno-de-Montarville",62,1,51,8,16,4,142,303
24049,"Montarville/Montarville"," 86","Saint-Bruno-de-Montarville",65,4,64,18,21,1,173,430
24049,"Montarville/Montarville"," 87","Saint-Bruno-de-Montarville",40,0,45,9,8,0,102,330
24049,"Montarville/Montarville"," 88","Saint-Bruno-de-Montarville",57,4,54,15,15,1,146,320
24049,"Montarville/Montarville"," 89","Saint-Bruno-de-Montarville",57,1,87,19,15,1,180,440
24049,"Montarville/Montarville"," 90","Saint-Bruno-de-Montarville",68,5,71,20,19,5,188,422
24049,"Montarville/Montarville"," 91","Saint-Bruno-de-Montarville",57,0,69,15,19,4,164,376
24049,"Montarville/Montarville"," 92","Saint-Bruno-de-Montarville",62,6,49,16,17,2,152,407
24049,"Montarville/Montarville"," 93","Saint-Bruno-de-Montarville",77,4,99,25,36,3,244,456
24049,"Montarville/Montarville"," 94","Saint-Bruno-de-Montarville",56,7,58,13,26,1,161,410
24049,"Montarville/Montarville"," 95","Saint-Basile-le-Grand",56,2,27,12,15,3,115,304
24049,"Montarville/Montarville"," 96","Saint-Basile-le-Grand",74,3,65,8,17,0,167,424
24049,"Montarville/Montarville"," 97","Saint-Basile-le-Grand",66,2,38,9,14,3,132,366
24049,"Montarville/Montarville"," 98","Saint-Basile-le-Grand",86,5,42,18,24,3,178,444
24049,"Montarville/Montarville"," 99","Saint-Basile-le-Grand",63,7,34,13,29,4,150,414
24049,"Montarville/Montarville"," 100A","Saint-Basile-le-Grand",45,2,44,19,16,2,128,282
24049,"Montarville/Montarville"," 100B","Saint-Basile-le-Grand",86,7,56,17,11,4,181,514
24049,"Montarville/Montarville"," 101","Saint-Basile-le-Grand",59,3,31,13,18,3,127,384
24049,"Montarville/Montarville"," 102","Saint-Basile-le-Grand",52,8,36,14,16,2,128,396
24049,"Montarville/Montarville"," 103","Saint-Basile-le-Grand",59,0,44,10,15,1,129,326
24049,"Montarville/Montarville"," 104","Saint-Basile-le-Grand",51,4,31,7,17,2,112,296
24049,"Montarville/Montarville"," 105","Saint-Basile-le-Grand",70,0,42,12,14,4,142,411
24049,"Montarville/Montarville"," 106","Saint-Basile-le-Grand",97,5,53,11,17,3,186,453
24049,"Montarville/Montarville"," 107","Saint-Basile-le-Grand",103,8,49,24,26,2,212,488
24049,"Montarville/Montarville"," 108","Saint-Bruno-de-Montarville",69,3,69,16,16,2,175,349
24049,"Montarville/Montarville"," 109","Saint-Bruno-de-Montarville",68,3,66,7,14,1,159,398
24049,"Montarville/Montarville"," 110","Saint-Bruno-de-Montarville",46,4,32,13,16,2,113,357
24049,"Montarville/Montarville"," 111","Saint-Bruno-de-Montarville",73,4,77,21,28,4,207,392
24049,"Montarville/Montarville"," 112","Saint-Bruno-de-Montarville",75,5,85,12,23,5,205,493
24049,"Montarville/Montarville"," 113","Saint-Bruno-de-Montarville",92,3,91,18,8,5,217,580
24049,"Montarville/Montarville"," 114","Saint-Bruno-de-Montarville",67,4,76,26,28,2,203,493
24049,"Montarville/Montarville"," 115","Saint-Basile-le-Grand",61,10,49,19,14,1,154,379
24049,"Montarville/Montarville"," 116","Saint-Basile-le-Grand",74,5,67,16,27,1,190,406
24049,"Montarville/Montarville"," 117","Saint-Basile-le-Grand",79,7,62,20,33,0,201,450
24049,"Montarville/Montarville"," 118","Saint-Basile-le-Grand",52,3,42,12,15,2,126,287
24049,"Montarville/Montarville"," 119","Saint-Basile-le-Grand",73,10,67,16,18,1,185,466
24049,"Montarville/Montarville"," 120","Saint-Basile-le-Grand",70,8,61,14,17,0,170,359
24049,"Montarville/Montarville"," 121","Saint-Basile-le-Grand",73,2,59,12,26,3,175,398
24049,"Montarville/Montarville"," 122","Saint-Basile-le-Grand",91,5,54,25,20,5,200,400
24049,"Montarville/Montarville"," 123","Saint-Bruno-de-Montarville",48,0,55,11,16,0,130,350
24049,"Montarville/Montarville"," 124","Saint-Bruno-de-Montarville",52,1,65,14,25,1,158,340
24049,"Montarville/Montarville"," 125","Saint-Bruno-de-Montarville",71,10,82,16,32,4,215,431
24049,"Montarville/Montarville"," 126","Saint-Bruno-de-Montarville",81,7,77,20,23,5,213,457
24049,"Montarville/Montarville"," 127","Saint-Bruno-de-Montarville",59,6,78,20,17,3,183,377
24049,"Montarville/Montarville"," 128","Saint-Bruno-de-Montarville",72,1,66,15,22,2,178,378
24049,"Montarville/Montarville"," 129","Saint-Bruno-de-Montarville",48,3,66,16,29,0,162,363
24049,"Montarville/Montarville"," 130","Saint-Bruno-de-Montarville",70,4,61,20,16,0,171,448
24049,"Montarville/Montarville"," 131","Saint-Bruno-de-Montarville",43,2,61,16,14,2,138,355
24049,"Montarville/Montarville"," 132","Saint-Bruno-de-Montarville",72,3,93,30,11,2,211,571
24049,"Montarville/Montarville"," 133","Saint-Bruno-de-Montarville",85,3,80,35,24,2,229,450
24049,"Montarville/Montarville"," 134","Saint-Bruno-de-Montarville",67,1,76,32,23,1,200,451
24049,"Montarville/Montarville"," 135","Saint-Bruno-de-Montarville",104,5,123,39,29,3,303,585
24049,"Montarville/Montarville"," 136","Longueuil",53,4,72,17,20,1,167,363
24049,"Montarville/Montarville"," 137","Longueuil",56,5,62,14,16,6,159,437
24049,"Montarville/Montarville"," 138","Longueuil",71,1,65,16,15,5,173,367
24049,"Montarville/Montarville"," 139","Longueuil",66,9,148,37,42,4,306,735
24049,"Montarville/Montarville"," 140","Longueuil",76,3,101,18,20,5,223,553
24049,"Montarville/Montarville"," 141","Longueuil",59,5,49,12,21,4,150,375
24049,"Montarville/Montarville"," 142","Longueuil",62,6,63,11,16,2,160,430
24049,"Montarville/Montarville"," 143","Longueuil",53,9,50,9,12,4,137,381
24049,"Montarville/Montarville"," 144","Longueuil",91,9,92,11,19,1,223,459
24049,"Montarville/Montarville"," 145","Longueuil",79,5,85,23,20,3,215,555
24049,"Montarville/Montarville"," 146","Longueuil",44,8,34,6,8,1,101,354
24049,"Montarville/Montarville"," 147","Longueuil",66,9,79,22,30,3,209,386
24049,"Montarville/Montarville"," 148","Longueuil",49,3,51,7,20,2,132,406
24049,"Montarville/Montarville"," 149","Longueuil",49,1,33,6,14,4,107,419
24049,"Montarville/Montarville"," 150","Longueuil",45,5,57,14,18,1,140,388
24049,"Montarville/Montarville"," 151","Longueuil",48,11,71,22,26,6,184,474
24049,"Montarville/Montarville"," 152","Longueuil",60,6,51,11,17,3,148,369
24049,"Montarville/Montarville"," 153","Longueuil",75,3,47,13,15,7,160,302
24049,"Montarville/Montarville"," 154","Longueuil",53,5,34,7,23,2,124,341
24049,"Montarville/Montarville"," 155","Longueuil",70,6,52,11,14,6,159,416
24049,"Montarville/Montarville"," 156","Longueuil",51,11,53,16,25,7,163,487
24049,"Montarville/Montarville"," 157","Longueuil",38,3,49,10,18,5,123,361
24049,"Montarville/Montarville"," 158A","Longueuil",52,4,50,8,15,5,134,357
24049,"Montarville/Montarville"," 158B","Longueuil",31,1,49,4,9,1,95,324
24049,"Montarville/Montarville"," 159","Longueuil",90,7,92,8,14,2,213,468
24049,"Montarville/Montarville"," 160","Longueuil",27,5,47,7,22,0,108,379
24049,"Montarville/Montarville"," 161","Longueuil",32,0,45,14,18,2,111,328
24049,"Montarville/Montarville"," 162","Longueuil",27,3,39,21,10,1,101,294
24049,"Montarville/Montarville"," 163","Longueuil",57,5,74,18,12,2,168,402
24049,"Montarville/Montarville"," 164","Longueuil",70,10,98,13,18,1,210,473
24049,"Montarville/Montarville"," 165","Longueuil",50,2,91,24,22,0,189,455
24049,"Montarville/Montarville"," 166","Longueuil",28,8,58,15,8,2,119,380
24049,"Montarville/Montarville"," 167","Longueuil",49,2,57,12,15,3,138,409
24049,"Montarville/Montarville"," 168","Longueuil",55,4,63,33,5,4,164,526
24049,"Montarville/Montarville"," 169","Longueuil",74,3,67,22,21,3,190,524
24049,"Montarville/Montarville"," 170","Longueuil",69,5,60,12,14,1,161,459
24049,"Montarville/Montarville"," 171A","Longueuil",60,11,94,21,18,4,208,521
24049,"Montarville/Montarville"," 171B","Longueuil",63,9,95,37,10,5,219,698
24049,"Montarville/Montarville"," 172","Longueuil",22,7,70,10,10,1,120,288
24049,"Montarville/Montarville"," 173","Longueuil",72,4,97,23,17,7,220,585
24049,"Montarville/Montarville"," 174","Longueuil",41,3,43,13,15,4,119,359
24049,"Montarville/Montarville"," 175","Longueuil",77,3,68,24,24,7,203,546
24049,"Montarville/Montarville"," 176A","Longueuil",43,12,46,13,16,2,132,346
24049,"Montarville/Montarville"," 176B","Longueuil",47,4,51,16,27,0,145,367
24049,"Montarville/Montarville"," 177","Longueuil",67,11,47,17,18,5,165,559
24049,"Montarville/Montarville"," 178","Longueuil",53,7,56,19,9,4,148,446
24049,"Montarville/Montarville"," 179","Longueuil",72,11,98,40,14,4,239,609
24049,"Montarville/Montarville"," 400","Sainte-Julie",123,0,122,24,2,11,282,406
24049,"Montarville/Montarville"," 401","Saint-Bruno-de-Montarville",37,1,81,15,3,5,142,130
24049,"Montarville/Montarville"," 402","Longueuil",50,0,59,8,4,3,124,186
24049,"Montarville/Montarville"," 500","Mobile poll/Bureau itinérant",63,5,60,6,5,18,157,125
24049,"Montarville/Montarville"," 501","Mobile poll/Bureau itinérant",Results combined with no. 500/Résultats combinés au n° 500,,,,,,,40
24049,"Montarville/Montarville"," 502","Mobile poll/Bureau itinérant",58,2,74,10,4,8,156,104
24049,"Montarville/Montarville"," 503","Mobile poll/Bureau itinérant",Results combined with no. 502/Résultats combinés au n° 502,,,,,,,69
24049,"Montarville/Montarville"," 504","Mobile poll/Bureau itinérant",Results combined with no. 500/Résultats combinés au n° 500,,,,,,,69
24049,"Montarville/Montarville"," 505","Mobile poll/Bureau itinérant",Results combined with no. 502/Résultats combinés au n° 502,,,,,,,29
24049,"Montarville/Montarville"," 506","Mobile poll/Bureau itinérant",Results combined with no. 500/Résultats combinés au n° 500,,,,,,,100
24049,"Montarville/Montarville"," 507","Mobile poll/Bureau itinérant",Results combined with no. 502/Résultats combinés au n° 502,,,,,,,78
24049,"Montarville/Montarville"," 508","Mobile poll/Bureau itinérant",Results combined with no. 500/Résultats combinés au n° 500,,,,,,,30
24049,"Montarville/Montarville"," 509","Mobile poll/Bureau itinérant",0,0,0,0,0,0,0,24
24049,"Montarville/Montarville"," 510","Mobile poll/Bureau itinérant",0,0,0,0,0,0,0,44
24049,"Montarville/Montarville"," 600","Sainte-Julie",939,21,356,155,78,19,1568,
24049,"Montarville/Montarville"," 601","Sainte-Julie",1024,22,478,168,74,21,1787,
24049,"Montarville/Montarville"," 602","Sainte-Julie",959,21,401,148,79,33,1641,
24049,"Montarville/Montarville"," 603","Sainte-Julie",1027,34,569,169,87,22,1908,
24049,"Montarville/Montarville"," 604","Saint-Bruno-de-Montarville",720,26,757,155,88,18,1764,
24049,"Montarville/Montarville"," 605","Saint-Bruno-de-Montarville",563,18,603,176,102,9,1471,
24049,"Montarville/Montarville"," 606","Saint-Basile-le-Grand",592,13,322,120,81,16,1144,
24049,"Montarville/Montarville"," 607","Saint-Basile-le-Grand",647,30,341,134,106,24,1282,
24049,"Montarville/Montarville"," 608","Saint-Basile-le-Grand",704,24,436,125,92,22,1403,
24049,"Montarville/Montarville"," 609","Saint-Bruno-de-Montarville",655,21,626,141,119,18,1580,
24049,"Montarville/Montarville"," 610","Saint-Bruno-de-Montarville",563,16,519,132,83,11,1324,
24049,"Montarville/Montarville"," 611","Longueuil",739,27,538,157,99,21,1581,
24049,"Montarville/Montarville"," 612","Longueuil",733,38,582,141,89,27,1610,
24049,"Montarville/Montarville"," 613","Longueuil",660,32,475,137,69,18,1391,
24049,"Montarville/Montarville"," 614","Longueuil",626,21,492,180,69,43,1431,
24049,"Montarville/Montarville",,Group 1/Groupe 1, 145,4,97,35,51,29,361,99
24049,"Montarville/Montarville",,Group 2/Groupe 2, 740,17,700,175,128,102,1862,
