Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leslie Bory,Larry Brock,Karleigh Csordas,Alison Macdonald,Adrienne Roberts,Cole Squire,John The Engineer Turmel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Brantford--Brant/Brantford--Brant"," 95","Brantford",0,74,2,42,26,15,1,1,161,456
35013,"Brantford--Brant/Brantford--Brant"," 96","Brantford",0,53,4,50,47,17,0,0,171,535
35013,"Brantford--Brant/Brantford--Brant"," 97","Brantford",2,81,8,51,51,17,0,0,210,537
35013,"Brantford--Brant/Brantford--Brant"," 98","Brantford",3,51,4,41,49,24,0,0,172,508
35013,"Brantford--Brant/Brantford--Brant"," 99","Brantford",0,56,9,39,53,21,1,0,179,518
35013,"Brantford--Brant/Brantford--Brant"," 100","Brantford",0,56,5,46,74,29,0,0,210,557
35013,"Brantford--Brant/Brantford--Brant"," 101","Brantford",0,79,9,41,57,24,0,3,213,591
35013,"Brantford--Brant/Brantford--Brant"," 102","Brantford",1,50,5,48,66,21,1,2,194,538
35013,"Brantford--Brant/Brantford--Brant"," 103","Brantford",0,68,8,56,82,22,1,2,239,550
35013,"Brantford--Brant/Brantford--Brant"," 104","Brantford",0,43,7,57,60,27,0,0,194,590
35013,"Brantford--Brant/Brantford--Brant"," 105","Brantford",1,44,7,42,47,23,0,2,166,481
35013,"Brantford--Brant/Brantford--Brant"," 106","Brantford",1,51,8,31,29,19,0,0,139,495
35013,"Brantford--Brant/Brantford--Brant"," 107","Brantford",2,44,4,17,44,26,0,1,138,625
35013,"Brantford--Brant/Brantford--Brant"," 108","Brant",0,120,9,63,37,43,0,0,272,620
35013,"Brantford--Brant/Brantford--Brant"," 109","Brant",0,98,4,49,45,27,0,3,226,576
35013,"Brantford--Brant/Brantford--Brant"," 110","Brantford",1,94,4,122,67,16,0,2,306,829
35013,"Brantford--Brant/Brantford--Brant"," 111","Brantford",0,81,3,79,53,26,0,2,244,626
35013,"Brantford--Brant/Brantford--Brant"," 112","Brant",2,133,8,59,58,30,1,0,291,641
35013,"Brantford--Brant/Brantford--Brant"," 113","Brant",2,94,5,58,37,32,1,0,229,579
35013,"Brantford--Brant/Brantford--Brant"," 114","Brant",1,65,8,52,66,11,0,0,203,536
35013,"Brantford--Brant/Brantford--Brant"," 115","Brant",0,122,15,59,47,9,0,1,253,577
35013,"Brantford--Brant/Brantford--Brant"," 116","Brant",0,78,9,72,51,19,0,2,231,559
35013,"Brantford--Brant/Brantford--Brant"," 117","Brant",0,87,8,62,47,7,1,1,213,472
35013,"Brantford--Brant/Brantford--Brant"," 118","Brant",1,111,8,73,32,15,0,1,241,549
35013,"Brantford--Brant/Brantford--Brant"," 119","Brant",0,119,5,81,33,7,0,0,245,587
35013,"Brantford--Brant/Brantford--Brant"," 120A","Brant",0,70,1,70,23,6,0,0,170,400
35013,"Brantford--Brant/Brantford--Brant"," 120B","Brant",1,59,5,63,30,2,0,0,160,361
35013,"Brantford--Brant/Brantford--Brant"," 121A","Brant",0,74,4,69,18,7,0,0,172,398
35013,"Brantford--Brant/Brantford--Brant"," 121B","Brant",0,76,8,70,20,6,0,1,181,439
35013,"Brantford--Brant/Brantford--Brant"," 122","Brant",1,150,7,101,31,23,0,5,318,703
35013,"Brantford--Brant/Brantford--Brant"," 123","Brantford",1,70,6,40,67,23,1,3,211,528
35013,"Brantford--Brant/Brantford--Brant"," 124","Brantford",1,69,10,58,65,28,3,1,235,620
35013,"Brantford--Brant/Brantford--Brant"," 125","Brantford",1,54,8,50,66,26,0,1,206,598
35013,"Brantford--Brant/Brantford--Brant"," 126","Brantford",0,67,9,50,62,20,3,0,211,528
35013,"Brantford--Brant/Brantford--Brant"," 127","Brantford",1,66,4,54,72,21,2,0,220,565
35013,"Brantford--Brant/Brantford--Brant"," 128","Brantford",1,31,10,30,53,18,0,2,145,587
35013,"Brantford--Brant/Brantford--Brant"," 129","Brantford",0,41,15,33,53,18,0,1,161,572
35013,"Brantford--Brant/Brantford--Brant"," 130","Brantford",2,54,5,33,52,28,0,3,177,554
35013,"Brantford--Brant/Brantford--Brant"," 131","Brantford",0,51,6,51,69,18,1,3,199,592
35013,"Brantford--Brant/Brantford--Brant"," 132","Brantford",0,23,6,16,54,17,0,1,117,576
35013,"Brantford--Brant/Brantford--Brant"," 133","Brantford",0,45,4,42,65,32,0,2,190,618
35013,"Brantford--Brant/Brantford--Brant"," 134","Brantford",0,81,2,95,33,14,0,0,225,462
35013,"Brantford--Brant/Brantford--Brant"," 135","Brantford",1,62,8,84,31,21,0,1,208,508
35013,"Brantford--Brant/Brantford--Brant"," 136","Brantford",2,86,4,59,53,19,3,0,226,507
35013,"Brantford--Brant/Brantford--Brant"," 137","Brantford",0,88,15,60,60,19,0,1,243,505
35013,"Brantford--Brant/Brantford--Brant"," 138","Brantford",2,89,7,86,64,14,0,2,264,634
35013,"Brantford--Brant/Brantford--Brant"," 139","Brantford",0,77,10,47,68,22,1,0,225,568
35013,"Brantford--Brant/Brantford--Brant"," 140","Brantford",0,87,8,54,61,33,1,4,248,512
35013,"Brantford--Brant/Brantford--Brant"," 141","Brantford",1,41,3,34,39,18,2,1,139,622
35013,"Brantford--Brant/Brantford--Brant"," 142","Brantford",0,55,10,51,64,12,2,0,194,641
35013,"Brantford--Brant/Brantford--Brant"," 143","Brantford",0,46,7,41,63,14,0,2,173,580
35013,"Brantford--Brant/Brantford--Brant"," 144","Brantford",0,35,8,27,38,27,0,0,135,548
35013,"Brantford--Brant/Brantford--Brant"," 145","Brantford",0,58,7,38,36,16,0,1,156,568
35013,"Brantford--Brant/Brantford--Brant"," 146","Brantford",0,72,9,42,61,22,0,2,208,529
35013,"Brantford--Brant/Brantford--Brant"," 147","Brantford",1,79,8,40,71,19,0,0,218,568
35013,"Brantford--Brant/Brantford--Brant"," 148","Brantford",1,69,7,46,43,18,2,1,187,571
35013,"Brantford--Brant/Brantford--Brant"," 149","Brantford",0,71,20,76,62,24,0,4,257,499
35013,"Brantford--Brant/Brantford--Brant"," 150","Six Nations (Part) 40",0,72,5,60,82,15,0,0,234,540
35013,"Brantford--Brant/Brantford--Brant"," 151","Brantford",2,81,7,33,62,29,1,0,215,549
35013,"Brantford--Brant/Brantford--Brant"," 152","Brantford",2,74,12,31,66,33,1,1,220,529
35013,"Brantford--Brant/Brantford--Brant"," 153","Brantford",2,82,9,66,69,29,0,0,257,549
35013,"Brantford--Brant/Brantford--Brant"," 154","Brantford",4,115,11,56,61,29,0,0,276,512
35013,"Brantford--Brant/Brantford--Brant"," 155","Brantford",1,90,20,50,61,27,1,0,250,598
35013,"Brantford--Brant/Brantford--Brant"," 156","Brantford",0,87,11,46,55,16,0,2,217,495
35013,"Brantford--Brant/Brantford--Brant"," 157","Brant",0,110,6,60,50,17,0,0,243,611
35013,"Brantford--Brant/Brantford--Brant"," 158","Brantford",0,88,8,60,44,11,0,0,211,544
35013,"Brantford--Brant/Brantford--Brant"," 159","Brantford",0,82,3,70,31,20,1,0,207,559
35013,"Brantford--Brant/Brantford--Brant"," 160","Brant",0,129,3,55,35,23,0,0,245,573
35013,"Brantford--Brant/Brantford--Brant"," 161","Brantford",0,66,3,62,44,18,0,0,193,480
35013,"Brantford--Brant/Brantford--Brant"," 162A","Brantford",0,50,1,52,38,8,1,1,151,381
35013,"Brantford--Brant/Brantford--Brant"," 162B","Brantford",0,55,8,62,27,11,0,0,163,389
35013,"Brantford--Brant/Brantford--Brant"," 163","Brantford",0,105,5,61,42,10,1,1,225,517
35013,"Brantford--Brant/Brantford--Brant"," 164","Brantford",0,110,2,85,59,22,1,0,279,559
35013,"Brantford--Brant/Brantford--Brant"," 165","Brantford",0,89,4,73,30,12,1,0,209,535
35013,"Brantford--Brant/Brantford--Brant"," 166","Brantford",0,82,6,72,62,9,0,0,231,559
