Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jason Henry,Jeremy Hull,Kevin Mitchell,Sudit Ranade,Lianne Rood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 70","Strathroy",44,6,22,66,110,0,248,614
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 71","Strathroy",44,4,11,40,63,1,163,410
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 72","Strathroy-Caradoc",40,0,6,49,76,0,171,425
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 73","Strathroy",34,4,10,32,59,2,141,445
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 74","Strathroy",22,1,10,32,54,1,120,331
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 75","Adelaide-Metcalfe",17,1,11,15,75,0,119,332
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 76","Strathroy",23,1,13,31,29,1,98,315
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 77","Middlesex Centre",15,6,9,44,93,0,167,416
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 78","Komoka",27,1,9,38,79,0,154,421
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 79","Lobo",30,5,22,53,96,1,207,492
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 80","Komoka",27,4,16,66,86,0,199,505
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 81","Komoka",65,2,11,48,92,1,219,460
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 82","Komoka",67,3,27,112,167,1,377,778
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 83","Kilworth",21,0,14,67,97,2,201,421
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 84","Middlesex Centre",47,4,7,73,119,0,250,523
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 85","Kilworth",49,1,11,67,113,0,241,482
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 86","Kilworth",74,6,26,98,211,1,416,904
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 87","Strathroy-Caradoc",39,5,24,90,151,2,311,769
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 88","Strathroy",33,5,4,44,61,0,147,318
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 89","Strathroy",30,3,16,36,77,0,162,321
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 90","Strathroy-Caradoc",65,1,22,47,101,1,237,319
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 91","Strathroy-Caradoc",Merged with No./Fusionné avec le n°90,,,,,,,250
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 92","Strathroy-Caradoc",28,3,16,24,36,2,109,352
