Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Glenn Etchegary,Dana Metcalfe,Mary Shortall,Joanne Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10006,"St. John's East/St. John's-Est"," 95","Portugal Cove-St. Philip's",34,4,65,92,1,196,482
10006,"St. John's East/St. John's-Est"," 96","St. John's",28,4,54,104,1,191,449
10006,"St. John's East/St. John's-Est"," 97","St. John's",29,4,64,110,0,207,457
10006,"St. John's East/St. John's-Est"," 98","St. John's",27,1,45,76,0,149,352
10006,"St. John's East/St. John's-Est"," 99","St. John's",24,1,46,93,0,164,370
10006,"St. John's East/St. John's-Est"," 100","St. John's",18,2,57,96,0,173,347
10006,"St. John's East/St. John's-Est"," 101","St. John's",7,1,71,54,0,133,318
10006,"St. John's East/St. John's-Est"," 102","St. John's",8,1,77,34,0,120,340
10006,"St. John's East/St. John's-Est"," 103","St. John's",8,1,51,65,0,125,408
10006,"St. John's East/St. John's-Est"," 104","St. John's",11,5,57,26,0,99,383
10006,"St. John's East/St. John's-Est"," 105","St. John's",14,1,37,30,0,82,343
10006,"St. John's East/St. John's-Est"," 106","St. John's",12,1,65,32,0,110,303
10006,"St. John's East/St. John's-Est"," 107","St. John's",16,2,98,58,0,174,473
10006,"St. John's East/St. John's-Est"," 108","St. John's",4,2,62,9,2,79,324
10006,"St. John's East/St. John's-Est"," 109","St. John's",14,1,54,23,1,93,339
10006,"St. John's East/St. John's-Est"," 110","St. John's",15,3,79,87,0,184,425
10006,"St. John's East/St. John's-Est"," 111","St. John's",5,2,62,37,0,106,386
10006,"St. John's East/St. John's-Est"," 112","St. John's",6,2,56,35,0,99,321
10006,"St. John's East/St. John's-Est"," 113","St. John's",12,4,63,27,1,107,366
10006,"St. John's East/St. John's-Est"," 114","St. John's",16,0,75,29,0,120,417
10006,"St. John's East/St. John's-Est"," 115","St. John's",9,0,59,40,1,109,371
10006,"St. John's East/St. John's-Est"," 116","St. John's",18,3,102,65,0,188,399
10006,"St. John's East/St. John's-Est"," 117","St. John's",14,6,43,16,1,80,348
10006,"St. John's East/St. John's-Est"," 118","St. John's",21,3,49,59,0,132,344
10006,"St. John's East/St. John's-Est"," 119","St. John's",25,3,42,44,1,115,328
10006,"St. John's East/St. John's-Est"," 120","St. John's",23,1,59,49,0,132,362
10006,"St. John's East/St. John's-Est"," 121","St. John's",20,3,56,44,0,123,474
10006,"St. John's East/St. John's-Est"," 122","St. John's",18,5,60,40,3,126,348
10006,"St. John's East/St. John's-Est"," 123","St. John's",16,3,55,38,1,113,358
10006,"St. John's East/St. John's-Est"," 124","St. John's",10,2,54,36,1,103,333
10006,"St. John's East/St. John's-Est"," 125","St. John's",19,2,74,45,1,141,426
10006,"St. John's East/St. John's-Est"," 126","St. John's",15,3,70,62,0,150,391
10006,"St. John's East/St. John's-Est"," 127","Wabana",27,2,15,17,1,62,299
10006,"St. John's East/St. John's-Est"," 128","Wabana",26,3,14,10,2,55,224
10006,"St. John's East/St. John's-Est"," 129","Wabana",12,2,14,15,0,43,296
10006,"St. John's East/St. John's-Est"," 130","Wabana",22,24,15,5,0,66,304
10006,"St. John's East/St. John's-Est"," 131","St. John's",39,4,81,90,0,214,507
10006,"St. John's East/St. John's-Est"," 132","St. John's",19,7,84,61,0,171,532
10006,"St. John's East/St. John's-Est"," 133","St. John's",21,5,81,60,0,167,508
10006,"St. John's East/St. John's-Est"," 134","St. John's",59,2,78,83,0,222,591
10006,"St. John's East/St. John's-Est"," 135","St. John's",53,7,95,96,0,251,688
10006,"St. John's East/St. John's-Est"," 136","Portugal Cove-St. Philip's",52,3,53,87,0,195,553
10006,"St. John's East/St. John's-Est"," 137","Portugal Cove-St. Philip's",38,3,51,75,1,168,493
10006,"St. John's East/St. John's-Est"," 138","Portugal Cove-St. Philip's",47,7,58,76,1,189,499
10006,"St. John's East/St. John's-Est"," 139","Portugal Cove-St. Philip's",33,6,38,55,0,132,446
