Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Florence Gagnon,Manon Girard,Simon King,Jacinthe Lafrenaye,Mildred Murray,Boukare Tall,Denis Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 118","Longueuil",84,0,11,1,19,30,83,3,231,501
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 119","Longueuil",71,3,5,0,21,17,72,3,192,502
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 120","Longueuil",59,5,2,3,15,11,32,3,130,567
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 121","Longueuil",79,1,6,0,13,9,51,3,162,363
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 122","Longueuil",46,6,13,1,8,15,53,2,144,350
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 123","Longueuil",36,3,4,1,6,5,36,7,98,410
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 124","Longueuil",53,6,3,0,9,7,46,1,125,393
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 125","Longueuil",73,6,3,0,15,4,48,2,151,437
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 126","Longueuil",38,2,3,0,5,5,32,2,87,318
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 127","Longueuil",38,4,3,0,20,12,31,4,112,428
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 128","Longueuil",41,0,4,1,14,6,48,2,116,389
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 129","Longueuil",56,8,2,0,18,9,34,1,128,373
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 130","Longueuil",54,3,6,0,11,9,32,1,116,360
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 131","Longueuil",63,5,2,1,9,6,33,4,123,395
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 132","Longueuil",38,0,7,0,19,4,50,3,121,381
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 133","Longueuil",45,1,5,0,15,0,64,4,134,401
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 134","Longueuil",52,3,7,3,12,7,37,2,123,377
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 135","Longueuil",52,6,12,0,28,7,66,1,172,443
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 136","Longueuil",65,4,9,0,23,6,72,3,182,489
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 137","Longueuil",31,2,2,1,13,4,38,3,94,366
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 138","Longueuil",69,3,7,0,11,6,55,0,151,432
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 139","Longueuil",55,9,5,0,10,17,43,2,141,420
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 140","Longueuil",74,4,2,2,15,7,66,4,174,498
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 141","Longueuil",111,8,3,1,27,35,107,2,294,640
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 142","Longueuil",75,11,6,0,17,11,40,5,165,496
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 143","Longueuil",60,5,1,1,19,9,87,4,186,555
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 144","Longueuil",56,6,7,0,21,10,52,3,155,477
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 145","Longueuil",72,2,3,3,4,15,45,3,147,561
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 146","Longueuil",27,4,9,1,20,5,35,6,107,325
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 147","Longueuil",44,0,6,0,17,5,75,0,147,322
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 148","Longueuil",46,2,11,0,16,5,62,6,148,450
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 149","Longueuil",65,1,15,2,43,10,85,0,221,460
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 150","Longueuil",52,0,19,0,28,8,94,4,205,539
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 151","Longueuil",49,7,2,2,13,12,67,7,159,536
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 152","Longueuil",86,15,8,2,19,13,91,7,241,516
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 153","Longueuil",54,4,8,2,21,7,51,4,151,494
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 154","Longueuil",51,5,4,1,19,18,60,1,159,455
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 155","Longueuil",64,2,3,0,18,23,65,5,180,521
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 156","Longueuil",60,5,2,0,17,10,54,3,151,385
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 157","Longueuil",36,5,3,2,11,9,44,1,111,368
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 158","Longueuil",59,7,4,2,18,7,52,5,154,417
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 159","Longueuil",63,6,8,0,12,5,57,4,155,378
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 160","Longueuil",75,9,8,1,31,14,69,3,210,508
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 161","Longueuil",64,3,4,2,19,6,58,4,160,404
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 162","Longueuil",60,12,4,1,27,15,64,2,185,600
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 163","Longueuil",89,8,5,1,26,7,80,4,220,535
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 164","Longueuil",80,3,5,0,19,12,58,1,178,496
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 165","Longueuil",66,2,4,3,16,12,35,3,141,427
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 166","Longueuil",64,2,4,0,11,7,57,3,148,367
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 167","Longueuil",89,6,2,0,16,14,77,5,209,489
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 168","Longueuil",60,10,4,2,20,11,109,3,219,716
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 169","Longueuil",90,4,12,2,25,11,54,6,204,503
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 170","Longueuil",41,5,6,1,14,17,56,4,144,449
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 171","Longueuil",54,13,9,1,8,17,66,5,173,444
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 172","Longueuil",60,3,6,1,16,16,55,6,163,424
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 173","Longueuil",68,5,3,1,11,14,40,0,142,395
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 174","Longueuil",52,3,5,1,15,7,66,1,150,425
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 175","Longueuil",92,5,8,0,18,14,58,5,200,425
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 176","Longueuil",76,4,7,1,14,7,59,3,171,382
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 177","Longueuil",62,4,14,4,23,13,53,3,176,460
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 178","Longueuil",62,11,3,1,19,7,54,0,157,500
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 179","Longueuil",64,6,5,0,16,21,64,3,179,459
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 180","Longueuil",51,11,4,0,12,17,66,3,164,410
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 181","Longueuil",71,1,5,0,14,15,57,5,168,395
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 182","Longueuil",45,4,4,1,17,14,60,5,150,367
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 183","Longueuil",61,7,13,2,18,18,75,10,204,499
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 184","Longueuil",61,4,3,0,17,8,37,2,132,437
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 185","Longueuil",40,7,4,1,14,10,64,2,142,406
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 186","Longueuil",47,11,3,0,19,15,53,5,153,363
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 187","Longueuil",76,6,5,1,24,18,57,0,187,506
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 188","Longueuil",61,8,4,1,25,14,68,0,181,493
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 189","Longueuil",57,10,10,4,10,10,65,5,171,494
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 190","Longueuil",61,9,3,1,10,14,61,2,161,495
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 191","Longueuil",56,3,10,1,22,19,95,1,207,470
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 400","Longueuil",73,2,1,1,2,4,58,8,149,181
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 401","Longueuil",178,3,1,6,2,18,108,25,341,483
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 402","Longueuil",110,5,1,4,2,15,86,19,242,312
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 403","Longueuil",144,1,2,8,3,20,104,18,300,368
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 500","Longueuil",Merged with No./Fusionné avec le n°16,,,,,,,,,5
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 501","Mobile poll/Bureau itinérant",25,0,1,0,0,0,10,3,39,136
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 502","Mobile poll/Bureau itinérant",5,0,0,1,1,4,0,0,11,27
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 503","Longueuil",Merged with No./Fusionné avec le n°95,,,,,,,,,14
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 504","Mobile poll/Bureau itinérant",54,0,0,1,1,2,5,2,65,108
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 505","Mobile poll/Bureau itinérant",60,4,4,2,1,5,41,9,126,201
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 506","Mobile poll/Bureau itinérant",4,0,0,0,0,1,10,0,15,98
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 507","Mobile poll/Bureau itinérant",4,1,0,1,0,0,4,2,12,28
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 508","Mobile poll/Bureau itinérant",14,0,1,0,0,1,8,5,29,57
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 509","Longueuil",Merged with No./Fusionné avec le n°137,,,,,,,,,10
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 510","Mobile poll/Bureau itinérant",Results combined with no. 105/Résultats combinés au n° 105,,,,,,,,,1
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 511","Mobile poll/Bureau itinérant",2,0,0,0,2,0,2,0,6,6
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 512","Mobile poll/Bureau itinérant",11,1,0,0,1,1,10,1,25,55
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 513","Mobile poll/Bureau itinérant",16,1,0,1,0,4,6,3,31,96
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 514","Mobile poll/Bureau itinérant",18,0,0,0,0,0,8,1,27,102
