Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jordan Craig Larouche,Emma Elbourne-Weinstock,Sam Fairbrother,David Freiheit,Marc Garneau,Rachel Hoffman,Mathew Kaminski,Geofryde Wandji,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 400","Westmount",9,11,1,8,74,0,19,0,3,125,456
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 401","Westmount",6,12,6,0,124,0,52,0,4,204,394
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 402","Montréal",3,12,4,0,82,1,7,0,1,110,183
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 403","Montréal",1,9,0,6,40,0,8,0,0,64,357
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 404","Montréal",1,23,2,4,42,0,5,0,0,77,256
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 500","Mobile poll/Bureau itinérant",0,1,0,0,21,1,2,0,1,26,63
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 501","Mobile poll/Bureau itinérant",0,3,3,1,73,0,14,0,2,96,132
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 502","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 503","Mobile poll/Bureau itinérant",3,1,1,0,39,1,4,0,0,49,78
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 504","Mobile poll/Bureau itinérant",1,1,0,0,23,1,6,0,3,35,87
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 505","Mobile poll/Bureau itinérant",5,2,1,1,77,0,0,0,0,86,107
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 506","Mobile poll/Bureau itinérant",2,2,0,1,26,0,3,1,2,37,61
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 507","Mobile poll/Bureau itinérant",2,2,0,1,32,1,1,0,1,40,121
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 508","Mobile poll/Bureau itinérant",1,3,2,2,35,0,4,1,2,50,119
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 509","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 510","Mobile poll/Bureau itinérant",0,0,2,1,21,0,2,2,0,28,68
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 511","Montréal",Merged with No./Fusionné avec le n°131,,,,,,,,,,7
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 512","Mobile poll/Bureau itinérant",3,3,2,0,42,1,4,0,4,59,76
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 600","Westmount",39,41,32,13,354,1,265,0,2,747,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 601","Westmount",23,99,21,23,576,0,272,1,10,1025,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 602","Westmount",41,132,43,22,651,2,276,0,4,1171,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 603","Westmount",39,147,47,29,658,1,179,0,5,1105,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 604","Montréal",64,102,16,18,375,2,104,1,3,685,
