Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melissa Coenraad,Jennifer McAndrew,Scott Miller,Jennifer Purdy,Jenna Sudds,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35041,"Kanata--Carleton/Kanata--Carleton"," 31","Ottawa",33,60,3,8,115,1,220,517
35041,"Kanata--Carleton/Kanata--Carleton"," 32","Ottawa",35,40,10,5,89,3,182,466
35041,"Kanata--Carleton/Kanata--Carleton"," 33","Ottawa",31,52,8,9,91,2,193,416
35041,"Kanata--Carleton/Kanata--Carleton"," 34","Ottawa",26,58,3,4,97,5,193,534
35041,"Kanata--Carleton/Kanata--Carleton"," 35","Ottawa",23,37,5,5,63,0,133,355
35041,"Kanata--Carleton/Kanata--Carleton"," 36","Kanata",Void/Supprimé,,,,,,,
35041,"Kanata--Carleton/Kanata--Carleton"," 37A","Ottawa",35,50,4,3,84,0,176,469
35041,"Kanata--Carleton/Kanata--Carleton"," 37B","Ottawa",15,54,3,3,91,0,166,456
35041,"Kanata--Carleton/Kanata--Carleton"," 38A","Ottawa",20,40,5,6,60,0,131,392
35041,"Kanata--Carleton/Kanata--Carleton"," 38B","Ottawa",14,44,1,3,65,0,127,346
35041,"Kanata--Carleton/Kanata--Carleton"," 39","Kanata",Void/Supprimé,,,,,,,
35041,"Kanata--Carleton/Kanata--Carleton"," 40","Ottawa",35,53,11,5,115,0,219,476
35041,"Kanata--Carleton/Kanata--Carleton"," 41","Ottawa",29,49,3,5,100,1,187,389
35041,"Kanata--Carleton/Kanata--Carleton"," 42","Ottawa",23,39,3,3,100,3,171,386
35041,"Kanata--Carleton/Kanata--Carleton"," 43","Ottawa",37,51,9,4,127,0,228,504
35041,"Kanata--Carleton/Kanata--Carleton"," 44","Ottawa",29,67,2,7,107,2,214,454
35041,"Kanata--Carleton/Kanata--Carleton"," 45","Ottawa",33,61,5,3,79,0,181,409
35041,"Kanata--Carleton/Kanata--Carleton"," 46","Ottawa",18,35,4,7,84,1,149,422
35041,"Kanata--Carleton/Kanata--Carleton"," 47","Ottawa",23,41,7,2,75,1,149,394
35041,"Kanata--Carleton/Kanata--Carleton"," 48","Ottawa",35,78,3,8,98,1,223,347
35041,"Kanata--Carleton/Kanata--Carleton"," 49","Ottawa",12,51,3,3,53,0,122,392
35041,"Kanata--Carleton/Kanata--Carleton"," 50","Ottawa",9,52,0,2,58,0,121,332
35041,"Kanata--Carleton/Kanata--Carleton"," 51","Ottawa",27,123,4,11,114,1,280,611
35041,"Kanata--Carleton/Kanata--Carleton"," 52","Ottawa",17,100,2,6,92,0,217,511
35041,"Kanata--Carleton/Kanata--Carleton"," 53","Ottawa",14,64,2,7,58,0,145,489
35041,"Kanata--Carleton/Kanata--Carleton"," 54","Ottawa",19,65,7,6,55,0,152,511
35041,"Kanata--Carleton/Kanata--Carleton"," 55","Ottawa",22,61,9,3,63,0,158,414
35041,"Kanata--Carleton/Kanata--Carleton"," 56","Ottawa",38,72,6,3,44,0,163,499
35041,"Kanata--Carleton/Kanata--Carleton"," 57","Ottawa",50,200,13,5,132,1,401,648
35041,"Kanata--Carleton/Kanata--Carleton"," 58","Ottawa",47,44,5,9,59,0,164,517
35041,"Kanata--Carleton/Kanata--Carleton"," 59","Ottawa",24,30,6,9,64,0,133,402
35041,"Kanata--Carleton/Kanata--Carleton"," 60","Ottawa",14,24,0,2,60,0,100,278
35041,"Kanata--Carleton/Kanata--Carleton"," 61","Ottawa",19,28,1,10,47,0,105,368
35041,"Kanata--Carleton/Kanata--Carleton"," 62","Ottawa",19,17,2,2,29,0,69,210
35041,"Kanata--Carleton/Kanata--Carleton"," 63","Ottawa",9,32,2,9,39,0,91,332
35041,"Kanata--Carleton/Kanata--Carleton"," 64","Ottawa",16,48,0,4,72,1,141,395
35041,"Kanata--Carleton/Kanata--Carleton"," 65","Ottawa",17,32,0,2,65,0,116,446
35041,"Kanata--Carleton/Kanata--Carleton"," 66A","Ottawa",20,62,1,3,73,0,159,473
35041,"Kanata--Carleton/Kanata--Carleton"," 66B","Mobile poll/Bureau itinérant",4,17,1,1,13,1,37,74
35041,"Kanata--Carleton/Kanata--Carleton"," 67","Ottawa",36,48,10,5,44,0,143,574
35041,"Kanata--Carleton/Kanata--Carleton"," 68","Ottawa",31,45,2,7,86,0,171,449
35041,"Kanata--Carleton/Kanata--Carleton"," 69","Ottawa",13,36,1,2,67,1,120,445
35041,"Kanata--Carleton/Kanata--Carleton"," 70","Ottawa",12,43,2,4,65,2,128,323
35041,"Kanata--Carleton/Kanata--Carleton"," 71","Ottawa",17,33,10,3,63,0,126,373
35041,"Kanata--Carleton/Kanata--Carleton"," 72","Ottawa",9,38,3,0,37,1,88,452
35041,"Kanata--Carleton/Kanata--Carleton"," 73","Ottawa",19,37,5,6,43,0,110,385
35041,"Kanata--Carleton/Kanata--Carleton"," 74","Ottawa",26,34,2,3,59,1,125,379
35041,"Kanata--Carleton/Kanata--Carleton"," 75","Ottawa",21,31,4,4,51,5,116,386
35041,"Kanata--Carleton/Kanata--Carleton"," 76","Ottawa",27,110,6,5,198,1,347,775
35041,"Kanata--Carleton/Kanata--Carleton"," 77","Ottawa",25,49,5,4,71,1,155,403
35041,"Kanata--Carleton/Kanata--Carleton"," 78","Ottawa",26,62,5,6,124,1,224,539
35041,"Kanata--Carleton/Kanata--Carleton"," 79","Ottawa",20,54,8,2,90,0,174,406
35041,"Kanata--Carleton/Kanata--Carleton"," 80","Ottawa",14,26,5,3,75,1,124,276
35041,"Kanata--Carleton/Kanata--Carleton"," 81","Ottawa",11,57,8,5,73,3,157,403
35041,"Kanata--Carleton/Kanata--Carleton"," 82","Ottawa",23,89,2,5,101,1,221,536
35041,"Kanata--Carleton/Kanata--Carleton"," 83","Ottawa",37,69,8,5,120,1,240,697
35041,"Kanata--Carleton/Kanata--Carleton"," 84","Ottawa",15,45,1,6,84,1,152,476
35041,"Kanata--Carleton/Kanata--Carleton"," 85","Ottawa",13,36,5,5,45,1,105,329
35041,"Kanata--Carleton/Kanata--Carleton"," 86","Ottawa",9,29,3,0,47,1,89,336
35041,"Kanata--Carleton/Kanata--Carleton"," 87","Ottawa",11,21,7,2,41,0,82,416
35041,"Kanata--Carleton/Kanata--Carleton"," 88","Ottawa",9,24,5,2,32,0,72,391
35041,"Kanata--Carleton/Kanata--Carleton"," 89","West Carleton",Void/Supprimé,,,,,,,
35041,"Kanata--Carleton/Kanata--Carleton"," 90","Ottawa",27,100,7,8,56,1,199,577
35041,"Kanata--Carleton/Kanata--Carleton"," 91A","Ottawa",22,101,3,7,32,0,165,380
35041,"Kanata--Carleton/Kanata--Carleton"," 91B","Ottawa",16,69,6,6,34,0,131,319
35041,"Kanata--Carleton/Kanata--Carleton"," 92","Ottawa",49,58,3,8,63,0,181,353
35041,"Kanata--Carleton/Kanata--Carleton"," 93","Ottawa",35,47,15,12,81,0,190,470
35041,"Kanata--Carleton/Kanata--Carleton"," 94","Ottawa",57,51,17,6,62,0,193,427
35041,"Kanata--Carleton/Kanata--Carleton"," 95","Ottawa",32,27,12,4,54,0,129,335
35041,"Kanata--Carleton/Kanata--Carleton"," 96A","Ottawa",34,44,4,3,51,0,136,322
35041,"Kanata--Carleton/Kanata--Carleton"," 96B","Ottawa",20,31,2,2,50,0,105,298
35041,"Kanata--Carleton/Kanata--Carleton"," 97","Kanata",Void/Supprimé,,,,,,,
35041,"Kanata--Carleton/Kanata--Carleton"," 98","Ottawa",26,38,13,11,67,3,158,458
35041,"Kanata--Carleton/Kanata--Carleton"," 99A","Ottawa",38,53,8,3,89,3,194,795
35041,"Kanata--Carleton/Kanata--Carleton"," 99B","Mobile poll/Bureau itinérant",4,23,2,1,17,1,48,94
35041,"Kanata--Carleton/Kanata--Carleton"," 100","Ottawa",32,55,4,8,55,0,154,428
35041,"Kanata--Carleton/Kanata--Carleton"," 101","Ottawa",28,58,6,5,57,7,161,454
35041,"Kanata--Carleton/Kanata--Carleton"," 102","Ottawa",44,102,2,12,61,0,221,436
35041,"Kanata--Carleton/Kanata--Carleton"," 103","Ottawa",38,171,31,7,45,0,292,474
35041,"Kanata--Carleton/Kanata--Carleton"," 104","Ottawa",39,162,12,12,72,0,297,514
35041,"Kanata--Carleton/Kanata--Carleton"," 105","Ottawa",26,44,5,4,67,0,146,344
35041,"Kanata--Carleton/Kanata--Carleton"," 106","Ottawa",20,49,1,3,43,2,118,338
35041,"Kanata--Carleton/Kanata--Carleton"," 107","Ottawa",26,61,0,8,85,0,180,409
35041,"Kanata--Carleton/Kanata--Carleton"," 108","Ottawa",33,76,7,11,73,1,201,447
35041,"Kanata--Carleton/Kanata--Carleton"," 109","Ottawa",22,64,2,5,85,1,179,398
35041,"Kanata--Carleton/Kanata--Carleton"," 110","Ottawa",26,56,4,8,81,0,175,408
35041,"Kanata--Carleton/Kanata--Carleton"," 111","Ottawa",37,52,4,6,96,0,195,468
35041,"Kanata--Carleton/Kanata--Carleton"," 112","Ottawa",12,32,1,2,40,0,87,394
35041,"Kanata--Carleton/Kanata--Carleton"," 113","Ottawa",16,26,2,2,31,0,77,377
35041,"Kanata--Carleton/Kanata--Carleton"," 114","Kanata",Void/Supprimé,,,,,,,
35041,"Kanata--Carleton/Kanata--Carleton"," 115","Ottawa",34,45,5,8,82,1,175,419
35041,"Kanata--Carleton/Kanata--Carleton"," 116A","Ottawa",26,45,8,4,50,0,133,346
35041,"Kanata--Carleton/Kanata--Carleton"," 116B","Ottawa",25,41,9,5,48,4,132,358
35041,"Kanata--Carleton/Kanata--Carleton"," 117","Ottawa",51,46,2,11,60,0,170,435
35041,"Kanata--Carleton/Kanata--Carleton"," 118","Kanata",Void/Supprimé,,,,,,,
35041,"Kanata--Carleton/Kanata--Carleton"," 119A","Ottawa",37,68,3,7,51,1,167,332
35041,"Kanata--Carleton/Kanata--Carleton"," 119B","Ottawa",31,50,2,6,55,1,145,318
35041,"Kanata--Carleton/Kanata--Carleton"," 120","Ottawa",32,47,14,4,77,0,174,398
35041,"Kanata--Carleton/Kanata--Carleton"," 121","Ottawa",22,43,2,8,48,1,124,320
35041,"Kanata--Carleton/Kanata--Carleton"," 122","Ottawa",12,34,3,4,32,1,86,300
35041,"Kanata--Carleton/Kanata--Carleton"," 123","Ottawa",10,19,2,1,38,0,70,372
35041,"Kanata--Carleton/Kanata--Carleton"," 124","Ottawa",19,19,1,2,47,4,92,362
35041,"Kanata--Carleton/Kanata--Carleton"," 125","Ottawa",12,34,0,1,66,1,114,394
35041,"Kanata--Carleton/Kanata--Carleton"," 126","Ottawa",19,40,5,5,63,1,133,389
35041,"Kanata--Carleton/Kanata--Carleton"," 127","Ottawa",16,45,4,8,74,0,147,438
35041,"Kanata--Carleton/Kanata--Carleton"," 128","Ottawa",44,82,10,3,126,0,265,632
35041,"Kanata--Carleton/Kanata--Carleton"," 129","Ottawa",13,27,5,1,48,0,94,328
35041,"Kanata--Carleton/Kanata--Carleton"," 130","Ottawa",19,41,3,6,52,0,121,383
35041,"Kanata--Carleton/Kanata--Carleton"," 131","Ottawa",29,41,17,7,69,0,163,414
35041,"Kanata--Carleton/Kanata--Carleton"," 132","Ottawa",24,64,4,5,5,0,102,377
35041,"Kanata--Carleton/Kanata--Carleton"," 133","Ottawa",23,41,3,5,66,2,140,381
35041,"Kanata--Carleton/Kanata--Carleton"," 134","Ottawa",30,41,6,3,76,3,159,437
35041,"Kanata--Carleton/Kanata--Carleton"," 135","Ottawa",41,45,10,5,72,4,177,415
35041,"Kanata--Carleton/Kanata--Carleton"," 136","Ottawa",38,44,7,3,61,0,153,438
35041,"Kanata--Carleton/Kanata--Carleton"," 137","Ottawa",25,41,6,3,49,0,124,407
35041,"Kanata--Carleton/Kanata--Carleton"," 138","Ottawa",16,35,2,6,53,0,112,373
35041,"Kanata--Carleton/Kanata--Carleton"," 139","Ottawa",36,50,4,4,59,0,153,440
35041,"Kanata--Carleton/Kanata--Carleton"," 140","Ottawa",24,59,2,3,71,1,160,311
35041,"Kanata--Carleton/Kanata--Carleton"," 141","Ottawa",27,50,3,5,53,2,140,361
35041,"Kanata--Carleton/Kanata--Carleton"," 142","Ottawa",20,48,4,5,45,0,122,367
35041,"Kanata--Carleton/Kanata--Carleton"," 143","Ottawa",44,56,0,8,84,0,192,490
35041,"Kanata--Carleton/Kanata--Carleton"," 144","Ottawa",31,43,6,6,56,0,142,461
35041,"Kanata--Carleton/Kanata--Carleton"," 145","Ottawa",40,45,10,2,59,0,156,454
35041,"Kanata--Carleton/Kanata--Carleton"," 146","Ottawa",53,61,10,2,76,0,202,577
35041,"Kanata--Carleton/Kanata--Carleton"," 147","Ottawa",25,50,2,2,103,1,183,467
35041,"Kanata--Carleton/Kanata--Carleton"," 148","Ottawa",23,29,4,4,63,1,124,549
35041,"Kanata--Carleton/Kanata--Carleton"," 149A","Ottawa",35,60,7,2,71,0,175,308
35041,"Kanata--Carleton/Kanata--Carleton"," 149B","Ottawa",14,21,6,5,24,0,70,327
35041,"Kanata--Carleton/Kanata--Carleton"," 150","Kanata",Void/Supprimé,,,,,,,
35041,"Kanata--Carleton/Kanata--Carleton"," 151","Ottawa",15,38,5,2,47,1,108,337
35041,"Kanata--Carleton/Kanata--Carleton"," 152","Ottawa",33,57,7,6,75,0,178,399
35041,"Kanata--Carleton/Kanata--Carleton"," 153","Ottawa",25,55,2,4,39,1,126,403
35041,"Kanata--Carleton/Kanata--Carleton"," 154","Ottawa",47,53,9,5,49,0,163,415
35041,"Kanata--Carleton/Kanata--Carleton"," 155","Ottawa",42,58,8,2,66,2,178,376
35041,"Kanata--Carleton/Kanata--Carleton"," 156","Ottawa",42,51,7,4,57,3,164,365
35041,"Kanata--Carleton/Kanata--Carleton"," 157","Ottawa",43,63,4,6,80,2,198,448
35041,"Kanata--Carleton/Kanata--Carleton"," 158","Ottawa",34,57,7,6,73,0,177,423
35041,"Kanata--Carleton/Kanata--Carleton"," 159","Ottawa",38,45,9,5,58,1,156,443
35041,"Kanata--Carleton/Kanata--Carleton"," 160","Ottawa",46,76,13,6,114,1,256,640
35041,"Kanata--Carleton/Kanata--Carleton"," 161","Ottawa",36,72,11,9,103,0,231,601
35041,"Kanata--Carleton/Kanata--Carleton"," 162","Ottawa",38,64,3,5,85,0,195,410
35041,"Kanata--Carleton/Kanata--Carleton"," 163","Ottawa",44,83,11,8,127,2,275,645
35041,"Kanata--Carleton/Kanata--Carleton"," 164","Ottawa",54,99,8,6,116,0,283,740
35041,"Kanata--Carleton/Kanata--Carleton"," 165","Ottawa",33,52,6,5,65,0,161,439
35041,"Kanata--Carleton/Kanata--Carleton"," 166","Ottawa",44,64,6,3,90,1,208,468
35041,"Kanata--Carleton/Kanata--Carleton"," 167","Ottawa",39,63,7,2,139,3,253,654
35041,"Kanata--Carleton/Kanata--Carleton"," 168","Ottawa",19,64,10,2,83,1,179,375
35041,"Kanata--Carleton/Kanata--Carleton"," 169","Ottawa",14,34,5,4,47,0,104,341
35041,"Kanata--Carleton/Kanata--Carleton"," 170","Ottawa",29,59,12,4,49,2,155,345
35041,"Kanata--Carleton/Kanata--Carleton"," 171","Ottawa",36,82,13,7,62,1,201,513
35041,"Kanata--Carleton/Kanata--Carleton"," 172","Ottawa",43,58,6,9,77,2,195,505
35041,"Kanata--Carleton/Kanata--Carleton"," 173","Ottawa",72,64,5,7,60,5,213,402
35041,"Kanata--Carleton/Kanata--Carleton"," 174","Ottawa",40,54,7,8,120,0,229,627
35041,"Kanata--Carleton/Kanata--Carleton"," 175","Ottawa",26,41,8,7,74,1,157,406
35041,"Kanata--Carleton/Kanata--Carleton"," 176","Ottawa",26,47,4,5,77,0,159,519
35041,"Kanata--Carleton/Kanata--Carleton"," 177","Ottawa",33,63,11,5,75,2,189,449
35041,"Kanata--Carleton/Kanata--Carleton"," 178","Ottawa",36,60,4,4,77,1,182,414
35041,"Kanata--Carleton/Kanata--Carleton"," 179","Ottawa",26,54,1,3,83,0,167,421
35041,"Kanata--Carleton/Kanata--Carleton"," 180","Ottawa",22,63,6,5,73,0,169,424
35041,"Kanata--Carleton/Kanata--Carleton"," 181","Ottawa",42,40,6,4,63,0,155,389
35041,"Kanata--Carleton/Kanata--Carleton"," 182","Ottawa",33,57,6,2,85,1,184,444
35041,"Kanata--Carleton/Kanata--Carleton"," 183","Ottawa",24,47,3,1,55,1,131,324
35041,"Kanata--Carleton/Kanata--Carleton"," 184","Ottawa",57,84,7,5,133,3,289,733
35041,"Kanata--Carleton/Kanata--Carleton"," 185","Ottawa",43,129,10,13,186,1,382,896
35041,"Kanata--Carleton/Kanata--Carleton"," 186","Ottawa",21,97,3,8,67,0,196,465
35041,"Kanata--Carleton/Kanata--Carleton"," 187","Ottawa",23,35,3,7,48,0,116,451
35041,"Kanata--Carleton/Kanata--Carleton"," 188","Ottawa",49,71,12,4,112,2,250,487
35041,"Kanata--Carleton/Kanata--Carleton"," 189","Ottawa",65,95,3,6,123,3,295,595
35041,"Kanata--Carleton/Kanata--Carleton"," 190","Ottawa",19,54,1,3,32,0,109,402
35041,"Kanata--Carleton/Kanata--Carleton"," 191","Ottawa",14,27,2,2,27,0,72,432
35041,"Kanata--Carleton/Kanata--Carleton"," 192","Ottawa",18,106,13,4,39,1,181,512
35041,"Kanata--Carleton/Kanata--Carleton"," 193","Ottawa",14,40,6,2,31,0,93,396
35041,"Kanata--Carleton/Kanata--Carleton"," 194","Ottawa",40,140,11,7,78,2,278,380
35041,"Kanata--Carleton/Kanata--Carleton"," 195","Ottawa",Merged with No./Fusionné avec le n°194,,,,,,,403
35041,"Kanata--Carleton/Kanata--Carleton"," 196","Ottawa",Merged with No./Fusionné avec le n°57,,,,,,,407
35041,"Kanata--Carleton/Kanata--Carleton"," 400","Ottawa",19,107,2,7,111,0,246,181
35041,"Kanata--Carleton/Kanata--Carleton"," 401","Ottawa",Merged with No./Fusionné avec le n°400,,,,,,,180
35041,"Kanata--Carleton/Kanata--Carleton"," 402","Ottawa",Merged with No./Fusionné avec le n°400,,,,,,,175
35041,"Kanata--Carleton/Kanata--Carleton"," 403","Ottawa",Void/Supprimé,,,,,,,
35041,"Kanata--Carleton/Kanata--Carleton"," 500","Mobile poll/Bureau itinérant",1,7,0,0,5,1,14,25
35041,"Kanata--Carleton/Kanata--Carleton"," 501","Mobile poll/Bureau itinérant",3,18,1,1,14,1,38,76
35041,"Kanata--Carleton/Kanata--Carleton"," 502","Mobile poll/Bureau itinérant",1,7,0,0,5,1,14,28
35041,"Kanata--Carleton/Kanata--Carleton"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°66A,,,,,,,62
35041,"Kanata--Carleton/Kanata--Carleton"," 504","Mobile poll/Bureau itinérant",6,36,3,2,28,1,76,149
35041,"Kanata--Carleton/Kanata--Carleton"," 505","Mobile poll/Bureau itinérant",7,40,4,3,31,1,86,161
35041,"Kanata--Carleton/Kanata--Carleton"," 506","Mobile poll/Bureau itinérant",3,16,1,1,12,1,34,60
35041,"Kanata--Carleton/Kanata--Carleton"," 507","Mobile poll/Bureau itinérant",3,16,1,1,12,1,34,63
35041,"Kanata--Carleton/Kanata--Carleton"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°154,,,,,,,85
35041,"Kanata--Carleton/Kanata--Carleton"," 509","Mobile poll/Bureau itinérant",6,31,2,3,24,1,67,122
35041,"Kanata--Carleton/Kanata--Carleton"," 510","Mobile poll/Bureau itinérant",7,42,3,3,31,1,87,162
35041,"Kanata--Carleton/Kanata--Carleton"," 600","Ottawa",74,406,20,37,277,2,816,
35041,"Kanata--Carleton/Kanata--Carleton"," 601","Ottawa",36,400,20,11,238,3,708,
35041,"Kanata--Carleton/Kanata--Carleton"," 602","Ottawa",68,448,19,8,199,1,743,
35041,"Kanata--Carleton/Kanata--Carleton"," 603","Ottawa",81,599,24,23,370,9,1106,
35041,"Kanata--Carleton/Kanata--Carleton"," 604","Ottawa",62,185,19,6,259,4,535,
35041,"Kanata--Carleton/Kanata--Carleton"," 605","Ottawa",66,202,12,8,264,3,555,
35041,"Kanata--Carleton/Kanata--Carleton"," 606","Ottawa",63,372,17,28,425,2,907,
35041,"Kanata--Carleton/Kanata--Carleton"," 607","Ottawa",62,229,7,5,335,4,642,
35041,"Kanata--Carleton/Kanata--Carleton"," 608","Ottawa",119,692,16,29,698,17,1571,
35041,"Kanata--Carleton/Kanata--Carleton"," 609","Ottawa",95,262,11,20,305,3,696,
35041,"Kanata--Carleton/Kanata--Carleton"," 610","Ottawa",106,310,14,22,297,3,752,
35041,"Kanata--Carleton/Kanata--Carleton"," 611","Ottawa",114,350,9,14,373,1,861,
35041,"Kanata--Carleton/Kanata--Carleton"," 612","Ottawa",125,432,29,21,344,2,953,
35041,"Kanata--Carleton/Kanata--Carleton"," 613","Ottawa",84,303,22,12,361,3,785,
35041,"Kanata--Carleton/Kanata--Carleton"," 614","Ottawa",80,175,17,10,213,3,498,
35041,"Kanata--Carleton/Kanata--Carleton"," 615","Ottawa",69,439,31,16,224,3,782,
35041,"Kanata--Carleton/Kanata--Carleton"," 616","Ottawa",68,431,37,15,168,0,719,
35041,"Kanata--Carleton/Kanata--Carleton"," 617","Ottawa",94,489,48,22,274,5,932,
35041,"Kanata--Carleton/Kanata--Carleton"," 618","Ottawa",63,384,9,21,452,4,933,
35041,"Kanata--Carleton/Kanata--Carleton"," 619","Ottawa",69,225,11,9,338,2,654,
35041,"Kanata--Carleton/Kanata--Carleton"," 620","Ottawa",78,230,21,10,308,10,657,
35041,"Kanata--Carleton/Kanata--Carleton"," 621","Ottawa",84,358,15,31,419,4,911,
35041,"Kanata--Carleton/Kanata--Carleton"," 622","Ottawa",74,376,24,23,474,2,973,
35041,"Kanata--Carleton/Kanata--Carleton"," 623","Ottawa",69,153,11,7,163,1,404,
35041,"Kanata--Carleton/Kanata--Carleton"," 624","Ottawa",109,320,21,11,334,2,797,
35041,"Kanata--Carleton/Kanata--Carleton"," 625","Ottawa",129,306,28,22,253,1,739,
35041,"Kanata--Carleton/Kanata--Carleton"," 626","Ottawa",97,258,32,11,295,4,697,
35041,"Kanata--Carleton/Kanata--Carleton"," 627","Ottawa",88,457,14,22,448,4,1033,
35041,"Kanata--Carleton/Kanata--Carleton"," 628","Ottawa",92,246,28,15,313,0,694,
35041,"Kanata--Carleton/Kanata--Carleton"," 629","Ottawa",109,288,20,21,326,1,765,
35041,"Kanata--Carleton/Kanata--Carleton",,Group 1/Groupe 1, 206,388,22,36,430,40,1122,361
35041,"Kanata--Carleton/Kanata--Carleton",,Group 2/Groupe 2, 676,1902,71,128,2590,59,5426,
