Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thomas Gagné,Marilène Gill,Bianca Girard,Nichola St-Jean,Rodrigue Vigneault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24046,"Manicouagan/Manicouagan"," 95","Sept-Îles",31,38,3,5,20,2,99,311
24046,"Manicouagan/Manicouagan"," 96","Sept-Îles",10,57,6,7,29,1,110,307
24046,"Manicouagan/Manicouagan"," 97","Sept-Îles",36,93,3,14,51,4,201,430
24046,"Manicouagan/Manicouagan"," 98","Sept-Îles",31,148,9,11,56,5,260,491
24046,"Manicouagan/Manicouagan"," 99","Sept-Îles",14,129,4,15,54,0,216,438
24046,"Manicouagan/Manicouagan"," 100","Sept-Îles",16,80,11,9,46,6,168,367
24046,"Manicouagan/Manicouagan"," 101","Sept-Îles",18,64,6,5,30,1,124,289
24046,"Manicouagan/Manicouagan"," 102","Sept-Îles",19,78,3,7,38,4,149,304
24046,"Manicouagan/Manicouagan"," 103","Sept-Îles",16,94,5,2,34,4,155,301
24046,"Manicouagan/Manicouagan"," 104","Baie-Comeau",8,29,2,1,17,2,59,195
24046,"Manicouagan/Manicouagan"," 105","Baie-Comeau",22,79,12,10,42,2,167,403
24046,"Manicouagan/Manicouagan"," 106","Baie-Comeau",26,90,6,8,28,2,160,393
24046,"Manicouagan/Manicouagan"," 107","Baie-Comeau",15,83,3,7,36,2,146,330
24046,"Manicouagan/Manicouagan"," 108","Baie-Comeau",15,60,7,5,28,4,119,354
24046,"Manicouagan/Manicouagan"," 109","Port-Cartier",15,70,5,3,25,3,121,440
24046,"Manicouagan/Manicouagan"," 110","Port-Cartier",15,69,2,6,31,3,126,363
24046,"Manicouagan/Manicouagan"," 111","Port-Cartier",15,77,4,11,38,0,145,423
24046,"Manicouagan/Manicouagan"," 112","Port-Cartier",12,76,5,2,11,3,109,369
24046,"Manicouagan/Manicouagan"," 113","Port-Cartier",15,31,1,2,16,3,68,344
24046,"Manicouagan/Manicouagan"," 114","Port-Cartier",9,54,2,4,35,1,105,369
24046,"Manicouagan/Manicouagan"," 115","Port-Cartier",13,67,1,0,37,1,119,406
24046,"Manicouagan/Manicouagan"," 116","Port-Cartier",9,77,5,4,25,1,121,435
24046,"Manicouagan/Manicouagan"," 117","Port-Cartier",10,52,0,8,40,3,113,374
24046,"Manicouagan/Manicouagan"," 118","Port-Cartier",12,85,3,5,33,1,139,374
24046,"Manicouagan/Manicouagan"," 119","Port-Cartier",24,82,2,8,36,2,154,375
24046,"Manicouagan/Manicouagan"," 120","Port-Cartier",24,48,3,8,44,5,132,382
24046,"Manicouagan/Manicouagan"," 121","Port-Cartier",16,78,1,3,15,3,116,242
24046,"Manicouagan/Manicouagan"," 122","Port-Cartier",16,37,1,1,19,2,76,174
24046,"Manicouagan/Manicouagan"," 123","Baie-Trinité",6,60,1,2,14,5,88,380
24046,"Manicouagan/Manicouagan"," 124","Godbout",18,71,3,1,10,4,107,246
24046,"Manicouagan/Manicouagan"," 125","Baie-Comeau",14,53,6,6,14,4,97,366
24046,"Manicouagan/Manicouagan"," 126","Baie-Comeau",20,56,3,5,23,2,109,318
24046,"Manicouagan/Manicouagan"," 127","Baie-Comeau",26,76,7,10,39,5,163,386
24046,"Manicouagan/Manicouagan"," 128","Baie-Comeau",27,80,7,6,40,4,164,440
24046,"Manicouagan/Manicouagan"," 129","Baie-Comeau",28,90,3,4,58,0,183,380
24046,"Manicouagan/Manicouagan"," 130","Baie-Comeau",26,89,0,12,49,1,177,378
24046,"Manicouagan/Manicouagan"," 131","Baie-Comeau",18,48,2,3,56,2,129,342
24046,"Manicouagan/Manicouagan"," 132","Baie-Comeau",28,118,8,6,47,8,215,515
24046,"Manicouagan/Manicouagan"," 133","Baie-Comeau",22,64,1,3,43,4,137,428
24046,"Manicouagan/Manicouagan"," 134","Baie-Comeau",17,43,0,1,15,2,78,296
24046,"Manicouagan/Manicouagan"," 135","Baie-Comeau",13,72,5,7,22,5,124,332
24046,"Manicouagan/Manicouagan"," 136","Baie-Comeau",15,50,1,12,23,2,103,316
24046,"Manicouagan/Manicouagan"," 137","Baie-Comeau",11,59,1,3,18,3,95,314
24046,"Manicouagan/Manicouagan"," 138","Baie-Comeau",14,55,1,1,27,2,100,315
24046,"Manicouagan/Manicouagan"," 139","Baie-Comeau",15,88,5,11,38,3,160,424
24046,"Manicouagan/Manicouagan"," 140","Baie-Comeau",18,72,2,8,34,7,141,433
24046,"Manicouagan/Manicouagan"," 141","Baie-Comeau",29,67,4,10,29,5,144,465
24046,"Manicouagan/Manicouagan"," 142","Baie-Comeau",27,86,1,13,54,5,186,420
24046,"Manicouagan/Manicouagan"," 143","Baie-Comeau",20,63,1,4,14,3,105,361
24046,"Manicouagan/Manicouagan"," 144","Baie-Comeau",9,80,1,7,17,1,115,348
24046,"Manicouagan/Manicouagan"," 145","Baie-Comeau",14,47,3,8,10,5,87,334
24046,"Manicouagan/Manicouagan"," 146","Baie-Comeau",14,79,5,2,27,2,129,373
24046,"Manicouagan/Manicouagan"," 147","Baie-Comeau",13,79,2,8,13,3,118,385
24046,"Manicouagan/Manicouagan"," 148","Baie-Comeau",25,56,5,2,40,8,136,395
24046,"Manicouagan/Manicouagan"," 149","Baie-Comeau",36,84,6,2,42,2,172,388
24046,"Manicouagan/Manicouagan"," 150","Baie-Comeau",26,88,7,11,21,3,156,379
24046,"Manicouagan/Manicouagan"," 151","Baie-Comeau",14,46,5,8,28,5,106,371
24046,"Manicouagan/Manicouagan"," 152","Baie-Comeau",11,55,3,3,34,3,109,299
24046,"Manicouagan/Manicouagan"," 153","Baie-Comeau",24,100,2,15,43,4,188,439
24046,"Manicouagan/Manicouagan"," 154","Baie-Comeau",19,87,2,16,23,4,151,373
24046,"Manicouagan/Manicouagan"," 155","Baie-Comeau",11,47,4,10,14,1,87,359
24046,"Manicouagan/Manicouagan"," 156","Baie-Comeau",19,89,4,6,31,3,152,452
24046,"Manicouagan/Manicouagan"," 157","Baie-Comeau",12,85,1,3,14,2,117,435
24046,"Manicouagan/Manicouagan"," 158","Baie-Comeau",10,82,2,4,26,9,133,438
24046,"Manicouagan/Manicouagan"," 159","Baie-Comeau",24,74,5,7,28,2,140,411
24046,"Manicouagan/Manicouagan"," 160","Baie-Comeau",14,67,1,5,40,5,132,430
24046,"Manicouagan/Manicouagan"," 161","Baie-Comeau",8,48,5,9,21,1,92,283
24046,"Manicouagan/Manicouagan"," 162","Baie-Comeau",16,66,8,2,32,1,125,420
24046,"Manicouagan/Manicouagan"," 163","Chute-aux-Outardes",12,63,0,3,26,5,109,319
24046,"Manicouagan/Manicouagan"," 164","Chute-aux-Outardes",14,52,6,1,24,2,99,309
24046,"Manicouagan/Manicouagan"," 165","Chute-aux-Outardes",9,32,5,1,15,3,65,251
24046,"Manicouagan/Manicouagan"," 166","Chute-aux-Outardes",9,53,7,1,25,0,95,328
24046,"Manicouagan/Manicouagan"," 167","Pointe-Lebel",13,79,6,4,20,2,124,261
24046,"Manicouagan/Manicouagan"," 168","Pointe-Lebel",12,67,7,1,14,0,101,345
24046,"Manicouagan/Manicouagan"," 169","Pointe-Lebel",22,97,6,13,44,6,188,439
24046,"Manicouagan/Manicouagan"," 170","Pointe-Lebel",13,50,3,4,16,0,86,210
24046,"Manicouagan/Manicouagan"," 171","Pointe-Lebel",15,54,1,4,19,0,93,255
24046,"Manicouagan/Manicouagan"," 172","Ragueneau",13,74,1,3,15,2,108,350
24046,"Manicouagan/Manicouagan"," 173","Ragueneau",21,111,4,4,25,0,165,409
24046,"Manicouagan/Manicouagan"," 174","Ragueneau",22,82,6,2,15,7,134,373
24046,"Manicouagan/Manicouagan"," 175","Pointe-aux-Outardes",9,54,4,4,22,1,94,269
24046,"Manicouagan/Manicouagan"," 176","Pointe-aux-Outardes",14,92,7,8,34,1,156,381
24046,"Manicouagan/Manicouagan"," 177","Pointe-aux-Outardes",15,112,0,3,46,4,180,434
24046,"Manicouagan/Manicouagan"," 178","Betsiamites",27,8,2,6,1,1,45,333
24046,"Manicouagan/Manicouagan"," 179","Betsiamites",58,4,1,6,1,0,70,482
24046,"Manicouagan/Manicouagan"," 180","Betsiamites",14,3,0,3,0,1,21,284
24046,"Manicouagan/Manicouagan"," 181","Betsiamites",46,4,3,3,0,1,57,398
24046,"Manicouagan/Manicouagan"," 182","Betsiamites",24,1,2,5,1,0,33,365
24046,"Manicouagan/Manicouagan"," 183","Forestville",14,40,3,1,17,3,78,285
24046,"Manicouagan/Manicouagan"," 184","Forestville",13,48,3,2,23,5,94,312
24046,"Manicouagan/Manicouagan"," 185","Forestville",6,30,1,3,18,2,60,242
24046,"Manicouagan/Manicouagan"," 186","Forestville",4,38,2,3,10,2,59,271
24046,"Manicouagan/Manicouagan"," 187","Forestville",11,23,1,1,11,0,47,257
24046,"Manicouagan/Manicouagan"," 188","Forestville",9,48,2,0,9,2,70,265
24046,"Manicouagan/Manicouagan"," 189","Forestville",17,34,2,4,12,2,71,343
24046,"Manicouagan/Manicouagan"," 190","Forestville",7,43,0,2,13,3,68,253
24046,"Manicouagan/Manicouagan"," 191","Forestville",14,39,3,1,17,2,76,274
24046,"Manicouagan/Manicouagan"," 192","Colombier",24,73,1,4,8,1,111,244
24046,"Manicouagan/Manicouagan"," 193","Colombier",15,63,8,1,20,4,111,227
24046,"Manicouagan/Manicouagan"," 194","Saint-Marc-de-Latour",7,24,5,0,3,0,39,117
24046,"Manicouagan/Manicouagan"," 195","Portneuf-sur-Mer",25,56,2,1,12,2,98,221
24046,"Manicouagan/Manicouagan"," 196","Portneuf-sur-Mer",22,79,3,4,30,4,142,338
24046,"Manicouagan/Manicouagan"," 197","Longue-Rive",26,91,3,0,14,8,142,442
24046,"Manicouagan/Manicouagan"," 198","Longue-Rive",15,28,0,1,10,0,54,180
24046,"Manicouagan/Manicouagan"," 199","Longue-Rive",22,43,1,2,12,1,81,220
24046,"Manicouagan/Manicouagan"," 200","Les Escoumins",28,92,3,5,19,0,147,429
24046,"Manicouagan/Manicouagan"," 201","Les Escoumins",15,76,5,2,24,2,124,368
24046,"Manicouagan/Manicouagan"," 202","Les Escoumins",20,85,2,8,26,4,145,342
24046,"Manicouagan/Manicouagan"," 203","Les Escoumins",24,61,2,2,28,4,121,372
24046,"Manicouagan/Manicouagan"," 204","Innue Essipit",50,37,1,2,5,5,100,237
24046,"Manicouagan/Manicouagan"," 205","Les Bergeronnes",25,65,4,9,18,4,125,270
24046,"Manicouagan/Manicouagan"," 206","Les Bergeronnes",23,85,2,3,20,4,137,263
24046,"Manicouagan/Manicouagan"," 207","Sacré-Coeur",57,87,2,9,66,9,230,448
24046,"Manicouagan/Manicouagan"," 208","Sacré-Coeur",49,81,6,2,34,4,176,347
24046,"Manicouagan/Manicouagan"," 209","Sacré-Coeur",40,65,2,6,37,6,156,289
24046,"Manicouagan/Manicouagan"," 210","Sacré-Coeur",47,60,8,9,33,6,163,335
24046,"Manicouagan/Manicouagan"," 211","Tadoussac",33,87,4,7,19,9,159,359
24046,"Manicouagan/Manicouagan"," 212","Tadoussac",26,76,3,8,14,5,132,326
24046,"Manicouagan/Manicouagan"," 400","Sept-Îles",60,31,3,0,19,4,117,211
24046,"Manicouagan/Manicouagan"," 401","Baie-Comeau",86,53,2,0,30,15,186,286
24046,"Manicouagan/Manicouagan"," 500","Mobile poll/Bureau itinérant",0,1,1,1,0,1,4,6
24046,"Manicouagan/Manicouagan"," 501","Mobile poll/Bureau itinérant",1,0,1,0,0,1,3,19
24046,"Manicouagan/Manicouagan"," 502","Sept-Îles",Merged with No./Fusionné avec le n°72,,,,,,,12
24046,"Manicouagan/Manicouagan"," 503","Mobile poll/Bureau itinérant",4,4,0,0,3,0,11,55
24046,"Manicouagan/Manicouagan"," 504","Mobile poll/Bureau itinérant",10,11,2,0,0,1,24,38
24046,"Manicouagan/Manicouagan"," 505","Port-Cartier",Merged with No./Fusionné avec le n°113,,,,,,,8
24046,"Manicouagan/Manicouagan"," 506","Port-Cartier",Merged with No./Fusionné avec le n°112,,,,,,,1
24046,"Manicouagan/Manicouagan"," 507","Mobile poll/Bureau itinérant",6,1,0,0,0,0,7,33
24046,"Manicouagan/Manicouagan"," 508","Mobile poll/Bureau itinérant",0,2,0,0,1,0,3,6
24046,"Manicouagan/Manicouagan"," 509","Mobile poll/Bureau itinérant",15,12,0,0,3,3,33,70
24046,"Manicouagan/Manicouagan"," 510","Baie-Comeau",Merged with No./Fusionné avec le n°147,,,,,,,16
24046,"Manicouagan/Manicouagan"," 511","Mobile poll/Bureau itinérant",2,1,0,0,1,0,4,25
24046,"Manicouagan/Manicouagan"," 512","Mobile poll/Bureau itinérant",4,4,0,0,0,3,11,13
24046,"Manicouagan/Manicouagan"," 513","Mobile poll/Bureau itinérant",A poll could not be held due to pandemic or emergency situation./Le scrutin n'a pas pu avoir lieu en raison de la pandémie ou d'une situation d'urgence.,,,,,,,6
24046,"Manicouagan/Manicouagan"," 514","Mobile poll/Bureau itinérant",6,3,1,0,1,0,11,16
24046,"Manicouagan/Manicouagan"," 515","Mobile poll/Bureau itinérant",A poll could not be held due to pandemic or emergency situation./Le scrutin n'a pas pu avoir lieu en raison de la pandémie ou d'une situation d'urgence.,,,,,,,4
24046,"Manicouagan/Manicouagan"," 516","Mobile poll/Bureau itinérant",2,3,0,0,1,0,6,14
24046,"Manicouagan/Manicouagan"," 517","Mobile poll/Bureau itinérant",Results combined with no. 208/Résultats combinés au n° 208,,,,,,,13
24046,"Manicouagan/Manicouagan"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,0
24046,"Manicouagan/Manicouagan"," 519","Mobile poll/Bureau itinérant",6,6,1,1,5,3,22,28
24046,"Manicouagan/Manicouagan"," 520","Port-Cartier",Merged with No./Fusionné avec le n°112,,,,,,,6
24046,"Manicouagan/Manicouagan"," 521","Port-Cartier",Merged with No./Fusionné avec le n°118,,,,,,,8
24046,"Manicouagan/Manicouagan"," 522","Port-Cartier",Merged with No./Fusionné avec le n°119,,,,,,,6
24046,"Manicouagan/Manicouagan"," 523","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°4,,,,,,,4
24046,"Manicouagan/Manicouagan"," 524","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°5,,,,,,,12
24046,"Manicouagan/Manicouagan"," 600","Schefferville",75,4,5,4,3,4,95,
24046,"Manicouagan/Manicouagan"," 601","Fermont",19,113,6,4,69,6,217,
24046,"Manicouagan/Manicouagan"," 602","Baie-Comeau",87,344,15,18,157,17,638,
24046,"Manicouagan/Manicouagan"," 603","Forestville",82,294,4,6,95,5,486,
24046,"Manicouagan/Manicouagan"," 604","Les Bergeronnes",56,99,6,13,34,6,214,
24046,"Manicouagan/Manicouagan"," 605","Les Escoumins",65,144,3,5,50,4,271,
24046,"Manicouagan/Manicouagan"," 606","Pessamit",13,2,1,2,0,0,18,
24046,"Manicouagan/Manicouagan"," 607","Chute-aux-Outardes",36,207,14,7,60,7,331,
24046,"Manicouagan/Manicouagan"," 608","Baie-Comeau",118,529,15,19,167,15,863,
24046,"Manicouagan/Manicouagan"," 609","Baie-Comeau",110,414,13,17,152,14,720,
24046,"Manicouagan/Manicouagan"," 610","Les Buissons",22,163,4,8,54,7,258,
24046,"Manicouagan/Manicouagan"," 611","Baie-Comeau",125,333,21,17,158,11,665,
24046,"Manicouagan/Manicouagan"," 612","Baie-Trinité",23,104,0,2,19,0,148,
24046,"Manicouagan/Manicouagan"," 613","Port-Cartier",166,628,28,26,241,14,1103,
24046,"Manicouagan/Manicouagan"," 614","Sept-Îles",169,509,16,19,185,18,916,
24046,"Manicouagan/Manicouagan"," 615","Sept-Îles",78,342,9,17,154,16,616,
24046,"Manicouagan/Manicouagan"," 616","Sept-Îles",142,402,11,15,227,11,808,
24046,"Manicouagan/Manicouagan"," 617","Sept-Îles",59,244,13,8,113,14,451,
24046,"Manicouagan/Manicouagan"," 618","Havre-Saint-Pierre",59,306,5,4,108,4,486,
24046,"Manicouagan/Manicouagan"," 619","Port-Menier",5,24,0,0,3,0,32,
24046,"Manicouagan/Manicouagan"," 620","Aguanish--Natashquan",Results combined with no. 28/Résultats combinés au n° 28,,,,,,,
24046,"Manicouagan/Manicouagan"," 621","Gethsémani",4,7,1,0,0,0,12,
24046,"Manicouagan/Manicouagan"," 622","Côte-Nord-du-Golfe-du-Saint-Laurent",17,8,0,2,6,0,33,
24046,"Manicouagan/Manicouagan"," 623","Tête-à-la-Baleine",1,11,0,0,3,1,16,
24046,"Manicouagan/Manicouagan"," 624","Saint-Augustin--Pakuashipi",30,6,0,4,5,0,45,
24046,"Manicouagan/Manicouagan"," 625","Bonne-Espérance--Blanc-Sablon",47,9,0,2,7,2,67,
24046,"Manicouagan/Manicouagan"," 626","Rivière-Saint-Paul",51,4,1,2,7,0,65,
24046,"Manicouagan/Manicouagan"," 627","Lourdes-de-Blanc-Sablon",53,30,1,12,16,1,113,
24046,"Manicouagan/Manicouagan",,Group 1/Groupe 1, 61,108,3,40,35,18,265,70
24046,"Manicouagan/Manicouagan",,Group 2/Groupe 2, 231,685,24,35,259,94,1328,
