Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Colin Carrie,Afroza Hossain,Darryl Mackie,Sonny Mir,Shailene Panylo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35074,"Oshawa/Oshawa"," 23","Oshawa",Merged with No./Fusionné avec le n°22,,,,,,,418
35074,"Oshawa/Oshawa"," 24","Oshawa",84,77,14,5,70,1,251,453
35074,"Oshawa/Oshawa"," 25","Oshawa",112,78,24,7,119,2,342,484
35074,"Oshawa/Oshawa"," 26","Oshawa",Merged with No./Fusionné avec le n°11,,,,,,,339
35074,"Oshawa/Oshawa"," 27","Oshawa",Merged with No./Fusionné avec le n°12,,,,,,,485
35074,"Oshawa/Oshawa"," 28","Oshawa",Merged with No./Fusionné avec le n°5,,,,,,,416
35074,"Oshawa/Oshawa"," 29","Oshawa",Merged with No./Fusionné avec le n°6,,,,,,,466
35074,"Oshawa/Oshawa"," 30","Oshawa",Merged with No./Fusionné avec le n°7,,,,,,,461
35074,"Oshawa/Oshawa"," 31","Oshawa",Merged with No./Fusionné avec le n°25,,,,,,,466
35074,"Oshawa/Oshawa"," 32","Oshawa",110,88,17,4,88,0,307,515
35074,"Oshawa/Oshawa"," 33","Oshawa",107,93,22,4,81,0,307,516
35074,"Oshawa/Oshawa"," 34","Oshawa",128,73,23,4,104,2,334,498
35074,"Oshawa/Oshawa"," 35","Oshawa",149,48,8,5,75,0,285,457
35074,"Oshawa/Oshawa"," 36","Oshawa",83,39,12,1,77,1,213,513
35074,"Oshawa/Oshawa"," 37","Oshawa",Merged with No./Fusionné avec le n°36,,,,,,,406
35074,"Oshawa/Oshawa"," 38","Oshawa",114,59,28,4,116,0,321,518
35074,"Oshawa/Oshawa"," 39","Oshawa",Merged with No./Fusionné avec le n°38,,,,,,,478
35074,"Oshawa/Oshawa"," 40","Oshawa",Merged with No./Fusionné avec le n°13,,,,,,,435
35074,"Oshawa/Oshawa"," 41","Oshawa",122,69,27,8,94,2,322,458
35074,"Oshawa/Oshawa"," 42","Oshawa",Merged with No./Fusionné avec le n°41,,,,,,,458
35074,"Oshawa/Oshawa"," 43","Oshawa",131,63,22,1,77,0,294,477
35074,"Oshawa/Oshawa"," 44","Oshawa",Merged with No./Fusionné avec le n°43,,,,,,,418
35074,"Oshawa/Oshawa"," 45","Oshawa",101,75,19,2,71,2,270,460
35074,"Oshawa/Oshawa"," 46","Oshawa",Merged with No./Fusionné avec le n°9,,,,,,,490
35074,"Oshawa/Oshawa"," 47","Oshawa",Merged with No./Fusionné avec le n°32,,,,,,,485
35074,"Oshawa/Oshawa"," 48","Oshawa",Merged with No./Fusionné avec le n°33,,,,,,,464
35074,"Oshawa/Oshawa"," 49","Oshawa",Merged with No./Fusionné avec le n°34,,,,,,,427
35074,"Oshawa/Oshawa"," 50","Oshawa",Merged with No./Fusionné avec le n°45,,,,,,,439
35074,"Oshawa/Oshawa"," 51","Oshawa",Merged with No./Fusionné avec le n°35,,,,,,,427
35074,"Oshawa/Oshawa"," 52","Oshawa",138,51,18,6,106,2,321,494
35074,"Oshawa/Oshawa"," 53","Oshawa",Merged with No./Fusionné avec le n°89,,,,,,,415
35074,"Oshawa/Oshawa"," 54","Oshawa",132,82,22,6,91,4,337,450
35074,"Oshawa/Oshawa"," 55","Oshawa",145,64,18,5,94,2,328,469
35074,"Oshawa/Oshawa"," 56","Oshawa",Merged with No./Fusionné avec le n°55,,,,,,,431
35074,"Oshawa/Oshawa"," 57","Oshawa",Merged with No./Fusionné avec le n°52,,,,,,,432
35074,"Oshawa/Oshawa"," 58","Oshawa",75,45,7,8,45,1,181,560
35074,"Oshawa/Oshawa"," 59","Oshawa",Merged with No./Fusionné avec le n°58,,,,,,,404
35074,"Oshawa/Oshawa"," 60","Oshawa",Merged with No./Fusionné avec le n°61,,,,,,,409
35074,"Oshawa/Oshawa"," 61","Oshawa",63,57,14,1,59,1,195,489
35074,"Oshawa/Oshawa"," 62","Oshawa",141,77,30,8,109,1,366,545
35074,"Oshawa/Oshawa"," 63","Oshawa",114,55,34,3,99,1,306,505
35074,"Oshawa/Oshawa"," 64","Oshawa",124,78,24,2,93,3,324,495
35074,"Oshawa/Oshawa"," 65","Oshawa",Merged with No./Fusionné avec le n°66,,,,,,,520
35074,"Oshawa/Oshawa"," 66","Oshawa",137,73,42,8,128,4,392,507
35074,"Oshawa/Oshawa"," 67","Oshawa",Merged with No./Fusionné avec le n°62,,,,,,,503
35074,"Oshawa/Oshawa"," 68","Oshawa",138,91,26,6,75,0,336,530
35074,"Oshawa/Oshawa"," 69","Oshawa",161,104,21,11,93,4,394,529
35074,"Oshawa/Oshawa"," 70","Oshawa",Merged with No./Fusionné avec le n°69,,,,,,,492
35074,"Oshawa/Oshawa"," 71","Oshawa",Merged with No./Fusionné avec le n°128,,,,,,,474
35074,"Oshawa/Oshawa"," 72","Oshawa",116,47,18,1,128,3,313,489
35074,"Oshawa/Oshawa"," 73","Oshawa",Merged with No./Fusionné avec le n°88,,,,,,,439
35074,"Oshawa/Oshawa"," 74","Oshawa",133,65,17,1,98,3,317,475
35074,"Oshawa/Oshawa"," 75","Oshawa",Merged with No./Fusionné avec le n°74,,,,,,,453
35074,"Oshawa/Oshawa"," 76","Oshawa",Merged with No./Fusionné avec le n°77,,,,,,,409
35074,"Oshawa/Oshawa"," 77","Oshawa",99,47,18,8,72,3,247,481
35074,"Oshawa/Oshawa"," 78","Oshawa",152,151,18,10,63,3,397,465
35074,"Oshawa/Oshawa"," 79","Oshawa",Merged with No./Fusionné avec le n°78,,,,,,,443
35074,"Oshawa/Oshawa"," 80","Oshawa",184,82,23,9,96,0,394,457
35074,"Oshawa/Oshawa"," 81","Oshawa",Merged with No./Fusionné avec le n°80,,,,,,,411
35074,"Oshawa/Oshawa"," 82","Oshawa",Merged with No./Fusionné avec le n°63,,,,,,,468
35074,"Oshawa/Oshawa"," 83","Oshawa",Merged with No./Fusionné avec le n°64,,,,,,,472
35074,"Oshawa/Oshawa"," 84","Oshawa",Merged with No./Fusionné avec le n°85,,,,,,,451
35074,"Oshawa/Oshawa"," 85","Oshawa",107,47,14,4,91,0,263,454
35074,"Oshawa/Oshawa"," 86","Oshawa",101,56,27,6,104,1,295,474
35074,"Oshawa/Oshawa"," 87","Oshawa",Merged with No./Fusionné avec le n°86,,,,,,,452
35074,"Oshawa/Oshawa"," 88","Oshawa",92,44,28,7,109,5,285,498
35074,"Oshawa/Oshawa"," 89","Oshawa",118,70,15,7,94,2,306,472
35074,"Oshawa/Oshawa"," 90","Oshawa",Merged with No./Fusionné avec le n°72,,,,,,,410
35074,"Oshawa/Oshawa"," 91","Oshawa",102,72,20,2,95,0,291,532
35074,"Oshawa/Oshawa"," 92","Oshawa",Merged with No./Fusionné avec le n°91,,,,,,,473
35074,"Oshawa/Oshawa"," 93","Oshawa",Merged with No./Fusionné avec le n°54,,,,,,,452
35074,"Oshawa/Oshawa"," 94","Oshawa",Merged with No./Fusionné avec le n°108,,,,,,,450
35074,"Oshawa/Oshawa"," 95","Oshawa",118,46,11,4,96,1,276,486
35074,"Oshawa/Oshawa"," 96","Oshawa",104,52,11,2,76,0,245,495
35074,"Oshawa/Oshawa"," 97","Oshawa",139,60,16,5,98,0,318,496
35074,"Oshawa/Oshawa"," 98","Oshawa",Merged with No./Fusionné avec le n°97,,,,,,,446
35074,"Oshawa/Oshawa"," 99","Oshawa",Merged with No./Fusionné avec le n°96,,,,,,,429
35074,"Oshawa/Oshawa"," 100","Oshawa",Merged with No./Fusionné avec le n°95,,,,,,,440
35074,"Oshawa/Oshawa"," 101","Oshawa",Merged with No./Fusionné avec le n°142,,,,,,,433
35074,"Oshawa/Oshawa"," 102","Oshawa",Merged with No./Fusionné avec le n°143,,,,,,,411
35074,"Oshawa/Oshawa"," 103","Oshawa",Merged with No./Fusionné avec le n°104,,,,,,,444
35074,"Oshawa/Oshawa"," 104","Oshawa",123,66,22,8,100,2,321,456
35074,"Oshawa/Oshawa"," 105","Oshawa",Merged with No./Fusionné avec le n°106,,,,,,,318
35074,"Oshawa/Oshawa"," 106","Oshawa",133,116,17,6,89,1,362,531
35074,"Oshawa/Oshawa"," 107","Oshawa",133,74,23,4,74,2,310,470
35074,"Oshawa/Oshawa"," 108","Oshawa",102,65,16,6,70,2,261,511
35074,"Oshawa/Oshawa"," 109","Oshawa",84,54,21,7,87,1,254,571
35074,"Oshawa/Oshawa"," 110","Oshawa",Merged with No./Fusionné avec le n°111,,,,,,,452
35074,"Oshawa/Oshawa"," 111","Oshawa",91,63,25,6,102,2,289,457
35074,"Oshawa/Oshawa"," 112","Oshawa",108,66,34,5,86,0,299,489
35074,"Oshawa/Oshawa"," 113","Oshawa",Merged with No./Fusionné avec le n°112,,,,,,,434
35074,"Oshawa/Oshawa"," 114","Oshawa",Merged with No./Fusionné avec le n°115,,,,,,,440
35074,"Oshawa/Oshawa"," 115","Oshawa",130,48,26,7,79,11,301,461
35074,"Oshawa/Oshawa"," 116","Oshawa",Merged with No./Fusionné avec le n°158,,,,,,,438
35074,"Oshawa/Oshawa"," 117","Oshawa",Merged with No./Fusionné avec le n°155,,,,,,,482
35074,"Oshawa/Oshawa"," 118","Oshawa",Merged with No./Fusionné avec le n°149,,,,,,,487
35074,"Oshawa/Oshawa"," 119","Oshawa",Merged with No./Fusionné avec le n°109,,,,,,,402
35074,"Oshawa/Oshawa"," 120A","Oshawa",Merged with No./Fusionné avec le n°121,,,,,,,369
35074,"Oshawa/Oshawa"," 120B","Oshawa",46,40,1,2,29,4,122,183
35074,"Oshawa/Oshawa"," 121","Oshawa",79,65,19,10,102,0,275,529
35074,"Oshawa/Oshawa"," 122","Oshawa",130,74,17,7,129,2,359,490
35074,"Oshawa/Oshawa"," 123","Oshawa",Merged with No./Fusionné avec le n°122,,,,,,,494
35074,"Oshawa/Oshawa"," 124","Oshawa",Merged with No./Fusionné avec le n°125,,,,,,,488
35074,"Oshawa/Oshawa"," 125","Oshawa",148,81,28,7,144,2,410,504
35074,"Oshawa/Oshawa"," 126","Oshawa",Merged with No./Fusionné avec le n°127,,,,,,,495
35074,"Oshawa/Oshawa"," 127","Oshawa",163,51,27,3,130,5,379,501
35074,"Oshawa/Oshawa"," 128","Oshawa",116,100,20,9,84,1,330,530
35074,"Oshawa/Oshawa"," 129","Oshawa",Merged with No./Fusionné avec le n°68,,,,,,,412
35074,"Oshawa/Oshawa"," 130","Oshawa",Merged with No./Fusionné avec le n°176,,,,,,,360
35074,"Oshawa/Oshawa"," 131","Oshawa",Merged with No./Fusionné avec le n°175,,,,,,,425
35074,"Oshawa/Oshawa"," 132","Oshawa",Merged with No./Fusionné avec le n°174,,,,,,,445
35074,"Oshawa/Oshawa"," 133","Oshawa",Merged with No./Fusionné avec le n°148,,,,,,,468
35074,"Oshawa/Oshawa"," 134","Oshawa",129,68,23,8,115,2,345,491
35074,"Oshawa/Oshawa"," 135","Oshawa",Merged with No./Fusionné avec le n°134,,,,,,,448
35074,"Oshawa/Oshawa"," 136","Oshawa",Merged with No./Fusionné avec le n°107,,,,,,,377
35074,"Oshawa/Oshawa"," 137","Oshawa",104,92,28,1,76,0,301,610
35074,"Oshawa/Oshawa"," 138","Oshawa",Merged with No./Fusionné avec le n°139,,,,,,,462
35074,"Oshawa/Oshawa"," 139","Oshawa",109,86,17,4,102,0,318,463
35074,"Oshawa/Oshawa"," 140","Oshawa",Merged with No./Fusionné avec le n°141,,,,,,,454
35074,"Oshawa/Oshawa"," 141","Oshawa",127,52,25,5,80,2,291,467
35074,"Oshawa/Oshawa"," 142","Oshawa",120,60,21,9,107,0,317,483
35074,"Oshawa/Oshawa"," 143","Oshawa",120,70,98,15,4,0,307,522
35074,"Oshawa/Oshawa"," 144","Oshawa",88,68,24,8,106,1,295,493
35074,"Oshawa/Oshawa"," 145","Oshawa",Merged with No./Fusionné avec le n°144,,,,,,,494
35074,"Oshawa/Oshawa"," 146","Oshawa",Merged with No./Fusionné avec le n°147,,,,,,,451
35074,"Oshawa/Oshawa"," 147","Oshawa",76,77,33,4,80,2,272,516
35074,"Oshawa/Oshawa"," 148","Oshawa",169,83,22,11,106,2,393,535
35074,"Oshawa/Oshawa"," 149","Oshawa",68,48,30,5,76,0,227,511
35074,"Oshawa/Oshawa"," 150","Oshawa",Merged with No./Fusionné avec le n°166,,,,,,,473
35074,"Oshawa/Oshawa"," 151","Oshawa",Merged with No./Fusionné avec le n°152,,,,,,,464
35074,"Oshawa/Oshawa"," 152","Oshawa",105,70,26,4,95,2,302,533
35074,"Oshawa/Oshawa"," 153","Oshawa",Merged with No./Fusionné avec le n°164,,,,,,,487
35074,"Oshawa/Oshawa"," 154","Oshawa",Merged with No./Fusionné avec le n°165,,,,,,,459
35074,"Oshawa/Oshawa"," 155","Oshawa",162,70,26,5,108,1,372,546
35074,"Oshawa/Oshawa"," 156","Oshawa",155,85,39,4,123,1,407,512
35074,"Oshawa/Oshawa"," 157","Oshawa",Merged with No./Fusionné avec le n°156,,,,,,,508
35074,"Oshawa/Oshawa"," 158","Oshawa",76,27,22,8,107,1,241,538
35074,"Oshawa/Oshawa"," 159","Oshawa",123,54,21,3,108,4,313,468
35074,"Oshawa/Oshawa"," 160","Oshawa",Merged with No./Fusionné avec le n°159,,,,,,,431
35074,"Oshawa/Oshawa"," 161","Oshawa",113,60,23,5,92,4,297,465
35074,"Oshawa/Oshawa"," 162","Oshawa",74,57,9,5,74,1,220,448
35074,"Oshawa/Oshawa"," 163","Oshawa",Merged with No./Fusionné avec le n°161,,,,,,,430
35074,"Oshawa/Oshawa"," 164","Oshawa",99,52,22,6,89,1,269,539
35074,"Oshawa/Oshawa"," 165","Oshawa",56,50,27,4,103,1,241,571
35074,"Oshawa/Oshawa"," 166","Oshawa",73,48,25,4,74,2,226,537
35074,"Oshawa/Oshawa"," 167","Oshawa",Merged with No./Fusionné avec le n°168,,,,,,,449
35074,"Oshawa/Oshawa"," 168","Oshawa",100,48,29,9,92,4,282,474
35074,"Oshawa/Oshawa"," 169","Oshawa",140,59,19,9,120,6,353,515
35074,"Oshawa/Oshawa"," 170","Oshawa",Merged with No./Fusionné avec le n°169,,,,,,,422
35074,"Oshawa/Oshawa"," 171","Oshawa",Merged with No./Fusionné avec le n°200,,,,,,,488
35074,"Oshawa/Oshawa"," 172","Oshawa",87,54,33,9,87,2,272,520
35074,"Oshawa/Oshawa"," 173","Oshawa",77,76,24,3,103,4,287,474
35074,"Oshawa/Oshawa"," 174","Oshawa",103,95,21,4,56,0,279,464
35074,"Oshawa/Oshawa"," 175","Oshawa",115,69,23,5,81,3,296,486
35074,"Oshawa/Oshawa"," 176","Oshawa",103,72,11,7,95,0,288,488
35074,"Oshawa/Oshawa"," 177","Oshawa",112,54,29,4,78,2,279,490
35074,"Oshawa/Oshawa"," 178","Oshawa",149,59,39,8,92,2,349,474
35074,"Oshawa/Oshawa"," 179","Oshawa",Merged with No./Fusionné avec le n°178,,,,,,,472
35074,"Oshawa/Oshawa"," 180","Oshawa",Merged with No./Fusionné avec le n°173,,,,,,,434
35074,"Oshawa/Oshawa"," 181","Oshawa",Merged with No./Fusionné avec le n°137,,,,,,,377
35074,"Oshawa/Oshawa"," 182","Oshawa",Merged with No./Fusionné avec le n°162,,,,,,,427
35074,"Oshawa/Oshawa"," 183","Oshawa",Merged with No./Fusionné avec le n°172,,,,,,,431
35074,"Oshawa/Oshawa"," 184","Oshawa",Merged with No./Fusionné avec le n°177,,,,,,,413
35074,"Oshawa/Oshawa"," 185","Oshawa",138,82,22,3,109,1,355,443
35074,"Oshawa/Oshawa"," 186","Oshawa",Merged with No./Fusionné avec le n°185,,,,,,,436
35074,"Oshawa/Oshawa"," 187","Oshawa",50,45,8,1,50,0,154,442
35074,"Oshawa/Oshawa"," 188","Oshawa",Merged with No./Fusionné avec le n°193,,,,,,,479
35074,"Oshawa/Oshawa"," 189","Oshawa",Merged with No./Fusionné avec le n°190,,,,,,,497
35074,"Oshawa/Oshawa"," 190","Oshawa",70,47,37,5,80,1,240,594
35074,"Oshawa/Oshawa"," 191","Oshawa",Merged with No./Fusionné avec le n°192,,,,,,,451
35074,"Oshawa/Oshawa"," 192","Oshawa",63,48,23,4,97,5,240,577
35074,"Oshawa/Oshawa"," 193","Oshawa",77,42,25,5,72,0,221,632
35074,"Oshawa/Oshawa"," 194","Oshawa",101,57,35,8,95,1,297,482
35074,"Oshawa/Oshawa"," 195","Oshawa",Merged with No./Fusionné avec le n°208,,,,,,,442
35074,"Oshawa/Oshawa"," 196","Oshawa",80,63,22,4,93,2,264,510
35074,"Oshawa/Oshawa"," 197","Oshawa",Merged with No./Fusionné avec le n°196,,,,,,,450
35074,"Oshawa/Oshawa"," 198","Oshawa",113,53,26,4,111,0,307,388
35074,"Oshawa/Oshawa"," 199","Oshawa",Merged with No./Fusionné avec le n°198,,,,,,,373
35074,"Oshawa/Oshawa"," 200","Oshawa",117,64,28,6,88,0,303,493
35074,"Oshawa/Oshawa"," 201","Oshawa",Merged with No./Fusionné avec le n°210,,,,,,,499
35074,"Oshawa/Oshawa"," 202","Oshawa",128,78,25,8,101,4,344,507
35074,"Oshawa/Oshawa"," 203","Oshawa",Merged with No./Fusionné avec le n°202,,,,,,,479
35074,"Oshawa/Oshawa"," 204","Oshawa",Merged with No./Fusionné avec le n°209,,,,,,,498
35074,"Oshawa/Oshawa"," 205","Oshawa",Merged with No./Fusionné avec le n°194,,,,,,,482
35074,"Oshawa/Oshawa"," 206","Oshawa",Merged with No./Fusionné avec le n°207,,,,,,,502
35074,"Oshawa/Oshawa"," 207","Oshawa",128,81,24,4,114,2,353,531
35074,"Oshawa/Oshawa"," 208","Oshawa",83,67,32,7,98,4,291,542
35074,"Oshawa/Oshawa"," 209","Oshawa",116,65,37,8,118,2,346,533
35074,"Oshawa/Oshawa"," 210","Oshawa",109,75,20,8,113,6,331,558
35074,"Oshawa/Oshawa"," 400","Oshawa",Merged with No./Fusionné avec le n°21,,,,,,,320
35074,"Oshawa/Oshawa"," 401","Oshawa",19,12,2,1,7,0,41,68
35074,"Oshawa/Oshawa"," 402","Oshawa",23,22,1,1,3,0,50,167
35074,"Oshawa/Oshawa"," 500","Mobile poll/Bureau itinérant",14,10,1,0,1,3,29,40
35074,"Oshawa/Oshawa"," 501","Mobile poll/Bureau itinérant",15,17,2,4,7,1,46,46
35074,"Oshawa/Oshawa"," 502","Mobile poll/Bureau itinérant",13,13,2,0,5,6,39,60
35074,"Oshawa/Oshawa"," 503","Mobile poll/Bureau itinérant",17,18,1,1,14,0,51,149
35074,"Oshawa/Oshawa"," 504","Mobile poll/Bureau itinérant",13,8,2,1,4,1,29,89
35074,"Oshawa/Oshawa"," 505","Mobile poll/Bureau itinérant",27,19,1,1,7,2,57,96
35074,"Oshawa/Oshawa"," 506","Mobile poll/Bureau itinérant",7,16,1,1,11,5,41,74
35074,"Oshawa/Oshawa"," 507","Mobile poll/Bureau itinérant",15,30,1,2,13,1,62,123
35074,"Oshawa/Oshawa"," 508","Mobile poll/Bureau itinérant",24,31,3,0,1,3,62,70
35074,"Oshawa/Oshawa"," 509","Mobile poll/Bureau itinérant",11,7,2,2,7,1,30,71
35074,"Oshawa/Oshawa"," 600","Oshawa",492,323,66,13,237,3,1134,
35074,"Oshawa/Oshawa"," 601","Oshawa",442,238,80,11,285,1,1057,
35074,"Oshawa/Oshawa"," 602","Oshawa",401,259,60,20,233,7,980,
35074,"Oshawa/Oshawa"," 603","Oshawa",707,386,73,25,317,1,1509,
35074,"Oshawa/Oshawa"," 604","Oshawa",436,290,62,7,184,1,980,
35074,"Oshawa/Oshawa"," 605","Oshawa",470,269,61,10,216,5,1031,
35074,"Oshawa/Oshawa"," 606","Oshawa",498,246,58,14,260,5,1081,
35074,"Oshawa/Oshawa"," 607","Oshawa",509,240,78,7,321,7,1162,
35074,"Oshawa/Oshawa"," 608","Oshawa",494,266,72,8,355,9,1204,
35074,"Oshawa/Oshawa"," 609","Oshawa",424,302,67,19,333,6,1151,
35074,"Oshawa/Oshawa"," 610","Oshawa",479,305,70,10,282,2,1148,
35074,"Oshawa/Oshawa"," 611","Oshawa",447,269,58,7,253,5,1039,
35074,"Oshawa/Oshawa"," 612","Oshawa",267,137,66,23,249,1,743,
35074,"Oshawa/Oshawa"," 613","Oshawa",234,145,78,5,195,7,664,
35074,"Oshawa/Oshawa"," 614","Oshawa",337,145,74,14,187,5,762,
35074,"Oshawa/Oshawa"," 615","Oshawa",503,248,77,9,360,10,1207,
35074,"Oshawa/Oshawa"," 616","Oshawa",377,171,92,9,215,3,867,
35074,"Oshawa/Oshawa"," 617","Oshawa",264,131,70,13,189,4,671,
35074,"Oshawa/Oshawa"," 618","Oshawa",360,177,92,12,270,3,914,
35074,"Oshawa/Oshawa"," 619","Oshawa",411,210,91,13,272,1,998,
35074,"Oshawa/Oshawa",,Group 1/Groupe 1, 196,146,27,3,142,25,539,175
35074,"Oshawa/Oshawa",,Group 2/Groupe 2, 1540,741,148,28,857,89,3403,
