Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kerry-Lynne Findlay,Gordie Hogg,Gary Jensen,June Liu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 603","Surrey",646,461,54,129,1,1291,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 604","Surrey",741,541,39,185,1,1507,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 605","Surrey",255,256,30,68,2,611,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 606","Surrey",471,338,22,92,4,927,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 607","Surrey",512,326,45,70,4,957,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 608","Surrey",661,390,44,93,1,1189,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 609","White Rock",550,397,70,148,2,1167,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 610","White Rock",282,284,38,88,4,696,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 611","White Rock",418,409,36,142,6,1011,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 612","Surrey",536,460,60,154,11,1221,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 613","White Rock",570,614,55,230,3,1472,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 614","Surrey",443,420,63,169,6,1101,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 615","Surrey",477,397,65,148,2,1089,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 616","Surrey",313,230,46,87,3,679,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 617","Surrey",313,218,27,83,9,650,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 618","Surrey",280,156,22,51,0,509,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 619","White Rock",374,265,20,84,7,750,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 620","White Rock",364,340,30,94,2,830,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 621","Surrey",530,358,36,156,1,1081,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock",,Group 1/Groupe 1, 231,220,23,113,19,606,276
59030,"South Surrey--White Rock/Surrey-Sud--White Rock",,Group 2/Groupe 2, 1631,1840,85,617,113,4286,
