Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Boutsikakis,Kirsty Duncan,Priti Lamba,Cecil Peter,Carol Royer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35029,"Etobicoke North/Etobicoke-Nord"," 61","Toronto",7,63,27,10,1,0,108,467
35029,"Etobicoke North/Etobicoke-Nord"," 62","Toronto",13,73,49,19,1,0,155,391
35029,"Etobicoke North/Etobicoke-Nord"," 63","Toronto",11,96,62,23,2,1,195,471
35029,"Etobicoke North/Etobicoke-Nord"," 64","Toronto",7,76,55,18,6,2,164,355
35029,"Etobicoke North/Etobicoke-Nord"," 65","Toronto",3,63,43,14,4,2,129,379
35029,"Etobicoke North/Etobicoke-Nord"," 66","Toronto",3,85,70,30,0,5,193,492
35029,"Etobicoke North/Etobicoke-Nord"," 67","Toronto",9,68,40,13,5,4,139,470
35029,"Etobicoke North/Etobicoke-Nord"," 68","Toronto",2,55,23,20,0,0,100,275
35029,"Etobicoke North/Etobicoke-Nord"," 69","Toronto",1,66,16,11,1,0,95,354
35029,"Etobicoke North/Etobicoke-Nord"," 70","Toronto",4,99,49,27,1,2,182,509
35029,"Etobicoke North/Etobicoke-Nord"," 71","Toronto",5,82,34,17,0,0,138,472
35029,"Etobicoke North/Etobicoke-Nord"," 72","Toronto",7,97,31,16,0,1,152,452
35029,"Etobicoke North/Etobicoke-Nord"," 73","Toronto",6,87,43,19,1,1,157,429
35029,"Etobicoke North/Etobicoke-Nord"," 74","Toronto",4,80,54,18,2,5,163,487
35029,"Etobicoke North/Etobicoke-Nord"," 75","Toronto",6,83,41,20,3,1,154,516
35029,"Etobicoke North/Etobicoke-Nord"," 76","Toronto",2,75,15,18,0,1,111,498
35029,"Etobicoke North/Etobicoke-Nord"," 77","Toronto",13,96,37,16,1,1,164,530
35029,"Etobicoke North/Etobicoke-Nord"," 78","Toronto",6,72,45,16,0,1,140,543
35029,"Etobicoke North/Etobicoke-Nord"," 79","Toronto",3,48,44,3,1,12,111,396
35029,"Etobicoke North/Etobicoke-Nord"," 80","Toronto",2,46,46,15,2,0,111,436
35029,"Etobicoke North/Etobicoke-Nord"," 81","Toronto",8,86,47,15,4,3,163,534
35029,"Etobicoke North/Etobicoke-Nord"," 82","Toronto",9,66,38,10,0,1,124,412
35029,"Etobicoke North/Etobicoke-Nord"," 83","Toronto",11,54,56,29,2,1,153,429
35029,"Etobicoke North/Etobicoke-Nord"," 84","Toronto",9,69,45,14,2,2,141,397
35029,"Etobicoke North/Etobicoke-Nord"," 85","Toronto",7,80,55,29,3,1,175,449
35029,"Etobicoke North/Etobicoke-Nord"," 86","Toronto",10,46,43,31,1,1,132,358
35029,"Etobicoke North/Etobicoke-Nord"," 87","Toronto",6,67,39,20,3,2,137,364
35029,"Etobicoke North/Etobicoke-Nord"," 88","Toronto",8,63,19,24,2,1,117,414
35029,"Etobicoke North/Etobicoke-Nord"," 89","Toronto",4,93,42,23,1,1,164,523
35029,"Etobicoke North/Etobicoke-Nord"," 90","Toronto",6,64,21,20,0,0,111,445
35029,"Etobicoke North/Etobicoke-Nord"," 91","Toronto",6,80,27,10,2,0,125,435
35029,"Etobicoke North/Etobicoke-Nord"," 92","Toronto",1,79,19,7,1,0,107,404
35029,"Etobicoke North/Etobicoke-Nord"," 93","Toronto",3,75,19,9,0,1,107,446
35029,"Etobicoke North/Etobicoke-Nord"," 94","Toronto",13,181,45,18,3,4,264,613
35029,"Etobicoke North/Etobicoke-Nord"," 95","Toronto",3,105,35,26,1,3,173,364
35029,"Etobicoke North/Etobicoke-Nord"," 96","Toronto",0,105,11,22,1,4,143,314
35029,"Etobicoke North/Etobicoke-Nord"," 97","Toronto",5,84,38,56,2,0,185,563
35029,"Etobicoke North/Etobicoke-Nord"," 98","Toronto",3,117,23,15,2,4,164,455
35029,"Etobicoke North/Etobicoke-Nord"," 99","Toronto",3,95,46,19,0,4,167,429
35029,"Etobicoke North/Etobicoke-Nord"," 100","Toronto",8,121,41,14,3,1,188,469
35029,"Etobicoke North/Etobicoke-Nord"," 101","Toronto",9,94,79,22,2,3,209,524
35029,"Etobicoke North/Etobicoke-Nord"," 102","Toronto",17,46,37,24,3,2,129,399
35029,"Etobicoke North/Etobicoke-Nord"," 103","Toronto",10,67,36,25,2,4,144,331
35029,"Etobicoke North/Etobicoke-Nord"," 104","Toronto",10,64,33,19,2,2,130,366
35029,"Etobicoke North/Etobicoke-Nord"," 105","Toronto",8,107,45,31,3,3,197,505
35029,"Etobicoke North/Etobicoke-Nord"," 106","Toronto",6,84,40,16,5,4,155,445
35029,"Etobicoke North/Etobicoke-Nord"," 107","Toronto",4,87,51,24,1,4,171,499
35029,"Etobicoke North/Etobicoke-Nord"," 108","Toronto",13,102,42,19,2,5,183,518
35029,"Etobicoke North/Etobicoke-Nord"," 109","Toronto",13,106,34,31,4,2,190,517
35029,"Etobicoke North/Etobicoke-Nord"," 110","Toronto",13,101,35,24,2,0,175,511
35029,"Etobicoke North/Etobicoke-Nord"," 111","Toronto",2,85,33,11,1,1,133,442
35029,"Etobicoke North/Etobicoke-Nord"," 112","Toronto",4,128,16,19,0,1,168,621
35029,"Etobicoke North/Etobicoke-Nord"," 113","Toronto",1,45,22,14,1,0,83,355
35029,"Etobicoke North/Etobicoke-Nord"," 114","Toronto",17,80,83,19,1,1,201,380
35029,"Etobicoke North/Etobicoke-Nord"," 115","Toronto",10,75,69,18,5,1,178,424
35029,"Etobicoke North/Etobicoke-Nord"," 116","Toronto",10,147,62,29,1,1,250,598
35029,"Etobicoke North/Etobicoke-Nord"," 117","Toronto",5,68,28,12,2,0,115,317
35029,"Etobicoke North/Etobicoke-Nord"," 118","Toronto",2,79,35,11,1,2,130,358
35029,"Etobicoke North/Etobicoke-Nord"," 119","Toronto",4,66,54,6,1,6,137,391
35029,"Etobicoke North/Etobicoke-Nord"," 120","Toronto",8,61,58,18,2,6,153,415
35029,"Etobicoke North/Etobicoke-Nord"," 121","Toronto",1,59,53,19,1,0,133,442
35029,"Etobicoke North/Etobicoke-Nord"," 122","Toronto",8,88,42,16,3,4,161,444
35029,"Etobicoke North/Etobicoke-Nord"," 123","Toronto",8,69,40,8,0,2,127,428
35029,"Etobicoke North/Etobicoke-Nord"," 124","Toronto",10,67,34,15,0,1,127,414
35029,"Etobicoke North/Etobicoke-Nord"," 125","Toronto",6,68,30,12,0,1,117,414
35029,"Etobicoke North/Etobicoke-Nord"," 126","Toronto",7,85,36,17,0,2,147,505
35029,"Etobicoke North/Etobicoke-Nord"," 127","Toronto",9,81,21,14,2,0,127,531
35029,"Etobicoke North/Etobicoke-Nord"," 128","Toronto",4,80,41,24,1,1,151,435
35029,"Etobicoke North/Etobicoke-Nord"," 129","Toronto",2,109,52,17,1,1,182,544
35029,"Etobicoke North/Etobicoke-Nord"," 130","Toronto",9,76,30,22,0,1,138,400
35029,"Etobicoke North/Etobicoke-Nord"," 131","Toronto",6,74,48,13,3,1,145,522
35029,"Etobicoke North/Etobicoke-Nord"," 132","Toronto",13,51,46,25,1,1,137,337
35029,"Etobicoke North/Etobicoke-Nord"," 133","Toronto",7,66,27,17,2,0,119,414
35029,"Etobicoke North/Etobicoke-Nord"," 134","Toronto",4,68,13,16,5,1,107,359
35029,"Etobicoke North/Etobicoke-Nord"," 135","Toronto",3,63,34,6,0,2,108,410
35029,"Etobicoke North/Etobicoke-Nord"," 400","Toronto",1,103,12,10,0,2,128,387
35029,"Etobicoke North/Etobicoke-Nord"," 401","Toronto",3,150,15,13,0,3,184,544
35029,"Etobicoke North/Etobicoke-Nord"," 402","Toronto",5,71,25,7,0,2,110,396
35029,"Etobicoke North/Etobicoke-Nord"," 403","Toronto",5,126,36,11,3,2,183,440
35029,"Etobicoke North/Etobicoke-Nord"," 404","Toronto",1,94,24,16,1,5,141,502
35029,"Etobicoke North/Etobicoke-Nord"," 405","Toronto",2,39,46,7,4,3,101,360
35029,"Etobicoke North/Etobicoke-Nord"," 406","Toronto",8,46,51,4,0,3,112,392
35029,"Etobicoke North/Etobicoke-Nord"," 407","Toronto",1,40,20,2,0,0,63,313
35029,"Etobicoke North/Etobicoke-Nord"," 408","Toronto",1,60,15,3,1,1,81,301
35029,"Etobicoke North/Etobicoke-Nord"," 409","Toronto",0,31,6,3,0,0,40,167
35029,"Etobicoke North/Etobicoke-Nord"," 410","Toronto",2,36,13,10,1,1,63,234
35029,"Etobicoke North/Etobicoke-Nord"," 411","Toronto",0,16,5,16,0,0,37,65
35029,"Etobicoke North/Etobicoke-Nord"," 412","Toronto",4,50,19,12,1,2,88,234
35029,"Etobicoke North/Etobicoke-Nord"," 413","Toronto",1,13,7,6,1,0,28,125
35029,"Etobicoke North/Etobicoke-Nord"," 414","Toronto",3,70,35,7,1,0,116,500
35029,"Etobicoke North/Etobicoke-Nord"," 415","Toronto",10,79,29,32,1,1,152,504
35029,"Etobicoke North/Etobicoke-Nord"," 416","Toronto",2,69,21,14,2,7,115,194
35029,"Etobicoke North/Etobicoke-Nord"," 417","Toronto",3,69,33,17,3,1,126,342
35029,"Etobicoke North/Etobicoke-Nord"," 418","Toronto",12,68,31,28,2,0,141,348
35029,"Etobicoke North/Etobicoke-Nord"," 419","Toronto",1,41,9,12,2,0,65,227
35029,"Etobicoke North/Etobicoke-Nord"," 420","Toronto",6,74,43,2,0,2,127,236
35029,"Etobicoke North/Etobicoke-Nord"," 421","Toronto",2,87,75,5,4,0,173,250
35029,"Etobicoke North/Etobicoke-Nord"," 422","Toronto",3,139,11,13,0,2,168,603
35029,"Etobicoke North/Etobicoke-Nord"," 423","Toronto",1,47,5,8,0,3,64,268
35029,"Etobicoke North/Etobicoke-Nord"," 424","Toronto",1,182,8,12,0,5,208,721
35029,"Etobicoke North/Etobicoke-Nord"," 425","Toronto",8,152,23,28,0,2,213,776
35029,"Etobicoke North/Etobicoke-Nord"," 426","Toronto",1,66,19,9,2,2,99,300
35029,"Etobicoke North/Etobicoke-Nord"," 427","Toronto",6,121,17,14,0,6,164,643
35029,"Etobicoke North/Etobicoke-Nord"," 428","Toronto",2,112,1,5,0,0,120,392
35029,"Etobicoke North/Etobicoke-Nord"," 429","Toronto",1,77,13,4,0,1,96,332
35029,"Etobicoke North/Etobicoke-Nord"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°93,,,,,,,91
35029,"Etobicoke North/Etobicoke-Nord"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°72,,,,,,,87
35029,"Etobicoke North/Etobicoke-Nord"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°67,,,,,,,216
35029,"Etobicoke North/Etobicoke-Nord"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°51,,,,,,,92
35029,"Etobicoke North/Etobicoke-Nord"," 600","Toronto",27,521,116,41,3,10,718,
35029,"Etobicoke North/Etobicoke-Nord"," 601","Toronto",31,534,247,66,9,11,898,
35029,"Etobicoke North/Etobicoke-Nord"," 602","Toronto",30,470,160,40,5,1,706,
35029,"Etobicoke North/Etobicoke-Nord"," 603","Toronto",18,495,128,47,5,9,702,
35029,"Etobicoke North/Etobicoke-Nord"," 604","Toronto",23,452,282,46,8,0,811,
35029,"Etobicoke North/Etobicoke-Nord"," 605","Toronto",20,539,152,69,4,9,793,
35029,"Etobicoke North/Etobicoke-Nord"," 606","Toronto",32,671,244,116,6,6,1075,
35029,"Etobicoke North/Etobicoke-Nord"," 607","Toronto",36,470,278,93,4,4,885,
35029,"Etobicoke North/Etobicoke-Nord"," 608","Toronto",62,558,279,87,9,7,1002,
35029,"Etobicoke North/Etobicoke-Nord"," 609","Toronto",50,390,187,63,5,3,698,
35029,"Etobicoke North/Etobicoke-Nord"," 610","Toronto",51,321,164,49,3,0,588,
35029,"Etobicoke North/Etobicoke-Nord"," 611","Toronto",49,396,279,82,5,4,815,
35029,"Etobicoke North/Etobicoke-Nord"," 612","Toronto",31,465,184,62,8,6,756,
35029,"Etobicoke North/Etobicoke-Nord"," 613","Toronto",39,532,165,43,5,2,786,
35029,"Etobicoke North/Etobicoke-Nord"," 614","Toronto",23,126,97,25,1,2,274,
35029,"Etobicoke North/Etobicoke-Nord",,Group 1/Groupe 1, 5,157,41,32,5,42,282,149
35029,"Etobicoke North/Etobicoke-Nord",,Group 2/Groupe 2, 34,562,258,128,11,115,1108,
