Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Cannings,Tara Howse,Helena Konanz,Ken Robertson,Sean Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 77","Penticton",54,3,42,13,3,0,115,361
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 78","Penticton",88,8,47,26,6,1,176,554
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 79","Penticton",59,3,35,17,3,0,117,420
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 80","Penticton",57,5,40,4,6,0,112,370
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 81","Penticton",60,1,36,18,3,2,120,429
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 82","Penticton",27,3,51,10,4,0,95,275
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 83","Burton",68,22,87,26,21,2,226,528
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 84","Kaleden",102,4,96,18,8,1,229,449
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 85","Keremeos Forks 12 & 12A",45,3,66,18,14,1,147,363
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 86","Kaleden",88,6,59,23,12,0,188,352
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 87","Kaleden",96,8,111,37,10,1,263,556
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 88","Beaverdell",39,18,74,18,48,0,197,347
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 89","Okanagan Falls",44,1,60,22,6,0,133,425
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 90","Okanagan Falls",39,4,56,23,5,0,127,413
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 91","Okanagan Falls",37,2,40,8,8,1,96,334
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 92","Okanagan Falls",30,1,25,12,2,0,70,326
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 93","Okanagan Falls",35,1,42,9,9,0,96,359
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 94","Okanagan Falls",59,2,54,12,5,0,132,495
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 95","Okanagan Falls",43,1,32,13,7,0,96,361
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 96","Okanagan Falls",63,2,79,30,8,2,184,481
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 97","Okanagan Falls",35,3,37,14,7,0,96,304
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 98","Silverton",63,12,36,12,12,1,136,341
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 99","Willowbrook",37,2,56,19,11,0,125,559
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 100","Oliver",47,8,63,35,14,0,167,480
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 101","Eagle Bluff",35,2,44,16,4,0,101,330
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 102","Oliver",35,3,43,10,5,0,96,320
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 103","Oliver",23,2,33,11,6,0,75,254
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 104","Oliver",18,1,19,5,3,0,46,220
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 105","Oliver",40,1,41,28,4,0,114,413
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 106","Oliver",53,7,45,20,9,0,134,450
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 107","Oliver",33,2,52,23,9,1,120,534
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 108","Oliver",32,2,34,16,1,0,85,329
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 109","Oliver",64,11,48,36,10,2,171,517
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 110A","Oliver",22,4,28,4,13,0,71,261
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 110B","Mobile poll/Bureau itinérant",7,1,7,10,3,0,28,41
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 111","Oliver",41,6,36,19,9,0,111,354
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 112","Oliver",44,7,48,20,11,0,130,412
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 113","Oliver",23,0,16,18,2,0,59,290
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 114","Oliver",35,6,34,26,7,0,108,389
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 115","Oliver",27,6,51,42,12,2,140,467
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 116","Oliver",23,3,28,9,5,0,68,269
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 117","Oliver",35,3,34,33,10,0,115,293
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 118","Fairview",43,4,38,33,9,1,128,411
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 119","Slocan",57,11,16,7,23,1,115,240
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 120","Slocan",102,19,22,25,34,0,202,405
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 121","Oliver",16,1,6,4,2,0,29,87
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 122","Oliver",88,5,99,49,16,0,257,940
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 123","Grand Forks",50,7,45,2,14,0,118,340
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 124","Grand Forks",54,8,46,16,14,0,138,509
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 125","Almond Gardens",22,3,29,13,7,0,74,299
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 126","Grand Forks",62,4,55,23,26,2,172,585
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 127","Grand Forks",57,5,35,15,6,0,118,420
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 128","Almond Gardens",32,1,45,12,2,0,92,316
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 129","Grand Forks",82,9,63,13,24,1,192,580
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 130","Carson",28,3,45,12,8,1,97,390
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 131","Grand Forks",35,7,46,9,13,0,110,358
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 132","Carson",37,5,42,12,9,0,105,304
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 133","Vallican",65,14,17,6,24,0,126,388
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 134","Appledale",120,25,28,11,32,2,218,421
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 135","Winlaw",100,14,26,12,26,0,178,422
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 136","Winlaw",77,26,17,8,24,1,153,330
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 137","Slocan Park",42,4,18,7,14,0,85,474
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 138","Deer Park",75,9,63,19,17,0,183,463
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 139","Pass Creek",62,10,44,9,14,1,140,437
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 140","Krestova",51,3,19,7,9,1,90,334
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 141","Robson",103,8,47,11,17,0,186,372
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 142","Thrums",79,8,25,8,14,0,134,438
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 143","Robson",65,5,66,9,24,1,170,412
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 144","Raspberry",64,10,43,8,18,1,144,379
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 145","Osoyoos",14,2,32,24,2,1,75,247
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 146","Osoyoos",32,3,37,12,4,1,89,389
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 147","Osoyoos",36,1,45,24,5,0,111,386
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 148","Osoyoos",23,0,41,23,10,0,97,340
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 149","Osoyoos",57,3,62,28,9,0,159,652
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 150","Osoyoos",35,6,44,23,7,0,115,571
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 151","Osoyoos",34,4,89,23,11,0,161,593
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 152","Osoyoos",25,5,38,8,11,2,89,384
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 153","Osoyoos",32,0,42,17,3,1,95,492
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 154","Osoyoos",39,1,39,24,8,3,114,404
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 155","Osoyoos",44,4,34,18,13,0,113,439
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 156","Osoyoos",36,1,30,24,3,1,95,415
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 157","Osoyoos",23,4,46,11,7,0,91,381
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 158","Osoyoos",12,2,17,15,2,0,48,255
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 159","Osoyoos",16,1,33,35,5,0,90,364
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 160","Osoyoos",36,4,57,34,1,2,134,361
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 161","Westbridge",25,5,26,7,27,0,90,309
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 162","Bridesville",20,3,41,5,20,0,89,285
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 163","Rock Creek",40,3,85,10,17,1,156,496
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 164","Greenwood",40,3,45,21,16,0,125,443
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 165","Greenwood",40,2,42,9,18,0,111,483
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 166","Krestova",55,8,18,1,16,0,98,348
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 167","Crescent Valley",64,12,26,12,13,0,127,398
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 168","Crescent Valley",60,9,18,4,10,1,102,323
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 169","Shoreacres",83,10,31,10,6,0,140,406
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 170","Glade",42,4,20,15,9,0,90,217
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 171","Tarrys",69,6,43,5,15,0,138,390
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 172A","West Midway",55,0,46,20,5,0,126,280
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 172B","Mobile poll/Bureau itinérant",7,2,4,4,1,0,18,20
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 173","West Midway",37,1,52,14,13,0,117,276
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 174","Castlegar",Merged with No./Fusionné avec le n°175,,,,,,,319
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 175","Castlegar",86,12,56,16,22,1,193,350
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 176","Castlegar",57,5,26,15,5,2,110,472
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 177","Castlegar",63,6,46,21,7,2,145,436
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 178","Castlegar",69,8,36,16,11,0,140,491
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 179","Castlegar",64,6,47,18,11,1,147,484
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 180","Castlegar",Merged with No./Fusionné avec le n°189,,,,,,,359
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 181","Castlegar",59,10,41,11,8,0,129,436
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 182","Ootischenia",Merged with No./Fusionné avec le n°183,,,,,,,362
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 183","Castlegar",97,6,89,27,12,0,231,374
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 184","Castlegar",40,3,46,12,5,1,107,408
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 185","Castlegar",93,9,62,8,13,0,185,501
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 186","Ootischenia",50,7,65,14,6,0,142,460
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 187","Castlegar",63,2,41,9,6,2,123,398
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 188","Castlegar",87,8,64,36,9,0,204,629
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 189","Castlegar",90,5,53,18,13,0,179,370
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 190","Ootischenia",51,1,48,16,8,0,124,403
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 191","Grand Forks",42,4,69,4,19,0,138,436
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 192","Grand Forks",50,2,37,5,9,0,103,341
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 193","Grand Forks",52,5,20,20,13,0,110,423
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 194","Grand Forks",38,5,40,11,9,0,103,459
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 195","Grand Forks",34,7,46,11,14,0,112,416
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 196","Christina Lake",101,10,91,18,24,0,244,531
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 197","Christina Lake",62,9,71,25,10,2,179,363
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 198","Christina Lake",98,8,90,28,16,2,242,511
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 199","Blueberry Creek",25,3,30,13,4,0,75,230
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 200","Castlegar",47,5,27,6,5,0,90,325
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 201","China Creek",89,10,56,21,7,1,184,390
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 202","Genelle",83,8,55,19,7,0,172,305
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 203","Oasis",55,8,41,25,7,0,136,283
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 204","Rossland",65,10,53,17,4,0,149,362
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 205","Rossland",47,14,16,16,7,0,100,283
