Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Intab Ali,Tom Dingwall,Allen Keith Hadley,Mark Holland,Maia Knight,Shokat Malik,Susanna Russo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35001,"Ajax/Ajax"," 76","Ajax",0,57,1,124,19,38,3,5,247,505
35001,"Ajax/Ajax"," 77","Ajax",0,61,1,140,8,26,3,5,244,512
35001,"Ajax/Ajax"," 78","Ajax",0,52,1,136,6,36,2,3,236,450
35001,"Ajax/Ajax"," 79","Ajax",1,59,0,133,8,44,3,0,248,539
35001,"Ajax/Ajax"," 80","Ajax",0,27,0,128,3,28,1,3,190,423
35001,"Ajax/Ajax"," 81","Ajax",0,46,0,92,6,29,5,3,181,450
35001,"Ajax/Ajax"," 82","Ajax",0,67,1,152,19,34,2,9,284,533
35001,"Ajax/Ajax"," 83","Ajax",0,53,0,108,6,19,0,2,188,395
35001,"Ajax/Ajax"," 84","Ajax",1,54,0,134,6,32,0,3,230,490
35001,"Ajax/Ajax"," 85","Ajax",0,50,0,132,5,35,4,3,229,533
35001,"Ajax/Ajax"," 86","Ajax",0,56,2,145,3,29,4,0,239,481
35001,"Ajax/Ajax"," 87","Ajax",0,42,1,121,11,23,1,3,202,478
35001,"Ajax/Ajax"," 88","Ajax",1,66,1,120,7,31,3,0,229,520
35001,"Ajax/Ajax"," 89","Ajax",0,70,2,136,14,31,3,1,257,488
35001,"Ajax/Ajax"," 90","Ajax",0,74,0,121,8,31,0,2,236,575
35001,"Ajax/Ajax"," 91","Ajax",1,55,1,119,12,46,1,1,236,547
35001,"Ajax/Ajax"," 92","Ajax",0,29,0,136,4,27,1,2,199,459
35001,"Ajax/Ajax"," 93","Ajax",0,65,1,142,5,19,3,0,235,466
35001,"Ajax/Ajax"," 94","Ajax",1,56,2,143,8,27,2,0,239,459
35001,"Ajax/Ajax"," 95","Ajax",0,66,0,151,3,30,3,3,256,509
35001,"Ajax/Ajax"," 96","Ajax",1,60,0,140,7,37,2,1,248,529
35001,"Ajax/Ajax"," 97","Ajax",0,64,0,132,10,23,0,3,232,521
35001,"Ajax/Ajax"," 98","Ajax",1,52,0,165,9,34,1,5,267,581
35001,"Ajax/Ajax"," 99","Ajax",0,55,1,130,7,27,1,3,224,469
35001,"Ajax/Ajax"," 100","Ajax",2,34,0,135,2,38,3,3,217,436
35001,"Ajax/Ajax"," 101","Ajax",0,58,0,114,6,24,1,2,205,428
35001,"Ajax/Ajax"," 102","Ajax",0,69,2,106,11,63,2,1,254,524
35001,"Ajax/Ajax"," 103","Ajax",2,37,0,104,6,22,4,2,177,412
35001,"Ajax/Ajax"," 104","Ajax",1,71,0,156,9,22,1,3,263,471
35001,"Ajax/Ajax"," 105","Ajax",0,78,1,143,8,41,5,8,284,553
35001,"Ajax/Ajax"," 106","Ajax",3,75,2,141,4,13,0,0,238,482
35001,"Ajax/Ajax"," 107","Ajax",1,82,0,139,7,22,1,2,254,499
35001,"Ajax/Ajax"," 108","Ajax",0,75,1,165,3,22,2,2,270,516
35001,"Ajax/Ajax"," 109","Ajax",1,75,0,121,11,12,2,1,223,529
35001,"Ajax/Ajax"," 110","Ajax",0,76,3,146,11,19,0,3,258,508
35001,"Ajax/Ajax"," 111","Ajax",0,68,0,176,9,24,9,0,286,532
35001,"Ajax/Ajax"," 112","Ajax",0,80,1,125,5,24,0,3,238,476
35001,"Ajax/Ajax"," 113","Ajax",0,74,0,114,4,40,6,0,238,519
35001,"Ajax/Ajax"," 114","Ajax",0,43,0,110,10,18,2,1,184,351
35001,"Ajax/Ajax"," 115","Ajax",0,67,1,76,17,39,9,1,210,440
35001,"Ajax/Ajax"," 116","Ajax",0,85,1,80,19,47,5,1,238,473
35001,"Ajax/Ajax"," 117","Ajax",0,30,0,117,8,23,3,3,184,442
35001,"Ajax/Ajax"," 118","Ajax",0,42,0,105,10,22,4,1,184,403
35001,"Ajax/Ajax"," 119","Ajax",0,63,1,159,12,26,2,0,263,594
35001,"Ajax/Ajax"," 120","Ajax",2,77,1,137,7,34,4,3,265,581
35001,"Ajax/Ajax"," 121","Ajax",0,94,1,129,9,32,0,0,265,500
35001,"Ajax/Ajax"," 122","Ajax",0,56,2,145,4,18,3,0,228,512
35001,"Ajax/Ajax"," 123","Ajax",0,43,0,161,4,30,1,4,243,516
35001,"Ajax/Ajax"," 124","Ajax",0,32,0,121,10,25,0,0,188,499
35001,"Ajax/Ajax"," 125","Ajax",1,35,0,141,6,27,0,1,211,556
35001,"Ajax/Ajax"," 126","Ajax",0,52,0,143,10,21,5,0,231,453
35001,"Ajax/Ajax"," 127","Ajax",0,62,1,111,6,25,3,0,208,487
35001,"Ajax/Ajax"," 128","Ajax",0,52,0,148,6,32,1,8,247,489
35001,"Ajax/Ajax"," 129","Ajax",0,72,2,94,8,30,0,2,208,349
35001,"Ajax/Ajax"," 130","Ajax",1,50,2,144,9,39,7,3,255,469
35001,"Ajax/Ajax"," 131","Ajax",1,49,1,115,5,29,0,0,200,424
35001,"Ajax/Ajax"," 132","Ajax",0,79,1,102,13,25,1,0,221,537
35001,"Ajax/Ajax"," 133","Ajax",0,56,1,135,5,28,2,3,230,424
35001,"Ajax/Ajax"," 134","Ajax",3,62,1,134,6,38,2,3,249,484
35001,"Ajax/Ajax"," 135","Ajax",1,79,0,77,12,33,3,0,205,365
35001,"Ajax/Ajax"," 136","Ajax",0,95,1,103,13,36,8,1,257,479
35001,"Ajax/Ajax"," 137","Ajax",2,62,1,92,10,25,3,4,199,385
35001,"Ajax/Ajax"," 138","Ajax",0,67,2,103,4,31,4,1,212,397
35001,"Ajax/Ajax"," 139","Ajax",0,65,0,109,15,30,1,2,222,427
35001,"Ajax/Ajax"," 140","Ajax",0,77,2,106,12,26,0,1,224,416
35001,"Ajax/Ajax"," 141","Ajax",1,76,2,140,15,38,8,1,281,533
35001,"Ajax/Ajax"," 142","Ajax",2,58,4,107,9,40,3,1,224,493
35001,"Ajax/Ajax"," 143","Ajax",2,54,2,108,11,36,6,1,220,487
35001,"Ajax/Ajax"," 144","Ajax",1,51,1,123,10,25,2,1,214,511
35001,"Ajax/Ajax"," 145","Ajax",0,32,2,150,6,27,2,0,219,463
35001,"Ajax/Ajax"," 146","Ajax",0,36,2,116,12,21,2,1,190,430
35001,"Ajax/Ajax"," 147","Ajax",0,59,2,83,15,32,5,0,196,506
35001,"Ajax/Ajax"," 148","Ajax",0,60,1,130,8,23,1,0,223,418
35001,"Ajax/Ajax"," 149","Ajax",0,78,0,74,5,38,3,0,198,412
35001,"Ajax/Ajax"," 150","Ajax",1,60,1,102,8,25,6,0,203,383
35001,"Ajax/Ajax"," 151","Ajax",0,44,0,110,6,31,1,4,196,529
35001,"Ajax/Ajax"," 152","Ajax",0,29,0,93,15,24,1,1,163,405
35001,"Ajax/Ajax"," 153","Ajax",1,62,1,107,9,46,2,4,232,525
35001,"Ajax/Ajax"," 154","Ajax",2,53,1,118,7,34,2,1,218,503
35001,"Ajax/Ajax"," 155","Ajax",0,63,0,86,13,23,5,0,190,396
35001,"Ajax/Ajax"," 156","Ajax",1,50,0,120,4,21,4,1,201,463
35001,"Ajax/Ajax"," 157","Ajax",0,86,1,92,13,22,2,2,218,437
35001,"Ajax/Ajax"," 158","Ajax",0,47,0,89,11,16,0,3,166,399
35001,"Ajax/Ajax"," 159","Ajax",0,52,0,78,6,14,2,0,152,364
35001,"Ajax/Ajax"," 160","Ajax",0,53,1,95,6,33,1,1,190,389
35001,"Ajax/Ajax"," 161","Ajax",0,86,0,96,10,32,3,3,230,494
35001,"Ajax/Ajax"," 162","Ajax",0,90,0,113,13,26,1,0,243,497
35001,"Ajax/Ajax"," 163","Ajax",0,45,0,97,8,34,4,3,191,396
35001,"Ajax/Ajax"," 164","Ajax",0,100,1,143,11,24,4,1,284,523
35001,"Ajax/Ajax"," 165","Ajax",4,57,0,131,23,29,2,0,246,455
35001,"Ajax/Ajax"," 166","Ajax",0,89,1,97,9,32,4,2,234,426
35001,"Ajax/Ajax"," 167","Ajax",0,85,0,123,13,30,3,0,254,446
35001,"Ajax/Ajax"," 168","Ajax",1,92,1,118,16,25,2,0,255,489
35001,"Ajax/Ajax"," 169","Ajax",1,84,1,106,15,33,2,0,242,432
35001,"Ajax/Ajax"," 170","Ajax",0,62,0,114,18,37,3,0,234,445
35001,"Ajax/Ajax"," 171","Ajax",0,66,0,102,13,33,2,0,216,394
35001,"Ajax/Ajax"," 172","Ajax",0,83,2,106,4,22,4,0,221,394
35001,"Ajax/Ajax"," 173","Ajax",0,84,3,119,8,42,3,0,259,440
35001,"Ajax/Ajax"," 174","Ajax",0,71,1,106,7,33,6,3,227,393
35001,"Ajax/Ajax"," 175","Ajax",1,72,0,129,19,33,1,1,256,416
35001,"Ajax/Ajax"," 176","Ajax",1,118,0,125,12,25,2,0,283,500
35001,"Ajax/Ajax"," 177","Ajax",1,62,1,120,11,21,1,0,217,453
35001,"Ajax/Ajax"," 178","Ajax",0,86,0,131,14,42,3,0,276,483
35001,"Ajax/Ajax"," 179","Ajax",0,88,0,139,14,33,3,2,279,495
35001,"Ajax/Ajax"," 180","Ajax",2,61,1,140,11,30,3,1,249,506
35001,"Ajax/Ajax"," 181","Ajax",1,93,1,148,11,26,3,0,283,452
35001,"Ajax/Ajax"," 182","Ajax",0,96,0,87,10,26,0,2,221,347
35001,"Ajax/Ajax"," 183","Ajax",0,112,3,143,14,21,4,0,297,498
35001,"Ajax/Ajax"," 184","Ajax",2,77,2,110,9,17,2,0,219,455
35001,"Ajax/Ajax"," 185","Ajax",1,103,1,85,9,10,1,0,210,351
35001,"Ajax/Ajax"," 400","Ajax",2,25,1,43,4,8,0,2,85,111
35001,"Ajax/Ajax"," 401","Ajax",3,41,1,73,11,14,1,8,152,227
35001,"Ajax/Ajax"," 402","Ajax",1,56,1,76,2,22,0,2,160,200
35001,"Ajax/Ajax"," 403","Ajax",1,48,0,126,7,33,3,2,220,345
35001,"Ajax/Ajax"," 404","Ajax",0,89,0,100,7,19,1,4,220,313
35001,"Ajax/Ajax"," 405","Ajax",0,47,0,98,9,37,1,6,198,348
35001,"Ajax/Ajax"," 406","Ajax",0,62,0,116,11,14,1,3,207,303
35001,"Ajax/Ajax"," 407","Ajax",0,47,0,95,10,29,1,1,183,346
35001,"Ajax/Ajax"," 408","Ajax",1,39,0,72,9,21,1,0,143,236
35001,"Ajax/Ajax"," 500","Mobile poll/Bureau itinérant",0,21,1,58,6,8,1,0,95,233
35001,"Ajax/Ajax"," 501","Mobile poll/Bureau itinérant",1,44,2,64,5,9,0,8,133,202
35001,"Ajax/Ajax"," 502","Mobile poll/Bureau itinérant",1,36,0,31,4,9,1,7,89,181
35001,"Ajax/Ajax"," 600","Ajax",0,223,2,606,15,101,12,5,964,
35001,"Ajax/Ajax"," 601","Ajax",1,205,1,635,20,101,12,6,981,
35001,"Ajax/Ajax"," 602","Ajax",1,252,1,560,12,73,4,0,903,
35001,"Ajax/Ajax"," 603","Ajax",1,202,1,604,23,62,5,9,907,
35001,"Ajax/Ajax"," 604","Ajax",0,211,4,709,15,88,7,1,1035,
35001,"Ajax/Ajax"," 605","Ajax",0,247,3,501,24,87,3,5,870,
35001,"Ajax/Ajax"," 606","Ajax",1,167,3,467,34,64,4,10,750,
35001,"Ajax/Ajax"," 607","Ajax",0,300,3,473,39,89,7,3,914,
35001,"Ajax/Ajax"," 608","Ajax",4,232,4,585,40,115,10,0,990,
35001,"Ajax/Ajax"," 609","Ajax",0,311,1,632,35,95,16,14,1104,
35001,"Ajax/Ajax"," 610","Ajax",2,252,1,351,37,71,6,2,722,
35001,"Ajax/Ajax"," 611","Ajax",0,172,0,348,27,60,6,8,621,
35001,"Ajax/Ajax"," 612","Ajax",0,197,1,494,23,62,8,2,787,
35001,"Ajax/Ajax"," 613","Ajax",0,181,0,253,23,51,15,6,529,
35001,"Ajax/Ajax"," 614","Ajax",1,289,2,390,51,63,9,4,809,
35001,"Ajax/Ajax"," 615","Ajax",3,350,1,462,44,88,8,8,964,
35001,"Ajax/Ajax"," 616","Ajax",1,381,2,659,62,105,19,3,1232,
35001,"Ajax/Ajax",,Group 1/Groupe 1, 0,24,0,73,3,13,6,1,120,156
35001,"Ajax/Ajax",,Group 2/Groupe 2, 0,256,5,744,52,160,16,24,1257,
