Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Xavier Barsalou-Duval,Alexandre Blais,Laurent de Casanove,Jean-François Filion,Vincent Kunda,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 163","Boucherville",45,0,76,2,20,1,144,444
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 164","Boucherville",38,2,82,2,12,2,138,554
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 165","Boucherville",61,1,67,6,14,1,150,356
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 166","Boucherville",71,2,80,3,23,4,183,441
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 167","Boucherville",56,3,106,6,28,1,200,467
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 168","Boucherville",54,1,64,3,21,0,143,451
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 169","Boucherville",72,0,81,2,19,0,174,399
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 170","Boucherville",76,0,71,4,22,0,173,362
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 171","Boucherville",53,0,109,1,17,0,180,388
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 172","Boucherville",51,2,93,4,25,5,180,447
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 173","Boucherville",85,0,93,1,15,0,194,454
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 174","Boucherville",66,0,132,4,19,0,221,472
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 175","Boucherville",67,2,91,1,17,0,178,416
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 176","Boucherville",59,1,95,2,22,0,179,435
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 177","Boucherville",70,1,66,6,15,2,160,329
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 178","Boucherville",74,4,70,6,16,0,170,389
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 179","Boucherville",98,3,75,3,20,1,200,447
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 180","Boucherville",74,0,47,1,21,2,145,391
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 181","Boucherville",105,1,104,6,14,2,232,509
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 182","Boucherville",73,1,58,7,21,2,162,423
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 183","Boucherville",65,3,77,9,12,1,167,462
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 184","Boucherville",84,0,76,10,16,2,188,360
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 185","Boucherville",71,3,107,5,11,1,198,451
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 400","Mobile poll/Bureau itinérant",13,2,18,0,3,3,39,96
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 401","Boucherville",29,1,40,2,1,2,75,117
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 402","Boucherville",29,1,86,2,1,6,125,177
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 403","Boucherville",107,1,217,4,8,6,343,419
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 500","Contrecoeur",Combined with No./Résultats combinés à ceux du n°7,,,,,,,0
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,21
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 502","Mobile poll/Bureau itinérant",13,0,15,1,2,6,37,60
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,9
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 504","	Saint-Antoine-sur-Richelieu",Combined with No./Résultats combinés à ceux du n°18,,,,,,,0
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,56
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 506","Saint-Marc-sur-Richelieu",Combined with No./Résultats combinés à ceux du n°36,,,,,,,0
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 507","Mobile poll/Bureau itinérant",60,1,83,1,7,7,159,202
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 508","Mobile poll/Bureau itinérant",17,4,22,1,2,10,56,36
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°136C,,,,,,,70
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 510","Mobile poll/Bureau itinérant",14,0,11,0,2,0,27,59
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,34
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 512","Boucherville",Combined with No./Résultats combinés à ceux du n°129,,,,,,,0
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°136C,,,,,,,84
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 600","Contrecoeur",820,11,391,33,112,21,1388,
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 601","Contrecoeur--Saint-Marc-sur-Richelieu",336,6,207,20,82,4,655,
