Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sat Anand,Amandeep Judge,Ruby Sahota,Ruby Zaman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 65","Brampton",0,70,82,3,2,157,508
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 66","Brampton",6,52,68,4,1,131,397
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 67","Brampton",2,102,88,2,7,201,496
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 68A","Brampton",1,60,147,2,4,214,475
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 68B","Brampton",1,66,105,4,4,180,461
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 69A","Brampton",0,78,65,1,4,148,308
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 69B","Brampton",1,92,64,4,0,161,320
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 70","Brampton",2,74,99,7,0,182,401
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 71","Brampton",0,73,78,7,0,158,429
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 72","Brampton",2,103,93,11,0,209,463
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 73","Brampton",4,121,127,6,2,260,640
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 74","Brampton",5,111,124,6,0,246,646
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 75","Brampton",2,70,83,3,3,161,404
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 76A","Brampton",3,88,60,7,1,159,331
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 76B","Brampton",1,87,80,5,0,173,363
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 77","Brampton",2,70,72,5,2,151,350
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 78A","Brampton",3,82,88,3,2,178,353
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 78B","Brampton",4,68,53,5,0,130,338
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 79","Brampton",1,88,67,1,8,165,420
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 80","Brampton",3,71,72,3,4,153,327
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 81","Brampton",7,58,100,6,4,175,383
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 82A","Brampton",4,67,54,0,0,125,349
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 82B","Brampton",1,84,52,3,1,141,363
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 83","Brampton",2,79,73,4,1,159,367
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 84","Brampton",5,89,67,6,1,168,471
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 85","Brampton",3,131,125,11,7,277,550
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 86","Brampton",3,53,75,2,1,134,352
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 87","Brampton",6,53,66,3,3,131,376
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 88","Brampton",1,94,118,3,1,217,485
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 89","Brampton",0,78,95,5,0,178,407
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 90","Brampton",2,37,61,3,0,103,374
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 91","Brampton",1,65,73,4,3,146,377
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 92","Brampton",5,102,93,8,0,208,372
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 93","Brampton",1,118,139,5,2,265,480
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 94","Brampton",3,127,98,3,5,236,543
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 95","Brampton",7,98,78,1,0,184,453
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 96","Brampton",0,136,107,3,0,246,560
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 97","Brampton",7,84,122,3,0,216,429
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 98","Brampton",1,121,94,3,3,222,519
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 99","Brampton",6,123,118,3,0,250,582
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 100A","Brampton",3,77,80,2,1,163,362
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 100B","Brampton",4,85,68,0,1,158,383
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 101","Brampton",8,93,67,9,1,178,436
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 102","Brampton",3,63,110,2,4,182,407
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 103A","Brampton",4,76,61,5,2,148,394
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 103B","Brampton",1,71,66,2,2,142,382
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 104","Brampton",2,72,74,1,1,150,339
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 105","Brampton",3,101,87,6,1,198,358
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 106","Brampton",1,88,55,6,0,150,356
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 107","Brampton",2,89,93,6,1,191,428
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 108","Brampton",1,53,63,3,1,121,369
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 109","Brampton",1,102,93,5,5,206,526
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 110","Brampton",2,65,58,3,0,128,393
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 111","Brampton",3,63,50,0,0,116,379
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 112","Brampton",1,64,82,8,0,155,393
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 113","Brampton",1,65,68,5,0,139,388
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 114","Brampton",0,63,51,7,0,121,355
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 115","Brampton",1,66,70,1,0,138,362
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 116","Brampton",3,54,39,2,4,102,397
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 117","Brampton",3,67,68,2,1,141,389
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 118","Brampton",5,57,84,3,4,153,423
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 119","Brampton",2,60,75,2,3,142,463
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 120","Brampton",1,85,68,2,1,157,430
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 121","Brampton",4,36,80,3,3,126,456
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 122","Brampton",7,58,66,3,2,136,468
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 123","Brampton",3,64,90,7,0,164,526
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 124","Brampton",2,58,59,1,1,121,397
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 125","Brampton",6,57,74,2,2,141,399
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 126","Brampton",0,60,73,3,5,141,399
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 127","Caledon",2,131,120,5,3,261,476
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 128","Caledon",1,132,107,2,3,245,469
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 129","Caledon",2,120,135,5,2,264,503
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 130","Caledon",4,165,118,6,6,299,556
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 131","Caledon",3,102,82,3,1,191,399
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 132A","Caledon",3,111,98,4,5,221,577
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 132B","Caledon",2,113,77,4,5,201,473
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 132C","Caledon",5,103,43,0,2,153,457
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 132D","Caledon",2,87,66,3,1,159,443
