Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kaitte Aurora,John Barlow,John Bruinsma,Emma Hoberg,Paul O'Halloran,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Foothills/Foothills"," 40","Turner Valley",6,76,9,0,1,0,92,228
48024,"Foothills/Foothills"," 41","Turner Valley",7,117,34,2,4,1,165,458
48024,"Foothills/Foothills"," 42","Turner Valley",3,74,17,4,2,0,100,354
48024,"Foothills/Foothills"," 43","Turner Valley",2,74,27,2,3,0,108,310
48024,"Foothills/Foothills"," 44","Turner Valley",3,111,23,4,4,1,146,418
48024,"Foothills/Foothills"," 45","Foothills County",1,112,19,0,1,0,133,406
48024,"Foothills/Foothills"," 46","Okotoks",4,104,26,1,5,0,140,378
48024,"Foothills/Foothills"," 47","Okotoks",5,174,36,2,2,0,219,659
48024,"Foothills/Foothills"," 48","Okotoks",7,198,65,4,2,1,277,733
48024,"Foothills/Foothills"," 49","Okotoks",5,149,34,3,3,0,194,485
48024,"Foothills/Foothills"," 50","Okotoks",3,103,38,4,1,0,149,375
48024,"Foothills/Foothills"," 51","Okotoks",5,146,30,1,3,0,185,438
48024,"Foothills/Foothills"," 52","Okotoks",4,117,41,1,2,0,165,533
48024,"Foothills/Foothills"," 53","Okotoks",1,134,38,1,2,0,176,510
48024,"Foothills/Foothills"," 54","Okotoks",1,118,37,1,0,1,158,475
48024,"Foothills/Foothills"," 55","Okotoks",6,146,38,5,1,0,196,492
48024,"Foothills/Foothills"," 56","Okotoks",3,127,26,2,2,1,161,513
48024,"Foothills/Foothills"," 57","Foothills County",4,196,31,0,1,1,233,677
48024,"Foothills/Foothills"," 58","Okotoks",4,132,42,1,3,2,184,540
48024,"Foothills/Foothills"," 59","Okotoks",1,111,21,1,2,0,136,451
48024,"Foothills/Foothills"," 60","Okotoks",8,103,35,4,0,0,150,462
48024,"Foothills/Foothills"," 61","Okotoks",6,160,29,2,1,0,198,479
48024,"Foothills/Foothills"," 62","Okotoks",8,111,26,1,0,0,146,467
48024,"Foothills/Foothills"," 63","Okotoks",3,108,41,6,3,1,162,467
48024,"Foothills/Foothills"," 64","Okotoks",5,148,31,2,3,1,190,482
48024,"Foothills/Foothills"," 65","Okotoks",9,132,25,3,2,0,171,523
48024,"Foothills/Foothills"," 66","Okotoks",3,104,30,0,3,0,140,494
48024,"Foothills/Foothills"," 67","Okotoks",6,118,22,0,5,0,151,468
48024,"Foothills/Foothills"," 68","Okotoks",1,89,26,0,0,0,116,393
48024,"Foothills/Foothills"," 69","Okotoks",5,132,44,2,3,0,186,493
48024,"Foothills/Foothills"," 70","Okotoks",8,141,61,1,3,3,217,580
48024,"Foothills/Foothills"," 71","Okotoks",6,119,32,2,0,0,159,379
48024,"Foothills/Foothills"," 72","Okotoks",3,140,39,1,3,0,186,480
48024,"Foothills/Foothills"," 73","Okotoks",7,142,36,1,2,2,190,507
48024,"Foothills/Foothills"," 74","Okotoks",7,159,32,0,1,1,200,489
48024,"Foothills/Foothills"," 75","Okotoks",5,170,33,1,2,0,211,541
48024,"Foothills/Foothills"," 76","Okotoks",5,137,37,1,1,1,182,472
48024,"Foothills/Foothills"," 77","Black Diamond",2,127,27,1,3,0,160,385
48024,"Foothills/Foothills"," 78","Black Diamond",12,97,27,2,2,0,140,370
48024,"Foothills/Foothills"," 79","Turner Valley",6,121,33,1,1,0,162,348
48024,"Foothills/Foothills"," 80","Black Diamond",15,129,16,3,2,1,166,376
48024,"Foothills/Foothills"," 81","Black Diamond",6,160,31,3,2,0,202,548
48024,"Foothills/Foothills"," 82","Turner Valley",5,75,18,3,1,1,103,378
48024,"Foothills/Foothills"," 83","Black Diamond",4,75,13,0,0,0,92,203
48024,"Foothills/Foothills"," 84","Turner Valley",5,132,33,1,1,1,173,425
48024,"Foothills/Foothills"," 85","Black Diamond",2,151,23,1,2,0,179,437
48024,"Foothills/Foothills"," 86","Okotoks",5,143,38,2,3,0,191,432
48024,"Foothills/Foothills"," 87","Okotoks",6,139,43,0,1,1,190,468
48024,"Foothills/Foothills"," 88","Okotoks",3,127,19,4,3,0,156,444
48024,"Foothills/Foothills"," 89","Okotoks",10,126,35,1,3,0,175,474
48024,"Foothills/Foothills"," 90","Okotoks",6,117,46,2,0,0,171,464
48024,"Foothills/Foothills"," 91","Okotoks",8,185,52,4,1,5,255,682
48024,"Foothills/Foothills"," 92","De Winton",7,136,13,0,2,0,158,384
48024,"Foothills/Foothills"," 93","De Winton",1,95,10,1,1,0,108,357
48024,"Foothills/Foothills"," 94","Okotoks",6,114,36,0,2,1,159,439
48024,"Foothills/Foothills"," 95","Okotoks",2,113,38,0,3,3,159,390
48024,"Foothills/Foothills"," 96","Okotoks",5,174,43,1,0,0,223,647
48024,"Foothills/Foothills"," 97","Okotoks",7,156,50,1,0,1,215,580
48024,"Foothills/Foothills"," 98","Okotoks",4,136,50,2,1,3,196,512
48024,"Foothills/Foothills"," 99","Foothills County",0,111,26,0,0,0,137,378
48024,"Foothills/Foothills"," 100","Okotoks",7,125,24,1,0,0,157,438
48024,"Foothills/Foothills"," 101","Okotoks",7,174,46,5,3,1,236,604
48024,"Foothills/Foothills"," 102","Okotoks",0,57,12,1,3,0,73,220
48024,"Foothills/Foothills"," 103","Okotoks",2,154,20,2,1,0,179,529
48024,"Foothills/Foothills"," 104","Okotoks",7,117,36,0,2,0,162,489
48024,"Foothills/Foothills"," 105","Okotoks",2,152,29,3,6,2,194,522
48024,"Foothills/Foothills"," 106","Okotoks",6,147,46,1,3,0,203,523
48024,"Foothills/Foothills"," 107","Okotoks",5,134,29,3,0,1,172,457
48024,"Foothills/Foothills"," 108","Okotoks",5,105,31,0,2,1,144,434
48024,"Foothills/Foothills"," 109","Okotoks",4,135,36,2,3,2,182,585
48024,"Foothills/Foothills"," 110","Okotoks",4,110,30,2,2,0,148,402
48024,"Foothills/Foothills"," 111","Okotoks",5,145,20,2,4,1,177,559
48024,"Foothills/Foothills"," 112","Gladys",3,138,6,1,2,0,150,420
48024,"Foothills/Foothills"," 113","High River",0,109,12,0,1,0,122,299
48024,"Foothills/Foothills"," 114","High River",6,125,12,0,1,0,144,429
48024,"Foothills/Foothills"," 115","High River",7,97,36,0,2,1,143,430
48024,"Foothills/Foothills"," 116","High River",5,133,30,3,1,0,172,579
48024,"Foothills/Foothills"," 117","High River",7,130,18,0,1,2,158,471
48024,"Foothills/Foothills"," 118","High River",5,90,24,1,5,2,127,537
48024,"Foothills/Foothills"," 119","High River",3,86,23,0,2,1,115,462
48024,"Foothills/Foothills"," 120","High River",1,72,22,0,2,0,97,409
48024,"Foothills/Foothills"," 121","High River",9,121,25,1,1,1,158,549
48024,"Foothills/Foothills"," 122","High River",0,107,21,0,0,0,128,444
48024,"Foothills/Foothills"," 123","High River",4,137,50,1,3,0,195,503
48024,"Foothills/Foothills"," 124","High River",11,142,30,1,5,0,189,487
48024,"Foothills/Foothills"," 125","High River",7,128,44,3,4,3,189,494
48024,"Foothills/Foothills"," 126","High River",7,127,20,0,3,1,158,440
48024,"Foothills/Foothills"," 127A","High River",6,119,33,3,1,1,163,459
48024,"Foothills/Foothills"," 127B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511B,,,,,,,9
48024,"Foothills/Foothills"," 128","High River",4,152,25,1,2,1,185,476
48024,"Foothills/Foothills"," 129","High River",4,98,31,1,2,2,138,400
48024,"Foothills/Foothills"," 130","Mossleigh",5,209,15,2,4,0,235,368
48024,"Foothills/Foothills"," 131","Longview",3,165,30,3,2,0,203,352
48024,"Foothills/Foothills"," 132","Eden Valley 216",2,17,37,3,0,0,59,236
48024,"Foothills/Foothills"," 133","Longview",3,157,20,1,4,0,185,303
48024,"Foothills/Foothills"," 134","Azure",0,151,26,3,5,1,186,428
48024,"Foothills/Foothills"," 135","High River",2,138,40,4,4,3,191,514
48024,"Foothills/Foothills"," 136","High River",4,122,25,0,4,3,158,494
48024,"Foothills/Foothills"," 137","High River",2,106,32,0,1,1,142,424
48024,"Foothills/Foothills"," 138","High River",4,147,36,5,4,2,198,495
48024,"Foothills/Foothills"," 139","High River",4,123,25,2,1,1,156,350
48024,"Foothills/Foothills"," 140","High River",6,120,29,4,5,3,167,445
48024,"Foothills/Foothills"," 141","High River",6,133,42,1,6,1,189,483
48024,"Foothills/Foothills"," 142","High River",5,158,35,2,3,3,206,468
48024,"Foothills/Foothills"," 143","High River",7,151,38,3,5,1,205,478
48024,"Foothills/Foothills"," 144","Azure",1,127,25,1,1,0,155,361
48024,"Foothills/Foothills"," 145","Blackie",5,175,23,1,3,2,209,366
48024,"Foothills/Foothills"," 146","Cayley",3,198,15,2,2,0,220,438
48024,"Foothills/Foothills"," 147","Cayley",4,237,36,0,4,0,281,470
48024,"Foothills/Foothills"," 148","Brant",1,124,10,1,6,0,142,460
48024,"Foothills/Foothills"," 149","Vulcan",5,96,13,2,3,1,120,369
48024,"Foothills/Foothills"," 150","Vulcan",7,89,6,2,1,0,105,313
48024,"Foothills/Foothills"," 151","Vulcan",1,101,12,0,5,3,122,428
48024,"Foothills/Foothills"," 152","Vulcan",6,111,19,2,1,0,139,342
48024,"Foothills/Foothills"," 153","Vulcan",0,102,20,1,1,1,125,344
48024,"Foothills/Foothills"," 154","Nanton",1,145,22,2,3,0,173,450
48024,"Foothills/Foothills"," 155","Nanton",6,136,19,4,1,0,166,505
48024,"Foothills/Foothills"," 156","Nanton",4,120,19,1,0,0,144,459
48024,"Foothills/Foothills"," 157","Nanton",6,130,31,0,1,0,168,466
48024,"Foothills/Foothills"," 158","Nanton",3,101,19,2,3,0,128,407
48024,"Foothills/Foothills"," 159","Parkland",4,125,8,0,2,0,139,453
48024,"Foothills/Foothills"," 160","Nanton",0,54,2,0,0,0,56,90
48024,"Foothills/Foothills"," 161","Stavely",3,209,24,3,3,0,242,364
48024,"Foothills/Foothills"," 162","Stavely",7,157,14,1,2,2,183,284
48024,"Foothills/Foothills"," 163","Stavely",4,163,10,0,2,0,179,329
48024,"Foothills/Foothills"," 164","Claresholm",1,107,8,0,2,0,118,365
48024,"Foothills/Foothills"," 165","Claresholm",2,102,9,2,1,1,117,359
48024,"Foothills/Foothills"," 166","Claresholm",12,100,23,3,0,0,138,413
48024,"Foothills/Foothills"," 167","Claresholm",3,126,14,0,0,0,143,335
48024,"Foothills/Foothills"," 168","Claresholm",8,121,27,3,2,0,161,353
48024,"Foothills/Foothills"," 169","Claresholm",5,107,21,2,1,0,136,343
48024,"Foothills/Foothills"," 170","Claresholm",2,81,31,2,4,0,120,350
48024,"Foothills/Foothills"," 171","Claresholm",4,108,28,0,0,0,140,357
48024,"Foothills/Foothills"," 172","Claresholm",8,100,25,1,4,0,138,385
48024,"Foothills/Foothills"," 173","Claresholm",3,94,13,0,1,0,111,252
48024,"Foothills/Foothills"," 174","Claresholm",6,115,25,2,7,1,156,415
48024,"Foothills/Foothills"," 175A","Crowsnest Pass",5,132,30,3,5,1,176,461
48024,"Foothills/Foothills"," 175B","Mobile poll/Bureau itinérant",4,43,9,4,1,0,61,80
48024,"Foothills/Foothills"," 176","Sentinel",2,164,29,0,2,2,199,528
48024,"Foothills/Foothills"," 177","Crowsnest Pass",6,126,58,5,0,0,195,482
48024,"Foothills/Foothills"," 178","Crowsnest Pass",3,130,46,5,7,0,191,476
48024,"Foothills/Foothills"," 179","Granum",0,111,10,0,1,1,123,299
48024,"Foothills/Foothills"," 180","Granum",6,127,13,0,1,1,148,338
48024,"Foothills/Foothills"," 181","Granum",9,124,28,2,1,0,164,315
48024,"Foothills/Foothills"," 182","Crowsnest Pass",3,80,16,1,0,0,100,319
48024,"Foothills/Foothills"," 183","Crowsnest Pass",2,73,19,0,0,0,94,349
48024,"Foothills/Foothills"," 184","Crowsnest Pass",6,98,30,0,0,0,134,371
48024,"Foothills/Foothills"," 185","Crowsnest Pass",0,91,10,2,4,0,107,314
48024,"Foothills/Foothills"," 186","Crowsnest Pass",3,96,23,1,2,1,126,367
48024,"Foothills/Foothills"," 187","Tod Creek",4,112,19,1,3,1,140,327
48024,"Foothills/Foothills"," 188","Lundbreck",8,165,34,2,2,1,212,368
48024,"Foothills/Foothills"," 189","Lundbreck",3,137,24,0,1,2,167,351
48024,"Foothills/Foothills"," 190","Fort Macleod",0,148,8,0,2,0,158,286
48024,"Foothills/Foothills"," 191","Fort Macleod",1,142,9,2,6,0,160,290
48024,"Foothills/Foothills"," 192","Fort Macleod",6,113,22,3,2,0,146,466
48024,"Foothills/Foothills"," 193","Fort Macleod",4,123,25,1,2,0,155,368
48024,"Foothills/Foothills"," 194","Fort Macleod",6,104,23,0,1,1,135,367
48024,"Foothills/Foothills"," 195","Crowsnest Pass",1,120,26,6,4,1,158,361
48024,"Foothills/Foothills"," 196","Crowsnest Pass",6,146,34,1,3,0,190,421
48024,"Foothills/Foothills"," 197","Crowsnest Pass",13,143,36,1,2,0,195,442
48024,"Foothills/Foothills"," 198","Hillcrest Mines",2,104,18,2,4,0,130,400
48024,"Foothills/Foothills"," 199","Summerview",2,115,9,2,0,1,129,342
48024,"Foothills/Foothills"," 200","Pincher Creek",6,114,23,1,3,0,147,397
48024,"Foothills/Foothills"," 201","Pincher Creek",5,78,10,2,4,2,101,372
48024,"Foothills/Foothills"," 202","Pincher Creek",7,94,21,3,4,0,129,387
48024,"Foothills/Foothills"," 203","Pincher Creek",9,110,12,2,0,1,134,366
48024,"Foothills/Foothills"," 204","Piikani 147",21,11,83,1,1,0,117,485
48024,"Foothills/Foothills"," 205","Piikani 147",17,21,91,4,2,1,136,460
48024,"Foothills/Foothills"," 206","Fort Macleod",7,131,43,1,3,1,186,384
48024,"Foothills/Foothills"," 207","Fort Macleod",11,84,24,2,1,1,123,324
48024,"Foothills/Foothills"," 208","Fort Macleod",7,76,26,0,0,0,109,307
48024,"Foothills/Foothills"," 209","Fort Macleod",6,104,22,0,5,0,137,318
48024,"Foothills/Foothills"," 210","Fort Macleod",4,168,14,3,6,0,195,354
48024,"Foothills/Foothills"," 211","Ardenville",1,73,6,0,3,0,83,224
48024,"Foothills/Foothills"," 212","Pincher Creek",4,129,23,1,0,0,157,415
48024,"Foothills/Foothills"," 213","Pincher Creek",6,120,35,6,2,0,169,407
48024,"Foothills/Foothills"," 214","Pincher Creek",7,113,20,2,3,0,145,370
48024,"Foothills/Foothills"," 215","Pincher Creek",8,118,23,0,2,0,151,452
48024,"Foothills/Foothills"," 216","Pincher Creek",5,76,20,1,1,1,104,332
48024,"Foothills/Foothills"," 217","Beaver Mines",1,100,28,2,1,1,133,362
48024,"Foothills/Foothills"," 218","Fort Macleod",1,101,7,0,0,4,113,356
48024,"Foothills/Foothills"," 219","Glenwood",1,130,15,2,0,0,148,293
48024,"Foothills/Foothills"," 220","Blood 148",12,11,66,1,0,0,90,403
48024,"Foothills/Foothills"," 221","Blood 148",16,11,129,3,2,1,162,817
48024,"Foothills/Foothills"," 222","Blood 148",3,6,28,2,0,0,39,320
48024,"Foothills/Foothills"," 223","Blood 148",6,10,52,1,0,0,69,350
48024,"Foothills/Foothills"," 224","Blood 148",4,9,38,2,0,1,54,342
48024,"Foothills/Foothills"," 225","Blood 148",13,12,92,2,0,1,120,452
48024,"Foothills/Foothills"," 226","Twin Butte",8,117,27,2,3,1,158,304
48024,"Foothills/Foothills"," 227","Hill Spring",2,214,20,2,2,1,241,373
48024,"Foothills/Foothills"," 228","Waterton Park",4,50,27,2,0,1,84,129
48024,"Foothills/Foothills"," 228-1","Blood 148A - Blood",Void/Supprimé,,,,,,,
48024,"Foothills/Foothills"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,8
48024,"Foothills/Foothills"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,9
48024,"Foothills/Foothills"," 502","Mobile poll/Bureau itinérant",3,45,5,0,3,1,57,46
48024,"Foothills/Foothills"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,18
48024,"Foothills/Foothills"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,12
48024,"Foothills/Foothills"," 505","Mobile poll/Bureau itinérant",3,68,18,2,0,5,96,129
48024,"Foothills/Foothills"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,49
48024,"Foothills/Foothills"," 507","Okotoks",Combined with No./Résultats combinés à ceux du n°65,,,,,,,0
48024,"Foothills/Foothills"," 508","Mobile poll/Bureau itinérant",1,68,33,0,1,2,105,123
48024,"Foothills/Foothills"," 509","Mobile poll/Bureau itinérant",7,87,22,1,2,3,122,185
48024,"Foothills/Foothills"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,30
48024,"Foothills/Foothills"," 511A","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511B,,,,,,,24
48024,"Foothills/Foothills"," 511B","Mobile poll/Bureau itinérant",5,75,19,1,0,2,102,100
48024,"Foothills/Foothills"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,49
48024,"Foothills/Foothills"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,69
48024,"Foothills/Foothills"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,9
48024,"Foothills/Foothills"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,36
48024,"Foothills/Foothills"," 516","Mobile poll/Bureau itinérant",2,32,9,1,0,0,44,31
48024,"Foothills/Foothills"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,17
48024,"Foothills/Foothills"," 518","Mobile poll/Bureau itinérant",3,73,17,0,1,0,94,71
48024,"Foothills/Foothills"," 519","Mobile poll/Bureau itinérant",1,68,11,1,2,0,83,70
48024,"Foothills/Foothills"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,67
48024,"Foothills/Foothills"," 521","Claresholm",Combined with No./Résultats combinés à ceux du n°174,,,,,,,21
48024,"Foothills/Foothills"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°175B,,,,,,,1
48024,"Foothills/Foothills"," 523","Crowsnest Pass",Combined with No./Résultats combinés à ceux du n°184,,,,,,,2
48024,"Foothills/Foothills"," 524","Crowsnest Pass",Combined with No./Résultats combinés à ceux du n°184,,,,,,,14
48024,"Foothills/Foothills"," 525","Crowsnest Pass",Combined with No./Résultats combinés à ceux du n°195,,,,,,,5
48024,"Foothills/Foothills"," 526","Mobile poll/Bureau itinérant",3,24,9,5,0,0,41,44
48024,"Foothills/Foothills"," 527","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,41
48024,"Foothills/Foothills"," 528","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
48024,"Foothills/Foothills"," 529","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°530,,,,,,,30
48024,"Foothills/Foothills"," 530","Mobile poll/Bureau itinérant",7,89,13,2,1,1,113,80
48024,"Foothills/Foothills"," 531","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°530,,,,,,,60
48024,"Foothills/Foothills"," 600","Bragg Creek",20,480,238,2,4,1,745,
48024,"Foothills/Foothills"," 601","Tsuu T'ina Nation 145",14,191,126,5,1,0,337,
48024,"Foothills/Foothills"," 602","Priddis",4,374,66,5,1,0,450,
48024,"Foothills/Foothills"," 603","Gladys--De Winton",10,820,173,1,2,1,1007,
48024,"Foothills/Foothills"," 604","Gladys--De Winton",18,890,180,5,19,3,1115,
48024,"Foothills/Foothills"," 605","Okotoks",43,1382,376,9,16,5,1831,
48024,"Foothills/Foothills"," 606","De Winton",5,405,109,2,5,1,527,
48024,"Foothills/Foothills"," 607","Diamond Valley",27,930,205,8,25,3,1198,
48024,"Foothills/Foothills"," 608","Turner Valley",26,770,174,7,19,2,998,
48024,"Foothills/Foothills"," 609","Eden Valley 216",Combined with No./Résultats combinés à ceux du n°606,,,,,,,
48024,"Foothills/Foothills"," 610","Okotoks",30,963,294,8,10,4,1309,
48024,"Foothills/Foothills"," 611","Okotoks",31,934,295,11,10,5,1286,
48024,"Foothills/Foothills"," 612","Okotoks",63,1288,446,12,21,6,1836,
48024,"Foothills/Foothills"," 613","Foothills County",31,1273,327,4,12,3,1650,
48024,"Foothills/Foothills"," 614","Okotoks",26,1114,289,7,14,6,1456,
48024,"Foothills/Foothills"," 615","Foothills County",29,1617,293,12,16,6,1973,
48024,"Foothills/Foothills"," 616","High River",48,1261,307,20,19,3,1658,
48024,"Foothills/Foothills"," 617","Foothills County",38,1184,308,13,13,1,1557,
48024,"Foothills/Foothills"," 618","Vulcan",19,692,115,4,8,3,841,
48024,"Foothills/Foothills"," 619","Nanton",28,1073,198,6,13,7,1325,
48024,"Foothills/Foothills"," 620","Blairmore",21,552,160,8,12,2,755,
48024,"Foothills/Foothills"," 621","Claresholm",8,553,92,1,8,1,663,
48024,"Foothills/Foothills"," 622","Claresholm",32,716,141,6,6,2,903,
48024,"Foothills/Foothills"," 623","Fort Macleod",27,756,162,10,6,1,962,
48024,"Foothills/Foothills"," 624","Piikani 147",Combined with No./Résultats combinés à ceux du n°625,,,,,,,
48024,"Foothills/Foothills"," 625","Pincher Creek",27,493,164,4,5,2,695,
48024,"Foothills/Foothills"," 626","Blairmore",29,870,202,11,10,2,1124,
48024,"Foothills/Foothills"," 627","Pincher Creek",22,497,148,7,2,0,676,
48024,"Foothills/Foothills"," 628","Stand Off",10,12,81,2,2,0,107,
48024,"Foothills/Foothills"," 629","Blood 148A - Blood",Combined with No./Résultats combinés à ceux du n°628,,,,,,,
48024,"Foothills/Foothills",,Group 1/Groupe 1, 35,756,319,11,13,48,1182,270
48024,"Foothills/Foothills",,Group 2/Groupe 2, 76,3683,790,16,41,45,4651,
