Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Cindy Andrie,Hans Johnsen,Bill Kudla,Alastair MacFarlane,Rob Moore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13004,"Fundy Royal/Fundy Royal"," 74","Hillsborough",9,7,45,11,84,1,157,411
13004,"Fundy Royal/Fundy Royal"," 75","Hillsborough",10,6,64,5,89,0,174,456
13004,"Fundy Royal/Fundy Royal"," 76","Hillsborough",5,5,38,2,111,2,163,444
13004,"Fundy Royal/Fundy Royal"," 77","Albert Mines",5,11,40,6,131,1,194,486
13004,"Fundy Royal/Fundy Royal"," 78","Hopewell Cape",7,5,44,10,90,1,157,324
13004,"Fundy Royal/Fundy Royal"," 79","Hopewell Hill",1,2,21,4,64,0,92,234
13004,"Fundy Royal/Fundy Royal"," 80","Harvey",3,0,19,3,44,0,69,255
13004,"Fundy Royal/Fundy Royal"," 81","Riverside-Albert",5,1,31,6,49,0,92,259
13004,"Fundy Royal/Fundy Royal"," 82","Alma",2,5,70,3,98,3,181,355
13004,"Fundy Royal/Fundy Royal"," 83","Anagance",6,8,66,5,138,0,223,452
13004,"Fundy Royal/Fundy Royal"," 84","Penobsquis",8,8,56,1,137,0,210,404
13004,"Fundy Royal/Fundy Royal"," 85A","South Branch",7,2,63,5,128,0,205,420
13004,"Fundy Royal/Fundy Royal"," 85B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,9
13004,"Fundy Royal/Fundy Royal"," 86","Waterford",7,13,74,3,163,1,261,463
13004,"Fundy Royal/Fundy Royal"," 87","Sussex Corner",4,1,50,1,97,2,155,418
13004,"Fundy Royal/Fundy Royal"," 88","Sussex Corner",7,1,58,3,114,1,184,510
13004,"Fundy Royal/Fundy Royal"," 89","Sussex Corner",3,6,43,2,87,2,143,409
13004,"Fundy Royal/Fundy Royal"," 90","Dutch Valley",4,3,53,0,138,0,198,472
13004,"Fundy Royal/Fundy Royal"," 91","Sussex",6,9,69,1,113,2,200,596
13004,"Fundy Royal/Fundy Royal"," 92","Sussex",3,6,47,2,79,1,138,411
13004,"Fundy Royal/Fundy Royal"," 93","Sussex",4,5,28,0,66,0,103,408
13004,"Fundy Royal/Fundy Royal"," 94","Sussex",4,7,41,1,83,1,137,433
13004,"Fundy Royal/Fundy Royal"," 95","Sussex",2,1,51,0,59,0,113,373
13004,"Fundy Royal/Fundy Royal"," 96","Sussex",4,3,41,1,90,1,140,397
13004,"Fundy Royal/Fundy Royal"," 97","Sussex",10,4,45,1,66,0,126,415
13004,"Fundy Royal/Fundy Royal"," 98","Sussex",6,5,43,0,72,1,127,508
13004,"Fundy Royal/Fundy Royal"," 99","Sussex",2,4,59,2,72,0,139,375
13004,"Fundy Royal/Fundy Royal"," 100","Wards Creek",5,1,44,0,77,0,127,379
13004,"Fundy Royal/Fundy Royal"," 101","Apohaqui",4,4,46,3,73,2,132,300
13004,"Fundy Royal/Fundy Royal"," 102","Erb Settlement",2,4,40,0,56,0,102,265
13004,"Fundy Royal/Fundy Royal"," 103","Southfield",9,2,42,1,134,0,188,415
13004,"Fundy Royal/Fundy Royal"," 104","Hammond",10,4,51,4,134,2,205,375
13004,"Fundy Royal/Fundy Royal"," 105","St. Martins",1,2,29,0,55,0,87,356
13004,"Fundy Royal/Fundy Royal"," 106","Orange Hill",3,2,45,1,70,0,121,423
13004,"Fundy Royal/Fundy Royal"," 107","Upham",5,5,30,0,97,0,137,364
13004,"Fundy Royal/Fundy Royal"," 108","Titusville",3,4,38,1,99,0,145,343
13004,"Fundy Royal/Fundy Royal"," 109","Titusville",3,5,33,0,90,1,132,345
13004,"Fundy Royal/Fundy Royal"," 110","Mercer Settlement",8,0,53,5,101,0,167,466
13004,"Fundy Royal/Fundy Royal"," 111","Norton",5,4,35,4,118,0,166,469
13004,"Fundy Royal/Fundy Royal"," 112","Midland--Central Norton",2,2,17,0,60,0,81,255
13004,"Fundy Royal/Fundy Royal"," 113","Norton--Bloomfield",9,5,42,6,91,2,155,331
13004,"Fundy Royal/Fundy Royal"," 114","Bloomfield",4,3,22,7,75,1,112,242
13004,"Fundy Royal/Fundy Royal"," 115","Passekeag",3,2,18,0,60,0,83,210
13004,"Fundy Royal/Fundy Royal"," 116","Lower Norton",7,4,61,1,113,0,186,329
13004,"Fundy Royal/Fundy Royal"," 117","Lower Norton--Kingston Corner",10,4,55,0,94,0,163,394
13004,"Fundy Royal/Fundy Royal"," 118","Woodpecker Hall",7,3,68,3,104,0,185,440
13004,"Fundy Royal/Fundy Royal"," 119","Woodpecker Hall",3,2,48,1,83,0,137,426
13004,"Fundy Royal/Fundy Royal"," 120","Woodpecker Hall",3,4,55,1,87,0,150,460
13004,"Fundy Royal/Fundy Royal"," 121","Hampton",5,2,71,4,82,0,164,421
13004,"Fundy Royal/Fundy Royal"," 122","Hampton",5,4,73,1,88,0,171,458
13004,"Fundy Royal/Fundy Royal"," 123","Hampton",9,4,76,3,75,0,167,445
13004,"Fundy Royal/Fundy Royal"," 124","Hampton",2,2,59,0,71,1,135,405
13004,"Fundy Royal/Fundy Royal"," 125","Hampton",0,1,59,6,69,1,136,427
13004,"Fundy Royal/Fundy Royal"," 126","Hampton",4,1,31,0,44,0,80,384
13004,"Fundy Royal/Fundy Royal"," 127","Hampton",1,1,58,2,51,0,113,337
13004,"Fundy Royal/Fundy Royal"," 128","Bonney Road",7,3,55,3,67,2,137,437
13004,"Fundy Royal/Fundy Royal"," 129","Nauwigewauk",3,5,57,0,82,0,147,405
13004,"Fundy Royal/Fundy Royal"," 130","Darlings Island",0,2,43,2,50,0,97,258
13004,"Fundy Royal/Fundy Royal"," 131","Darlings Island",3,0,50,1,51,0,105,318
13004,"Fundy Royal/Fundy Royal"," 132","French Village",6,7,50,6,94,1,164,434
13004,"Fundy Royal/Fundy Royal"," 133","Upper Golden Grove",6,5,67,1,131,2,212,430
13004,"Fundy Royal/Fundy Royal"," 134","Grove Hill",8,3,47,2,147,0,207,422
13004,"Fundy Royal/Fundy Royal"," 135","Baxters Corner",6,2,24,3,112,1,148,389
13004,"Fundy Royal/Fundy Royal"," 136","Loch Lomond",8,2,37,0,101,0,148,380
13004,"Fundy Royal/Fundy Royal"," 137","Fairfield",8,2,28,2,106,1,147,327
13004,"Fundy Royal/Fundy Royal"," 138","Bains Corner",7,6,35,3,122,2,175,417
13004,"Fundy Royal/Fundy Royal"," 139","Simonds",11,5,49,2,108,0,175,430
13004,"Fundy Royal/Fundy Royal"," 140","Simonds",8,5,54,1,91,0,159,357
13004,"Fundy Royal/Fundy Royal"," 141","Willow Grove",9,3,38,4,122,1,177,420
13004,"Fundy Royal/Fundy Royal"," 142","Garnett Settlement",10,1,51,6,146,2,216,459
13004,"Fundy Royal/Fundy Royal"," 143","Gardner Creek",3,2,12,0,44,1,62,223
13004,"Fundy Royal/Fundy Royal"," 144","Erbs Cove",9,1,53,0,73,2,138,361
13004,"Fundy Royal/Fundy Royal"," 145","Kingston",9,9,49,5,64,1,137,388
13004,"Fundy Royal/Fundy Royal"," 146A","Kingston",1,3,51,1,69,0,125,400
13004,"Fundy Royal/Fundy Royal"," 146B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,9
13004,"Fundy Royal/Fundy Royal"," 147","Grays Mills",5,5,76,3,86,0,175,387
13004,"Fundy Royal/Fundy Royal"," 148","Long Reach",1,5,52,0,52,0,110,284
13004,"Fundy Royal/Fundy Royal"," 149","Whitehead",10,4,80,1,90,0,185,416
13004,"Fundy Royal/Fundy Royal"," 150","Summerville",8,7,93,6,121,1,236,400
13004,"Fundy Royal/Fundy Royal"," 151","Bayswater",7,1,76,3,90,0,177,312
13004,"Fundy Royal/Fundy Royal"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,42
13004,"Fundy Royal/Fundy Royal"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,38
13004,"Fundy Royal/Fundy Royal"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,25
13004,"Fundy Royal/Fundy Royal"," 503","Mobile poll/Bureau itinérant",4,4,116,6,67,3,200,128
13004,"Fundy Royal/Fundy Royal"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,60
13004,"Fundy Royal/Fundy Royal"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,53
13004,"Fundy Royal/Fundy Royal"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,11
13004,"Fundy Royal/Fundy Royal"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,12
13004,"Fundy Royal/Fundy Royal"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,25
13004,"Fundy Royal/Fundy Royal"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,31
13004,"Fundy Royal/Fundy Royal"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,16
13004,"Fundy Royal/Fundy Royal"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,8
13004,"Fundy Royal/Fundy Royal"," 512","Mobile poll/Bureau itinérant",7,4,29,5,50,7,102,50
13004,"Fundy Royal/Fundy Royal"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,20
13004,"Fundy Royal/Fundy Royal"," 514","Mobile poll/Bureau itinérant",10,6,28,3,29,0,76,43
13004,"Fundy Royal/Fundy Royal"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,82
13004,"Fundy Royal/Fundy Royal"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,10
13004,"Fundy Royal/Fundy Royal"," 517","Norton--Bloomfield",Combined with No./Résultats combinés à ceux du n°113,,,,,,,7
13004,"Fundy Royal/Fundy Royal"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,10
13004,"Fundy Royal/Fundy Royal"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,10
13004,"Fundy Royal/Fundy Royal"," 520","Mobile poll/Bureau itinérant",5,4,31,5,39,2,86,68
13004,"Fundy Royal/Fundy Royal"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,10
13004,"Fundy Royal/Fundy Royal"," 522","Mobile poll/Bureau itinérant",4,1,13,1,19,0,38,16
13004,"Fundy Royal/Fundy Royal"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,3
13004,"Fundy Royal/Fundy Royal"," 600","Brunswick--Havelock",21,8,120,5,226,2,382,
13004,"Fundy Royal/Fundy Royal"," 601","Petitcodiac",23,20,287,12,630,2,974,
13004,"Fundy Royal/Fundy Royal"," 602","Salisbury",46,20,348,22,675,5,1116,
13004,"Fundy Royal/Fundy Royal"," 603","Salisbury",18,17,340,20,507,2,904,
13004,"Fundy Royal/Fundy Royal"," 604","Salisbury",21,9,305,12,551,1,899,
13004,"Fundy Royal/Fundy Royal"," 605","Riverview",35,13,590,17,407,4,1066,
13004,"Fundy Royal/Fundy Royal"," 606","Riverview",39,18,647,9,402,1,1116,
13004,"Fundy Royal/Fundy Royal"," 607","Riverview",31,17,713,4,350,3,1118,
13004,"Fundy Royal/Fundy Royal"," 608","Riverview",41,25,880,14,554,7,1521,
13004,"Fundy Royal/Fundy Royal"," 609","Riverview",16,10,319,9,271,1,626,
13004,"Fundy Royal/Fundy Royal"," 610","Hillsborough",25,12,211,33,439,3,723,
13004,"Fundy Royal/Fundy Royal"," 611","Riverside-Albert",10,14,176,17,191,1,409,
13004,"Fundy Royal/Fundy Royal"," 612","Sussex Corner",40,16,360,10,603,2,1031,
13004,"Fundy Royal/Fundy Royal"," 613","Sussex",46,28,780,14,898,2,1768,
13004,"Fundy Royal/Fundy Royal"," 614","Norton",17,15,235,3,412,3,685,
13004,"Fundy Royal/Fundy Royal"," 615","St. Martins",15,3,191,0,325,2,536,
13004,"Fundy Royal/Fundy Royal"," 616","Simonds",13,3,165,6,335,2,524,
13004,"Fundy Royal/Fundy Royal"," 617","Hampton",27,13,167,8,431,0,646,
13004,"Fundy Royal/Fundy Royal"," 618","Hampton",24,17,759,10,544,6,1360,
13004,"Fundy Royal/Fundy Royal"," 619","Quispamsis",20,10,359,11,411,0,811,
13004,"Fundy Royal/Fundy Royal"," 620","Kingston",26,17,476,7,532,9,1067,
13004,"Fundy Royal/Fundy Royal",,Group 1/Groupe 1, 16,13,289,4,222,29,573,103
13004,"Fundy Royal/Fundy Royal",,Group 2/Groupe 2, 71,58,2118,24,1812,25,4108,
