Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ryan Byrne,Richard Chambers,Manon Chevalier,Fernand Deschamps,Marielle Gendron,Emmanuella Lambropoulos,Richard Serour,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24068,"Saint-Laurent/Saint-Laurent"," 105","Montréal",8,3,0,0,4,114,54,7,190,544
24068,"Saint-Laurent/Saint-Laurent"," 106","Montréal",5,4,1,1,7,93,88,2,201,434
24068,"Saint-Laurent/Saint-Laurent"," 107","Montréal",3,3,2,1,8,85,53,2,157,430
24068,"Saint-Laurent/Saint-Laurent"," 108","Montréal",8,3,0,0,8,96,108,1,224,467
24068,"Saint-Laurent/Saint-Laurent"," 109","Montréal",6,4,3,0,12,132,117,2,276,640
24068,"Saint-Laurent/Saint-Laurent"," 110","Montréal",2,3,3,3,5,117,69,3,205,533
24068,"Saint-Laurent/Saint-Laurent"," 111","Montréal",2,0,1,1,5,123,110,3,245,510
24068,"Saint-Laurent/Saint-Laurent"," 112","Montréal",9,3,1,1,1,129,102,0,246,498
24068,"Saint-Laurent/Saint-Laurent"," 113","Montréal",9,2,1,0,2,81,78,1,174,554
24068,"Saint-Laurent/Saint-Laurent"," 114","Montréal",0,2,2,0,3,100,130,9,246,527
24068,"Saint-Laurent/Saint-Laurent"," 115","Montréal",10,1,3,1,3,94,66,0,178,566
