Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Paul Connors,Steve Kent,Alexander Tilley,Judy Vanta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10001,"Avalon/Avalon"," 107","Conception Bay South",120,72,0,8,1,201,580
10001,"Avalon/Avalon"," 108","Conception Bay South",120,58,3,10,0,191,525
10001,"Avalon/Avalon"," 109","Conception Bay South",115,58,1,23,2,199,537
10001,"Avalon/Avalon"," 110","Conception Bay South",101,39,0,10,1,151,385
10001,"Avalon/Avalon"," 111","Conception Bay South",87,26,0,9,0,122,373
10001,"Avalon/Avalon"," 112","Conception Bay South",99,47,0,13,0,159,405
10001,"Avalon/Avalon"," 113","Conception Bay South",127,53,0,9,0,189,520
10001,"Avalon/Avalon"," 114","Conception Bay South",146,88,0,12,1,247,593
10001,"Avalon/Avalon"," 115","Conception Bay South",105,67,2,9,0,183,508
10001,"Avalon/Avalon"," 116","Conception Bay South",96,63,1,18,0,178,497
10001,"Avalon/Avalon"," 117","Conception Bay South",108,61,0,16,1,186,528
10001,"Avalon/Avalon"," 118","Conception Bay South",99,30,0,19,0,148,423
10001,"Avalon/Avalon"," 119","Conception Bay South",128,39,0,11,0,178,505
10001,"Avalon/Avalon"," 120","Conception Bay South",119,51,0,13,0,183,469
10001,"Avalon/Avalon"," 121","Conception Bay South",104,64,1,8,0,177,477
10001,"Avalon/Avalon"," 122","St. John's",61,51,0,7,0,119,308
10001,"Avalon/Avalon"," 123","St. John's",Combined with No./Résultats combinés à ceux du n°124A,,,,,,195
10001,"Avalon/Avalon"," 124A","St. John's",132,62,0,4,0,198,304
10001,"Avalon/Avalon"," 124B","St. John's",121,53,2,18,2,196,522
10001,"Avalon/Avalon"," 125","St. John's",159,66,2,6,0,233,662
10001,"Avalon/Avalon"," 126","St. John's",127,85,0,7,1,220,534
10001,"Avalon/Avalon"," 127","St. John's",138,55,2,5,0,200,485
10001,"Avalon/Avalon"," 128","St. John's",152,41,0,3,1,197,516
10001,"Avalon/Avalon"," 129","St. John's",127,43,1,13,1,185,443
10001,"Avalon/Avalon"," 130","St. John's",156,68,1,2,1,228,607
10001,"Avalon/Avalon"," 131","St. John's",52,30,3,5,1,91,337
10001,"Avalon/Avalon"," 132","St. John's",114,56,2,7,0,179,410
10001,"Avalon/Avalon"," 133","St. John's",88,59,1,5,0,153,362
10001,"Avalon/Avalon"," 134","St. John's",86,45,0,8,3,142,379
10001,"Avalon/Avalon"," 135","St. John's",77,67,0,9,1,154,439
10001,"Avalon/Avalon"," 136","St. John's",83,53,1,13,1,151,336
10001,"Avalon/Avalon"," 137","St. John's",69,46,0,13,0,128,349
10001,"Avalon/Avalon"," 138","St. John's",78,48,0,11,0,137,364
10001,"Avalon/Avalon"," 139","St. John's",57,52,0,10,0,119,345
10001,"Avalon/Avalon"," 140","St. John's",94,58,0,7,0,159,422
10001,"Avalon/Avalon"," 141","St. John's",67,56,5,8,0,136,411
10001,"Avalon/Avalon"," 142","St. John's",102,54,0,7,0,163,408
10001,"Avalon/Avalon"," 143","St. John's",83,54,0,15,0,152,426
10001,"Avalon/Avalon"," 144","St. John's",119,65,0,8,0,192,476
10001,"Avalon/Avalon"," 145","Bay Bulls",78,50,3,8,0,139,354
10001,"Avalon/Avalon"," 146","Bay Bulls",63,75,0,12,0,150,386
10001,"Avalon/Avalon"," 147","Bay Bulls",108,97,2,15,0,222,516
10001,"Avalon/Avalon"," 148","Witless Bay",114,91,0,6,0,211,463
10001,"Avalon/Avalon"," 149","Witless Bay",114,75,0,7,1,197,449
10001,"Avalon/Avalon"," 150","Witless Bay",65,92,2,11,0,170,360
10001,"Avalon/Avalon"," 151","Mobile",74,61,1,6,0,142,392
10001,"Avalon/Avalon"," 152","Tors Cove",93,74,4,10,3,184,372
10001,"Avalon/Avalon"," 153","Bauline East",66,45,1,13,0,125,233
10001,"Avalon/Avalon"," 154","Calvert",46,29,2,9,3,89,174
10001,"Avalon/Avalon"," 155","Cape Broyle",73,60,1,14,4,152,341
10001,"Avalon/Avalon"," 156","Cape Broyle",86,43,0,11,0,140,321
10001,"Avalon/Avalon"," 157","Ferryland",74,50,0,7,0,131,373
10001,"Avalon/Avalon"," 158","Fermeuse--Port Kirwan",105,82,1,9,1,198,327
10001,"Avalon/Avalon"," 159","Renews",65,63,0,5,0,133,291
10001,"Avalon/Avalon"," 160","Portugal Cove South",24,22,1,6,3,56,87
10001,"Avalon/Avalon"," 161","Trepassey",58,51,1,8,5,123,452
10001,"Avalon/Avalon"," 162","St. Shotts",22,13,0,0,0,35,52
10001,"Avalon/Avalon"," 163","St. Vincent's-St. Stephen's-Peter's River",74,49,0,3,2,128,282
10001,"Avalon/Avalon"," 164","Gaskiers-Point La Haye",32,43,0,0,4,79,137
10001,"Avalon/Avalon"," 165","St. Mary's",79,50,0,8,2,139,403
10001,"Avalon/Avalon"," 166","Riverhead",50,22,0,2,0,74,107
10001,"Avalon/Avalon"," 167","Admirals Beach",26,19,0,3,1,49,97
10001,"Avalon/Avalon"," 168","St. Joseph's",45,43,0,7,0,95,235
10001,"Avalon/Avalon"," 169","North Harbour",38,13,1,1,1,54,63
10001,"Avalon/Avalon"," 170","Colinet",40,53,0,5,0,98,164
10001,"Avalon/Avalon"," 171","Mount Carmel",68,54,0,5,1,128,313
10001,"Avalon/Avalon"," 172","St. Catherine's",59,31,0,3,0,93,299
10001,"Avalon/Avalon"," 400","Mobile poll/Bureau itinérant",33,32,2,11,1,79,90
10001,"Avalon/Avalon"," 500","Mobile poll/Bureau itinérant",89,48,3,8,8,156,62
10001,"Avalon/Avalon"," 501","Mobile poll/Bureau itinérant",30,18,2,7,4,61,49
10001,"Avalon/Avalon"," 502","Mobile poll/Bureau itinérant",35,35,1,5,3,79,100
10001,"Avalon/Avalon"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,7
10001,"Avalon/Avalon"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,12
10001,"Avalon/Avalon"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,18
10001,"Avalon/Avalon"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,16
10001,"Avalon/Avalon"," 507","Mobile poll/Bureau itinérant",67,14,3,5,6,95,106
10001,"Avalon/Avalon"," 508","Mobile poll/Bureau itinérant",21,19,1,3,0,44,45
10001,"Avalon/Avalon"," 509","Conception Bay South",Combined with No./Résultats combinés à ceux du n°97,,,,,,3
10001,"Avalon/Avalon"," 510","Conception Bay South",Combined with No./Résultats combinés à ceux du n°97,,,,,,5
10001,"Avalon/Avalon"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°85B,,,,,,6
10001,"Avalon/Avalon"," 512","Conception Bay South",Combined with No./Résultats combinés à ceux du n°93,,,,,,0
10001,"Avalon/Avalon"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°85B,,,,,,7
10001,"Avalon/Avalon"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°85B,,,,,,13
10001,"Avalon/Avalon"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,12
10001,"Avalon/Avalon"," 516","Conception Bay South",Combined with No./Résultats combinés à ceux du n°97,,,,,,3
10001,"Avalon/Avalon"," 517","Mobile poll/Bureau itinérant",53,27,0,3,4,87,113
10001,"Avalon/Avalon"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,11
