Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amos Bradley,Patty Hajdu,Bob Herman,John Malcolm Northey,Joy Wakefield,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 27","Gull River 55",0,31,0,0,13,0,44,129
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 28","Manitouwadge--Hillsport",2,52,71,1,10,0,136,408
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 29","Manitouwadge",4,46,56,2,9,4,121,403
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 30","Manitouwadge",4,38,88,2,7,0,139,417
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 31","Manitouwadge",3,56,78,1,5,1,144,387
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 32","Lake Helen 53A",0,43,16,1,14,0,74,224
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 33","Red Rock",2,42,46,2,18,0,110,347
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 34","Red Rock",1,53,42,1,10,0,107,340
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 35","Pays Plat 51",Combined with No./Résultats combinés à ceux du n°52,,,,,,,70
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 36","Schreiber",2,55,83,2,18,1,161,455
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 37","Schreiber",4,74,61,2,9,0,150,435
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 38","Hurkett",1,37,64,2,10,0,114,202
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 39","Marathon",3,65,54,1,11,1,135,513
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 40","Marathon",6,82,59,5,14,0,166,514
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 41","Marathon",3,54,66,2,12,1,138,522
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 42","Marathon",1,67,80,2,20,1,171,518
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 43","Marathon",3,70,76,3,19,0,171,526
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 44","Dorion",4,54,83,0,8,0,149,274
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 45","Terrace Bay",6,48,53,1,10,0,118,427
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 46","Terrace Bay",5,48,61,0,8,7,129,356
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 47","Terrace Bay",1,52,48,2,12,3,118,399
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 48","Pic River 50",0,110,6,0,11,1,128,269
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 49","Toimela",1,84,121,1,8,0,215,474
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 50","Kaministiquia",3,99,118,2,19,2,243,459
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 51","Toimela",2,51,79,1,5,1,139,350
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 52","Rossport",2,71,24,6,9,1,113,170
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 53","Gorham",4,99,103,1,13,3,223,548
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 54","Gorham",0,73,120,3,12,0,208,477
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 55","Thunder Bay",1,72,88,3,19,0,183,464
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 56","Thunder Bay",0,98,71,2,7,0,178,424
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 57","Thunder Bay",1,70,83,1,4,0,159,406
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 58","Thunder Bay",3,70,76,3,4,1,157,371
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 59","MacGregor",2,87,88,1,10,0,188,469
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 60","Amethyst Harbour",2,101,63,2,3,0,171,498
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 61","Silver Harbour",4,80,52,3,6,0,145,485
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 62","Stepstone",2,76,90,0,12,0,180,348
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 63","Stepstone",3,57,82,2,9,0,153,311
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 64","Stepstone",3,87,86,0,15,1,192,528
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 65","Stepstone",1,52,46,4,14,0,117,366
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 66","Thunder Bay",0,16,27,1,3,0,47,157
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 67A","Thunder Bay",1,80,40,0,18,0,139,319
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 67B","Thunder Bay",4,72,53,1,9,1,140,358
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 68","Thunder Bay",6,87,78,6,20,0,197,498
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 69","Thunder Bay",0,94,107,1,3,0,205,484
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 70","Thunder Bay",2,121,94,2,16,2,237,574
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 71","Thunder Bay",4,112,74,0,12,0,202,534
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 72","Thunder Bay",1,110,87,0,26,1,225,568
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 73","Thunder Bay",2,96,71,0,24,0,193,559
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 74A","Thunder Bay",1,63,38,0,20,0,122,333
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 74B","Thunder Bay",0,76,43,2,19,0,140,347
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 75","Thunder Bay",4,88,83,2,25,1,203,510
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 76","Thunder Bay",4,103,64,4,26,1,202,550
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 77","Thunder Bay",4,77,64,3,16,0,164,474
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 78","Thunder Bay",3,115,86,3,19,0,226,516
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 79","Thunder Bay",0,108,92,0,12,2,214,491
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 80","Thunder Bay",3,98,127,5,16,2,251,531
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 81","Pass Lake",5,122,75,3,8,0,213,437
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 82","Thunder Bay",3,70,59,3,10,0,145,485
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 83","Thunder Bay",1,85,64,3,15,1,169,497
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 84","Thunder Bay",2,60,36,2,12,0,112,406
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 85","Thunder Bay",0,69,48,2,17,1,137,261
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 86","Thunder Bay",1,84,82,2,13,0,182,475
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 87","Thunder Bay",1,89,59,1,15,1,166,474
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 88","Thunder Bay",4,104,69,4,13,0,194,477
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 89","Thunder Bay",0,101,59,1,16,0,177,453
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 90","Thunder Bay",0,92,67,4,16,1,180,457
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 91","Thunder Bay",5,71,53,0,10,1,140,507
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 92","Thunder Bay",2,81,66,1,16,1,167,448
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 93","Thunder Bay",0,90,70,0,10,0,170,488
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 94","Thunder Bay",2,96,58,0,1,0,157,372
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 95","Thunder Bay",1,144,108,1,10,3,267,561
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 96","Thunder Bay",1,112,106,1,4,2,226,440
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 97","Thunder Bay",0,76,89,2,10,0,177,424
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 98","Thunder Bay",0,123,90,5,12,0,230,500
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 99","Thunder Bay",1,71,32,0,11,1,116,425
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 100","Thunder Bay",2,129,79,0,21,4,235,527
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 101","Thunder Bay",0,110,58,1,5,0,174,472
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 102","Thunder Bay",2,101,84,0,16,1,204,502
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 103","Thunder Bay",2,99,65,1,19,4,190,489
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 104","Thunder Bay",3,81,56,1,10,1,152,450
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 105A","Thunder Bay",1,76,31,3,14,1,126,297
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 105B","Thunder Bay",1,51,28,2,8,0,90,286
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 106","Thunder Bay",1,125,41,3,24,0,194,439
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 107","Thunder Bay",0,89,53,1,11,0,154,478
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 108","Thunder Bay",3,94,56,6,31,1,191,485
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 109","Thunder Bay",1,123,66,4,22,1,217,490
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 110","Thunder Bay",5,75,50,2,20,0,152,460
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 111","Thunder Bay",2,83,37,4,14,1,141,418
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 112","Thunder Bay",2,51,47,4,14,1,119,388
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 113","Thunder Bay",2,123,56,4,13,1,199,547
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 114","Thunder Bay",0,116,52,2,16,0,186,423
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 115","Thunder Bay",0,112,78,2,22,1,215,557
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 116","Thunder Bay",1,89,54,2,18,0,164,445
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 117","Thunder Bay",1,105,72,0,17,1,196,505
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 118","Thunder Bay",4,94,71,3,20,0,192,512
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 119","Wild Goose",1,79,89,3,7,0,179,469
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 120","Thunder Bay",4,151,59,3,13,0,230,494
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 121","Thunder Bay",1,126,53,2,11,0,193,501
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 122","Thunder Bay",4,96,45,3,14,0,162,534
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 123","Thunder Bay",0,60,87,1,10,0,158,488
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 124","Thunder Bay",1,67,96,3,3,0,170,430
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 125","Thunder Bay",1,63,95,0,13,1,173,414
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 126","Thunder Bay",2,112,86,0,13,0,213,470
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 127","Thunder Bay",0,98,87,2,10,0,197,540
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 128","Thunder Bay",3,71,65,2,9,1,151,517
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 129","Thunder Bay",2,89,83,2,6,0,182,479
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 130","Thunder Bay",0,86,67,1,19,0,173,523
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 131","Thunder Bay",1,91,78,1,9,0,180,455
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 132","Thunder Bay",1,84,63,0,9,1,158,500
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 133","Thunder Bay",2,84,84,2,15,0,187,441
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 134","Thunder Bay",1,97,51,0,25,1,175,518
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 135","Thunder Bay",3,78,44,7,21,1,154,496
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 136","Thunder Bay",2,117,64,3,24,0,210,515
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 137","Thunder Bay",1,97,57,4,10,0,169,524
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 138","Thunder Bay",6,110,47,1,8,3,175,482
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 139","Thunder Bay",0,128,55,1,25,2,211,520
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 140","Thunder Bay",6,80,72,6,10,0,174,500
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 141","Thunder Bay",3,112,67,1,12,2,197,538
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 142","Thunder Bay",3,111,78,1,13,0,206,545
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 143A","Thunder Bay",2,44,28,1,6,0,81,289
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 143B","Thunder Bay",1,46,40,0,10,0,97,314
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 144","Thunder Bay",2,118,72,0,13,1,206,533
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 145","Thunder Bay",3,140,63,2,28,3,239,521
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 146","Thunder Bay",3,65,39,1,24,0,132,398
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 147A","Thunder Bay",2,36,13,2,16,0,69,171
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 147B","Thunder Bay",Combined with No./Résultats combinés à ceux du n°146,,,,,,,1
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 148","Thunder Bay",6,112,52,3,24,0,197,470
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 149","Thunder Bay",2,95,39,2,22,2,162,466
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 150","Thunder Bay",3,79,75,3,14,0,174,502
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 151","Thunder Bay",0,94,79,2,7,0,182,512
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 152","Thunder Bay",2,108,85,1,13,0,209,455
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 153","Thunder Bay",2,125,33,3,21,1,185,433
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 154","Pic Mobert",1,45,7,0,5,1,59,138
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 400","Thunder Bay",0,47,23,2,8,1,81,123
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 401","Thunder Bay",0,75,34,2,4,0,115,176
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 402","Thunder Bay",1,86,30,1,7,0,125,186
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 403","Thunder Bay",0,10,5,1,6,0,22,114
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,12
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 501","Mobile poll/Bureau itinérant",1,27,4,0,3,2,37,33
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,27
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,0
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,9
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 505","Mobile poll/Bureau itinérant",0,16,8,1,1,0,26,17
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,12
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 507","Mobile poll/Bureau itinérant",0,16,4,1,2,0,23,16
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,13
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,10
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 510","Mobile poll/Bureau itinérant",1,23,6,2,4,2,38,34
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 511","Mobile poll/Bureau itinérant",1,88,13,2,7,3,114,84
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,10
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,4
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,8
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,58
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,70
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 517","Mobile poll/Bureau itinérant",1,53,22,0,7,5,88,135
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,43
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 519","Mobile poll/Bureau itinérant",0,87,25,0,16,0,128,119
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 520","Thunder Bay",Combined with No./Résultats combinés à ceux du n°100,,,,,,,62
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 521","Thunder Bay",5,101,28,1,15,3,153,225
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 522","Mobile poll/Bureau itinérant",0,58,15,1,15,0,89,76
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 523","Thunder Bay",Combined with No./Résultats combinés à ceux du n°135,,,,,,,38
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,106
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,,99
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,,22
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 527","Mobile poll/Bureau itinérant",5,73,28,1,15,4,126,110
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,,60
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 529","Mobile poll/Bureau itinérant",0,67,11,0,7,1,86,73
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 600","Summer Beaver",Combined with No./Résultats combinés à ceux du n°626,,,,,,,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 601","Webequie",Combined with No./Résultats combinés à ceux du n°626,,,,,,,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 602","Neskatanga",Combined with No./Résultats combinés à ceux du n°626,,,,,,,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 603","Fort Hope 64",Combined with No./Résultats combinés à ceux du n°626,,,,,,,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 604","Armstrong",2,37,11,1,6,0,57,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 605","Collins",Combined with No./Résultats combinés à ceux du n°604,,,,,,,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 606","Whitesand",Combined with No./Résultats combinés à ceux du n°604,,,,,,,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 607","Nakina",Combined with No./Résultats combinés à ceux du n°609,,,,,,,
