Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Noah Cherney,Garnet Colly,Stéphane Doucet,Sophy Forget Bélec,Marjorie Michel,Niall Ricardo,Julio Rivera,Xavier Watso,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24054,"Papineau/Papineau"," 64","Montréal",2,1,0,28,88,42,21,3,3,188,380
24054,"Papineau/Papineau"," 65","Montréal",3,1,1,21,95,30,21,1,4,177,401
24054,"Papineau/Papineau"," 66","Montréal",1,1,1,27,96,39,15,3,1,184,416
24054,"Papineau/Papineau"," 67","Montréal",2,0,1,41,97,52,22,5,1,221,477
24054,"Papineau/Papineau"," 68","Montréal",4,2,0,38,90,47,17,2,3,203,460
24054,"Papineau/Papineau"," 69","Montréal",1,1,2,37,105,31,25,0,3,205,476
24054,"Papineau/Papineau"," 70","Montréal",0,0,2,48,84,30,22,5,1,192,368
24054,"Papineau/Papineau"," 71","Montréal",4,1,2,41,78,38,19,3,3,189,385
24054,"Papineau/Papineau"," 72","Montréal",1,2,2,63,90,42,21,3,2,226,407
24054,"Papineau/Papineau"," 73","Montréal",2,0,2,38,104,45,11,7,2,211,409
24054,"Papineau/Papineau"," 74","Montréal",1,0,0,34,59,36,21,7,1,159,401
24054,"Papineau/Papineau"," 75","Montréal",0,0,1,45,67,48,13,7,3,184,362
24054,"Papineau/Papineau"," 76","Montréal",1,0,0,38,76,37,8,5,1,166,455
24054,"Papineau/Papineau"," 77","Montréal",2,0,0,48,105,56,18,8,3,240,581
24054,"Papineau/Papineau"," 78","Montréal",1,4,3,43,93,49,7,3,3,206,432
24054,"Papineau/Papineau"," 79","Montréal",1,2,2,30,78,42,5,3,3,166,413
24054,"Papineau/Papineau"," 80","Montréal",4,0,1,54,115,44,13,10,4,245,564
24054,"Papineau/Papineau"," 81","Montréal",1,2,2,34,71,44,19,4,1,178,431
24054,"Papineau/Papineau"," 82","Montréal",1,1,1,56,110,56,9,6,2,242,566
24054,"Papineau/Papineau"," 83","Montréal",2,4,1,53,110,47,18,7,2,244,439
24054,"Papineau/Papineau"," 84","Montréal",0,0,2,31,60,37,8,1,0,139,377
24054,"Papineau/Papineau"," 85","Montréal",0,2,0,45,57,57,13,5,4,183,381
24054,"Papineau/Papineau"," 86","Montréal",1,1,2,35,90,45,9,5,0,188,382
24054,"Papineau/Papineau"," 87","Montréal",1,1,1,70,103,60,22,5,2,265,448
24054,"Papineau/Papineau"," 88","Montréal",2,0,1,56,92,31,16,8,2,208,385
24054,"Papineau/Papineau"," 89","Montréal",3,0,3,58,74,30,10,6,0,184,344
24054,"Papineau/Papineau"," 90","Montréal",0,0,4,49,67,48,20,3,2,193,401
24054,"Papineau/Papineau"," 91","Montréal",1,0,1,42,78,45,9,3,1,180,413
24054,"Papineau/Papineau"," 92","Montréal",1,0,0,42,69,45,5,5,2,169,413
24054,"Papineau/Papineau"," 93","Montréal",2,1,1,47,126,50,21,1,0,249,455
24054,"Papineau/Papineau"," 94","Montréal",2,0,0,73,69,34,13,2,0,193,360
24054,"Papineau/Papineau"," 95","Montréal",1,1,0,62,117,32,12,3,0,228,415
24054,"Papineau/Papineau"," 96","Montréal",0,0,1,49,97,76,10,9,2,244,434
24054,"Papineau/Papineau"," 97","Montréal",2,0,0,43,95,41,15,4,0,200,457
24054,"Papineau/Papineau"," 98","Montréal",1,2,5,53,82,61,17,5,6,232,459
24054,"Papineau/Papineau"," 99","Montréal",0,1,0,35,81,37,7,7,0,168,389
24054,"Papineau/Papineau"," 100","Montréal",1,2,1,24,61,52,12,6,2,161,422
24054,"Papineau/Papineau"," 101","Montréal",0,0,3,35,68,43,4,4,0,157,391
24054,"Papineau/Papineau"," 102","Montréal",1,0,0,23,105,42,19,6,2,198,499
24054,"Papineau/Papineau"," 103","Montréal",1,0,2,41,77,43,18,1,0,183,408
24054,"Papineau/Papineau"," 104","Montréal",2,0,0,39,90,30,13,1,6,181,414
24054,"Papineau/Papineau"," 105","Montréal",0,2,2,49,104,62,13,8,3,243,436
24054,"Papineau/Papineau"," 106","Montréal",0,0,0,45,90,64,4,4,0,207,426
24054,"Papineau/Papineau"," 107","Montréal",1,0,0,41,95,58,5,0,3,203,419
24054,"Papineau/Papineau"," 108","Montréal",0,0,0,38,112,44,14,5,4,217,451
24054,"Papineau/Papineau"," 109","Montréal",1,0,0,28,73,40,14,4,4,164,402
24054,"Papineau/Papineau"," 110","Montréal",3,0,1,50,80,55,8,3,1,201,456
24054,"Papineau/Papineau"," 111","Montréal",0,1,2,49,86,41,13,5,1,198,411
24054,"Papineau/Papineau"," 112","Montréal",1,0,2,47,75,34,16,3,5,183,448
24054,"Papineau/Papineau"," 113","Montréal",1,1,1,39,89,36,14,5,1,187,390
24054,"Papineau/Papineau"," 114","Montréal",2,5,2,48,99,52,17,9,5,239,447
24054,"Papineau/Papineau"," 115","Montréal",0,0,0,33,70,41,22,0,0,166,374
24054,"Papineau/Papineau"," 116","Montréal",0,0,0,48,125,49,31,6,2,261,516
24054,"Papineau/Papineau"," 117","Montréal",0,0,3,61,88,47,13,4,2,218,392
24054,"Papineau/Papineau"," 118","Montréal",0,0,1,37,121,51,17,6,2,235,444
24054,"Papineau/Papineau"," 119","Montréal",0,2,1,42,94,56,12,4,2,213,440
24054,"Papineau/Papineau"," 120","Montréal",0,0,1,40,91,28,14,2,1,177,383
24054,"Papineau/Papineau"," 121","Montréal",2,0,0,30,130,39,16,4,6,227,401
24054,"Papineau/Papineau"," 122","Montréal",2,0,0,52,104,55,12,7,3,235,412
24054,"Papineau/Papineau"," 123","Montréal",1,0,1,36,80,43,10,4,0,175,399
24054,"Papineau/Papineau"," 124","Montréal",0,0,1,35,77,33,21,2,1,170,421
24054,"Papineau/Papineau"," 125","Montréal",4,0,1,25,119,38,21,3,1,212,442
24054,"Papineau/Papineau"," 126","Montréal",2,1,3,44,93,34,28,6,1,212,395
24054,"Papineau/Papineau"," 127","Montréal",3,0,1,30,86,35,21,1,3,180,390
24054,"Papineau/Papineau"," 128","Montréal",0,1,0,35,114,25,26,3,1,205,391
24054,"Papineau/Papineau"," 129","Montréal",1,0,2,36,138,35,19,2,5,238,410
24054,"Papineau/Papineau"," 130","Montréal",1,1,0,38,125,15,18,0,2,200,591
24054,"Papineau/Papineau"," 131","Montréal",0,0,0,39,119,8,17,0,0,183,541
24054,"Papineau/Papineau"," 132","Montréal",1,0,0,19,94,34,18,4,1,171,453
24054,"Papineau/Papineau"," 133","Montréal",4,1,0,3,94,4,37,0,2,145,351
24054,"Papineau/Papineau"," 134","Montréal",3,2,4,13,82,8,26,3,0,141,352
24054,"Papineau/Papineau"," 135","Montréal",4,2,4,12,97,25,34,2,0,180,407
24054,"Papineau/Papineau"," 136","Montréal",2,1,3,3,132,13,25,1,4,184,517
24054,"Papineau/Papineau"," 137","Montréal",4,1,2,3,93,19,37,1,7,167,542
