Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Leslie Bory,Larry Brock,Mike Clancy,Karleigh Csordas,Anne Gajerski-Cauley,Clo Marie,Joy O'Donnell,Nicholas Xenos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 26","Brantford",2,109,0,2,4,0,100,1,0,218,464
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 27","Brantford",0,135,0,6,12,0,123,2,2,280,588
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 28","Brantford",2,121,0,5,7,0,126,3,0,264,566
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 29","Brantford",0,91,0,4,5,1,87,2,0,190,449
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 30","Brantford",0,149,0,3,10,0,125,0,1,288,556
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 31","Brantford",0,104,1,1,8,0,104,2,1,221,542
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 32","Brantford",2,106,0,8,5,0,80,1,1,203,539
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 33","Brantford",0,102,1,5,7,1,72,0,0,188,529
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 34","Brantford",0,129,0,1,2,0,92,0,1,225,551
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 35","Brantford",0,138,0,5,6,1,72,2,0,224,521
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 36","Brantford",1,128,2,7,9,3,67,0,1,218,530
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 37","Brantford",1,95,0,4,14,1,84,0,0,199,450
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 38","Brantford",0,112,0,3,5,0,108,3,1,232,581
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 39A","Brantford",0,51,1,2,6,0,63,0,0,123,399
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 39B","Brantford",0,66,0,1,3,0,56,2,2,130,385
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 40","Brantford",1,128,1,3,14,0,91,3,0,241,602
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 41","Brantford",0,78,1,4,8,0,79,3,3,176,557
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 42","Brantford",0,58,0,0,7,1,47,1,0,114,397
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 43","Brantford",1,131,2,3,5,0,80,2,0,224,571
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 44","Brantford",1,92,0,3,3,0,55,1,2,157,367
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 45","Brantford",0,104,0,3,6,0,103,1,0,217,585
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 46","Brantford",0,116,0,1,6,2,97,1,1,224,570
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 47","Brantford",2,102,1,5,9,1,77,1,0,198,575
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 48","Brantford",0,110,0,5,15,0,76,0,1,207,511
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 49","Brantford",1,141,0,5,11,0,66,4,0,228,603
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 50","Brantford",0,115,2,2,12,0,75,1,0,207,572
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 51","Brantford",2,110,0,2,8,0,58,0,2,182,528
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 52","Brantford",0,96,0,4,9,0,94,0,0,203,551
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 53","Brantford",0,107,0,8,14,0,68,0,1,198,571
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 54","Brantford",0,105,1,4,12,0,81,1,1,205,560
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 55","Brantford",2,120,1,3,20,0,69,3,0,218,514
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 56","Brantford",1,112,0,5,10,1,83,0,0,212,525
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 57","Brantford",1,85,0,3,5,1,76,1,0,172,479
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 58","Brantford",0,108,0,10,5,0,98,2,1,224,487
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 59","Brantford",0,134,0,3,3,0,112,0,0,252,523
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 60","Brantford",0,105,1,3,5,0,120,2,0,236,512
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 61","Brantford",0,100,0,2,6,0,116,0,1,225,522
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 62","Brantford",0,100,0,1,9,0,53,1,0,164,514
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 63","Brantford",0,83,1,3,6,0,92,2,2,189,507
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 64","Brantford",0,113,0,2,12,0,99,1,2,229,493
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 65","Brantford",0,76,1,9,9,0,57,1,1,154,532
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 66","Brantford",0,116,0,5,11,0,98,1,1,232,507
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 67","Brantford",0,111,1,6,7,0,90,1,1,217,548
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 68","Brantford",Combined with No./Résultats combinés à ceux du n°98,,,,,,,,,,25
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 69","Brantford",0,137,1,5,5,1,69,0,3,221,592
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 70","Brantford",0,143,2,4,19,0,96,1,2,267,590
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 71","Brantford",0,108,2,7,24,0,70,3,0,214,563
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 72","Brantford",0,73,0,1,6,0,53,4,0,137,395
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 73","Brantford",0,92,0,6,13,0,66,0,1,178,579
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 74","Brantford",1,130,4,8,14,0,79,2,0,238,554
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 75","Brantford",0,130,3,4,8,0,61,1,1,208,590
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 76","Brantford",0,106,1,2,9,0,76,0,3,197,609
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 77","Brantford",1,70,0,3,3,0,58,0,3,138,425
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 78","Brantford",1,96,0,3,11,0,50,0,0,161,555
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 79","Brantford",0,104,1,1,11,0,60,0,1,178,487
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 80","Brantford",0,113,2,5,2,1,65,1,0,189,491
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 81","Brantford",0,119,0,1,13,2,86,4,0,225,560
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 82","Brantford",0,105,0,3,9,0,61,2,0,180,521
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 83","Brantford",0,104,1,10,13,0,53,0,1,182,575
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 84","Brantford",1,102,0,9,9,0,106,3,0,230,517
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 85","Brant",0,189,0,4,4,0,103,2,2,304,599
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 86","Brantford",1,113,0,1,6,0,92,0,4,217,613
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 87","Brant",0,183,0,2,4,1,70,1,2,263,587
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 88","Brantford",1,73,0,2,5,0,110,2,1,194,564
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 89","Brantford",1,111,0,0,4,0,98,1,6,221,596
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 90","Brant",0,164,0,3,4,0,69,1,3,244,578
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 91","Brant",Void/Supprimé,,,,,,,,,,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 92","Brant",0,151,0,6,2,0,74,0,1,234,589
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 93","Brantford",0,96,0,3,12,1,61,4,0,177,490
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 94","Brantford",0,133,1,9,25,0,81,2,0,251,600
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 95","Brantford",1,136,1,6,22,0,100,5,1,272,566
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 96","Brantford",0,113,2,11,11,0,88,3,2,230,622
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 97","Brantford",1,95,0,0,18,0,52,1,0,167,564
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 98","Brantford",0,101,0,3,5,0,91,0,0,200,504
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 99","Brantford",0,107,1,5,5,4,105,0,1,228,531
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 100","Brantford",0,90,1,2,6,1,109,4,0,213,566
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 101","Brantford",0,95,1,2,7,0,90,1,2,198,542
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 102","Brantford",1,105,0,10,7,0,79,0,3,205,582
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 103","Brantford",1,85,0,4,11,0,85,3,1,190,512
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 104","Brantford",0,100,0,3,11,0,54,2,2,172,495
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 105","Brantford",0,126,0,4,13,0,79,0,1,223,579
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 106","Brantford",1,111,0,8,10,0,63,2,2,197,547
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 107","Brantford",0,122,2,7,12,0,59,1,0,203,586
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 108","Brantford",1,69,1,3,15,1,58,2,1,151,548
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 109","Brantford",0,88,0,11,12,0,79,1,0,191,601
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 110","Brantford",0,70,1,9,6,0,39,3,0,128,526
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 111","Brantford",0,110,0,10,11,0,31,0,0,162,582
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 112","Brantford",0,107,1,7,18,2,89,2,0,226,539
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 113","Brantford",1,61,2,5,21,1,56,1,3,151,526
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 114","Brantford",1,87,1,1,7,0,106,2,2,207,560
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 115","Brantford",Combined with No./Résultats combinés à ceux du n°118,,,,,,,,,,194
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 116","Brantford",0,95,0,4,4,2,40,1,1,147,549
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 117","Brantford",0,78,3,6,12,0,60,2,0,161,580
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 118","Brantford",1,96,2,9,17,1,108,3,2,239,419
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 119","Brantford",0,47,0,2,7,0,36,0,0,92,322
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 120","Brantford",1,93,1,6,14,1,63,2,1,182,640
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 121","Brantford",1,74,0,10,13,0,47,0,0,145,519
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 122","Brantford",0,83,1,4,11,0,53,0,0,152,443
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 123","Brantford",0,139,1,7,15,0,93,0,1,256,626
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 124","Brantford",2,103,1,8,8,0,82,1,1,206,550
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 125","Brantford",0,132,0,7,11,0,62,4,0,216,530
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 126","Brantford",1,124,0,2,12,1,66,2,0,208,537
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 127","Brantford",0,104,0,1,13,0,75,1,1,195,508
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 128","Brantford",0,98,1,3,6,0,49,3,3,163,573
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 129","Brantford",0,123,0,3,12,0,82,4,2,226,539
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 130","Brantford",0,138,0,4,6,0,87,1,3,239,563
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 131","Brantford",4,111,0,5,13,0,58,3,1,195,565
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 132","Brantford",1,109,1,2,10,0,61,2,0,186,554
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 133","Six Nations 40",Combined with No./Résultats combinés à ceux du n°131,,,,,,,,,,1
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 134","Brantford",0,134,1,5,20,1,55,0,2,218,587
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 135","Brantford",0,118,0,7,8,0,55,1,0,189,541
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 136","Six Nations 40",Void/Supprimé,,,,,,,,,,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 137","Brantford",0,113,0,6,11,1,49,0,0,180,561
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 138","Brant",2,129,0,7,4,1,70,2,0,215,555
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 139","Brantford",0,103,0,6,12,0,58,2,1,182,592
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 140","Brantford",0,130,1,5,11,0,88,2,0,237,569
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 141","Brantford",0,106,0,1,3,1,112,0,0,223,571
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 142","Brantford",0,146,2,2,2,0,105,0,0,257,610
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 143","Brantford",1,107,1,0,9,0,68,1,2,189,618
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 144","Brantford",0,112,0,3,3,0,85,0,1,204,521
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 145","Brantford",0,147,2,5,9,0,112,3,1,279,631
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 146","Brantford",2,141,0,2,6,0,86,1,2,240,538
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 147","Brantford",0,149,0,2,7,0,88,3,1,250,587
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 148","Brantford",0,161,0,4,8,0,91,0,0,264,616
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 149","Brantford",0,111,1,4,6,0,89,0,0,211,496
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 150","Brantford",0,176,2,2,4,0,97,2,1,284,674
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 151","Brantford",0,130,1,1,8,0,96,0,2,238,563
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 152","Brantford",0,124,0,6,9,0,90,1,2,232,550
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 153","Brantford",1,143,1,3,7,0,90,5,0,250,612
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 154","Brantford",1,133,1,4,3,0,89,2,2,235,618
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 155","Brantford",0,84,0,0,5,0,46,0,1,136,396
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 156","Brantford",0,119,1,1,3,0,71,0,1,196,575
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 157","Brantford",2,128,0,3,2,0,60,2,5,202,653
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 158","Brantford",0,71,0,1,1,0,63,1,1,138,493
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 159","Brant",1,92,1,9,5,0,71,0,2,181,465
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 160","Brantford",0,93,1,2,6,0,78,0,0,180,522
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 161","Brantford",0,105,0,3,4,0,53,5,0,170,540
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 162","Brant",0,119,0,1,6,1,66,0,1,194,461
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 163","Brant",0,133,0,1,3,0,47,0,3,187,440
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 164","Brant",1,134,0,4,7,0,64,2,0,212,506
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 165","Brant",0,125,0,1,2,2,65,1,2,198,581
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 166","Brant",0,164,1,6,4,0,55,1,0,231,506
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 167","Brant",0,130,0,5,8,0,64,1,2,210,510
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 168","Brant",0,144,0,5,6,1,56,3,0,215,661
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 169","Brant",1,139,0,4,6,0,53,5,1,209,515
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 170","Brant",0,119,0,5,4,1,54,0,0,183,474
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 171","Brant",0,138,0,5,9,0,48,0,0,200,503
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 172","Brant",1,148,0,6,3,0,46,6,0,210,529
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 173A","Brant",0,111,1,0,7,0,91,3,2,215,601
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 173B","Brant",0,114,1,3,3,0,89,0,3,213,614
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 174","Brant",0,110,2,2,2,0,64,3,4,187,361
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 175","Brant",0,150,0,2,6,0,95,4,0,257,493
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 176","Brant",0,150,0,3,6,0,88,4,0,251,531
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 177","Brant",0,137,0,3,7,2,98,0,1,248,428
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 178","Six Nations 40",1,31,0,3,9,0,80,1,0,125,1098
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 179","Six Nations 40",0,23,0,0,4,0,56,2,0,85,705
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 179-1","Six Nations 40",Combined with No./Résultats combinés à ceux du n°179,,,,,,,,,,382
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 180","Six Nations 40",0,18,0,1,11,0,55,0,1,86,1078
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 181","Six Nations 40",0,43,0,2,6,0,76,1,0,128,856
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 181-1","Six Nations 40",Combined with No./Résultats combinés à ceux du n°181,,,,,,,,,,286
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 182","New Credit 40A",Combined with No./Résultats combinés à ceux du n°626,,,,,,,,,,522
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 183","Brant",1,184,0,4,1,1,39,0,1,231,504
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 184","Brant",0,137,0,6,3,1,78,3,1,229,524
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 185","Brant",1,134,0,6,6,1,60,0,3,211,540
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 186","Brant",0,148,1,8,11,0,79,1,0,248,503
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 187","Brant",0,195,0,0,5,0,33,0,0,233,535
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 500","Mobile poll/Bureau itinérant",3,40,2,2,8,0,76,0,6,137,175
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,,51
