Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Erika Alexander,Georgia Beauchemin,John-Paul Danko,Jim Enos,Roberto Henriquez,Ava Sharavi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,42
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,60
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 522","Mobile poll/Bureau itinérant",34,0,34,1,3,2,2,76,58
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 523","Mobile poll/Bureau itinérant",21,1,55,0,9,1,1,88,80
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 600","Hamilton",287,8,792,1,51,5,0,1144,
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 601","Hamilton ",295,19,825,1,103,3,1,1247,
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 602","Hamilton ",420,16,909,6,74,2,7,1434,
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 603","Hamilton",517,24,1340,3,62,2,2,1950,
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 604","Hamilton ",399,23,1185,1,79,4,4,1695,
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 605","Hamilton",599,12,1422,5,54,6,8,2106,
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 606","Hamilton",927,16,1233,3,54,5,5,2243,
