Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Faisal Ali,Greg Brady,Kyle Forster,Jennifer McKelvie,Leigh Paulseth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35001,"Ajax/Ajax"," 178","Ajax",1,85,5,66,2,0,159,382
35001,"Ajax/Ajax"," 179","Ajax",0,50,6,92,1,1,150,388
35001,"Ajax/Ajax"," 180","Ajax",0,60,9,86,3,1,159,484
35001,"Ajax/Ajax"," 181","Ajax",2,81,9,121,3,1,217,451
35001,"Ajax/Ajax"," 182","Ajax",1,92,4,95,1,1,194,398
35001,"Ajax/Ajax"," 183","Ajax",0,81,5,115,2,1,204,414
35001,"Ajax/Ajax"," 184","Ajax",0,123,9,142,2,1,277,550
35001,"Ajax/Ajax"," 185","Ajax",0,49,5,105,1,1,161,449
35001,"Ajax/Ajax"," 186","Ajax",0,82,4,96,4,3,189,468
35001,"Ajax/Ajax"," 187","Ajax",0,87,14,122,3,0,226,480
35001,"Ajax/Ajax"," 188","Ajax",0,83,4,100,4,3,194,477
35001,"Ajax/Ajax"," 189","Ajax",0,83,6,125,1,1,216,468
35001,"Ajax/Ajax"," 190","Ajax",0,81,2,86,3,2,174,332
35001,"Ajax/Ajax"," 191","Ajax",1,114,2,115,0,0,232,465
35001,"Ajax/Ajax"," 192","Ajax",0,77,2,96,1,0,176,445
35001,"Ajax/Ajax"," 193","Ajax",0,79,0,88,1,0,168,361
35001,"Ajax/Ajax"," 400","Ajax",0,56,11,88,1,1,157,236
35001,"Ajax/Ajax"," 401","Ajax",1,39,2,100,1,3,146,190
35001,"Ajax/Ajax"," 402","Ajax",1,28,6,51,1,0,87,298
35001,"Ajax/Ajax"," 403","Ajax",0,71,5,87,0,2,165,338
35001,"Ajax/Ajax"," 404","Ajax",0,43,7,60,0,0,110,291
35001,"Ajax/Ajax"," 405","Ajax",1,38,7,73,0,1,120,330
35001,"Ajax/Ajax"," 406","Ajax",1,45,5,70,2,2,125,355
35001,"Ajax/Ajax"," 407","Ajax",0,61,8,57,5,1,132,347
