Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Adam Delgado,Colin Kindret,Stephanie Kusie,Austin Mullins,Sunjiv Raval,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48010,"Calgary Midnapore/Calgary Midnapore"," 52","Calgary",1,2,97,7,64,0,171,395
48010,"Calgary Midnapore/Calgary Midnapore"," 53","Calgary",4,4,126,8,55,0,197,461
48010,"Calgary Midnapore/Calgary Midnapore"," 54","Calgary",4,0,126,7,49,0,186,436
48010,"Calgary Midnapore/Calgary Midnapore"," 55","Calgary",1,2,135,9,55,0,202,451
48010,"Calgary Midnapore/Calgary Midnapore"," 56","Calgary",2,2,101,2,39,0,146,395
48010,"Calgary Midnapore/Calgary Midnapore"," 57","Calgary",2,1,97,8,49,0,157,365
48010,"Calgary Midnapore/Calgary Midnapore"," 58","Calgary",4,0,85,4,46,0,139,323
48010,"Calgary Midnapore/Calgary Midnapore"," 59","Calgary",2,0,114,7,58,2,183,361
48010,"Calgary Midnapore/Calgary Midnapore"," 60","Calgary",3,1,105,8,56,1,174,371
48010,"Calgary Midnapore/Calgary Midnapore"," 61","Calgary",0,1,182,6,58,0,247,576
48010,"Calgary Midnapore/Calgary Midnapore"," 62","Calgary",2,0,100,2,53,0,157,406
48010,"Calgary Midnapore/Calgary Midnapore"," 63","Calgary",3,0,82,5,55,2,147,351
48010,"Calgary Midnapore/Calgary Midnapore"," 64","Calgary",3,0,118,3,32,0,156,393
48010,"Calgary Midnapore/Calgary Midnapore"," 65","Calgary",1,2,108,3,41,1,156,370
48010,"Calgary Midnapore/Calgary Midnapore"," 66","Calgary",1,2,95,5,64,1,168,398
48010,"Calgary Midnapore/Calgary Midnapore"," 67","Calgary",2,0,108,2,43,1,156,376
48010,"Calgary Midnapore/Calgary Midnapore"," 68","Calgary",2,2,116,9,37,2,168,329
48010,"Calgary Midnapore/Calgary Midnapore"," 69","Calgary",0,1,166,8,39,3,217,452
48010,"Calgary Midnapore/Calgary Midnapore"," 70","Calgary",2,1,147,7,57,0,214,394
48010,"Calgary Midnapore/Calgary Midnapore"," 71","Calgary",6,2,149,9,56,0,222,401
48010,"Calgary Midnapore/Calgary Midnapore"," 72","Calgary",1,2,153,8,91,2,257,502
48010,"Calgary Midnapore/Calgary Midnapore"," 73","Calgary",2,5,130,12,67,0,216,456
48010,"Calgary Midnapore/Calgary Midnapore"," 74","Calgary",1,0,133,2,45,1,182,330
48010,"Calgary Midnapore/Calgary Midnapore"," 75","Calgary",1,1,142,21,58,0,223,387
48010,"Calgary Midnapore/Calgary Midnapore"," 76","Calgary",4,3,139,14,84,0,244,492
48010,"Calgary Midnapore/Calgary Midnapore"," 77","Calgary",0,2,88,10,45,0,145,436
48010,"Calgary Midnapore/Calgary Midnapore"," 78","Calgary",1,2,100,6,66,0,175,499
48010,"Calgary Midnapore/Calgary Midnapore"," 79","Calgary",2,3,142,11,55,1,214,553
48010,"Calgary Midnapore/Calgary Midnapore"," 80","Calgary",7,0,122,11,44,1,185,441
48010,"Calgary Midnapore/Calgary Midnapore"," 81","Calgary",0,2,117,6,54,0,179,395
48010,"Calgary Midnapore/Calgary Midnapore"," 82","Calgary",2,1,97,14,34,1,149,348
48010,"Calgary Midnapore/Calgary Midnapore"," 83","Calgary",3,4,124,21,74,0,226,517
48010,"Calgary Midnapore/Calgary Midnapore"," 84","Calgary",0,2,130,16,81,0,229,440
48010,"Calgary Midnapore/Calgary Midnapore"," 85","Calgary",3,4,129,8,43,0,187,395
48010,"Calgary Midnapore/Calgary Midnapore"," 86","Calgary",1,1,86,4,60,0,152,363
48010,"Calgary Midnapore/Calgary Midnapore"," 87","Calgary",2,1,128,2,32,1,166,352
48010,"Calgary Midnapore/Calgary Midnapore"," 88","Calgary",1,0,132,10,71,0,214,406
48010,"Calgary Midnapore/Calgary Midnapore"," 89","Calgary",2,3,97,5,62,1,170,344
48010,"Calgary Midnapore/Calgary Midnapore"," 90","Calgary",0,4,145,3,50,0,202,381
48010,"Calgary Midnapore/Calgary Midnapore"," 91","Calgary",3,3,120,8,42,1,177,360
48010,"Calgary Midnapore/Calgary Midnapore"," 92","Calgary",2,2,108,5,57,0,174,347
48010,"Calgary Midnapore/Calgary Midnapore"," 93","Calgary",0,1,138,3,69,0,211,446
48010,"Calgary Midnapore/Calgary Midnapore"," 94","Calgary",2,3,110,6,57,1,179,392
48010,"Calgary Midnapore/Calgary Midnapore"," 95","Calgary",0,4,109,8,46,0,167,419
48010,"Calgary Midnapore/Calgary Midnapore"," 96","Calgary",1,1,108,4,60,0,174,419
48010,"Calgary Midnapore/Calgary Midnapore"," 97","Calgary",2,4,147,15,63,0,231,497
48010,"Calgary Midnapore/Calgary Midnapore"," 98","Calgary",2,0,153,4,49,1,209,449
48010,"Calgary Midnapore/Calgary Midnapore"," 99","Calgary",1,8,81,4,44,2,140,363
48010,"Calgary Midnapore/Calgary Midnapore"," 100","Calgary",3,2,106,9,57,1,178,480
48010,"Calgary Midnapore/Calgary Midnapore"," 101","Calgary",0,1,100,6,43,0,150,378
48010,"Calgary Midnapore/Calgary Midnapore"," 102","Calgary",1,0,165,6,89,2,263,590
48010,"Calgary Midnapore/Calgary Midnapore"," 103","Calgary",3,0,150,8,89,0,250,469
48010,"Calgary Midnapore/Calgary Midnapore"," 104","Calgary",1,4,134,13,76,1,229,483
48010,"Calgary Midnapore/Calgary Midnapore"," 105","Calgary",1,3,124,13,76,0,217,469
48010,"Calgary Midnapore/Calgary Midnapore"," 106","Calgary",1,5,128,4,66,0,204,405
48010,"Calgary Midnapore/Calgary Midnapore"," 107","Calgary",1,2,171,10,62,0,246,480
48010,"Calgary Midnapore/Calgary Midnapore"," 108","Calgary",1,7,145,7,66,1,227,479
48010,"Calgary Midnapore/Calgary Midnapore"," 109","Calgary",3,3,136,5,58,0,205,437
48010,"Calgary Midnapore/Calgary Midnapore"," 110","Calgary",0,2,132,8,61,0,203,452
48010,"Calgary Midnapore/Calgary Midnapore"," 111","Calgary",1,1,165,6,63,1,237,503
48010,"Calgary Midnapore/Calgary Midnapore"," 112","Calgary",3,1,131,7,78,0,220,541
48010,"Calgary Midnapore/Calgary Midnapore"," 113","Calgary",3,0,154,10,40,2,209,447
48010,"Calgary Midnapore/Calgary Midnapore"," 114","Calgary",2,1,150,3,62,2,220,477
48010,"Calgary Midnapore/Calgary Midnapore"," 115","Calgary",1,2,150,5,67,0,225,488
48010,"Calgary Midnapore/Calgary Midnapore"," 116","Calgary",0,4,155,6,61,1,227,414
48010,"Calgary Midnapore/Calgary Midnapore"," 117","Calgary",3,3,153,3,67,0,229,485
48010,"Calgary Midnapore/Calgary Midnapore"," 118","Calgary",3,3,161,8,82,0,257,501
48010,"Calgary Midnapore/Calgary Midnapore"," 119","Calgary",1,2,90,3,38,0,134,385
48010,"Calgary Midnapore/Calgary Midnapore"," 120","Calgary",4,0,106,6,34,0,150,508
48010,"Calgary Midnapore/Calgary Midnapore"," 121","Calgary",0,1,95,2,46,0,144,393
48010,"Calgary Midnapore/Calgary Midnapore"," 122","Calgary",3,0,133,7,50,0,193,407
48010,"Calgary Midnapore/Calgary Midnapore"," 123","Calgary",1,7,90,3,37,1,139,450
48010,"Calgary Midnapore/Calgary Midnapore"," 124","Calgary",1,2,120,11,55,0,189,569
48010,"Calgary Midnapore/Calgary Midnapore"," 125","Calgary",1,2,68,12,49,1,133,383
48010,"Calgary Midnapore/Calgary Midnapore"," 126","Calgary",0,1,67,6,47,0,121,342
48010,"Calgary Midnapore/Calgary Midnapore"," 127","Calgary",1,3,133,7,70,2,216,529
48010,"Calgary Midnapore/Calgary Midnapore"," 128","Calgary",0,6,143,13,66,1,229,473
48010,"Calgary Midnapore/Calgary Midnapore"," 129","Calgary",2,2,107,4,39,0,154,404
48010,"Calgary Midnapore/Calgary Midnapore"," 130","Calgary",2,2,144,5,52,0,205,397
48010,"Calgary Midnapore/Calgary Midnapore"," 131","Calgary",2,1,129,3,46,0,181,446
48010,"Calgary Midnapore/Calgary Midnapore"," 132","Calgary",2,2,98,8,55,0,165,378
48010,"Calgary Midnapore/Calgary Midnapore"," 133","Calgary",2,0,97,6,58,0,163,413
48010,"Calgary Midnapore/Calgary Midnapore"," 134","Calgary",1,0,68,3,32,0,104,364
48010,"Calgary Midnapore/Calgary Midnapore"," 135","Calgary",0,7,103,0,37,1,148,456
48010,"Calgary Midnapore/Calgary Midnapore"," 136","Calgary",0,2,78,10,33,0,123,349
48010,"Calgary Midnapore/Calgary Midnapore"," 137","Calgary",1,0,64,0,41,0,106,363
48010,"Calgary Midnapore/Calgary Midnapore"," 138","Calgary",2,0,89,1,52,0,144,394
48010,"Calgary Midnapore/Calgary Midnapore"," 139","Calgary",0,1,144,6,57,1,209,446
48010,"Calgary Midnapore/Calgary Midnapore"," 140A","Calgary",Combined with No./Résultats combinés à ceux du n°142A,,,,,,,240
48010,"Calgary Midnapore/Calgary Midnapore"," 140B","Calgary",0,1,148,4,68,2,223,263
48010,"Calgary Midnapore/Calgary Midnapore"," 140C","Calgary",Combined with No./Résultats combinés à ceux du n°142C,,,,,,,252
48010,"Calgary Midnapore/Calgary Midnapore"," 141","Calgary",2,3,206,8,67,1,287,555
48010,"Calgary Midnapore/Calgary Midnapore"," 142A","Calgary",2,1,133,6,51,2,195,267
48010,"Calgary Midnapore/Calgary Midnapore"," 142B","Calgary",Combined with No./Résultats combinés à ceux du n°140B,,,,,,,264
48010,"Calgary Midnapore/Calgary Midnapore"," 142C","Calgary",2,1,172,5,43,2,225,278
48010,"Calgary Midnapore/Calgary Midnapore"," 143","Calgary",4,1,157,7,72,0,241,573
48010,"Calgary Midnapore/Calgary Midnapore"," 144","Calgary",1,1,138,2,43,0,185,550
48010,"Calgary Midnapore/Calgary Midnapore"," 145","Calgary",2,1,103,2,49,0,157,480
48010,"Calgary Midnapore/Calgary Midnapore"," 146","Calgary",3,0,83,3,29,0,118,335
48010,"Calgary Midnapore/Calgary Midnapore"," 147","Calgary",2,6,163,2,52,1,226,554
48010,"Calgary Midnapore/Calgary Midnapore"," 148","Calgary",0,2,147,9,60,0,218,464
48010,"Calgary Midnapore/Calgary Midnapore"," 149","Calgary",0,1,155,9,55,1,221,457
48010,"Calgary Midnapore/Calgary Midnapore"," 150","Calgary",1,4,108,5,45,1,164,426
48010,"Calgary Midnapore/Calgary Midnapore"," 151","Calgary",1,3,141,9,53,0,207,479
48010,"Calgary Midnapore/Calgary Midnapore"," 152","Calgary",1,1,108,3,59,2,174,399
48010,"Calgary Midnapore/Calgary Midnapore"," 153","Calgary",0,1,162,9,50,0,222,581
48010,"Calgary Midnapore/Calgary Midnapore"," 154","Calgary",2,2,196,7,94,1,302,581
48010,"Calgary Midnapore/Calgary Midnapore"," 155","Calgary",1,0,156,4,42,0,203,593
48010,"Calgary Midnapore/Calgary Midnapore"," 156","Calgary",0,5,178,9,71,0,263,627
48010,"Calgary Midnapore/Calgary Midnapore"," 157","Calgary",2,0,162,5,64,2,235,579
48010,"Calgary Midnapore/Calgary Midnapore"," 158","Calgary",1,1,109,6,40,2,159,408
48010,"Calgary Midnapore/Calgary Midnapore"," 159","Calgary",0,3,147,3,40,0,193,457
48010,"Calgary Midnapore/Calgary Midnapore"," 160","Calgary",1,0,139,7,46,0,193,563
48010,"Calgary Midnapore/Calgary Midnapore"," 161","Calgary",2,2,91,5,39,0,139,353
48010,"Calgary Midnapore/Calgary Midnapore"," 162","Calgary",1,0,175,9,69,0,254,593
48010,"Calgary Midnapore/Calgary Midnapore"," 163","Calgary",0,2,121,3,40,1,167,436
48010,"Calgary Midnapore/Calgary Midnapore"," 164","Calgary",2,2,159,10,56,2,231,506
48010,"Calgary Midnapore/Calgary Midnapore"," 165","Calgary",3,0,145,4,60,0,212,498
48010,"Calgary Midnapore/Calgary Midnapore"," 166","Calgary",0,3,129,7,42,0,181,507
48010,"Calgary Midnapore/Calgary Midnapore"," 167","Calgary",0,1,117,8,41,0,167,431
48010,"Calgary Midnapore/Calgary Midnapore"," 168","Calgary",2,0,150,7,73,1,233,547
48010,"Calgary Midnapore/Calgary Midnapore"," 169","Calgary",1,0,162,7,67,2,239,553
48010,"Calgary Midnapore/Calgary Midnapore"," 170A","Calgary",Combined with No./Résultats combinés à ceux du n°174A,,,,,,,208
48010,"Calgary Midnapore/Calgary Midnapore"," 170B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,87
48010,"Calgary Midnapore/Calgary Midnapore"," 171","Calgary",2,1,176,6,71,2,258,594
48010,"Calgary Midnapore/Calgary Midnapore"," 172","Calgary",0,0,123,8,39,0,170,386
48010,"Calgary Midnapore/Calgary Midnapore"," 173","Calgary",1,1,156,2,76,0,236,522
48010,"Calgary Midnapore/Calgary Midnapore"," 174A","Calgary",2,1,120,6,45,2,176,278
48010,"Calgary Midnapore/Calgary Midnapore"," 174B","Calgary",2,0,105,8,43,1,159,448
48010,"Calgary Midnapore/Calgary Midnapore"," 175","Calgary",8,2,188,8,60,1,267,663
48010,"Calgary Midnapore/Calgary Midnapore"," 176A","Calgary",0,1,123,4,44,1,173,435
48010,"Calgary Midnapore/Calgary Midnapore"," 176B","Calgary",0,4,119,1,40,1,165,454
48010,"Calgary Midnapore/Calgary Midnapore"," 177","Calgary",1,3,122,6,51,0,183,545
48010,"Calgary Midnapore/Calgary Midnapore"," 178A","Calgary",Combined with No./Résultats combinés à ceux du n°179A,,,,,,,179
48010,"Calgary Midnapore/Calgary Midnapore"," 178B","Calgary",Combined with No./Résultats combinés à ceux du n°179B,,,,,,,149
48010,"Calgary Midnapore/Calgary Midnapore"," 178C","Calgary",Combined with No./Résultats combinés à ceux du n°179C,,,,,,,162
48010,"Calgary Midnapore/Calgary Midnapore"," 178D","Calgary",Combined with No./Résultats combinés à ceux du n°179D,,,,,,,185
48010,"Calgary Midnapore/Calgary Midnapore"," 179A","Calgary",0,1,142,6,52,0,201,352
48010,"Calgary Midnapore/Calgary Midnapore"," 179B","Calgary",0,1,114,5,38,0,158,306
48010,"Calgary Midnapore/Calgary Midnapore"," 179C","Calgary",2,0,131,5,56,0,194,326
48010,"Calgary Midnapore/Calgary Midnapore"," 179D","Calgary",0,2,132,6,49,0,189,284
48010,"Calgary Midnapore/Calgary Midnapore"," 180","Calgary",2,1,98,8,49,1,159,434
48010,"Calgary Midnapore/Calgary Midnapore"," 181","Calgary",2,1,139,4,54,2,202,509
48010,"Calgary Midnapore/Calgary Midnapore"," 182","Calgary",0,0,128,5,49,0,182,443
48010,"Calgary Midnapore/Calgary Midnapore"," 183","Calgary",0,0,146,6,45,1,198,525
48010,"Calgary Midnapore/Calgary Midnapore"," 184A","Calgary",0,3,165,7,43,0,218,289
48010,"Calgary Midnapore/Calgary Midnapore"," 184B","Calgary",1,4,155,3,58,1,222,264
48010,"Calgary Midnapore/Calgary Midnapore"," 184C","Calgary",0,2,141,7,55,0,205,293
48010,"Calgary Midnapore/Calgary Midnapore"," 185","Calgary",0,1,211,4,54,1,271,613
48010,"Calgary Midnapore/Calgary Midnapore"," 186","Calgary",2,1,165,6,72,2,248,559
48010,"Calgary Midnapore/Calgary Midnapore"," 187","Calgary",0,2,109,6,65,0,182,469
48010,"Calgary Midnapore/Calgary Midnapore"," 188A","Calgary",Combined with No./Résultats combinés à ceux du n°184A,,,,,,,206
48010,"Calgary Midnapore/Calgary Midnapore"," 188B","Calgary",Combined with No./Résultats combinés à ceux du n°184B,,,,,,,208
48010,"Calgary Midnapore/Calgary Midnapore"," 188C","Calgary",Combined with No./Résultats combinés à ceux du n°184C,,,,,,,235
48010,"Calgary Midnapore/Calgary Midnapore"," 189","Calgary",Combined with No./Résultats combinés à ceux du n°184B,,,,,,,50
48010,"Calgary Midnapore/Calgary Midnapore"," 190","Calgary",0,0,114,11,56,0,181,596
48010,"Calgary Midnapore/Calgary Midnapore"," 191","Calgary",1,0,159,10,68,2,240,646
48010,"Calgary Midnapore/Calgary Midnapore"," 192A","Calgary",0,0,93,2,40,0,135,400
48010,"Calgary Midnapore/Calgary Midnapore"," 192B","Calgary",0,0,87,0,43,3,133,361
48010,"Calgary Midnapore/Calgary Midnapore"," 193","Calgary",0,2,125,5,53,0,185,538
48010,"Calgary Midnapore/Calgary Midnapore"," 194","Calgary",0,1,107,5,38,3,154,461
48010,"Calgary Midnapore/Calgary Midnapore"," 195","Calgary",Combined with No./Résultats combinés à ceux du n°184B,,,,,,,10
48010,"Calgary Midnapore/Calgary Midnapore"," 196","Calgary",0,1,125,3,39,2,170,526
48010,"Calgary Midnapore/Calgary Midnapore"," 197A","Calgary",1,0,88,2,31,1,123,341
48010,"Calgary Midnapore/Calgary Midnapore"," 197B","Calgary",2,0,79,3,39,1,124,332
48010,"Calgary Midnapore/Calgary Midnapore"," 198","Calgary",7,1,128,9,61,1,207,589
48010,"Calgary Midnapore/Calgary Midnapore"," 199","Calgary",0,0,119,2,32,0,153,402
48010,"Calgary Midnapore/Calgary Midnapore"," 200A","Calgary",Combined with No./Résultats combinés à ceux du n°201A,,,,,,,220
48010,"Calgary Midnapore/Calgary Midnapore"," 200B","Calgary",Combined with No./Résultats combinés à ceux du n°201B,,,,,,,222
48010,"Calgary Midnapore/Calgary Midnapore"," 200C","Calgary",Combined with No./Résultats combinés à ceux du n°201C,,,,,,,212
48010,"Calgary Midnapore/Calgary Midnapore"," 201A","Calgary",1,2,111,2,44,0,160,220
48010,"Calgary Midnapore/Calgary Midnapore"," 201B","Calgary",0,1,124,4,35,1,165,231
48010,"Calgary Midnapore/Calgary Midnapore"," 201C","Calgary",1,0,129,1,33,0,164,220
48010,"Calgary Midnapore/Calgary Midnapore"," 202A","Calgary",2,2,96,4,63,0,167,295
48010,"Calgary Midnapore/Calgary Midnapore"," 202B","Calgary",0,1,108,7,41,0,157,281
48010,"Calgary Midnapore/Calgary Midnapore"," 202C","Calgary",0,1,109,3,47,0,160,271
48010,"Calgary Midnapore/Calgary Midnapore"," 203A","Calgary",Combined with No./Résultats combinés à ceux du n°202A,,,,,,,249
48010,"Calgary Midnapore/Calgary Midnapore"," 203B","Calgary",Combined with No./Résultats combinés à ceux du n°202B,,,,,,,239
48010,"Calgary Midnapore/Calgary Midnapore"," 203C","Calgary",Combined with No./Résultats combinés à ceux du n°202C,,,,,,,219
48010,"Calgary Midnapore/Calgary Midnapore"," 204A","Calgary",Combined with No./Résultats combinés à ceux du n°207A,,,,,,,229
48010,"Calgary Midnapore/Calgary Midnapore"," 204B","Calgary",Combined with No./Résultats combinés à ceux du n°207B,,,,,,,253
48010,"Calgary Midnapore/Calgary Midnapore"," 205A","Calgary",Combined with No./Résultats combinés à ceux du n°206A,,,,,,,206
48010,"Calgary Midnapore/Calgary Midnapore"," 205B","Calgary",Combined with No./Résultats combinés à ceux du n°206B,,,,,,,233
48010,"Calgary Midnapore/Calgary Midnapore"," 206A","Calgary",1,1,122,4,49,0,177,307
48010,"Calgary Midnapore/Calgary Midnapore"," 206B","Calgary",3,2,137,3,43,0,188,301
48010,"Calgary Midnapore/Calgary Midnapore"," 207A","Calgary",1,0,138,11,48,0,198,321
48010,"Calgary Midnapore/Calgary Midnapore"," 207B","Calgary",1,0,143,4,49,1,198,308
48010,"Calgary Midnapore/Calgary Midnapore"," 400A","Calgary",Combined with No./Résultats combinés à ceux du n°21A,,,,,,,150
48010,"Calgary Midnapore/Calgary Midnapore"," 400B","Calgary",Combined with No./Résultats combinés à ceux du n°21B,,,,,,,183
48010,"Calgary Midnapore/Calgary Midnapore"," 401A","Calgary",4,4,87,6,37,1,139,298
48010,"Calgary Midnapore/Calgary Midnapore"," 401B","Calgary",3,2,94,7,54,0,160,263
48010,"Calgary Midnapore/Calgary Midnapore"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°7B,,,,,,,122
48010,"Calgary Midnapore/Calgary Midnapore"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,27
48010,"Calgary Midnapore/Calgary Midnapore"," 502","Mobile poll/Bureau itinérant",0,1,50,5,29,2,87,97
48010,"Calgary Midnapore/Calgary Midnapore"," 503","Mobile poll/Bureau itinérant",2,0,189,2,64,3,260,179
48010,"Calgary Midnapore/Calgary Midnapore"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,120
48010,"Calgary Midnapore/Calgary Midnapore"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,98
48010,"Calgary Midnapore/Calgary Midnapore"," 506","Mobile poll/Bureau itinérant",3,0,59,6,18,0,86,148
48010,"Calgary Midnapore/Calgary Midnapore"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,103
48010,"Calgary Midnapore/Calgary Midnapore"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,162
48010,"Calgary Midnapore/Calgary Midnapore"," 509","Mobile poll/Bureau itinérant",2,1,107,3,58,8,179,131
48010,"Calgary Midnapore/Calgary Midnapore"," 510","Calgary",Combined with No./Résultats combinés à ceux du n°128,,,,,,,168
48010,"Calgary Midnapore/Calgary Midnapore"," 511","Mobile poll/Bureau itinérant",5,4,105,12,55,5,186,164
48010,"Calgary Midnapore/Calgary Midnapore"," 600","Calgary",4,5,477,27,343,1,857,
48010,"Calgary Midnapore/Calgary Midnapore"," 601","Calgary",3,10,771,46,459,2,1291,
48010,"Calgary Midnapore/Calgary Midnapore"," 602","Calgary",10,10,676,38,411,4,1149,
48010,"Calgary Midnapore/Calgary Midnapore"," 603","Calgary",11,8,862,35,504,7,1427,
48010,"Calgary Midnapore/Calgary Midnapore"," 604","Calgary",9,11,1244,40,627,7,1938,
48010,"Calgary Midnapore/Calgary Midnapore"," 605","Calgary",7,4,1059,36,576,5,1687,
48010,"Calgary Midnapore/Calgary Midnapore"," 606","Calgary",3,17,574,31,282,0,907,
