Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sukhdeep Kang,Manmohan Khroud,Vijay Kumar,Rajni Sharma,Sonia Sidhu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Brampton South/Brampton-Sud"," 87","Brampton",111,5,2,4,109,1,232,645
35013,"Brampton South/Brampton-Sud"," 88","Brampton",121,4,2,6,166,5,304,616
35013,"Brampton South/Brampton-Sud"," 89","Brampton",92,2,0,7,139,3,243,557
35013,"Brampton South/Brampton-Sud"," 90","Brampton",112,2,1,3,125,1,244,492
35013,"Brampton South/Brampton-Sud"," 91","Brampton",66,5,1,5,99,3,179,413
35013,"Brampton South/Brampton-Sud"," 92","Brampton",79,4,1,5,110,2,201,421
35013,"Brampton South/Brampton-Sud"," 93","Brampton",122,0,5,2,41,4,174,314
35013,"Brampton South/Brampton-Sud"," 94","Brampton",79,2,3,1,100,0,185,461
35013,"Brampton South/Brampton-Sud"," 95","Brampton",93,0,2,1,93,0,189,613
35013,"Brampton South/Brampton-Sud"," 96A","Brampton",52,0,0,1,40,2,95,320
35013,"Brampton South/Brampton-Sud"," 96B","Brampton",69,0,3,2,46,3,123,331
35013,"Brampton South/Brampton-Sud"," 97A","Brampton",78,2,1,6,50,1,138,332
35013,"Brampton South/Brampton-Sud"," 97B","Brampton",72,0,2,2,71,1,148,313
35013,"Brampton South/Brampton-Sud"," 98","Brampton",80,0,0,6,87,3,176,367
35013,"Brampton South/Brampton-Sud"," 99","Brampton",121,0,2,4,88,0,215,532
35013,"Brampton South/Brampton-Sud"," 100","Brampton",105,1,0,2,94,1,203,523
35013,"Brampton South/Brampton-Sud"," 101","Brampton",115,1,1,3,137,1,258,538
35013,"Brampton South/Brampton-Sud"," 102","Brampton",120,0,1,3,100,0,224,541
35013,"Brampton South/Brampton-Sud"," 103","Brampton",114,2,4,2,126,1,249,538
35013,"Brampton South/Brampton-Sud"," 104","Brampton",72,0,0,0,91,5,168,457
35013,"Brampton South/Brampton-Sud"," 105","Brampton",95,0,0,2,68,4,169,441
35013,"Brampton South/Brampton-Sud"," 106","Brampton",68,0,2,4,50,1,125,381
35013,"Brampton South/Brampton-Sud"," 107","Brampton",43,0,0,3,56,1,103,290
35013,"Brampton South/Brampton-Sud"," 108","Brampton",80,0,0,7,61,4,152,493
35013,"Brampton South/Brampton-Sud"," 109","Brampton",62,0,2,2,72,4,142,461
35013,"Brampton South/Brampton-Sud"," 110","Brampton",88,1,2,3,96,0,190,538
