Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Simon Bérubé,Daniel Brisson,Tommy Bureau,Jean-Yves Duclos,Patrick Kerr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24059,"Québec Centre/Québec-Centre"," 29","Québec",45,2,30,56,1,7,141,313
24059,"Québec Centre/Québec-Centre"," 30","Québec",64,4,18,61,2,0,149,306
24059,"Québec Centre/Québec-Centre"," 31","Québec",31,10,13,46,0,8,108,333
24059,"Québec Centre/Québec-Centre"," 32","Québec",56,9,30,64,6,6,171,329
24059,"Québec Centre/Québec-Centre"," 33","Québec",60,5,43,51,0,0,159,335
24059,"Québec Centre/Québec-Centre"," 34","Québec",82,8,60,89,4,3,246,440
24059,"Québec Centre/Québec-Centre"," 35","Québec",94,8,12,120,3,4,241,456
24059,"Québec Centre/Québec-Centre"," 36","Québec",79,16,11,143,2,8,259,460
24059,"Québec Centre/Québec-Centre"," 37","Québec",67,7,14,76,1,1,166,396
24059,"Québec Centre/Québec-Centre"," 38","Québec",41,7,17,52,4,0,121,346
24059,"Québec Centre/Québec-Centre"," 39","Québec",66,4,16,70,3,3,162,376
24059,"Québec Centre/Québec-Centre"," 40","Québec",97,7,34,106,6,8,258,644
24059,"Québec Centre/Québec-Centre"," 41","Québec",117,15,21,110,4,8,275,468
24059,"Québec Centre/Québec-Centre"," 42","Québec",34,17,4,27,2,1,85,308
24059,"Québec Centre/Québec-Centre"," 43A","Québec",54,10,4,52,3,8,131,377
24059,"Québec Centre/Québec-Centre"," 43B","Mobile poll/Bureau itinérant",13,6,1,24,1,5,50,55
24059,"Québec Centre/Québec-Centre"," 44A","Québec",41,13,13,32,4,5,108,344
24059,"Québec Centre/Québec-Centre"," 44B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,40
24059,"Québec Centre/Québec-Centre"," 45","Québec",46,5,2,58,6,3,120,351
24059,"Québec Centre/Québec-Centre"," 46","Québec",51,21,12,38,4,5,131,377
24059,"Québec Centre/Québec-Centre"," 47","Québec",45,6,10,30,7,16,114,344
24059,"Québec Centre/Québec-Centre"," 48","Québec",37,11,10,40,3,11,112,320
24059,"Québec Centre/Québec-Centre"," 49","Québec",85,3,22,48,4,4,166,379
24059,"Québec Centre/Québec-Centre"," 50","Québec",45,6,15,40,1,5,112,374
24059,"Québec Centre/Québec-Centre"," 51","Québec",39,2,20,39,2,3,105,335
24059,"Québec Centre/Québec-Centre"," 52","Québec",56,2,31,57,7,0,153,370
24059,"Québec Centre/Québec-Centre"," 53","Québec",49,2,41,53,1,3,149,376
24059,"Québec Centre/Québec-Centre"," 54","Québec",44,1,33,37,1,1,117,324
24059,"Québec Centre/Québec-Centre"," 55","Québec",85,3,18,61,1,4,172,356
24059,"Québec Centre/Québec-Centre"," 56","Québec",44,1,26,57,3,6,137,347
24059,"Québec Centre/Québec-Centre"," 57","Québec",56,3,21,51,3,4,138,363
24059,"Québec Centre/Québec-Centre"," 58","Québec",55,3,20,39,0,1,118,332
24059,"Québec Centre/Québec-Centre"," 59","Québec",31,3,11,53,1,3,102,348
24059,"Québec Centre/Québec-Centre"," 60","Notre-Dame-des-Anges",29,6,21,32,6,3,97,321
24059,"Québec Centre/Québec-Centre"," 61","Québec",48,8,25,78,7,8,174,345
24059,"Québec Centre/Québec-Centre"," 62","Québec",50,5,33,43,8,5,144,354
24059,"Québec Centre/Québec-Centre"," 63","Québec",72,5,26,70,15,10,198,415
24059,"Québec Centre/Québec-Centre"," 64","Québec",70,7,30,79,5,8,199,389
24059,"Québec Centre/Québec-Centre"," 65","Québec",59,14,17,49,9,4,152,395
24059,"Québec Centre/Québec-Centre"," 66","Québec",80,6,22,84,7,7,206,410
24059,"Québec Centre/Québec-Centre"," 67","Québec",54,12,38,87,2,2,195,398
24059,"Québec Centre/Québec-Centre"," 68","Québec",89,33,15,108,8,17,270,685
24059,"Québec Centre/Québec-Centre"," 69","Québec",88,17,9,83,3,12,212,397
24059,"Québec Centre/Québec-Centre"," 70","Québec",72,16,11,68,5,15,187,429
24059,"Québec Centre/Québec-Centre"," 71","Québec",76,11,36,79,12,2,216,423
24059,"Québec Centre/Québec-Centre"," 72","Québec",58,6,27,60,4,4,159,358
24059,"Québec Centre/Québec-Centre"," 73","Québec",62,5,26,60,8,6,167,383
24059,"Québec Centre/Québec-Centre"," 74","Québec",87,7,13,108,1,6,222,470
24059,"Québec Centre/Québec-Centre"," 75","Québec",66,7,3,158,1,2,237,460
24059,"Québec Centre/Québec-Centre"," 76","Québec",65,6,11,78,0,4,164,438
24059,"Québec Centre/Québec-Centre"," 77","Québec",61,7,33,54,4,3,162,372
24059,"Québec Centre/Québec-Centre"," 78","Québec",42,6,31,52,1,1,133,371
24059,"Québec Centre/Québec-Centre"," 79","Québec",79,8,41,87,1,11,227,387
24059,"Québec Centre/Québec-Centre"," 80","Québec",66,10,35,64,6,7,188,447
24059,"Québec Centre/Québec-Centre"," 81","Québec",56,5,25,65,4,2,157,380
24059,"Québec Centre/Québec-Centre"," 82","Québec",55,9,26,70,8,4,172,382
24059,"Québec Centre/Québec-Centre"," 83","Québec",62,6,15,68,2,7,160,365
24059,"Québec Centre/Québec-Centre"," 84","Québec",38,5,18,38,3,3,105,296
24059,"Québec Centre/Québec-Centre"," 85","Québec",65,4,23,49,5,9,155,345
24059,"Québec Centre/Québec-Centre"," 86","Québec",46,5,19,61,2,9,142,374
24059,"Québec Centre/Québec-Centre"," 87","Québec",47,11,13,41,2,5,119,323
24059,"Québec Centre/Québec-Centre"," 88","Québec",55,11,26,45,3,6,146,372
24059,"Québec Centre/Québec-Centre"," 89","Québec",56,9,11,46,3,8,133,321
24059,"Québec Centre/Québec-Centre"," 90","Québec",69,5,24,56,3,9,166,385
24059,"Québec Centre/Québec-Centre"," 91","Québec",63,7,25,49,6,6,156,323
24059,"Québec Centre/Québec-Centre"," 92","Québec",61,5,11,42,2,3,124,388
24059,"Québec Centre/Québec-Centre"," 93","Québec",70,10,24,56,3,10,173,458
24059,"Québec Centre/Québec-Centre"," 94","Québec",83,2,37,72,2,3,199,406
24059,"Québec Centre/Québec-Centre"," 95","Québec",68,2,21,92,5,8,196,430
24059,"Québec Centre/Québec-Centre"," 96","Québec",72,5,27,70,4,4,182,370
24059,"Québec Centre/Québec-Centre"," 97","Québec",52,3,17,51,1,2,126,351
24059,"Québec Centre/Québec-Centre"," 98","Québec",85,7,23,91,4,8,218,501
24059,"Québec Centre/Québec-Centre"," 99","Québec",94,6,16,91,4,6,217,457
24059,"Québec Centre/Québec-Centre"," 100A","Québec",93,8,20,76,2,4,203,485
24059,"Québec Centre/Québec-Centre"," 100B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,24
24059,"Québec Centre/Québec-Centre"," 101","Québec",58,5,4,67,1,3,138,440
24059,"Québec Centre/Québec-Centre"," 102","Québec",58,2,5,55,0,3,123,360
24059,"Québec Centre/Québec-Centre"," 103","Québec",89,4,16,78,1,5,193,400
24059,"Québec Centre/Québec-Centre"," 104","Québec",47,9,8,27,3,4,98,290
24059,"Québec Centre/Québec-Centre"," 105","Québec",32,9,12,72,3,6,134,405
24059,"Québec Centre/Québec-Centre"," 106","Québec",55,15,9,46,1,10,136,373
24059,"Québec Centre/Québec-Centre"," 107","Québec",41,12,12,31,4,10,110,381
24059,"Québec Centre/Québec-Centre"," 108","Québec",46,11,8,43,3,6,117,492
24059,"Québec Centre/Québec-Centre"," 109","Québec",25,9,8,33,3,8,86,351
24059,"Québec Centre/Québec-Centre"," 110","Québec",99,12,9,85,6,8,219,492
24059,"Québec Centre/Québec-Centre"," 111","Québec",84,11,9,96,4,0,204,450
24059,"Québec Centre/Québec-Centre"," 112","Québec",92,21,7,79,7,1,207,498
24059,"Québec Centre/Québec-Centre"," 113","Québec",67,16,9,66,9,1,168,490
24059,"Québec Centre/Québec-Centre"," 114","Québec",42,16,8,31,7,8,112,322
24059,"Québec Centre/Québec-Centre"," 115","Québec",50,9,11,45,8,0,123,385
24059,"Québec Centre/Québec-Centre"," 116","Québec",67,16,10,47,4,0,144,417
24059,"Québec Centre/Québec-Centre"," 117","Québec",61,7,29,96,3,7,203,442
24059,"Québec Centre/Québec-Centre"," 118","Québec",33,5,4,43,2,1,88,270
24059,"Québec Centre/Québec-Centre"," 119","Québec",60,10,11,81,0,2,164,407
24059,"Québec Centre/Québec-Centre"," 120","Québec",53,4,15,71,4,1,148,386
24059,"Québec Centre/Québec-Centre"," 121","Québec",69,3,11,88,1,5,177,408
24059,"Québec Centre/Québec-Centre"," 122","Québec",57,9,11,63,1,0,141,361
24059,"Québec Centre/Québec-Centre"," 123","Québec",27,3,4,56,0,2,92,351
24059,"Québec Centre/Québec-Centre"," 124","Québec",97,13,17,96,4,10,237,392
24059,"Québec Centre/Québec-Centre"," 125","Québec",106,18,14,53,6,11,208,407
24059,"Québec Centre/Québec-Centre"," 126","Québec",103,31,16,92,8,14,264,435
24059,"Québec Centre/Québec-Centre"," 127","Québec",106,13,16,90,10,12,247,494
24059,"Québec Centre/Québec-Centre"," 128A","Québec",64,16,5,69,3,6,163,468
24059,"Québec Centre/Québec-Centre"," 128B","Québec",74,21,8,81,6,10,200,470
24059,"Québec Centre/Québec-Centre"," 129","Québec",54,12,8,61,6,8,149,349
24059,"Québec Centre/Québec-Centre"," 130","Québec",74,23,14,56,8,8,183,384
24059,"Québec Centre/Québec-Centre"," 131","Québec",57,18,9,78,5,4,171,307
24059,"Québec Centre/Québec-Centre"," 132","Québec",54,7,6,47,3,3,120,304
24059,"Québec Centre/Québec-Centre"," 133","Québec",54,15,8,51,4,9,141,365
24059,"Québec Centre/Québec-Centre"," 134","Québec",37,15,6,39,2,0,99,271
24059,"Québec Centre/Québec-Centre"," 135","Québec",57,13,14,79,6,9,178,413
24059,"Québec Centre/Québec-Centre"," 136","Québec",50,3,11,104,2,7,177,558
24059,"Québec Centre/Québec-Centre"," 137","Québec",44,2,10,90,2,1,149,493
24059,"Québec Centre/Québec-Centre"," 138","Québec",72,8,13,89,1,2,185,465
24059,"Québec Centre/Québec-Centre"," 139","Québec",42,1,8,67,4,1,123,336
24059,"Québec Centre/Québec-Centre"," 140","Québec",56,4,13,73,0,3,149,336
24059,"Québec Centre/Québec-Centre"," 141","Québec",35,2,0,54,1,5,97,337
24059,"Québec Centre/Québec-Centre"," 142","Québec",35,8,2,70,0,1,116,409
24059,"Québec Centre/Québec-Centre"," 143A","Québec",45,3,6,65,1,1,121,374
24059,"Québec Centre/Québec-Centre"," 143B","Québec",53,2,5,69,1,3,133,368
24059,"Québec Centre/Québec-Centre"," 144","Québec",49,5,11,42,1,2,110,384
24059,"Québec Centre/Québec-Centre"," 145","Québec",90,9,22,115,0,2,238,424
24059,"Québec Centre/Québec-Centre"," 146","Québec",77,4,15,84,3,3,186,429
24059,"Québec Centre/Québec-Centre"," 147","Québec",70,7,17,109,3,6,212,510
24059,"Québec Centre/Québec-Centre"," 148","Québec",60,4,21,55,2,6,148,318
24059,"Québec Centre/Québec-Centre"," 149","Québec",62,3,11,85,4,5,170,403
24059,"Québec Centre/Québec-Centre"," 150","Québec",59,5,21,77,5,6,173,352
24059,"Québec Centre/Québec-Centre"," 151","Québec",30,3,6,64,2,0,105,372
24059,"Québec Centre/Québec-Centre"," 152","Québec",68,1,17,86,1,2,175,356
24059,"Québec Centre/Québec-Centre"," 153","Québec",50,6,13,90,0,1,160,426
24059,"Québec Centre/Québec-Centre"," 154","Québec",57,11,14,39,4,1,126,335
24059,"Québec Centre/Québec-Centre"," 155","Québec",111,9,13,75,7,13,228,436
24059,"Québec Centre/Québec-Centre"," 156","Québec",84,14,15,72,3,6,194,482
24059,"Québec Centre/Québec-Centre"," 157","Québec",42,12,6,25,4,6,95,382
24059,"Québec Centre/Québec-Centre"," 158","Québec",67,7,21,61,2,5,163,389
24059,"Québec Centre/Québec-Centre"," 159","Québec",54,3,22,84,1,2,166,467
24059,"Québec Centre/Québec-Centre"," 160","Québec",31,2,4,33,1,3,74,481
24059,"Québec Centre/Québec-Centre"," 161","Québec",44,5,5,59,0,0,113,467
24059,"Québec Centre/Québec-Centre"," 162","Québec",79,10,15,133,3,7,247,692
24059,"Québec Centre/Québec-Centre"," 163A","Québec",59,5,8,64,1,0,137,347
24059,"Québec Centre/Québec-Centre"," 163B","Québec",28,1,0,158,0,4,191,271
24059,"Québec Centre/Québec-Centre"," 164","Québec",85,2,28,90,1,5,211,467
24059,"Québec Centre/Québec-Centre"," 165","Québec",48,9,12,75,0,4,148,357
24059,"Québec Centre/Québec-Centre"," 166","Québec",67,4,18,75,8,2,174,472
24059,"Québec Centre/Québec-Centre"," 167","Québec",54,5,8,82,1,1,151,355
24059,"Québec Centre/Québec-Centre"," 168","Québec",81,3,18,121,3,2,228,420
24059,"Québec Centre/Québec-Centre"," 169","Québec",73,4,8,127,6,2,220,407
24059,"Québec Centre/Québec-Centre"," 170","Québec",Combined with No./Résultats combinés à ceux du n°171,,,,,,,52
24059,"Québec Centre/Québec-Centre"," 171","Québec",54,2,9,73,2,0,140,277
24059,"Québec Centre/Québec-Centre"," 172","Québec",52,4,6,128,4,5,199,422
24059,"Québec Centre/Québec-Centre"," 173","Québec",72,5,3,149,0,8,237,473
24059,"Québec Centre/Québec-Centre"," 174","Québec",60,3,10,99,0,3,175,407
24059,"Québec Centre/Québec-Centre"," 175","Québec",54,1,10,94,0,5,164,443
24059,"Québec Centre/Québec-Centre"," 176","Québec",51,3,10,93,1,2,160,437
24059,"Québec Centre/Québec-Centre"," 177","Québec",85,3,27,116,4,2,237,431
24059,"Québec Centre/Québec-Centre"," 178","Québec",56,9,23,85,1,5,179,396
24059,"Québec Centre/Québec-Centre"," 179","Québec",58,13,9,49,9,11,149,369
24059,"Québec Centre/Québec-Centre"," 180","Québec",65,15,15,65,3,8,171,480
24059,"Québec Centre/Québec-Centre"," 181","Québec",61,13,13,44,9,8,148,402
24059,"Québec Centre/Québec-Centre"," 182","Québec",50,14,8,92,2,7,173,398
24059,"Québec Centre/Québec-Centre"," 183","Québec",70,18,16,43,8,8,163,369
24059,"Québec Centre/Québec-Centre"," 184","Québec",56,13,5,53,5,9,141,322
24059,"Québec Centre/Québec-Centre"," 185","Québec",55,23,5,74,3,14,174,342
24059,"Québec Centre/Québec-Centre"," 186","Québec",50,10,9,60,7,9,145,342
24059,"Québec Centre/Québec-Centre"," 187","Québec",63,17,13,60,2,10,165,315
24059,"Québec Centre/Québec-Centre"," 188","Québec",50,17,7,72,6,14,166,420
24059,"Québec Centre/Québec-Centre"," 189","Québec",66,13,5,47,3,3,137,317
24059,"Québec Centre/Québec-Centre"," 190","Québec",55,19,7,49,2,0,132,316
24059,"Québec Centre/Québec-Centre"," 191","Québec",90,17,6,68,4,6,191,396
24059,"Québec Centre/Québec-Centre"," 192","Québec",41,19,9,55,9,6,139,334
24059,"Québec Centre/Québec-Centre"," 193","Québec",80,19,11,62,9,7,188,425
24059,"Québec Centre/Québec-Centre"," 194","Québec",77,20,12,79,6,4,198,426
24059,"Québec Centre/Québec-Centre"," 195","Québec",80,11,9,161,2,17,280,475
24059,"Québec Centre/Québec-Centre"," 196","Québec",54,6,12,99,3,2,176,416
24059,"Québec Centre/Québec-Centre"," 197","Québec",41,8,18,78,3,6,154,323
24059,"Québec Centre/Québec-Centre"," 198","Québec",55,9,8,89,1,2,164,365
24059,"Québec Centre/Québec-Centre"," 199","Québec",Void/Supprimé,,,,,,,
24059,"Québec Centre/Québec-Centre"," 200","Québec",74,9,3,163,2,7,258,442
24059,"Québec Centre/Québec-Centre"," 400A","Mobile poll/Bureau itinérant",6,1,0,29,0,1,37,180
24059,"Québec Centre/Québec-Centre"," 400B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°400A,,,,,,,40
24059,"Québec Centre/Québec-Centre"," 401","Québec",30,1,2,74,1,13,121,177
24059,"Québec Centre/Québec-Centre"," 402","Québec",28,2,3,69,1,12,115,182
24059,"Québec Centre/Québec-Centre"," 403","Québec",75,14,3,185,12,37,326,211
24059,"Québec Centre/Québec-Centre"," 404","Québec",Combined with No./Résultats combinés à ceux du n°403,,,,,,,194
24059,"Québec Centre/Québec-Centre"," 405","Québec",22,6,2,35,3,2,70,173
24059,"Québec Centre/Québec-Centre"," 406","Québec",Combined with No./Résultats combinés à ceux du n°405,,,,,,,85
24059,"Québec Centre/Québec-Centre"," 407","Québec",15,1,1,38,0,2,57,117
24059,"Québec Centre/Québec-Centre"," 408","Québec",54,5,1,193,0,8,261,320
24059,"Québec Centre/Québec-Centre"," 500","Mobile poll/Bureau itinérant",21,8,3,75,1,7,115,75
24059,"Québec Centre/Québec-Centre"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°43B,,,,,,,45
24059,"Québec Centre/Québec-Centre"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,54
24059,"Québec Centre/Québec-Centre"," 503","Mobile poll/Bureau itinérant",18,0,1,51,1,8,79,157
24059,"Québec Centre/Québec-Centre"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,26
24059,"Québec Centre/Québec-Centre"," 505","Mobile poll/Bureau itinérant",6,2,0,8,0,0,16,108
24059,"Québec Centre/Québec-Centre"," 506","Mobile poll/Bureau itinérant",18,3,0,27,0,0,48,53
24059,"Québec Centre/Québec-Centre"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,37
24059,"Québec Centre/Québec-Centre"," 508","Mobile poll/Bureau itinérant",2,0,0,4,0,0,6,28
24059,"Québec Centre/Québec-Centre"," 509","Mobile poll/Bureau itinérant",19,2,4,44,0,10,79,110
24059,"Québec Centre/Québec-Centre"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,56
24059,"Québec Centre/Québec-Centre"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,13
24059,"Québec Centre/Québec-Centre"," 512","Québec",Combined with No./Résultats combinés à ceux du n°403,,,,,,,126
24059,"Québec Centre/Québec-Centre"," 513","Mobile poll/Bureau itinérant",17,2,1,43,2,9,74,97
24059,"Québec Centre/Québec-Centre"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,95
24059,"Québec Centre/Québec-Centre"," 515","Mobile poll/Bureau itinérant",46,5,3,79,0,7,140,139
24059,"Québec Centre/Québec-Centre"," 516","Mobile poll/Bureau itinérant",10,0,1,14,0,2,27,134
24059,"Québec Centre/Québec-Centre"," 517","Mobile poll/Bureau itinérant",29,4,2,110,2,14,161,253
24059,"Québec Centre/Québec-Centre"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,40
24059,"Québec Centre/Québec-Centre"," 519","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
24059,"Québec Centre/Québec-Centre"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,74
24059,"Québec Centre/Québec-Centre"," 521","Mobile poll/Bureau itinérant",8,4,1,29,0,1,43,43
24059,"Québec Centre/Québec-Centre"," 522","Mobile poll/Bureau itinérant",3,0,1,27,1,2,34,70
24059,"Québec Centre/Québec-Centre"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,32
24059,"Québec Centre/Québec-Centre"," 600","Québec",399,92,44,615,24,41,1215,
24059,"Québec Centre/Québec-Centre"," 601","Québec",248,62,35,356,23,21,745,
24059,"Québec Centre/Québec-Centre"," 602","Québec",583,123,42,814,23,78,1663,
24059,"Québec Centre/Québec-Centre"," 603","Québec",372,89,34,517,23,45,1080,
24059,"Québec Centre/Québec-Centre"," 604","Québec",444,75,46,658,9,32,1264,
24059,"Québec Centre/Québec-Centre"," 605","Québec",327,90,56,450,18,54,995,
24059,"Québec Centre/Québec-Centre"," 606","Québec",263,47,88,404,14,20,836,
24059,"Québec Centre/Québec-Centre"," 607","Québec",274,69,71,380,20,15,829,
24059,"Québec Centre/Québec-Centre"," 608","Québec",217,32,64,305,13,26,657,
24059,"Québec Centre/Québec-Centre"," 609","Québec",414,27,71,679,10,16,1217,
24059,"Québec Centre/Québec-Centre"," 610","Québec",280,28,107,405,10,24,854,
24059,"Québec Centre/Québec-Centre"," 611","Québec",501,23,76,881,15,22,1518,
24059,"Québec Centre/Québec-Centre"," 612","Québec",264,20,39,528,11,17,879,
24059,"Québec Centre/Québec-Centre"," 613","Québec",368,30,54,805,15,21,1293,
24059,"Québec Centre/Québec-Centre"," 614","Québec",586,36,51,1347,6,25,2051,
24059,"Québec Centre/Québec-Centre"," 615","Québec",514,36,87,853,15,13,1518,
24059,"Québec Centre/Québec-Centre"," 616","Québec",489,27,148,596,12,16,1288,
24059,"Québec Centre/Québec-Centre"," 617","Québec",221,29,41,409,5,3,708,
24059,"Québec Centre/Québec-Centre"," 618","Québec",238,21,30,485,11,6,791,
24059,"Québec Centre/Québec-Centre",,Group 1/Groupe 1, 276,25,94,545,15,51,1006,318
24059,"Québec Centre/Québec-Centre",,Group 2/Groupe 2, 357,23,83,706,8,51,1228,
