Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ryder Finlay,Giovanna Mingarelli,Deborah Perrier,Thaila Riden,Julie Séguin,Jason St-Louis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 216","Russell",4,54,1,0,62,1,1,123,304
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 217","Russell",7,56,0,4,72,0,0,139,397
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,9
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 501","Mobile poll/Bureau itinérant",3,29,0,1,6,1,0,40,51
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,35
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,17
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 504","Mobile poll/Bureau itinérant",3,47,1,4,15,3,0,73,77
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,52
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 506","Mobile poll/Bureau itinérant",2,44,2,1,7,1,7,64,148
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 507","Mobile poll/Bureau itinérant",1,54,0,1,10,0,1,67,85
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,24
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,23
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,33
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 511","Mobile poll/Bureau itinérant",2,20,1,0,18,0,0,41,61
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 512","Mobile poll/Bureau itinérant",6,14,1,3,10,1,1,36,32
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,56
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,25
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 515","Mobile poll/Bureau itinérant",1,46,0,0,12,0,3,62,54
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 516","Mobile poll/Bureau itinérant",4,89,4,1,8,0,0,106,172
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,36
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,24
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,,92
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 520","Mobile poll/Bureau itinérant",1,62,0,0,16,2,3,84,116
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,,40
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 522","Mobile poll/Bureau itinérant",3,43,0,3,10,0,1,60,70
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,,40
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 524","Mobile poll/Bureau itinérant",4,24,0,1,8,0,4,41,53
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 525","Mobile poll/Bureau itinérant",5,24,0,0,17,0,7,53,59
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°533,,,,,,,,33
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 527","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,,,68
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,,21
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 529","Mobile poll/Bureau itinérant",6,86,4,0,17,0,8,121,87
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 530","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,,31
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 531","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°536,,,,,,,,39
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 532","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°533,,,,,,,,30
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 533","Mobile poll/Bureau itinérant",2,21,2,3,10,1,2,41,36
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 534","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°535,,,,,,,,52
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 535","Mobile poll/Bureau itinérant",5,51,1,0,24,0,3,84,70
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 536","Mobile poll/Bureau itinérant",4,32,2,0,10,1,7,56,40
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 537","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°539,,,,,,,,79
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 538","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°536,,,,,,,,22
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 539","Mobile poll/Bureau itinérant",2,49,1,1,33,1,7,94,87
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 600","St-Eugène",11,404,4,16,307,3,8,753,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 601","Champlain",21,849,7,21,427,4,8,1337,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 602","Hawkesbury",33,824,11,17,431,3,12,1331,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 603","L'Orignal",16,668,9,12,335,4,3,1047,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 604","Alfred",15,548,7,7,339,2,5,923,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 605","Champlain",19,672,12,18,558,4,2,1285,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 606","St. Isidore",9,169,2,5,140,0,2,327,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 607","Plantagenet",16,470,9,16,401,2,4,918,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 608","Plantagenet",5,333,7,4,202,0,1,552,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 609","Clarence-Rockland",16,562,3,5,324,1,7,918,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 610","Clarence-Rockland",19,526,5,8,241,4,6,809,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 611","Clarence-Rockland",34,943,9,10,386,4,8,1394,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 612","Clarence-Rockland",42,1151,10,15,484,2,21,1725,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 613","Ottawa",11,796,6,2,415,3,1,1234,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 614","Ottawa",21,796,2,6,316,1,5,1147,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 615","Ottawa",Combined with No./Résultats combinés à ceux du n°616,,,,,,,,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 616","Ottawa",10,344,8,2,323,2,1,690,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 617","Ottawa",14,468,8,7,373,2,0,872,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 618","Clarence-Rockland",13,535,11,4,392,1,1,957,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 619","Clarence-Rockland",28,496,6,12,411,3,3,959,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 620","Casselman",35,1124,15,22,595,1,8,1800,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 621","Limoges",25,436,9,6,293,1,2,772,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 622","Embrun",10,330,3,7,302,3,3,658,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 623","Casselman",8,243,5,2,156,3,1,418,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 624","Embrun",37,1189,12,13,737,4,6,1998,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 625","Russell",34,1153,5,9,665,6,5,1877,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 626","Russell",16,562,6,3,370,0,0,957,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 627","Russell",25,665,14,8,436,1,2,1151,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 628","Russell",11,454,3,5,280,0,1,754,
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland",,Group 1/Groupe 1, 21,501,4,8,292,2,73,901,178
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland",,Group 2/Groupe 2, 58,1876,20,22,963,6,66,3011,
