Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Harry Dhillon,Garry Dirk,Jennifer Geha,Jasraj Hallan,Priti Obhrai-Martin,Carey Rutherford,Jonathan Trautman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48007,"Calgary East/Calgary-Est"," 98","Calgary",4,0,6,93,29,0,1,4,137,476
48007,"Calgary East/Calgary-Est"," 99","Calgary",5,0,5,77,28,1,1,2,119,397
48007,"Calgary East/Calgary-Est"," 100","Calgary",3,1,9,54,35,2,0,5,109,358
48007,"Calgary East/Calgary-Est"," 101","Calgary",6,2,9,83,75,5,2,3,185,531
48007,"Calgary East/Calgary-Est"," 102","Calgary",3,0,6,83,34,2,0,0,128,440
48007,"Calgary East/Calgary-Est"," 103","Calgary",1,1,9,76,37,3,1,2,130,424
48007,"Calgary East/Calgary-Est"," 104","Calgary",6,2,4,114,40,2,0,0,168,502
48007,"Calgary East/Calgary-Est"," 105","Calgary",1,4,8,91,41,4,0,0,149,469
48007,"Calgary East/Calgary-Est"," 106","Calgary",4,1,4,53,26,0,0,1,89,386
48007,"Calgary East/Calgary-Est"," 107","Calgary",4,0,5,73,25,0,0,0,107,371
48007,"Calgary East/Calgary-Est"," 108","Calgary",0,1,5,82,30,2,0,9,129,467
48007,"Calgary East/Calgary-Est"," 109","Calgary",4,1,2,86,37,3,1,1,135,370
48007,"Calgary East/Calgary-Est"," 110","Calgary",5,0,3,75,60,0,1,0,144,432
48007,"Calgary East/Calgary-Est"," 111","Calgary",7,0,4,99,68,1,0,0,179,484
48007,"Calgary East/Calgary-Est"," 112","Calgary",5,2,6,93,71,1,1,1,180,470
48007,"Calgary East/Calgary-Est"," 113","Calgary",4,0,3,127,66,0,0,1,201,701
48007,"Calgary East/Calgary-Est"," 114","Calgary",3,0,11,140,57,3,0,2,216,658
48007,"Calgary East/Calgary-Est"," 115","Calgary",4,1,6,75,43,5,0,0,134,372
48007,"Calgary East/Calgary-Est"," 116","Calgary",3,4,13,99,46,3,0,0,168,605
48007,"Calgary East/Calgary-Est"," 117","Calgary",1,1,3,79,40,0,0,2,126,383
48007,"Calgary East/Calgary-Est"," 118","Calgary",6,1,18,94,53,2,1,2,177,589
48007,"Calgary East/Calgary-Est"," 119","Calgary",7,0,6,103,69,3,0,1,189,543
48007,"Calgary East/Calgary-Est"," 120","Calgary",5,2,4,103,70,2,0,0,186,524
48007,"Calgary East/Calgary-Est"," 121","Calgary",1,1,4,91,46,0,0,2,145,438
48007,"Calgary East/Calgary-Est"," 122","Calgary",4,4,5,60,39,2,0,2,116,355
48007,"Calgary East/Calgary-Est"," 123","Calgary",3,1,5,127,38,4,1,1,180,576
48007,"Calgary East/Calgary-Est"," 124","Calgary",7,0,13,149,65,1,1,1,237,585
48007,"Calgary East/Calgary-Est"," 125","Calgary",9,3,19,112,57,1,0,2,203,557
48007,"Calgary East/Calgary-Est"," 126","Calgary",5,3,14,95,44,6,0,1,168,402
48007,"Calgary East/Calgary-Est"," 127","Calgary",5,0,8,90,29,0,0,1,133,342
48007,"Calgary East/Calgary-Est"," 128","Calgary",5,1,7,108,40,1,0,0,162,436
48007,"Calgary East/Calgary-Est"," 129","Calgary",0,1,8,104,51,6,1,3,174,509
48007,"Calgary East/Calgary-Est"," 130","Calgary",7,4,7,112,81,1,0,5,217,456
48007,"Calgary East/Calgary-Est"," 131","Calgary",4,0,9,127,76,2,0,2,220,540
48007,"Calgary East/Calgary-Est"," 132","Calgary",0,0,13,132,45,5,1,3,199,438
48007,"Calgary East/Calgary-Est"," 133","Calgary",4,1,12,131,56,6,0,0,210,502
48007,"Calgary East/Calgary-Est"," 134","Calgary",4,2,11,150,62,4,1,3,237,552
48007,"Calgary East/Calgary-Est"," 135","Calgary",2,1,12,118,53,3,2,0,191,569
48007,"Calgary East/Calgary-Est"," 136","Calgary",2,2,5,105,57,9,0,3,183,527
48007,"Calgary East/Calgary-Est"," 137","Calgary",7,3,14,118,43,1,0,0,186,425
48007,"Calgary East/Calgary-Est"," 138","Calgary",6,2,12,153,60,0,0,2,235,569
48007,"Calgary East/Calgary-Est"," 139","Calgary",6,2,10,74,45,0,0,1,138,394
48007,"Calgary East/Calgary-Est"," 140","Calgary",5,1,6,86,34,5,0,3,140,483
48007,"Calgary East/Calgary-Est"," 141","Calgary",2,0,11,96,33,2,0,0,144,470
48007,"Calgary East/Calgary-Est"," 142","Calgary",2,2,8,106,51,2,2,3,176,488
48007,"Calgary East/Calgary-Est"," 143","Calgary",4,1,12,89,26,3,0,0,135,429
48007,"Calgary East/Calgary-Est"," 144","Calgary",2,1,7,81,33,7,0,0,131,420
48007,"Calgary East/Calgary-Est"," 145","Calgary",1,1,2,68,35,1,0,0,108,374
48007,"Calgary East/Calgary-Est"," 146","Calgary",3,3,6,113,89,0,0,2,216,548
48007,"Calgary East/Calgary-Est"," 147","Calgary",3,1,7,134,64,3,1,2,215,475
48007,"Calgary East/Calgary-Est"," 148","Calgary",2,1,5,115,67,2,0,3,195,520
48007,"Calgary East/Calgary-Est"," 149","Calgary",4,1,3,116,36,1,0,1,162,350
48007,"Calgary East/Calgary-Est"," 150","Calgary",2,1,17,126,87,6,1,5,245,525
48007,"Calgary East/Calgary-Est"," 151","Calgary",3,3,11,118,72,3,0,0,210,501
48007,"Calgary East/Calgary-Est"," 152","Calgary",1,0,8,172,62,5,0,2,250,544
48007,"Calgary East/Calgary-Est"," 153","Calgary",5,1,9,159,97,0,1,2,274,605
48007,"Calgary East/Calgary-Est"," 154","Calgary",8,1,8,105,46,4,0,2,174,435
48007,"Calgary East/Calgary-Est"," 155","Calgary",5,1,8,142,71,6,1,4,238,492
48007,"Calgary East/Calgary-Est"," 156","Calgary",6,0,4,111,49,3,0,1,174,433
48007,"Calgary East/Calgary-Est"," 157","Calgary",3,1,4,115,49,2,0,5,179,437
48007,"Calgary East/Calgary-Est"," 158","Calgary",4,2,7,107,64,4,0,1,189,501
48007,"Calgary East/Calgary-Est"," 159A","Calgary",3,2,11,102,45,0,0,1,164,427
48007,"Calgary East/Calgary-Est"," 159B","Calgary",8,1,11,51,19,5,1,1,97,244
48007,"Calgary East/Calgary-Est"," 160","Calgary",4,1,8,118,60,1,0,0,192,426
48007,"Calgary East/Calgary-Est"," 161","Calgary",2,1,7,107,64,2,0,1,184,360
48007,"Calgary East/Calgary-Est"," 162","Calgary",7,2,4,140,47,3,0,0,203,440
48007,"Calgary East/Calgary-Est"," 163","Calgary",3,0,8,94,56,0,0,1,162,375
48007,"Calgary East/Calgary-Est"," 164","Calgary",1,3,6,90,58,8,0,2,168,354
48007,"Calgary East/Calgary-Est"," 165","Calgary",1,0,3,94,64,3,1,0,166,356
48007,"Calgary East/Calgary-Est"," 166","Calgary",2,2,10,121,75,0,1,0,211,424
48007,"Calgary East/Calgary-Est"," 167","Calgary",4,0,4,106,63,2,0,0,179,399
48007,"Calgary East/Calgary-Est"," 168","Calgary",3,1,8,124,71,4,1,0,212,468
48007,"Calgary East/Calgary-Est"," 169","Calgary",0,0,5,115,45,1,1,1,168,357
48007,"Calgary East/Calgary-Est"," 170","Calgary",8,1,5,122,81,9,2,4,232,455
48007,"Calgary East/Calgary-Est"," 171","Calgary",1,2,8,133,79,5,0,1,229,455
48007,"Calgary East/Calgary-Est"," 172","Calgary",2,0,6,114,66,1,0,0,189,371
48007,"Calgary East/Calgary-Est"," 173","Calgary",5,0,6,106,55,6,1,0,179,461
48007,"Calgary East/Calgary-Est"," 174","Calgary",2,0,7,123,75,2,0,1,210,425
48007,"Calgary East/Calgary-Est"," 175","Calgary",1,1,4,102,55,3,0,0,166,368
48007,"Calgary East/Calgary-Est"," 176","Calgary",3,0,6,121,75,2,1,0,208,486
48007,"Calgary East/Calgary-Est"," 177","Calgary",3,4,3,88,38,2,0,0,138,341
48007,"Calgary East/Calgary-Est"," 178","Calgary",2,0,5,108,49,0,0,0,164,424
48007,"Calgary East/Calgary-Est"," 179","Calgary",0,0,5,120,66,0,0,0,191,428
48007,"Calgary East/Calgary-Est"," 180","Calgary",5,2,1,117,87,1,0,0,213,611
48007,"Calgary East/Calgary-Est"," 181","Calgary",1,0,8,161,67,1,0,0,238,621
48007,"Calgary East/Calgary-Est"," 182","Calgary",0,0,3,115,49,0,0,0,167,445
48007,"Calgary East/Calgary-Est"," 183","Calgary",2,0,9,131,61,2,0,0,205,591
48007,"Calgary East/Calgary-Est"," 184","Calgary",1,2,4,184,72,0,0,3,266,505
48007,"Calgary East/Calgary-Est"," 185","Calgary",2,1,6,113,71,0,1,0,194,502
48007,"Calgary East/Calgary-Est"," 186","Calgary",0,0,5,92,42,0,0,1,140,386
48007,"Calgary East/Calgary-Est"," 187","Calgary",1,1,6,125,53,3,0,2,191,453
48007,"Calgary East/Calgary-Est"," 188","Calgary",6,2,8,151,73,2,0,0,242,714
48007,"Calgary East/Calgary-Est"," 189","Calgary",3,1,4,133,65,1,0,0,207,470
48007,"Calgary East/Calgary-Est"," 190","Calgary",2,0,3,98,37,1,0,0,141,394
48007,"Calgary East/Calgary-Est"," 191","Calgary",0,0,2,95,39,3,0,2,141,397
48007,"Calgary East/Calgary-Est"," 192","Calgary",3,0,4,97,52,1,0,1,158,381
48007,"Calgary East/Calgary-Est"," 193","Calgary",0,0,2,93,67,3,0,1,166,437
48007,"Calgary East/Calgary-Est"," 194","Calgary",1,1,2,77,51,0,0,1,133,478
48007,"Calgary East/Calgary-Est"," 195","Calgary",4,0,5,110,46,1,0,0,166,422
48007,"Calgary East/Calgary-Est"," 196","Calgary",1,0,4,115,45,0,1,0,166,451
48007,"Calgary East/Calgary-Est"," 197","Calgary",4,0,2,70,30,1,0,0,107,378
48007,"Calgary East/Calgary-Est"," 198","Calgary",2,0,5,93,49,3,0,0,152,423
48007,"Calgary East/Calgary-Est"," 199","Calgary",0,0,12,81,42,3,0,0,138,354
48007,"Calgary East/Calgary-Est"," 200","Calgary",0,0,3,104,53,0,0,0,160,488
48007,"Calgary East/Calgary-Est"," 201","Calgary",3,0,1,92,35,2,1,0,134,358
48007,"Calgary East/Calgary-Est"," 202","Calgary",4,0,6,104,38,0,0,0,152,432
48007,"Calgary East/Calgary-Est"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°83B,,,,,,,,,65
48007,"Calgary East/Calgary-Est"," 501","Calgary",1,1,8,55,23,1,0,2,91,151
48007,"Calgary East/Calgary-Est"," 502","Calgary",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,,106
48007,"Calgary East/Calgary-Est"," 503","Calgary",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,,115
48007,"Calgary East/Calgary-Est"," 504","Calgary",Combined with No./Résultats combinés à ceux du n°149,,,,,,,,,59
48007,"Calgary East/Calgary-Est"," 600","Calgary",19,1,46,594,383,10,2,3,1058,
48007,"Calgary East/Calgary-Est"," 601","Calgary",9,5,33,408,261,12,3,6,737,
48007,"Calgary East/Calgary-Est"," 602","Calgary",15,6,20,314,177,8,0,4,544,
48007,"Calgary East/Calgary-Est"," 603","Calgary",16,7,29,480,194,10,2,1,739,
48007,"Calgary East/Calgary-Est"," 604","Calgary",11,6,26,455,205,9,1,3,716,
48007,"Calgary East/Calgary-Est"," 605","Calgary",18,2,28,569,348,13,1,1,980,
48007,"Calgary East/Calgary-Est"," 606","Calgary",12,5,49,541,237,6,2,11,863,
48007,"Calgary East/Calgary-Est"," 607","Calgary",11,9,36,511,279,11,2,6,865,
48007,"Calgary East/Calgary-Est"," 608","Calgary",8,4,22,335,239,3,2,4,617,
48007,"Calgary East/Calgary-Est"," 609","Calgary",13,5,19,368,189,4,0,2,600,
48007,"Calgary East/Calgary-Est"," 610","Calgary",12,2,25,525,256,6,1,5,832,
48007,"Calgary East/Calgary-Est"," 611","Calgary",32,4,43,634,326,12,4,6,1061,
48007,"Calgary East/Calgary-Est"," 612","Calgary",24,8,33,710,344,12,7,5,1143,
48007,"Calgary East/Calgary-Est"," 613","Calgary",10,2,28,459,341,10,3,1,854,
48007,"Calgary East/Calgary-Est"," 614","Calgary",15,3,25,755,355,11,1,3,1168,
48007,"Calgary East/Calgary-Est"," 615","Calgary",9,1,27,776,434,5,1,3,1256,
48007,"Calgary East/Calgary-Est"," 616","Calgary",8,2,27,1016,533,11,1,1,1599,
48007,"Calgary East/Calgary-Est"," 617","Calgary",9,3,13,767,350,5,0,3,1150,
48007,"Calgary East/Calgary-Est"," 618","Calgary",9,4,24,884,397,6,0,6,1330,
48007,"Calgary East/Calgary-Est",,Group 1/Groupe 1, 16,4,74,692,462,19,8,62,1337,286
48007,"Calgary East/Calgary-Est",,Group 2/Groupe 2, 14,8,48,623,442,11,2,76,1224,
